spot_exch,fut_exch,symbol,ask_spot,bid_futures,spread_pct,ts
binance,gate,FUNUSDT,0.00137500,0.03107,2159.6364,1774032200891
binance,gate,FUNUSDT,0.00138100,0.0307,2123.0268,1774033788951
binance,gate,FUNUSDT,0.00137600,0.03072,2132.5581,1774036034364
binance,gate,FUNUSDT,0.00137400,0.03066,2131.441,1774036163773
binance,gate,FUNUSDT,0.00137900,0.03078,2132.0522,1774036599568
binance,gate,FUNUSDT,0.00137300,0.03072,2137.4363,1774039667924
binance,gate,FUNUSDT,0.00137600,0.0308,2138.3721,1774043220845
binance,gate,FUNUSDT,0.00138000,0.03063,2119.5652,1774044624288
binance,gate,FUNUSDT,0.00138300,0.03071,2120.5351,1774048124353
binance,gate,FUNUSDT,0.00139300,0.03119,2139.0524,1774053608566
