spot_exch,fut_exch,symbol,ask_spot,bid_futures,spread_pct,ts
gate,bybit,VANRYUSDT,0.005831,0.006217,6.6198,1774030020615
binance,gate,FUNUSDT,0.00138100,0.03221,2232.3678,1774030024225
binance,gate,FUNUSDT,0.00138100,0.03215,2228.0232,1774030040308
gate,bybit,VANRYUSDT,0.005815,0.006205,6.7068,1774030040308
binance,gate,FUNUSDT,0.00138100,0.0322,2231.6437,1774030050933
gate,bybit,VANRYUSDT,0.005806,0.006194,6.6827,1774030050933
binance,gate,FUNUSDT,0.00138100,0.03212,2225.8508,1774030064176
gate,bybit,VANRYUSDT,0.005806,0.006193,6.6655,1774030064176
gate,bybit,VANRYUSDT,0.005721,0.006149,7.4812,1774031718813
binance,gate,FUNUSDT,0.00137600,0.03126,2171.8023,1774031734127
gate,bybit,VANRYUSDT,0.005735,0.006154,7.306,1774032200891
gate,bybit,VANRYUSDT,0.005708,0.006142,7.6034,1774033776040
gate,bybit,BLUAIUSDT,0.006525,0.006617,1.41,1774034012748
bybit,gate,ESUSDT,0.13757,0.13897,1.0177,1774034909430
gate,bybit,VANRYUSDT,0.005675,0.006094,7.3833,1774036030761
gate,bybit,VANRYUSDT,0.005666,0.006087,7.4303,1774036159866
gate,bybit,VANRYUSDT,0.005667,0.006089,7.4466,1774036581246
okx,bybit,WAXPUSDT,0.008377,0.008491,1.3609,1774036995729
okx,gate,WAXPUSDT,0.008377,0.008476,1.1818,1774036995729
bybit,gate,ESUSDT,0.13787,0.13925,1.0009,1774037177470
gate,bybit,VANRYUSDT,0.005681,0.006093,7.2522,1774039666122
gate,bybit,VANRYUSDT,0.005683,0.006102,7.3729,1774043222946
binance,bybit,SXPUSDT,0.00800000,0.00812,1.5,1774043980329
gate,binance,BASUSDT,0.009668,0.0097770,1.1274,1774044214027
gate,bybit,VANRYUSDT,0.005742,0.006144,7.001,1774044603073
binance,bybit,SXPUSDT,0.00800000,0.00815,1.875,1774044608568
gate,binance,QUSDT,0.012753,0.0129030,1.1762,1774044829543
gate,bybit,BSUUSDT,0.05342,0.05396,1.0109,1774045080688
gate,bybit,BRUSDT,0.05601,0.0566,1.0534,1774045623566
gate,bybit,VANRYUSDT,0.005777,0.006182,7.0106,1774048103173
gate,bybit,VANRYUSDT,0.005745,0.006147,6.9974,1774053604344
bybit,gate,ESUSDT,0.13963,0.14121,1.1316,1774053980448
binance,okx,SAHARAUSDT,0.02822000,0.02851,1.0276,1774054500043
