spot_exch,fut_exch,symbol,ask_spot,bid_futures,spread_pct,ts
gate,bybit,BLUAIUSDT,0.006525,0.006617,1.41,1774034012748
gate,bybit,BLUAIUSDT,0.006617,0.006617,0.0,1774034013048
gate,bybit,BLUAIUSDT,0.006604,0.006603,-0.0151,1774034013348
gate,bybit,BLUAIUSDT,0.00661,0.0066,-0.1513,1774034013648
gate,bybit,BLUAIUSDT,0.00661,0.0066,-0.1513,1774034013949
gate,bybit,BLUAIUSDT,0.00661,0.006598,-0.1815,1774034014249
gate,bybit,BLUAIUSDT,0.00661,0.006605,-0.0756,1774034014550
gate,bybit,BLUAIUSDT,0.00661,0.006596,-0.2118,1774034014850
gate,bybit,BLUAIUSDT,0.00661,0.006595,-0.2269,1774034015150
gate,bybit,BLUAIUSDT,0.00661,0.006596,-0.2118,1774034015451
gate,bybit,BLUAIUSDT,0.00661,0.006596,-0.2118,1774034015751
gate,bybit,BLUAIUSDT,0.006608,0.006596,-0.1816,1774034016051
gate,bybit,BLUAIUSDT,0.006608,0.006596,-0.1816,1774034016351
gate,bybit,BLUAIUSDT,0.006608,0.006595,-0.1967,1774034016651
gate,bybit,BLUAIUSDT,0.006609,0.006597,-0.1816,1774034016951
gate,bybit,BLUAIUSDT,0.006608,0.006597,-0.1665,1774034017252
gate,bybit,BLUAIUSDT,0.006608,0.006595,-0.1967,1774034017552
gate,bybit,BLUAIUSDT,0.006608,0.006595,-0.1967,1774034017852
gate,bybit,BLUAIUSDT,0.006608,0.006595,-0.1967,1774034018152
gate,bybit,BLUAIUSDT,0.006608,0.006595,-0.1967,1774034018452
gate,bybit,BLUAIUSDT,0.006608,0.006592,-0.2421,1774034018753
gate,bybit,BLUAIUSDT,0.006608,0.006592,-0.2421,1774034019054
gate,bybit,BLUAIUSDT,0.006608,0.006594,-0.2119,1774034019354
gate,bybit,BLUAIUSDT,0.006606,0.006594,-0.1817,1774034019654
gate,bybit,BLUAIUSDT,0.006606,0.006591,-0.2271,1774034019955
gate,bybit,BLUAIUSDT,0.006606,0.00659,-0.2422,1774034020256
gate,bybit,BLUAIUSDT,0.006606,0.00659,-0.2422,1774034020556
gate,bybit,BLUAIUSDT,0.006606,0.006578,-0.4239,1774034020857
gate,bybit,BLUAIUSDT,0.006593,0.006579,-0.2123,1774034021157
gate,bybit,BLUAIUSDT,0.006593,0.006576,-0.2578,1774034021458
gate,bybit,BLUAIUSDT,0.006593,0.006576,-0.2578,1774034021758
gate,bybit,BLUAIUSDT,0.006593,0.006576,-0.2578,1774034022059
gate,bybit,BLUAIUSDT,0.006593,0.006576,-0.2578,1774034022359
gate,bybit,BLUAIUSDT,0.006593,0.006576,-0.2578,1774034022659
gate,bybit,BLUAIUSDT,0.006593,0.006576,-0.2578,1774034022959
gate,bybit,BLUAIUSDT,0.006598,0.006576,-0.3334,1774034023260
gate,bybit,BLUAIUSDT,0.006596,0.006578,-0.2729,1774034023560
gate,bybit,BLUAIUSDT,0.006596,0.006578,-0.2729,1774034023860
gate,bybit,BLUAIUSDT,0.006596,0.006578,-0.2729,1774034024161
gate,bybit,BLUAIUSDT,0.006596,0.006578,-0.2729,1774034024461
gate,bybit,BLUAIUSDT,0.006596,0.006578,-0.2729,1774034024762
gate,bybit,BLUAIUSDT,0.006594,0.006585,-0.1365,1774034025062
gate,bybit,BLUAIUSDT,0.006598,0.006586,-0.1819,1774034025363
gate,bybit,BLUAIUSDT,0.006599,0.006592,-0.1061,1774034025663
gate,bybit,BLUAIUSDT,0.006599,0.006588,-0.1667,1774034025963
gate,bybit,BLUAIUSDT,0.006599,0.006588,-0.1667,1774034026263
gate,bybit,BLUAIUSDT,0.006599,0.006588,-0.1667,1774034026564
gate,bybit,BLUAIUSDT,0.006599,0.006588,-0.1667,1774034026864
gate,bybit,BLUAIUSDT,0.006599,0.006588,-0.1667,1774034027164
gate,bybit,BLUAIUSDT,0.006599,0.006588,-0.1667,1774034027464
gate,bybit,BLUAIUSDT,0.006599,0.006588,-0.1667,1774034027765
gate,bybit,BLUAIUSDT,0.006599,0.006588,-0.1667,1774034028065
gate,bybit,BLUAIUSDT,0.006599,0.006588,-0.1667,1774034028366
gate,bybit,BLUAIUSDT,0.006598,0.006588,-0.1516,1774034028666
gate,bybit,BLUAIUSDT,0.006598,0.006594,-0.0606,1774034028966
gate,bybit,BLUAIUSDT,0.006598,0.006594,-0.0606,1774034029267
gate,bybit,BLUAIUSDT,0.006599,0.006594,-0.0758,1774034029567
gate,bybit,BLUAIUSDT,0.0066,0.006594,-0.0909,1774034029868
gate,bybit,BLUAIUSDT,0.0066,0.006605,0.0758,1774034030168
gate,bybit,BLUAIUSDT,0.0066,0.006604,0.0606,1774034030468
