spot_exch,fut_exch,symbol,ask_spot,bid_futures,spread_pct,ts
bybit,gate,ESUSDT,0.13738,0.13852,0.8298,1774036580000
bybit,gate,ESUSDT,0.13732,0.13851,0.8666,1774036715000
bybit,gate,ESUSDT,0.13739,0.13856,0.8516,1774036724000
bybit,gate,ESUSDT,0.13739,0.13865,0.9171,1774036789000
bybit,gate,ESUSDT,0.13739,0.13861,0.888,1774036796000
bybit,gate,ESUSDT,0.13739,0.13864,0.9098,1774036805000
bybit,gate,ESUSDT,0.13739,0.13873,0.9753,1774036809000
bybit,gate,ESUSDT,0.13739,0.13876,0.9972,1774036810000
bybit,gate,ESUSDT,0.13739,0.13876,0.9972,1774036812000
bybit,gate,ESUSDT,0.13739,0.13866,0.9244,1774036817000
bybit,gate,ESUSDT,0.13739,0.13867,0.9317,1774036822000
bybit,gate,ESUSDT,0.13739,0.13867,0.9317,1774036826000
bybit,gate,ESUSDT,0.13744,0.13859,0.8367,1774037117000
bybit,gate,ESUSDT,0.1377,0.13859,0.6463,1774037167000
bybit,gate,ESUSDT,0.13815,0.13865,0.3619,1774037168000
bybit,gate,ESUSDT,0.13787,0.13907,0.8704,1774037177000
bybit,gate,ESUSDT,0.13787,0.13925,1.0009,1774037177470
bybit,gate,ESUSDT,0.13787,0.13912,0.9067,1774037177770
bybit,gate,ESUSDT,0.13787,0.13912,0.9067,1774037178071
bybit,gate,ESUSDT,0.13787,0.13912,0.9067,1774037178371
bybit,gate,ESUSDT,0.13787,0.13912,0.9067,1774037178671
bybit,gate,ESUSDT,0.13787,0.13909,0.8849,1774037178972
bybit,gate,ESUSDT,0.13787,0.13911,0.8994,1774037179272
bybit,gate,ESUSDT,0.13787,0.13915,0.9284,1774037179572
bybit,gate,ESUSDT,0.13787,0.13915,0.9284,1774037179875
bybit,gate,ESUSDT,0.13787,0.13915,0.9284,1774037180175
bybit,gate,ESUSDT,0.13787,0.13915,0.9284,1774037180476
bybit,gate,ESUSDT,0.13787,0.13915,0.9284,1774037180776
bybit,gate,ESUSDT,0.13787,0.13915,0.9284,1774037181076
bybit,gate,ESUSDT,0.13787,0.13915,0.9284,1774037181377
bybit,gate,ESUSDT,0.13787,0.13915,0.9284,1774037181677
bybit,gate,ESUSDT,0.13787,0.13915,0.9284,1774037181977
bybit,gate,ESUSDT,0.13787,0.13915,0.9284,1774037182277
bybit,gate,ESUSDT,0.13787,0.13915,0.9284,1774037182578
bybit,gate,ESUSDT,0.13787,0.13917,0.9429,1774037182878
bybit,gate,ESUSDT,0.13787,0.13917,0.9429,1774037183179
bybit,gate,ESUSDT,0.13787,0.13917,0.9429,1774037183479
bybit,gate,ESUSDT,0.13787,0.13917,0.9429,1774037183779
bybit,gate,ESUSDT,0.13787,0.13917,0.9429,1774037184079
bybit,gate,ESUSDT,0.13787,0.13917,0.9429,1774037184380
bybit,gate,ESUSDT,0.13787,0.13917,0.9429,1774037184680
bybit,gate,ESUSDT,0.13787,0.13917,0.9429,1774037184981
bybit,gate,ESUSDT,0.13787,0.13918,0.9502,1774037185282
bybit,gate,ESUSDT,0.13787,0.13913,0.9139,1774037185582
bybit,gate,ESUSDT,0.13787,0.13913,0.9139,1774037185883
bybit,gate,ESUSDT,0.13787,0.13913,0.9139,1774037186183
