spot_exch,fut_exch,symbol,ask_spot,bid_futures,spread_pct,ts
okx,bybit,WAXPUSDT,0.008352,0.008306,-0.5508,1774036579000
okx,bybit,WAXPUSDT,0.008352,0.008304,-0.5747,1774036581000
okx,bybit,WAXPUSDT,0.008352,0.008305,-0.5627,1774036582000
okx,bybit,WAXPUSDT,0.008352,0.008303,-0.5867,1774036583000
okx,bybit,WAXPUSDT,0.008352,0.008303,-0.5867,1774036584000
okx,bybit,WAXPUSDT,0.008352,0.008306,-0.5508,1774036585000
okx,bybit,WAXPUSDT,0.008352,0.008304,-0.5747,1774036586000
okx,bybit,WAXPUSDT,0.008352,0.008305,-0.5627,1774036587000
okx,bybit,WAXPUSDT,0.008352,0.008303,-0.5867,1774036588000
okx,bybit,WAXPUSDT,0.008352,0.008303,-0.5867,1774036590000
okx,bybit,WAXPUSDT,0.008355,0.008301,-0.6463,1774036599000
okx,bybit,WAXPUSDT,0.008354,0.008303,-0.6105,1774036600000
okx,bybit,WAXPUSDT,0.008354,0.008299,-0.6584,1774036601000
okx,bybit,WAXPUSDT,0.008354,0.008299,-0.6584,1774036603000
okx,bybit,WAXPUSDT,0.008354,0.008296,-0.6943,1774036605000
okx,bybit,WAXPUSDT,0.008354,0.008293,-0.7302,1774036606000
okx,bybit,WAXPUSDT,0.008354,0.008293,-0.7302,1774036607000
okx,bybit,WAXPUSDT,0.008354,0.008293,-0.7302,1774036608000
okx,bybit,WAXPUSDT,0.008354,0.008293,-0.7302,1774036609000
okx,bybit,WAXPUSDT,0.008354,0.008293,-0.7302,1774036610000
okx,bybit,WAXPUSDT,0.008354,0.008293,-0.7302,1774036613000
okx,bybit,WAXPUSDT,0.008354,0.008291,-0.7541,1774036614000
okx,bybit,WAXPUSDT,0.008354,0.008292,-0.7422,1774036615000
okx,bybit,WAXPUSDT,0.008354,0.008288,-0.79,1774036616000
okx,bybit,WAXPUSDT,0.008345,0.008286,-0.707,1774036619000
okx,bybit,WAXPUSDT,0.008345,0.008286,-0.707,1774036620000
okx,bybit,WAXPUSDT,0.008344,0.00829,-0.6472,1774036621000
okx,bybit,WAXPUSDT,0.008344,0.008289,-0.6592,1774036622000
okx,bybit,WAXPUSDT,0.008344,0.008284,-0.7191,1774036625000
okx,bybit,WAXPUSDT,0.008344,0.008289,-0.6592,1774036635000
okx,bybit,WAXPUSDT,0.008344,0.008286,-0.6951,1774036645000
okx,bybit,WAXPUSDT,0.008344,0.008289,-0.6592,1774036646000
okx,bybit,WAXPUSDT,0.008344,0.00829,-0.6472,1774036647000
okx,bybit,WAXPUSDT,0.008344,0.00829,-0.6472,1774036648000
okx,bybit,WAXPUSDT,0.008344,0.00829,-0.6472,1774036649000
okx,bybit,WAXPUSDT,0.008344,0.008286,-0.6951,1774036651000
okx,bybit,WAXPUSDT,0.008344,0.008289,-0.6592,1774036664000
okx,bybit,WAXPUSDT,0.008344,0.008291,-0.6352,1774036665000
okx,bybit,WAXPUSDT,0.008344,0.008291,-0.6352,1774036668000
okx,bybit,WAXPUSDT,0.008344,0.008291,-0.6352,1774036669000
okx,bybit,WAXPUSDT,0.008346,0.008292,-0.647,1774036680000
okx,bybit,WAXPUSDT,0.008345,0.00829,-0.6591,1774036681000
okx,bybit,WAXPUSDT,0.008346,0.008289,-0.683,1774036682000
okx,bybit,WAXPUSDT,0.008346,0.008296,-0.5991,1774036690000
okx,bybit,WAXPUSDT,0.008346,0.008301,-0.5392,1774036691000
okx,bybit,WAXPUSDT,0.008375,0.008301,-0.8836,1774036701000
okx,bybit,WAXPUSDT,0.008376,0.008322,-0.6447,1774036702000
okx,bybit,WAXPUSDT,0.008378,0.008322,-0.6684,1774036704000
okx,bybit,WAXPUSDT,0.008377,0.008314,-0.7521,1774036706000
okx,bybit,WAXPUSDT,0.008377,0.00832,-0.6804,1774036708000
okx,bybit,WAXPUSDT,0.008384,0.008319,-0.7753,1774036709000
okx,bybit,WAXPUSDT,0.008384,0.00832,-0.7634,1774036710000
okx,bybit,WAXPUSDT,0.008384,0.00832,-0.7634,1774036711000
okx,bybit,WAXPUSDT,0.008384,0.008323,-0.7276,1774036712000
okx,bybit,WAXPUSDT,0.008384,0.008315,-0.823,1774036713000
okx,bybit,WAXPUSDT,0.008384,0.008318,-0.7872,1774036714000
okx,bybit,WAXPUSDT,0.008384,0.008318,-0.7872,1774036715000
okx,bybit,WAXPUSDT,0.008384,0.008316,-0.8111,1774036716000
okx,bybit,WAXPUSDT,0.008384,0.008316,-0.8111,1774036717000
okx,bybit,WAXPUSDT,0.008384,0.008316,-0.8111,1774036718000
okx,bybit,WAXPUSDT,0.008384,0.008316,-0.8111,1774036719000
okx,bybit,WAXPUSDT,0.008384,0.008317,-0.7991,1774036720000
okx,bybit,WAXPUSDT,0.008384,0.008312,-0.8588,1774036721000
okx,bybit,WAXPUSDT,0.008381,0.008319,-0.7398,1774036722000
okx,bybit,WAXPUSDT,0.008381,0.008317,-0.7636,1774036723000
okx,bybit,WAXPUSDT,0.008381,0.00832,-0.7278,1774036724000
okx,bybit,WAXPUSDT,0.008381,0.008319,-0.7398,1774036725000
okx,bybit,WAXPUSDT,0.008381,0.008319,-0.7398,1774036726000
okx,bybit,WAXPUSDT,0.008381,0.008319,-0.7398,1774036727000
okx,bybit,WAXPUSDT,0.008381,0.008319,-0.7398,1774036728000
okx,bybit,WAXPUSDT,0.008381,0.00832,-0.7278,1774036729000
okx,bybit,WAXPUSDT,0.008381,0.008328,-0.6324,1774036730000
okx,bybit,WAXPUSDT,0.008381,0.008325,-0.6682,1774036731000
okx,bybit,WAXPUSDT,0.008381,0.008323,-0.692,1774036732000
okx,bybit,WAXPUSDT,0.008381,0.00833,-0.6085,1774036733000
okx,bybit,WAXPUSDT,0.008381,0.008337,-0.525,1774036734000
okx,bybit,WAXPUSDT,0.008386,0.008352,-0.4054,1774036735000
okx,bybit,WAXPUSDT,0.008389,0.008353,-0.4291,1774036736000
okx,bybit,WAXPUSDT,0.008389,0.00835,-0.4649,1774036737000
okx,bybit,WAXPUSDT,0.008389,0.008344,-0.5364,1774036740000
okx,bybit,WAXPUSDT,0.008389,0.008342,-0.5603,1774036746000
okx,bybit,WAXPUSDT,0.008389,0.008342,-0.5603,1774036747000
okx,bybit,WAXPUSDT,0.008396,0.00834,-0.667,1774036748000
okx,bybit,WAXPUSDT,0.008396,0.008347,-0.5836,1774036749000
okx,bybit,WAXPUSDT,0.008396,0.008348,-0.5717,1774036750000
okx,bybit,WAXPUSDT,0.008406,0.008346,-0.7138,1774036751000
okx,bybit,WAXPUSDT,0.008406,0.008346,-0.7138,1774036752000
okx,bybit,WAXPUSDT,0.008406,0.008349,-0.6781,1774036753000
okx,bybit,WAXPUSDT,0.008406,0.008347,-0.7019,1774036754000
okx,bybit,WAXPUSDT,0.008406,0.008351,-0.6543,1774036755000
okx,bybit,WAXPUSDT,0.008406,0.00835,-0.6662,1774036756000
okx,bybit,WAXPUSDT,0.008406,0.008348,-0.69,1774036757000
okx,bybit,WAXPUSDT,0.008406,0.008348,-0.69,1774036758000
okx,bybit,WAXPUSDT,0.008406,0.008349,-0.6781,1774036759000
okx,bybit,WAXPUSDT,0.008406,0.008349,-0.6781,1774036760000
okx,bybit,WAXPUSDT,0.008406,0.00835,-0.6662,1774036761000
okx,bybit,WAXPUSDT,0.008407,0.008352,-0.6542,1774036762000
okx,bybit,WAXPUSDT,0.008407,0.008349,-0.6899,1774036763000
okx,bybit,WAXPUSDT,0.008407,0.008351,-0.6661,1774036764000
okx,bybit,WAXPUSDT,0.008407,0.008352,-0.6542,1774036765000
okx,bybit,WAXPUSDT,0.008407,0.00835,-0.678,1774036766000
okx,bybit,WAXPUSDT,0.008407,0.00835,-0.678,1774036767000
okx,bybit,WAXPUSDT,0.008407,0.008348,-0.7018,1774036768000
okx,bybit,WAXPUSDT,0.008407,0.008347,-0.7137,1774036769000
okx,bybit,WAXPUSDT,0.008407,0.008349,-0.6899,1774036770000
okx,bybit,WAXPUSDT,0.008407,0.008348,-0.7018,1774036771000
okx,bybit,WAXPUSDT,0.008407,0.00835,-0.678,1774036777000
okx,bybit,WAXPUSDT,0.008407,0.008348,-0.7018,1774036778000
okx,bybit,WAXPUSDT,0.008407,0.008348,-0.7018,1774036779000
okx,bybit,WAXPUSDT,0.008407,0.008359,-0.571,1774036780000
okx,bybit,WAXPUSDT,0.008407,0.008363,-0.5234,1774036783000
okx,bybit,WAXPUSDT,0.008408,0.008363,-0.5352,1774036784000
okx,bybit,WAXPUSDT,0.008408,0.008363,-0.5352,1774036785000
okx,bybit,WAXPUSDT,0.008407,0.008358,-0.5828,1774036786000
okx,bybit,WAXPUSDT,0.008404,0.00835,-0.6426,1774036787000
okx,bybit,WAXPUSDT,0.008397,0.008351,-0.5478,1774036788000
