spot_exch,fut_exch,symbol,ask_spot,bid_futures,spread_pct,ts
okx,gate,WAXPUSDT,0.008352,0.008303,-0.5867,1774036579000
okx,gate,WAXPUSDT,0.008352,0.008304,-0.5747,1774036581000
okx,gate,WAXPUSDT,0.008352,0.008304,-0.5747,1774036583000
okx,gate,WAXPUSDT,0.008352,0.008304,-0.5747,1774036585000
okx,gate,WAXPUSDT,0.008352,0.008308,-0.5268,1774036586000
okx,gate,WAXPUSDT,0.008352,0.008304,-0.5747,1774036587000
okx,gate,WAXPUSDT,0.008352,0.008301,-0.6106,1774036588000
okx,gate,WAXPUSDT,0.008352,0.008302,-0.5987,1774036590000
okx,gate,WAXPUSDT,0.008355,0.008299,-0.6703,1774036599000
okx,gate,WAXPUSDT,0.008354,0.008302,-0.6225,1774036600000
okx,gate,WAXPUSDT,0.008354,0.0083,-0.6464,1774036601000
okx,gate,WAXPUSDT,0.008354,0.0083,-0.6464,1774036606000
okx,gate,WAXPUSDT,0.008354,0.0083,-0.6464,1774036610000
okx,gate,WAXPUSDT,0.008354,0.0083,-0.6464,1774036613000
okx,gate,WAXPUSDT,0.008354,0.0083,-0.6464,1774036614000
okx,gate,WAXPUSDT,0.008354,0.008294,-0.7182,1774036616000
okx,gate,WAXPUSDT,0.008345,0.008292,-0.6351,1774036619000
okx,gate,WAXPUSDT,0.008345,0.008289,-0.6711,1774036620000
okx,gate,WAXPUSDT,0.008344,0.008293,-0.6112,1774036621000
okx,gate,WAXPUSDT,0.008344,0.008292,-0.6232,1774036622000
okx,gate,WAXPUSDT,0.008344,0.008292,-0.6232,1774036625000
okx,gate,WAXPUSDT,0.008344,0.008295,-0.5872,1774036635000
okx,gate,WAXPUSDT,0.008344,0.008293,-0.6112,1774036645000
okx,gate,WAXPUSDT,0.008344,0.008293,-0.6112,1774036646000
okx,gate,WAXPUSDT,0.008344,0.008293,-0.6112,1774036647000
okx,gate,WAXPUSDT,0.008344,0.008293,-0.6112,1774036648000
okx,gate,WAXPUSDT,0.008344,0.008294,-0.5992,1774036649000
okx,gate,WAXPUSDT,0.008344,0.008294,-0.5992,1774036651000
okx,gate,WAXPUSDT,0.008344,0.0083,-0.5273,1774036664000
okx,gate,WAXPUSDT,0.008344,0.008303,-0.4914,1774036665000
okx,gate,WAXPUSDT,0.008344,0.008306,-0.4554,1774036668000
okx,gate,WAXPUSDT,0.008344,0.008306,-0.4554,1774036669000
okx,gate,WAXPUSDT,0.008346,0.008306,-0.4793,1774036680000
okx,gate,WAXPUSDT,0.008345,0.0083,-0.5392,1774036681000
okx,gate,WAXPUSDT,0.008346,0.0083,-0.5512,1774036682000
okx,gate,WAXPUSDT,0.008346,0.008305,-0.4913,1774036690000
okx,gate,WAXPUSDT,0.008346,0.00831,-0.4313,1774036691000
okx,gate,WAXPUSDT,0.008375,0.008313,-0.7403,1774036701000
okx,gate,WAXPUSDT,0.008376,0.00833,-0.5492,1774036702000
okx,gate,WAXPUSDT,0.008378,0.00833,-0.5729,1774036704000
okx,gate,WAXPUSDT,0.008377,0.00832,-0.6804,1774036706000
okx,gate,WAXPUSDT,0.008377,0.00832,-0.6804,1774036708000
okx,gate,WAXPUSDT,0.008384,0.008325,-0.7037,1774036709000
okx,gate,WAXPUSDT,0.008384,0.008325,-0.7037,1774036710000
okx,gate,WAXPUSDT,0.008384,0.008325,-0.7037,1774036711000
okx,gate,WAXPUSDT,0.008384,0.008327,-0.6799,1774036712000
okx,gate,WAXPUSDT,0.008384,0.008322,-0.7395,1774036713000
okx,gate,WAXPUSDT,0.008384,0.008323,-0.7276,1774036714000
okx,gate,WAXPUSDT,0.008384,0.008323,-0.7276,1774036715000
okx,gate,WAXPUSDT,0.008384,0.008323,-0.7276,1774036716000
okx,gate,WAXPUSDT,0.008384,0.008323,-0.7276,1774036717000
okx,gate,WAXPUSDT,0.008384,0.008323,-0.7276,1774036718000
okx,gate,WAXPUSDT,0.008384,0.008327,-0.6799,1774036719000
okx,gate,WAXPUSDT,0.008384,0.008324,-0.7156,1774036720000
okx,gate,WAXPUSDT,0.008384,0.008321,-0.7514,1774036721000
okx,gate,WAXPUSDT,0.008381,0.008319,-0.7398,1774036722000
okx,gate,WAXPUSDT,0.008381,0.008324,-0.6801,1774036723000
okx,gate,WAXPUSDT,0.008381,0.008327,-0.6443,1774036724000
okx,gate,WAXPUSDT,0.008381,0.008327,-0.6443,1774036725000
okx,gate,WAXPUSDT,0.008381,0.008327,-0.6443,1774036726000
okx,gate,WAXPUSDT,0.008381,0.008327,-0.6443,1774036727000
okx,gate,WAXPUSDT,0.008381,0.008327,-0.6443,1774036728000
okx,gate,WAXPUSDT,0.008381,0.008327,-0.6443,1774036729000
okx,gate,WAXPUSDT,0.008381,0.008327,-0.6443,1774036730000
okx,gate,WAXPUSDT,0.008381,0.008331,-0.5966,1774036731000
okx,gate,WAXPUSDT,0.008381,0.008331,-0.5966,1774036732000
okx,gate,WAXPUSDT,0.008381,0.008332,-0.5847,1774036733000
okx,gate,WAXPUSDT,0.008381,0.008345,-0.4295,1774036734000
okx,gate,WAXPUSDT,0.008386,0.008356,-0.3577,1774036735000
