spot_exch,fut_exch,symbol,ask_spot,bid_futures,spread_pct,ts
binance,bybit,SXPUSDT,0.00800000,0.00815,1.875,1774044608568
binance,bybit,SXPUSDT,0.00800000,0.00815,1.875,1774044608868
binance,bybit,SXPUSDT,0.00800000,0.00815,1.875,1774044609170
binance,bybit,SXPUSDT,0.00800000,0.00815,1.875,1774044609474
binance,bybit,SXPUSDT,0.00800000,0.00815,1.875,1774044609778
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044610078
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044610378
binance,bybit,SXPUSDT,0.00800000,0.00812,1.5,1774044610679
binance,bybit,SXPUSDT,0.00800000,0.00812,1.5,1774044610979
binance,bybit,SXPUSDT,0.00800000,0.00812,1.5,1774044611279
binance,bybit,SXPUSDT,0.00800000,0.00812,1.5,1774044611579
binance,bybit,SXPUSDT,0.00800000,0.00812,1.5,1774044611880
binance,bybit,SXPUSDT,0.00800000,0.00812,1.5,1774044612180
binance,bybit,SXPUSDT,0.00800000,0.00812,1.5,1774044612480
binance,bybit,SXPUSDT,0.00800000,0.00812,1.5,1774044612780
binance,bybit,SXPUSDT,0.00800000,0.00812,1.5,1774044613080
binance,bybit,SXPUSDT,0.00800000,0.00812,1.5,1774044613380
binance,bybit,SXPUSDT,0.00800000,0.00812,1.5,1774044613680
binance,bybit,SXPUSDT,0.00800000,0.00812,1.5,1774044613981
binance,bybit,SXPUSDT,0.00800000,0.00812,1.5,1774044614282
binance,bybit,SXPUSDT,0.00800000,0.00812,1.5,1774044614582
binance,bybit,SXPUSDT,0.00800000,0.00812,1.5,1774044614882
binance,bybit,SXPUSDT,0.00800000,0.00812,1.5,1774044615182
binance,bybit,SXPUSDT,0.00800000,0.00812,1.5,1774044615482
binance,bybit,SXPUSDT,0.00800000,0.00812,1.5,1774044615782
binance,bybit,SXPUSDT,0.00800000,0.00812,1.5,1774044616082
binance,bybit,SXPUSDT,0.00800000,0.00812,1.5,1774044616382
binance,bybit,SXPUSDT,0.00800000,0.00812,1.5,1774044616682
binance,bybit,SXPUSDT,0.00800000,0.00812,1.5,1774044616983
binance,bybit,SXPUSDT,0.00800000,0.00812,1.5,1774044617294
binance,bybit,SXPUSDT,0.00800000,0.00812,1.5,1774044617609
binance,bybit,SXPUSDT,0.00800000,0.00812,1.5,1774044617923
binance,bybit,SXPUSDT,0.00800000,0.00812,1.5,1774044618235
binance,bybit,SXPUSDT,0.00800000,0.00812,1.5,1774044618550
binance,bybit,SXPUSDT,0.00800000,0.00812,1.5,1774044618858
binance,bybit,SXPUSDT,0.00800000,0.00812,1.5,1774044619164
binance,bybit,SXPUSDT,0.00800000,0.00812,1.5,1774044619467
binance,bybit,SXPUSDT,0.00800000,0.00812,1.5,1774044619768
binance,bybit,SXPUSDT,0.00800000,0.00812,1.5,1774044620069
binance,bybit,SXPUSDT,0.00800000,0.00812,1.5,1774044620369
binance,bybit,SXPUSDT,0.00800000,0.00812,1.5,1774044620669
binance,bybit,SXPUSDT,0.00800000,0.00812,1.5,1774044620969
binance,bybit,SXPUSDT,0.00800000,0.00812,1.5,1774044621270
binance,bybit,SXPUSDT,0.00800000,0.00812,1.5,1774044621570
binance,bybit,SXPUSDT,0.00800000,0.00812,1.5,1774044621870
binance,bybit,SXPUSDT,0.00800000,0.00813,1.625,1774044622171
binance,bybit,SXPUSDT,0.00800000,0.00813,1.625,1774044622480
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044622787
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044623087
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044623387
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044623688
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044623988
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044624288
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044624588
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044624889
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044625190
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044625490
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044625790
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044626090
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044626391
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044626691
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044626991
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044627291
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044627591
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044627892
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044628192
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044628492
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044628792
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044629093
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044629393
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044629694
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044629994
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044630295
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044630600
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044630906
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044631206
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044631510
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044631810
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044632111
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044632414
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044632715
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044633016
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044633322
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044633624
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044633927
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044634229
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044634534
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044634843
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044635153
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044635468
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044635782
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044636088
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044636391
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044636692
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044636993
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044637293
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044637595
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044637906
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044638211
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044638514
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044638816
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044639117
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044639421
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044639725
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044640026
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044640327
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044640628
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044640928
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044641229
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044641531
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044641831
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044642131
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044642433
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044642741
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044643041
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044643341
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044643641
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044643942
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044644245
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044644545
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044644846
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044645147
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044645447
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044645747
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044646061
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044646361
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044646662
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044646962
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044647262
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044647562
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044647862
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044648162
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044648463
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044648763
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044649064
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044649364
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044649664
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044649964
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044650264
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044650564
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044650865
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044651165
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044651465
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044651765
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044652073
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044652377
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044652677
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044652977
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044653278
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044653578
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044653878
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044654179
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044654479
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044654779
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044655079
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044655379
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044655679
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044655979
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044656280
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044656580
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044656881
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044657181
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044657481
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044657781
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044658081
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044658382
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044658682
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044658982
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044659282
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044659592
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044659892
binance,bybit,SXPUSDT,0.00800000,0.00814,1.75,1774044660193
binance,bybit,SXPUSDT,0.00800000,0.00812,1.5,1774044660493
binance,bybit,SXPUSDT,0.00800000,0.00812,1.5,1774044660804
binance,bybit,SXPUSDT,0.00800000,0.00812,1.5,1774044661116
binance,bybit,SXPUSDT,0.00800000,0.00812,1.5,1774044661420
binance,bybit,SXPUSDT,0.00800000,0.00812,1.5,1774044661731
binance,bybit,SXPUSDT,0.00800000,0.00812,1.5,1774044662038
binance,bybit,SXPUSDT,0.00800000,0.00812,1.5,1774044662341
binance,bybit,SXPUSDT,0.00800000,0.00812,1.5,1774044662641
binance,bybit,SXPUSDT,0.00800000,0.00812,1.5,1774044662942
binance,bybit,SXPUSDT,0.00800000,0.00812,1.5,1774044663242
binance,bybit,SXPUSDT,0.00800000,0.00812,1.5,1774044663542
binance,bybit,SXPUSDT,0.00800000,0.00812,1.5,1774044663842
binance,bybit,SXPUSDT,0.00800000,0.00812,1.5,1774044664149
binance,bybit,SXPUSDT,0.00800000,0.00812,1.5,1774044664449
binance,bybit,SXPUSDT,0.00800000,0.00812,1.5,1774044664750
binance,bybit,SXPUSDT,0.00800000,0.00812,1.5,1774044665050
binance,bybit,SXPUSDT,0.00800000,0.00812,1.5,1774044665351
binance,bybit,SXPUSDT,0.00800000,0.00812,1.5,1774044665651
binance,bybit,SXPUSDT,0.00800000,0.00812,1.5,1774044665951
binance,bybit,SXPUSDT,0.00800000,0.00812,1.5,1774044666251
binance,bybit,SXPUSDT,0.00800000,0.00812,1.5,1774044666561
binance,bybit,SXPUSDT,0.00800000,0.00812,1.5,1774044666872
binance,bybit,SXPUSDT,0.00800000,0.00812,1.5,1774044667191
