spot_exch,fut_exch,symbol,ask_spot,bid_futures,spread_pct,ts
gate,binance,BASUSDT,0.00979,0.0097910,0.0102,1774043217000
gate,binance,BASUSDT,0.00979,0.0097910,0.0102,1774043220000
gate,binance,BASUSDT,0.009785,0.0097910,0.0613,1774043221000
gate,binance,BASUSDT,0.009778,0.0097860,0.0818,1774043222000
gate,binance,BASUSDT,0.009779,0.0097860,0.0716,1774043223000
gate,binance,BASUSDT,0.009778,0.0097830,0.0511,1774043224000
gate,binance,BASUSDT,0.009847,0.0097830,-0.6499,1774043236000
gate,binance,BASUSDT,0.009786,0.0097860,0.0,1774043237000
gate,binance,BASUSDT,0.009785,0.0097860,0.0102,1774043238000
gate,binance,BASUSDT,0.009785,0.0097860,0.0102,1774043244000
gate,binance,BASUSDT,0.009784,0.0097860,0.0204,1774043246000
gate,binance,BASUSDT,0.009783,0.0097810,-0.0204,1774043247000
gate,binance,BASUSDT,0.009777,0.0097810,0.0409,1774043248000
gate,binance,BASUSDT,0.009773,0.0097760,0.0307,1774043251000
gate,binance,BASUSDT,0.009761,0.0097620,0.0102,1774043252000
gate,binance,BASUSDT,0.009767,0.0097620,-0.0512,1774043262000
gate,binance,BASUSDT,0.00976,0.0097520,-0.082,1774043265000
gate,binance,BASUSDT,0.009755,0.0097510,-0.041,1774043269000
gate,binance,BASUSDT,0.00975,0.0097420,-0.0821,1774043271000
gate,binance,BASUSDT,0.009748,0.0097410,-0.0718,1774043274000
gate,binance,BASUSDT,0.009748,0.0097440,-0.041,1774043276000
gate,binance,BASUSDT,0.009747,0.0097420,-0.0513,1774043277000
gate,binance,BASUSDT,0.009723,0.0097240,0.0103,1774043278000
gate,binance,BASUSDT,0.009729,0.0097250,-0.0411,1774043279000
gate,binance,BASUSDT,0.009738,0.0097310,-0.0719,1774043283000
gate,binance,BASUSDT,0.009747,0.0097410,-0.0616,1774043284000
gate,binance,BASUSDT,0.009771,0.0097610,-0.1023,1774043285000
gate,binance,BASUSDT,0.00973,0.0097520,0.2261,1774043286000
gate,binance,BASUSDT,0.00973,0.0097540,0.2467,1774043289000
gate,binance,BASUSDT,0.009759,0.0097580,-0.0102,1774043290000
gate,binance,BASUSDT,0.009749,0.0097580,0.0923,1774043291000
gate,binance,BASUSDT,0.009748,0.0097590,0.1128,1774043292000
gate,binance,BASUSDT,0.009747,0.0097590,0.1231,1774043293000
gate,binance,BASUSDT,0.009762,0.0097690,0.0717,1774043295000
gate,binance,BASUSDT,0.009762,0.0097680,0.0615,1774043301000
gate,binance,BASUSDT,0.009743,0.0097260,-0.1745,1774043305000
gate,binance,BASUSDT,0.009736,0.0097510,0.1541,1774043308000
gate,binance,BASUSDT,0.009741,0.0097540,0.1335,1774043309000
gate,binance,BASUSDT,0.009747,0.0097540,0.0718,1774043310000
gate,binance,BASUSDT,0.009749,0.0097590,0.1026,1774043317000
gate,binance,BASUSDT,0.009747,0.0097400,-0.0718,1774043318000
gate,binance,BASUSDT,0.009727,0.0097340,0.072,1774043319000
gate,binance,BASUSDT,0.009724,0.0097370,0.1337,1774043321000
gate,binance,BASUSDT,0.009733,0.0097370,0.0411,1774043322000
gate,binance,BASUSDT,0.009734,0.0097370,0.0308,1774043326000
gate,binance,BASUSDT,0.009732,0.0097370,0.0514,1774043336000
gate,binance,BASUSDT,0.00973,0.0097370,0.0719,1774043339000
gate,binance,BASUSDT,0.009736,0.0097370,0.0103,1774043343000
gate,binance,BASUSDT,0.009724,0.0097410,0.1748,1774043353000
gate,binance,BASUSDT,0.00973,0.0097410,0.1131,1774043355000
gate,binance,BASUSDT,0.009723,0.0097410,0.1851,1774043358000
gate,binance,BASUSDT,0.009706,0.0096990,-0.0721,1774043360000
gate,binance,BASUSDT,0.009718,0.0097090,-0.0926,1774043362000
gate,binance,BASUSDT,0.009707,0.0097090,0.0206,1774043365000
gate,binance,BASUSDT,0.009705,0.0097110,0.0618,1774043373000
gate,binance,BASUSDT,0.009709,0.0097100,0.0103,1774043379000
gate,binance,BASUSDT,0.009709,0.0097080,-0.0103,1774043382000
gate,binance,BASUSDT,0.009702,0.0097100,0.0825,1774043383000
gate,binance,BASUSDT,0.009706,0.0097110,0.0515,1774043384000
gate,binance,BASUSDT,0.009704,0.0097120,0.0824,1774043385000
gate,binance,BASUSDT,0.009703,0.0097140,0.1134,1774043394000
gate,binance,BASUSDT,0.009712,0.0097030,-0.0927,1774043395000
gate,binance,BASUSDT,0.009703,0.0097060,0.0309,1774043400000
gate,binance,BASUSDT,0.009703,0.0097110,0.0824,1774043401000
gate,binance,BASUSDT,0.009696,0.0097040,0.0825,1774043403000
gate,binance,BASUSDT,0.009684,0.0096960,0.1239,1774043404000
gate,binance,BASUSDT,0.009684,0.0096880,0.0413,1774043407000
gate,binance,BASUSDT,0.009684,0.0096880,0.0413,1774043409000
gate,binance,BASUSDT,0.009682,0.0096890,0.0723,1774043414000
gate,binance,BASUSDT,0.009711,0.0096940,-0.1751,1774043415000
gate,binance,BASUSDT,0.009688,0.0096980,0.1032,1774043417000
gate,binance,BASUSDT,0.009714,0.0097000,-0.1441,1774043418000
gate,binance,BASUSDT,0.009694,0.0097010,0.0722,1774043419000
gate,binance,BASUSDT,0.009703,0.0097070,0.0412,1774043420000
gate,binance,BASUSDT,0.009682,0.0096980,0.1653,1774043421000
gate,binance,BASUSDT,0.009686,0.0096990,0.1342,1774043424000
gate,binance,BASUSDT,0.009701,0.0097160,0.1546,1774043425000
gate,binance,BASUSDT,0.009701,0.0097140,0.134,1774043431000
gate,binance,BASUSDT,0.009688,0.0097050,0.1755,1774043432000
gate,binance,BASUSDT,0.009704,0.0097170,0.134,1774043435000
gate,binance,BASUSDT,0.009694,0.0097040,0.1032,1774043436000
gate,binance,BASUSDT,0.009693,0.0097040,0.1135,1774043441000
gate,binance,BASUSDT,0.009694,0.0097040,0.1032,1774043444000
gate,binance,BASUSDT,0.009705,0.0097030,-0.0206,1774043446000
gate,binance,BASUSDT,0.009698,0.0097030,0.0516,1774043447000
gate,binance,BASUSDT,0.009695,0.0097060,0.1135,1774043461000
gate,binance,BASUSDT,0.009693,0.0097030,0.1032,1774043465000
gate,binance,BASUSDT,0.009692,0.0096990,0.0722,1774043471000
gate,binance,BASUSDT,0.0097,0.0096990,-0.0103,1774043478000
gate,binance,BASUSDT,0.009697,0.0097030,0.0619,1774043482000
gate,binance,BASUSDT,0.009687,0.0097000,0.1342,1774043487000
gate,binance,BASUSDT,0.009697,0.0096990,0.0206,1774043489000
gate,binance,BASUSDT,0.009687,0.0096990,0.1239,1774043492000
gate,binance,BASUSDT,0.00968,0.0096850,0.0517,1774043496000
gate,binance,BASUSDT,0.009688,0.0096910,0.031,1774043497000
gate,binance,BASUSDT,0.009698,0.0096910,-0.0722,1774043498000
gate,binance,BASUSDT,0.009691,0.0096910,0.0,1774043500000
gate,binance,BASUSDT,0.009691,0.0096950,0.0413,1774043501000
gate,binance,BASUSDT,0.009708,0.0096990,-0.0927,1774043502000
gate,binance,BASUSDT,0.009704,0.0096990,-0.0515,1774043503000
gate,binance,BASUSDT,0.009695,0.0097010,0.0619,1774043526000
gate,binance,BASUSDT,0.009695,0.0097000,0.0516,1774043530000
gate,binance,BASUSDT,0.009704,0.0097030,-0.0103,1774043550000
gate,binance,BASUSDT,0.009699,0.0096990,0.0,1774043575000
gate,binance,BASUSDT,0.009699,0.0097100,0.1134,1774043576000
gate,binance,BASUSDT,0.009696,0.0096940,-0.0206,1774043578000
gate,binance,BASUSDT,0.009695,0.0096950,0.0,1774043580000
gate,binance,BASUSDT,0.009693,0.0096990,0.0619,1774043581000
gate,binance,BASUSDT,0.009691,0.0096990,0.0826,1774043585000
gate,binance,BASUSDT,0.009699,0.0096940,-0.0516,1774043589000
gate,binance,BASUSDT,0.009691,0.0096940,0.031,1774043592000
gate,binance,BASUSDT,0.009691,0.0096940,0.031,1774043594000
gate,binance,BASUSDT,0.00969,0.0096940,0.0413,1774043595000
gate,binance,BASUSDT,0.009689,0.0096940,0.0516,1774043600000
gate,binance,BASUSDT,0.009688,0.0096930,0.0516,1774043606000
gate,binance,BASUSDT,0.009685,0.0096850,0.0,1774043607000
gate,binance,BASUSDT,0.009677,0.0096740,-0.031,1774043610000
gate,binance,BASUSDT,0.009675,0.0096740,-0.0103,1774043613000
gate,binance,BASUSDT,0.009676,0.0096720,-0.0413,1774043616000
gate,binance,BASUSDT,0.00968,0.0096720,-0.0826,1774043619000
gate,binance,BASUSDT,0.009677,0.0096720,-0.0517,1774043621000
gate,binance,BASUSDT,0.009756,0.0096720,-0.861,1774043630000
gate,binance,BASUSDT,0.009686,0.0096750,-0.1136,1774043640000
gate,binance,BASUSDT,0.009692,0.0096820,-0.1032,1774043645000
gate,binance,BASUSDT,0.009683,0.0096820,-0.0103,1774043650000
gate,binance,BASUSDT,0.009677,0.0096820,0.0517,1774043679000
gate,binance,BASUSDT,0.009678,0.0096750,-0.031,1774043688000
gate,binance,BASUSDT,0.009676,0.0096720,-0.0413,1774043694000
gate,binance,BASUSDT,0.009674,0.0096770,0.031,1774043699000
gate,binance,BASUSDT,0.009675,0.0096750,0.0,1774043701000
gate,binance,BASUSDT,0.009679,0.0096750,-0.0413,1774043703000
gate,binance,BASUSDT,0.009677,0.0096750,-0.0207,1774043704000
gate,binance,BASUSDT,0.009686,0.0096900,0.0413,1774043705000
gate,binance,BASUSDT,0.009687,0.0096900,0.031,1774043706000
gate,binance,BASUSDT,0.009701,0.0096960,-0.0515,1774043707000
gate,binance,BASUSDT,0.009694,0.0096970,0.0309,1774043710000
gate,binance,BASUSDT,0.009694,0.0096960,0.0206,1774043715000
gate,binance,BASUSDT,0.009693,0.0096960,0.031,1774043720000
gate,binance,BASUSDT,0.009693,0.0097000,0.0722,1774043727000
gate,binance,BASUSDT,0.009693,0.0097010,0.0825,1774043734000
gate,binance,BASUSDT,0.009697,0.0097000,0.0309,1774043738000
gate,binance,BASUSDT,0.009715,0.0097100,-0.0515,1774043739000
gate,binance,BASUSDT,0.009707,0.0097080,0.0103,1774043741000
gate,binance,BASUSDT,0.009707,0.0097100,0.0309,1774043750000
