spot_exch,fut_exch,symbol,ask_spot,bid_futures,spread_pct,ts
gate,binance,QUSDT,0.012921,0.0129330,0.0929,1774044602000
gate,binance,QUSDT,0.012919,0.0129340,0.1161,1774044608000
gate,binance,QUSDT,0.012912,0.0129380,0.2014,1774044616000
gate,binance,QUSDT,0.012899,0.0129200,0.1628,1774044638000
gate,binance,QUSDT,0.012921,0.0129130,-0.0619,1774044672000
gate,binance,QUSDT,0.012901,0.0129150,0.1085,1774044715000
gate,binance,QUSDT,0.012901,0.0129140,0.1008,1774044716000
gate,binance,QUSDT,0.012893,0.0129030,0.0776,1774044717000
gate,binance,QUSDT,0.012893,0.0129060,0.1008,1774044720000
gate,binance,QUSDT,0.012921,0.0129090,-0.0929,1774044721000
gate,binance,QUSDT,0.012893,0.0129090,0.1241,1774044722000
gate,binance,QUSDT,0.01289,0.0129080,0.1396,1774044723000
gate,binance,QUSDT,0.012889,0.0129080,0.1474,1774044724000
gate,binance,QUSDT,0.012921,0.0129080,-0.1006,1774044725000
gate,binance,QUSDT,0.012896,0.0129100,0.1086,1774044726000
gate,binance,QUSDT,0.01289,0.0129100,0.1552,1774044727000
gate,binance,QUSDT,0.012894,0.0129120,0.1396,1774044728000
gate,binance,QUSDT,0.012892,0.0129120,0.1551,1774044729000
gate,binance,QUSDT,0.01289,0.0129120,0.1707,1774044730000
gate,binance,QUSDT,0.012889,0.0129080,0.1474,1774044733000
gate,binance,QUSDT,0.01289,0.0129080,0.1396,1774044744000
gate,binance,QUSDT,0.012887,0.0129080,0.163,1774044745000
gate,binance,QUSDT,0.012885,0.0129070,0.1707,1774044746000
gate,binance,QUSDT,0.012886,0.0129040,0.1397,1774044756000
gate,binance,QUSDT,0.01289,0.0129060,0.1241,1774044780000
gate,binance,QUSDT,0.01289,0.0129110,0.1629,1774044782000
gate,binance,QUSDT,0.012908,0.0129100,0.0155,1774044795000
gate,binance,QUSDT,0.01289,0.0129030,0.1009,1774044796000
gate,binance,QUSDT,0.012892,0.0129050,0.1008,1774044803000
gate,binance,QUSDT,0.012884,0.0129020,0.1397,1774044829000
gate,binance,QUSDT,0.012753,0.0129030,1.1762,1774044829543
gate,binance,QUSDT,0.012744,0.0129030,1.2476,1774044829859
gate,binance,QUSDT,0.012816,0.0129030,0.6788,1774044830165
gate,binance,QUSDT,0.012758,0.0129030,1.1365,1774044830472
gate,binance,QUSDT,0.012757,0.0129030,1.1445,1774044830775
gate,binance,QUSDT,0.012758,0.0129030,1.1365,1774044831081
gate,binance,QUSDT,0.012772,0.0129030,1.0257,1774044831386
gate,binance,QUSDT,0.012765,0.0129030,1.0811,1774044831688
gate,binance,QUSDT,0.012758,0.0129030,1.1365,1774044831995
gate,binance,QUSDT,0.012758,0.0129030,1.1365,1774044832300
gate,binance,QUSDT,0.012744,0.0129030,1.2476,1774044832619
gate,binance,QUSDT,0.012744,0.0129030,1.2476,1774044832929
gate,binance,QUSDT,0.012753,0.0128990,1.1448,1774044833239
gate,binance,QUSDT,0.012753,0.0128990,1.1448,1774044833545
gate,binance,QUSDT,0.012769,0.0128990,1.0181,1774044833850
gate,binance,QUSDT,0.012761,0.0128990,1.0814,1774044834157
gate,binance,QUSDT,0.012761,0.0128990,1.0814,1774044834463
gate,binance,QUSDT,0.012761,0.0128990,1.0814,1774044834782
gate,binance,QUSDT,0.012761,0.0128990,1.0814,1774044835090
gate,binance,QUSDT,0.012761,0.0127580,-0.0235,1774044835403
gate,binance,QUSDT,0.012761,0.0127900,0.2273,1774044835720
gate,binance,QUSDT,0.012761,0.0127730,0.094,1774044836032
gate,binance,QUSDT,0.012761,0.0127780,0.1332,1774044836339
gate,binance,QUSDT,0.012761,0.0127780,0.1332,1774044836640
gate,binance,QUSDT,0.012761,0.0127780,0.1332,1774044836940
gate,binance,QUSDT,0.012761,0.0127780,0.1332,1774044837240
gate,binance,QUSDT,0.012761,0.0127780,0.1332,1774044837540
gate,binance,QUSDT,0.012761,0.0127780,0.1332,1774044837843
gate,binance,QUSDT,0.012761,0.0127780,0.1332,1774044838143
gate,binance,QUSDT,0.012761,0.0127780,0.1332,1774044838444
gate,binance,QUSDT,0.012761,0.0127780,0.1332,1774044838744
gate,binance,QUSDT,0.012761,0.0127730,0.094,1774044839052
gate,binance,QUSDT,0.012761,0.0127750,0.1097,1774044839352
gate,binance,QUSDT,0.012734,0.0127700,0.2827,1774044839655
gate,binance,QUSDT,0.012734,0.0127700,0.2827,1774044839955
gate,binance,QUSDT,0.012734,0.0127700,0.2827,1774044840267
gate,binance,QUSDT,0.012735,0.0127710,0.2827,1774044840574
gate,binance,QUSDT,0.012732,0.0127710,0.3063,1774044840886
gate,binance,QUSDT,0.012732,0.0127660,0.267,1774044841191
gate,binance,QUSDT,0.012732,0.0127650,0.2592,1774044841498
gate,binance,QUSDT,0.012732,0.0127630,0.2435,1774044841803
gate,binance,QUSDT,0.012735,0.0127630,0.2199,1774044842108
gate,binance,QUSDT,0.012721,0.0127630,0.3302,1774044842414
gate,binance,QUSDT,0.012734,0.0127630,0.2277,1774044842718
gate,binance,QUSDT,0.012721,0.0127630,0.3302,1774044843025
gate,binance,QUSDT,0.012735,0.0127630,0.2199,1774044843328
gate,binance,QUSDT,0.012735,0.0127650,0.2356,1774044843633
gate,binance,QUSDT,0.012735,0.0127650,0.2356,1774044843936
gate,binance,QUSDT,0.012734,0.0127650,0.2434,1774044844238
gate,binance,QUSDT,0.012734,0.0127650,0.2434,1774044844554
gate,binance,QUSDT,0.012734,0.0127650,0.2434,1774044844857
gate,binance,QUSDT,0.012734,0.0127650,0.2434,1774044845157
gate,binance,QUSDT,0.012734,0.0127650,0.2434,1774044845467
gate,binance,QUSDT,0.012734,0.0127610,0.212,1774044845768
gate,binance,QUSDT,0.012734,0.0127610,0.212,1774044846068
gate,binance,QUSDT,0.012734,0.0127610,0.212,1774044846368
gate,binance,QUSDT,0.012734,0.0127610,0.212,1774044846668
gate,binance,QUSDT,0.012734,0.0127610,0.212,1774044846968
gate,binance,QUSDT,0.012734,0.0127610,0.212,1774044847268
gate,binance,QUSDT,0.012734,0.0127610,0.212,1774044847570
gate,binance,QUSDT,0.012734,0.0127610,0.212,1774044847871
gate,binance,QUSDT,0.012734,0.0127610,0.212,1774044848171
gate,binance,QUSDT,0.012734,0.0127610,0.212,1774044848482
gate,binance,QUSDT,0.012735,0.0127610,0.2042,1774044848792
gate,binance,QUSDT,0.012735,0.0127640,0.2277,1774044849093
gate,binance,QUSDT,0.012735,0.0127630,0.2199,1774044849393
gate,binance,QUSDT,0.012734,0.0127630,0.2277,1774044849693
gate,binance,QUSDT,0.012734,0.0127630,0.2277,1774044849995
gate,binance,QUSDT,0.012734,0.0127630,0.2277,1774044850304
gate,binance,QUSDT,0.012734,0.0127630,0.2277,1774044850609
gate,binance,QUSDT,0.012734,0.0127630,0.2277,1774044850909
gate,binance,QUSDT,0.012734,0.0127630,0.2277,1774044851213
