spot_exch,fut_exch,symbol,ask_spot,bid_futures,spread_pct,ts
gate,bybit,BRUSDT,0.05648,0.05601,-0.8322,1774044601000
gate,bybit,BRUSDT,0.05648,0.05601,-0.8322,1774044604000
gate,bybit,BRUSDT,0.05603,0.05601,-0.0357,1774044610000
gate,bybit,BRUSDT,0.05603,0.05601,-0.0357,1774044616000
gate,bybit,BRUSDT,0.0565,0.05601,-0.8673,1774044619000
gate,bybit,BRUSDT,0.056,0.05601,0.0179,1774044625000
gate,bybit,BRUSDT,0.0565,0.05601,-0.8673,1774044628000
gate,bybit,BRUSDT,0.05604,0.05601,-0.0535,1774044634000
gate,bybit,BRUSDT,0.05601,0.05601,0.0,1774044637000
gate,bybit,BRUSDT,0.05651,0.05601,-0.8848,1774044640000
gate,bybit,BRUSDT,0.05601,0.05601,0.0,1774044643000
gate,bybit,BRUSDT,0.05601,0.05601,0.0,1774044646000
gate,bybit,BRUSDT,0.05603,0.05601,-0.0357,1774044649000
gate,bybit,BRUSDT,0.05603,0.05601,-0.0357,1774044652000
gate,bybit,BRUSDT,0.05603,0.05601,-0.0357,1774044655000
gate,bybit,BRUSDT,0.05603,0.05601,-0.0357,1774044658000
gate,bybit,BRUSDT,0.05603,0.05601,-0.0357,1774044660000
gate,bybit,BRUSDT,0.05603,0.05602,-0.0178,1774044664000
gate,bybit,BRUSDT,0.05603,0.05602,-0.0178,1774044667000
gate,bybit,BRUSDT,0.05603,0.05602,-0.0178,1774044670000
gate,bybit,BRUSDT,0.05603,0.05602,-0.0178,1774044673000
gate,bybit,BRUSDT,0.056,0.05602,0.0357,1774044676000
gate,bybit,BRUSDT,0.05603,0.05602,-0.0178,1774044679000
gate,bybit,BRUSDT,0.056,0.05602,0.0357,1774044682000
gate,bybit,BRUSDT,0.05651,0.05602,-0.8671,1774044691000
gate,bybit,BRUSDT,0.05601,0.05602,0.0179,1774044694000
gate,bybit,BRUSDT,0.05648,0.05602,-0.8144,1774044697000
gate,bybit,BRUSDT,0.05648,0.05602,-0.8144,1774044698000
gate,bybit,BRUSDT,0.05605,0.05602,-0.0535,1774044701000
gate,bybit,BRUSDT,0.05605,0.05602,-0.0535,1774044720000
gate,bybit,BRUSDT,0.05605,0.05599,-0.107,1774044724000
gate,bybit,BRUSDT,0.05605,0.05599,-0.107,1774044733000
gate,bybit,BRUSDT,0.05605,0.05599,-0.107,1774044739000
gate,bybit,BRUSDT,0.05605,0.05599,-0.107,1774044741000
gate,bybit,BRUSDT,0.05605,0.05599,-0.107,1774044742000
gate,bybit,BRUSDT,0.05605,0.05599,-0.107,1774044744000
gate,bybit,BRUSDT,0.05605,0.05596,-0.1606,1774044745000
gate,bybit,BRUSDT,0.05605,0.05594,-0.1963,1774044746000
gate,bybit,BRUSDT,0.05605,0.05594,-0.1963,1774044747000
gate,bybit,BRUSDT,0.05605,0.05594,-0.1963,1774044748000
gate,bybit,BRUSDT,0.05605,0.05594,-0.1963,1774044749000
gate,bybit,BRUSDT,0.05605,0.05594,-0.1963,1774044750000
gate,bybit,BRUSDT,0.05605,0.05594,-0.1963,1774044751000
gate,bybit,BRUSDT,0.05605,0.05594,-0.1963,1774044752000
