spot_exch,fut_exch,symbol,ask_spot,bid_futures,spread_pct,ts
gate,bybit,BSUUSDT,0.05342,0.05392,0.936,1774044898000
gate,bybit,BSUUSDT,0.05342,0.05394,0.9734,1774044987000
gate,bybit,BSUUSDT,0.05342,0.05394,0.9734,1774045020000
gate,bybit,BSUUSDT,0.05342,0.05395,0.9921,1774045033000
gate,bybit,BSUUSDT,0.05342,0.05395,0.9921,1774045045000
gate,bybit,BSUUSDT,0.05342,0.05392,0.936,1774045080000
gate,bybit,BSUUSDT,0.05342,0.05396,1.0109,1774045080688
gate,bybit,BSUUSDT,0.05342,0.05396,1.0109,1774045080988
gate,bybit,BSUUSDT,0.05342,0.05396,1.0109,1774045081288
gate,bybit,BSUUSDT,0.05342,0.05396,1.0109,1774045081602
gate,bybit,BSUUSDT,0.05342,0.05396,1.0109,1774045081914
gate,bybit,BSUUSDT,0.05342,0.05396,1.0109,1774045082228
gate,bybit,BSUUSDT,0.05342,0.05396,1.0109,1774045082542
gate,bybit,BSUUSDT,0.05342,0.05396,1.0109,1774045082854
gate,bybit,BSUUSDT,0.05342,0.05396,1.0109,1774045083169
gate,bybit,BSUUSDT,0.05342,0.05396,1.0109,1774045083476
gate,bybit,BSUUSDT,0.05342,0.05396,1.0109,1774045083781
gate,bybit,BSUUSDT,0.05342,0.05396,1.0109,1774045084081
gate,bybit,BSUUSDT,0.05342,0.05396,1.0109,1774045084381
gate,bybit,BSUUSDT,0.05342,0.05396,1.0109,1774045084681
gate,bybit,BSUUSDT,0.05342,0.05396,1.0109,1774045084983
gate,bybit,BSUUSDT,0.05342,0.05396,1.0109,1774045085283
gate,bybit,BSUUSDT,0.05342,0.05396,1.0109,1774045085592
gate,bybit,BSUUSDT,0.05342,0.05396,1.0109,1774045085892
gate,bybit,BSUUSDT,0.05342,0.05396,1.0109,1774045086194
gate,bybit,BSUUSDT,0.05342,0.05396,1.0109,1774045086495
gate,bybit,BSUUSDT,0.05342,0.05396,1.0109,1774045086799
gate,bybit,BSUUSDT,0.05342,0.05396,1.0109,1774045087107
gate,bybit,BSUUSDT,0.05342,0.05396,1.0109,1774045087409
gate,bybit,BSUUSDT,0.05342,0.05396,1.0109,1774045087711
gate,bybit,BSUUSDT,0.05342,0.05396,1.0109,1774045088013
gate,bybit,BSUUSDT,0.05342,0.05396,1.0109,1774045088317
gate,bybit,BSUUSDT,0.05342,0.05396,1.0109,1774045088618
gate,bybit,BSUUSDT,0.05342,0.05396,1.0109,1774045088920
gate,bybit,BSUUSDT,0.05342,0.05396,1.0109,1774045089226
gate,bybit,BSUUSDT,0.05342,0.05396,1.0109,1774045089526
gate,bybit,BSUUSDT,0.05342,0.05396,1.0109,1774045089828
