spot_exch,fut_exch,symbol,ask_spot,bid_futures,spread_pct,ts
binance,okx,SAHARAUSDT,0.02943000,0.02936,-0.2379,1774053605000
binance,okx,SAHARAUSDT,0.02945000,0.02937,-0.2716,1774053607000
binance,okx,SAHARAUSDT,0.02945000,0.02937,-0.2716,1774053608000
binance,okx,SAHARAUSDT,0.02944000,0.02935,-0.3057,1774053609000
binance,okx,SAHARAUSDT,0.02945000,0.02938,-0.2377,1774053610000
binance,okx,SAHARAUSDT,0.02945000,0.02936,-0.3056,1774053611000
binance,okx,SAHARAUSDT,0.02942000,0.02934,-0.2719,1774053613000
binance,okx,SAHARAUSDT,0.02941000,0.02932,-0.306,1774053614000
binance,okx,SAHARAUSDT,0.02941000,0.02931,-0.34,1774053616000
binance,okx,SAHARAUSDT,0.02941000,0.02931,-0.34,1774053617000
binance,okx,SAHARAUSDT,0.02941000,0.02932,-0.306,1774053620000
binance,okx,SAHARAUSDT,0.02941000,0.02932,-0.306,1774053622000
binance,okx,SAHARAUSDT,0.02938000,0.02929,-0.3063,1774053623000
binance,okx,SAHARAUSDT,0.02938000,0.0293,-0.2723,1774053624000
binance,okx,SAHARAUSDT,0.02938000,0.02929,-0.3063,1774053625000
binance,okx,SAHARAUSDT,0.02939000,0.02931,-0.2722,1774053626000
binance,okx,SAHARAUSDT,0.02942000,0.02932,-0.3399,1774053627000
binance,okx,SAHARAUSDT,0.02941000,0.02933,-0.272,1774053628000
binance,okx,SAHARAUSDT,0.02939000,0.02932,-0.2382,1774053630000
binance,okx,SAHARAUSDT,0.02938000,0.0293,-0.2723,1774053631000
binance,okx,SAHARAUSDT,0.02938000,0.0293,-0.2723,1774053632000
binance,okx,SAHARAUSDT,0.02938000,0.0293,-0.2723,1774053633000
binance,okx,SAHARAUSDT,0.02938000,0.02931,-0.2383,1774053634000
binance,okx,SAHARAUSDT,0.02940000,0.02931,-0.3061,1774053635000
binance,okx,SAHARAUSDT,0.02939000,0.02929,-0.3403,1774053636000
binance,okx,SAHARAUSDT,0.02939000,0.02931,-0.2722,1774053637000
binance,okx,SAHARAUSDT,0.02939000,0.0293,-0.3062,1774053638000
binance,okx,SAHARAUSDT,0.02938000,0.0293,-0.2723,1774053639000
binance,okx,SAHARAUSDT,0.02938000,0.02927,-0.3744,1774053640000
binance,okx,SAHARAUSDT,0.02933000,0.02925,-0.2728,1774053641000
binance,okx,SAHARAUSDT,0.02935000,0.02927,-0.2726,1774053642000
binance,okx,SAHARAUSDT,0.02935000,0.02927,-0.2726,1774053643000
binance,okx,SAHARAUSDT,0.02937000,0.0293,-0.2383,1774053644000
binance,okx,SAHARAUSDT,0.02936000,0.0293,-0.2044,1774053646000
binance,okx,SAHARAUSDT,0.02936000,0.02929,-0.2384,1774053648000
binance,okx,SAHARAUSDT,0.02933000,0.02926,-0.2387,1774053650000
binance,okx,SAHARAUSDT,0.02933000,0.02926,-0.2387,1774053651000
binance,okx,SAHARAUSDT,0.02935000,0.02929,-0.2044,1774053652000
binance,okx,SAHARAUSDT,0.02936000,0.0293,-0.2044,1774053653000
binance,okx,SAHARAUSDT,0.02935000,0.02928,-0.2385,1774053656000
binance,okx,SAHARAUSDT,0.02932000,0.02926,-0.2046,1774053657000
binance,okx,SAHARAUSDT,0.02932000,0.02925,-0.2387,1774053658000
binance,okx,SAHARAUSDT,0.02931000,0.02924,-0.2388,1774053659000
binance,okx,SAHARAUSDT,0.02931000,0.02924,-0.2388,1774053660000
binance,okx,SAHARAUSDT,0.02934000,0.02927,-0.2386,1774053661000
binance,okx,SAHARAUSDT,0.02933000,0.02925,-0.2728,1774053664000
binance,okx,SAHARAUSDT,0.02924000,0.02917,-0.2394,1774053665000
binance,okx,SAHARAUSDT,0.02921000,0.02915,-0.2054,1774053666000
binance,okx,SAHARAUSDT,0.02920000,0.02914,-0.2055,1774053667000
binance,okx,SAHARAUSDT,0.02920000,0.02909,-0.3767,1774053668000
binance,okx,SAHARAUSDT,0.02917000,0.02918,0.0343,1774053669000
binance,okx,SAHARAUSDT,0.02923000,0.02916,-0.2395,1774053670000
binance,okx,SAHARAUSDT,0.02925000,0.02916,-0.3077,1774053671000
binance,okx,SAHARAUSDT,0.02923000,0.02916,-0.2395,1774053672000
binance,okx,SAHARAUSDT,0.02923000,0.02916,-0.2395,1774053674000
binance,okx,SAHARAUSDT,0.02920000,0.02912,-0.274,1774053675000
binance,okx,SAHARAUSDT,0.02922000,0.02914,-0.2738,1774053676000
binance,okx,SAHARAUSDT,0.02921000,0.02914,-0.2396,1774053677000
binance,okx,SAHARAUSDT,0.02922000,0.02914,-0.2738,1774053678000
binance,okx,SAHARAUSDT,0.02924000,0.02916,-0.2736,1774053679000
binance,okx,SAHARAUSDT,0.02920000,0.02913,-0.2397,1774053680000
binance,okx,SAHARAUSDT,0.02922000,0.02914,-0.2738,1774053682000
binance,okx,SAHARAUSDT,0.02922000,0.02914,-0.2738,1774053683000
binance,okx,SAHARAUSDT,0.02922000,0.02914,-0.2738,1774053684000
binance,okx,SAHARAUSDT,0.02920000,0.02913,-0.2397,1774053686000
binance,okx,SAHARAUSDT,0.02919000,0.02912,-0.2398,1774053687000
binance,okx,SAHARAUSDT,0.02919000,0.02912,-0.2398,1774053689000
binance,okx,SAHARAUSDT,0.02917000,0.02911,-0.2057,1774053690000
binance,okx,SAHARAUSDT,0.02921000,0.02912,-0.3081,1774053691000
binance,okx,SAHARAUSDT,0.02921000,0.02914,-0.2396,1774053692000
binance,okx,SAHARAUSDT,0.02921000,0.02914,-0.2396,1774053693000
binance,okx,SAHARAUSDT,0.02920000,0.02912,-0.274,1774053694000
binance,okx,SAHARAUSDT,0.02916000,0.0291,-0.2058,1774053695000
binance,okx,SAHARAUSDT,0.02916000,0.02908,-0.2743,1774053698000
binance,okx,SAHARAUSDT,0.02915000,0.0291,-0.1715,1774053703000
binance,okx,SAHARAUSDT,0.02914000,0.02909,-0.1716,1774053704000
binance,okx,SAHARAUSDT,0.02917000,0.02909,-0.2743,1774053705000
binance,okx,SAHARAUSDT,0.02918000,0.02909,-0.3084,1774053706000
binance,okx,SAHARAUSDT,0.02915000,0.02908,-0.2401,1774053707000
binance,okx,SAHARAUSDT,0.02916000,0.02912,-0.1372,1774053708000
binance,okx,SAHARAUSDT,0.02918000,0.02911,-0.2399,1774053709000
binance,okx,SAHARAUSDT,0.02916000,0.02909,-0.2401,1774053710000
binance,okx,SAHARAUSDT,0.02917000,0.0291,-0.24,1774053711000
binance,okx,SAHARAUSDT,0.02916000,0.0291,-0.2058,1774053712000
binance,okx,SAHARAUSDT,0.02914000,0.02909,-0.1716,1774053713000
binance,okx,SAHARAUSDT,0.02915000,0.0291,-0.1715,1774053714000
binance,okx,SAHARAUSDT,0.02917000,0.02911,-0.2057,1774053715000
binance,okx,SAHARAUSDT,0.02916000,0.02911,-0.1715,1774053716000
binance,okx,SAHARAUSDT,0.02915000,0.02911,-0.1372,1774053717000
binance,okx,SAHARAUSDT,0.02917000,0.02912,-0.1714,1774053718000
binance,okx,SAHARAUSDT,0.02917000,0.02912,-0.1714,1774053719000
binance,okx,SAHARAUSDT,0.02917000,0.02912,-0.1714,1774053720000
binance,okx,SAHARAUSDT,0.02916000,0.02911,-0.1715,1774053721000
binance,okx,SAHARAUSDT,0.02912000,0.02907,-0.1717,1774053723000
binance,okx,SAHARAUSDT,0.02914000,0.02909,-0.1716,1774053725000
binance,okx,SAHARAUSDT,0.02916000,0.02909,-0.2401,1774053726000
binance,okx,SAHARAUSDT,0.02916000,0.02911,-0.1715,1774053727000
binance,okx,SAHARAUSDT,0.02916000,0.02911,-0.1715,1774053729000
binance,okx,SAHARAUSDT,0.02916000,0.02911,-0.1715,1774053730000
binance,okx,SAHARAUSDT,0.02916000,0.0291,-0.2058,1774053731000
binance,okx,SAHARAUSDT,0.02916000,0.02911,-0.1715,1774053732000
binance,okx,SAHARAUSDT,0.02916000,0.02911,-0.1715,1774053735000
binance,okx,SAHARAUSDT,0.02916000,0.02911,-0.1715,1774053736000
binance,okx,SAHARAUSDT,0.02916000,0.02911,-0.1715,1774053737000
binance,okx,SAHARAUSDT,0.02918000,0.02913,-0.1714,1774053738000
binance,okx,SAHARAUSDT,0.02917000,0.02912,-0.1714,1774053741000
binance,okx,SAHARAUSDT,0.02919000,0.02913,-0.2055,1774053742000
binance,okx,SAHARAUSDT,0.02917000,0.02913,-0.1371,1774053745000
binance,okx,SAHARAUSDT,0.02916000,0.02911,-0.1715,1774053746000
binance,okx,SAHARAUSDT,0.02913000,0.02908,-0.1716,1774053748000
binance,okx,SAHARAUSDT,0.02912000,0.02906,-0.206,1774053749000
binance,okx,SAHARAUSDT,0.02911000,0.02905,-0.2061,1774053751000
binance,okx,SAHARAUSDT,0.02911000,0.02904,-0.2405,1774053752000
binance,okx,SAHARAUSDT,0.02913000,0.02908,-0.1716,1774053753000
binance,okx,SAHARAUSDT,0.02914000,0.02908,-0.2059,1774053754000
binance,okx,SAHARAUSDT,0.02913000,0.02904,-0.309,1774053755000
binance,okx,SAHARAUSDT,0.02907000,0.02899,-0.2752,1774053758000
binance,okx,SAHARAUSDT,0.02907000,0.02899,-0.2752,1774053759000
binance,okx,SAHARAUSDT,0.02903000,0.02896,-0.2411,1774053760000
binance,okx,SAHARAUSDT,0.02900000,0.02892,-0.2759,1774053761000
binance,okx,SAHARAUSDT,0.02902000,0.02895,-0.2412,1774053763000
binance,okx,SAHARAUSDT,0.02902000,0.02896,-0.2068,1774053765000
binance,okx,SAHARAUSDT,0.02903000,0.02897,-0.2067,1774053766000
binance,okx,SAHARAUSDT,0.02905000,0.02899,-0.2065,1774053767000
binance,okx,SAHARAUSDT,0.02905000,0.02898,-0.241,1774053768000
binance,okx,SAHARAUSDT,0.02905000,0.02898,-0.241,1774053770000
binance,okx,SAHARAUSDT,0.02905000,0.02899,-0.2065,1774053771000
binance,okx,SAHARAUSDT,0.02905000,0.02899,-0.2065,1774053772000
binance,okx,SAHARAUSDT,0.02903000,0.02897,-0.2067,1774053777000
binance,okx,SAHARAUSDT,0.02902000,0.02897,-0.1723,1774053778000
binance,okx,SAHARAUSDT,0.02904000,0.02897,-0.241,1774053779000
binance,okx,SAHARAUSDT,0.02904000,0.02897,-0.241,1774053780000
binance,okx,SAHARAUSDT,0.02901000,0.02895,-0.2068,1774053781000
binance,okx,SAHARAUSDT,0.02900000,0.02893,-0.2414,1774053782000
binance,okx,SAHARAUSDT,0.02900000,0.02894,-0.2069,1774053783000
binance,okx,SAHARAUSDT,0.02899000,0.02893,-0.207,1774053784000
binance,okx,SAHARAUSDT,0.02901000,0.02892,-0.3102,1774053786000
binance,okx,SAHARAUSDT,0.02900000,0.02894,-0.2069,1774053787000
binance,okx,SAHARAUSDT,0.02898000,0.02891,-0.2415,1774053788000
binance,okx,SAHARAUSDT,0.02897000,0.02891,-0.2071,1774053790000
binance,okx,SAHARAUSDT,0.02895000,0.02887,-0.2763,1774053791000
binance,okx,SAHARAUSDT,0.02896000,0.02887,-0.3108,1774053792000
binance,okx,SAHARAUSDT,0.02896000,0.02889,-0.2417,1774053793000
binance,okx,SAHARAUSDT,0.02893000,0.02889,-0.1383,1774053794000
binance,okx,SAHARAUSDT,0.02893000,0.02886,-0.242,1774053795000
binance,okx,SAHARAUSDT,0.02893000,0.02887,-0.2074,1774053797000
binance,okx,SAHARAUSDT,0.02893000,0.02888,-0.1728,1774053798000
binance,okx,SAHARAUSDT,0.02891000,0.02882,-0.3113,1774053800000
binance,okx,SAHARAUSDT,0.02891000,0.02883,-0.2767,1774053801000
binance,okx,SAHARAUSDT,0.02892000,0.02884,-0.2766,1774053802000
binance,okx,SAHARAUSDT,0.02891000,0.02883,-0.2767,1774053804000
binance,okx,SAHARAUSDT,0.02891000,0.02882,-0.3113,1774053805000
binance,okx,SAHARAUSDT,0.02891000,0.02882,-0.3113,1774053806000
binance,okx,SAHARAUSDT,0.02890000,0.02882,-0.2768,1774053807000
binance,okx,SAHARAUSDT,0.02888000,0.02879,-0.3116,1774053808000
binance,okx,SAHARAUSDT,0.02883000,0.02874,-0.3122,1774053809000
binance,okx,SAHARAUSDT,0.02876000,0.02868,-0.2782,1774053810000
binance,okx,SAHARAUSDT,0.02872000,0.02862,-0.3482,1774053811000
binance,okx,SAHARAUSDT,0.02868000,0.02862,-0.2092,1774053812000
binance,okx,SAHARAUSDT,0.02867000,0.02859,-0.279,1774053813000
binance,okx,SAHARAUSDT,0.02869000,0.0286,-0.3137,1774053814000
binance,okx,SAHARAUSDT,0.02869000,0.02863,-0.2091,1774053815000
binance,okx,SAHARAUSDT,0.02870000,0.02863,-0.2439,1774053816000
binance,okx,SAHARAUSDT,0.02870000,0.02862,-0.2787,1774053817000
binance,okx,SAHARAUSDT,0.02867000,0.02858,-0.3139,1774053818000
binance,okx,SAHARAUSDT,0.02868000,0.02861,-0.2441,1774053819000
binance,okx,SAHARAUSDT,0.02868000,0.02859,-0.3138,1774053820000
binance,okx,SAHARAUSDT,0.02868000,0.02861,-0.2441,1774053822000
binance,okx,SAHARAUSDT,0.02866000,0.02859,-0.2442,1774053823000
