spot_exch,fut_exch,symbol,ask_spot,bid_futures,spread_pct,ts
gate,bybit,VANRYUSDT,0.005759,0.00617,7.1367,1774050005000
gate,bybit,VANRYUSDT,0.00576,0.00617,7.1181,1774050008000
gate,bybit,VANRYUSDT,0.00576,0.00617,7.1181,1774050014000
gate,bybit,VANRYUSDT,0.00576,0.00617,7.1181,1774050024000
gate,bybit,VANRYUSDT,0.00576,0.00617,7.1181,1774050025000
gate,bybit,VANRYUSDT,0.005764,0.006173,7.0958,1774050026000
gate,bybit,VANRYUSDT,0.005766,0.006173,7.0586,1774050029000
gate,bybit,VANRYUSDT,0.005766,0.006173,7.0586,1774050032000
gate,bybit,VANRYUSDT,0.005767,0.006183,7.2135,1774050034000
gate,bybit,VANRYUSDT,0.005786,0.006192,7.0169,1774050035000
gate,bybit,VANRYUSDT,0.00579,0.006193,6.9603,1774050038000
gate,bybit,VANRYUSDT,0.005789,0.006193,6.9788,1774050039000
gate,bybit,VANRYUSDT,0.005784,0.006191,7.0367,1774050042000
gate,bybit,VANRYUSDT,0.005784,0.006191,7.0367,1774050045000
gate,bybit,VANRYUSDT,0.005783,0.006191,7.0552,1774050046000
gate,bybit,VANRYUSDT,0.005782,0.006189,7.0391,1774050051000
gate,bybit,VANRYUSDT,0.00578,0.006188,7.0588,1774050060000
gate,bybit,VANRYUSDT,0.00578,0.006189,7.0761,1774050061000
gate,bybit,VANRYUSDT,0.005781,0.006189,7.0576,1774050062000
gate,bybit,VANRYUSDT,0.005782,0.006189,7.0391,1774050067000
gate,bybit,VANRYUSDT,0.005782,0.006191,7.0737,1774050071000
gate,bybit,VANRYUSDT,0.005782,0.006191,7.0737,1774050075000
gate,bybit,VANRYUSDT,0.005781,0.006191,7.0922,1774050081000
gate,bybit,VANRYUSDT,0.00578,0.006191,7.1107,1774050082000
gate,bybit,VANRYUSDT,0.005781,0.006191,7.0922,1774050085000
gate,bybit,VANRYUSDT,0.005781,0.006191,7.0922,1774050090000
gate,bybit,VANRYUSDT,0.00578,0.006191,7.1107,1774050092000
gate,bybit,VANRYUSDT,0.005779,0.00619,7.112,1774050093000
gate,bybit,VANRYUSDT,0.005778,0.00619,7.1305,1774050100000
gate,bybit,VANRYUSDT,0.005775,0.006186,7.1169,1774050101000
gate,bybit,VANRYUSDT,0.005773,0.006186,7.154,1774050112000
gate,bybit,VANRYUSDT,0.005774,0.006184,7.1008,1774050121000
gate,bybit,VANRYUSDT,0.005773,0.006184,7.1193,1774050141000
gate,bybit,VANRYUSDT,0.005775,0.006185,7.0996,1774050144000
gate,bybit,VANRYUSDT,0.005775,0.006187,7.1342,1774050145000
gate,bybit,VANRYUSDT,0.005782,0.00619,7.0564,1774050149000
gate,bybit,VANRYUSDT,0.005783,0.00619,7.0379,1774050152000
gate,bybit,VANRYUSDT,0.005783,0.00619,7.0379,1774050153000
gate,bybit,VANRYUSDT,0.005784,0.00619,7.0194,1774050157000
gate,bybit,VANRYUSDT,0.005785,0.006191,7.0182,1774050160000
gate,bybit,VANRYUSDT,0.005786,0.006191,6.9997,1774050163000
gate,bybit,VANRYUSDT,0.005785,0.006191,7.0182,1774050165000
gate,bybit,VANRYUSDT,0.005786,0.006191,6.9997,1774050166000
gate,bybit,VANRYUSDT,0.005785,0.006191,7.0182,1774050167000
gate,bybit,VANRYUSDT,0.005786,0.006191,6.9997,1774050170000
gate,bybit,VANRYUSDT,0.005785,0.006191,7.0182,1774050173000
gate,bybit,VANRYUSDT,0.005785,0.006191,7.0182,1774050175000
gate,bybit,VANRYUSDT,0.005785,0.006191,7.0182,1774050180000
gate,bybit,VANRYUSDT,0.005785,0.006193,7.0527,1774050183000
gate,bybit,VANRYUSDT,0.005786,0.006193,7.0342,1774050184000
gate,bybit,VANRYUSDT,0.005785,0.006192,7.0354,1774050188000
gate,bybit,VANRYUSDT,0.005785,0.006192,7.0354,1774050190000
gate,bybit,VANRYUSDT,0.005785,0.006192,7.0354,1774050203000
gate,bybit,VANRYUSDT,0.005785,0.006192,7.0354,1774050210000
gate,bybit,VANRYUSDT,0.005786,0.006192,7.0169,1774050211000
gate,bybit,VANRYUSDT,0.005785,0.006192,7.0354,1774050213000
gate,bybit,VANRYUSDT,0.005782,0.006192,7.091,1774050215000
gate,bybit,VANRYUSDT,0.005783,0.006192,7.0725,1774050223000
gate,bybit,VANRYUSDT,0.005783,0.006192,7.0725,1774050224000
gate,bybit,VANRYUSDT,0.005784,0.006192,7.0539,1774050230000
gate,bybit,VANRYUSDT,0.005784,0.006192,7.0539,1774050231000
gate,bybit,VANRYUSDT,0.005784,0.006193,7.0712,1774050238000
gate,bybit,VANRYUSDT,0.005784,0.006193,7.0712,1774050241000
gate,bybit,VANRYUSDT,0.005784,0.006196,7.1231,1774050244000
gate,bybit,VANRYUSDT,0.005784,0.006196,7.1231,1774050250000
gate,bybit,VANRYUSDT,0.005784,0.006196,7.1231,1774050251000
gate,bybit,VANRYUSDT,0.005783,0.006196,7.1416,1774050260000
gate,bybit,VANRYUSDT,0.005775,0.006193,7.2381,1774050264000
gate,bybit,VANRYUSDT,0.005774,0.006192,7.2393,1774050265000
gate,bybit,VANRYUSDT,0.00577,0.006191,7.2964,1774050270000
gate,bybit,VANRYUSDT,0.005777,0.006191,7.1663,1774050272000
gate,bybit,VANRYUSDT,0.005777,0.006191,7.1663,1774050273000
gate,bybit,VANRYUSDT,0.00578,0.006191,7.1107,1774050278000
gate,bybit,VANRYUSDT,0.005782,0.006191,7.0737,1774050281000
gate,bybit,VANRYUSDT,0.00578,0.006191,7.1107,1774050290000
gate,bybit,VANRYUSDT,0.005781,0.006191,7.0922,1774050292000
gate,bybit,VANRYUSDT,0.005782,0.006195,7.1429,1774050294000
gate,bybit,VANRYUSDT,0.005786,0.006197,7.1034,1774050295000
gate,bybit,VANRYUSDT,0.005785,0.006197,7.1219,1774050297000
gate,bybit,VANRYUSDT,0.005787,0.006197,7.0848,1774050300000
gate,bybit,VANRYUSDT,0.005788,0.006197,7.0663,1774050301000
gate,bybit,VANRYUSDT,0.005788,0.006198,7.0836,1774050302000
gate,bybit,VANRYUSDT,0.00579,0.006198,7.0466,1774050305000
gate,bybit,VANRYUSDT,0.00579,0.006199,7.0639,1774050307000
gate,bybit,VANRYUSDT,0.005789,0.006199,7.0824,1774050309000
gate,bybit,VANRYUSDT,0.005788,0.006199,7.1009,1774050311000
gate,bybit,VANRYUSDT,0.005787,0.006199,7.1194,1774050314000
gate,bybit,VANRYUSDT,0.005787,0.006199,7.1194,1774050316000
gate,bybit,VANRYUSDT,0.005786,0.006198,7.1206,1774050329000
gate,bybit,VANRYUSDT,0.005785,0.006198,7.1392,1774050331000
