spot_exch,fut_exch,symbol,ask_spot,bid_futures,spread_pct,ts,bn_fr,bn_fr_next,bn_fr_time,bb_fr,bb_fr_next,bb_fr_time,ok_fr,ok_fr_next,ok_fr_time,gt_fr,gt_fr_next,gt_fr_time,s_b1,s_b2,s_b3,s_b4,s_b5,s_b6,s_b7,s_b8,s_b9,s_b10,s_bq1,s_bq2,s_bq3,s_bq4,s_bq5,s_bq6,s_bq7,s_bq8,s_bq9,s_bq10,s_a1,s_a2,s_a3,s_a4,s_a5,s_a6,s_a7,s_a8,s_a9,s_a10,s_aq1,s_aq2,s_aq3,s_aq4,s_aq5,s_aq6,s_aq7,s_aq8,s_aq9,s_aq10,f_b1,f_b2,f_b3,f_b4,f_b5,f_b6,f_b7,f_b8,f_b9,f_b10,f_bq1,f_bq2,f_bq3,f_bq4,f_bq5,f_bq6,f_bq7,f_bq8,f_bq9,f_bq10,f_a1,f_a2,f_a3,f_a4,f_a5,f_a6,f_a7,f_a8,f_a9,f_a10,f_aq1,f_aq2,f_aq3,f_aq4,f_aq5,f_aq6,f_aq7,f_aq8,f_aq9,f_aq10
gate,binance,龙虾USDT,0.009799,0.0097910,-0.0816,1774065609000,0.00036525,,1774080000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0097940,4348,0.0097930,7741,0.0097920,10160,0.0097910,1000,0.0097900,1204,0.0097890,5382,0.0097880,6090,0.0097860,8482,0.0097850,7919,0.0097840,563,0.0098060,7919,0.0098070,381807,0.0098080,561,0.0098100,561,0.0098120,5683,0.0098130,40938,0.0098140,1173,0.0098150,845,0.0098160,21391,0.0098170,12491
gate,binance,龙虾USDT,0.009799,0.0097920,-0.0714,1774065610000,0.00036525,,1774080000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0097910,1550,0.0097900,1204,0.0097890,3393,0.0097880,6090,0.0097860,8482,0.0097850,7919,0.0097840,563,0.0097820,8584,0.0097810,10224,0.0097800,14227,0.0098010,10203,0.0098020,4327,0.0098030,10974,0.0098050,2711,0.0098060,18678,0.0098070,381807,0.0098080,561,0.0098100,561,0.0098120,5683,0.0098130,40938
gate,binance,龙虾USDT,0.009799,0.0097920,-0.0714,1774065611000,0.00036525,,1774080000000,,,,,,,,,,0.009762,1652,0.009753,1964,0.009752,11483,0.009734,1984,0.009733,800,0.009718,5074,0.009717,19568,0.0097,800,0.009674,2700,0.009653,4687,0.009799,1602,0.009808,1769,0.009817,1769,0.009825,1766,0.009836,2159,0.009837,208,0.009855,1766,0.009871,3336,0.009872,11461,0.009878,9452,0.0097920,218,0.0097910,1550,0.0097900,1524,0.0097890,3393,0.0097880,6090,0.0097860,8482,0.0097850,7919,0.0097840,4894,0.0097820,8584,0.0097810,10224,0.0098020,11442,0.0098030,7919,0.0098040,3655,0.0098050,2711,0.0098060,8480,0.0098070,385200,0.0098080,561,0.0098100,561,0.0098120,5683,0.0098130,37545
gate,binance,龙虾USDT,0.009781,0.0097760,-0.0511,1774065612000,0.00036525,,1774080000000,,,,,,,,,,0.009753,1604,0.009752,11483,0.009734,1984,0.009718,5074,0.009717,20368,0.0097,800,0.009674,2700,0.009653,4687,0.009652,34299,0.009646,4246,0.00979,1770,0.009799,1770,0.009808,1769,0.009817,1770,0.009836,2167,0.009837,208,0.009846,1773,0.009856,2167,0.009857,20867,0.009872,2223,0.0097760,7919,0.0097740,563,0.0097730,845,0.0097720,563,0.0097700,4802,0.0097680,4803,0.0097670,3393,0.0097660,4803,0.0097650,24721,0.0097640,1916,0.0097850,1306,0.0097870,4942,0.0097890,5342,0.0097910,4332,0.0097920,3393,0.0097930,4332,0.0097940,25011,0.0097950,14433,0.0097960,55631,0.0097970,28333
gate,binance,龙虾USDT,0.009781,0.0097680,-0.1329,1774065614000,0.00036525,,1774080000000,,,,,,,,,,0.009752,11483,0.009717,20368,0.0097,800,0.009675,5096,0.009674,2700,0.009653,4687,0.009652,34299,0.009646,4246,0.009644,209,0.009643,4543,0.009781,1779,0.00979,1770,0.009799,1787,0.009808,1786,0.009837,208,0.009856,1924,0.009857,20867,0.009872,2223,0.009882,3355,0.009888,800,0.0097720,1305,0.0097680,10238,0.0097670,7919,0.0097660,564,0.0097640,1916,0.0097620,9006,0.0097610,13638,0.0097600,11410,0.0097590,4366,0.0097580,19632,0.0097750,4591,0.0097760,3673,0.0097790,5539,0.0097800,1488,0.0097820,6350,0.0097830,4073,0.0097840,8704,0.0097860,9295,0.0097880,15012,0.0097890,22453
gate,binance,龙虾USDT,0.009771,0.0097640,-0.0716,1774065618000,0.00036525,,1774080000000,,,,,,,,,,0.009752,11483,0.009718,1984,0.009717,20368,0.0097,800,0.009675,5096,0.009674,2700,0.009653,4687,0.009652,34299,0.009646,4246,0.009644,209,0.009781,1779,0.00979,1619,0.009799,1789,0.009807,1792,0.009828,13881,0.009831,2425,0.009832,800,0.009837,208,0.009838,3084,0.009849,9451,0.0097640,1544,0.0097620,7205,0.0097600,1164,0.0097590,14613,0.0097580,19632,0.0097570,3394,0.0097560,29096,0.0097550,50899,0.0097540,2329,0.0097530,4043,0.0097730,9225,0.0097740,5857,0.0097750,4174,0.0097760,7919,0.0097780,4737,0.0097790,4167,0.0097800,2051,0.0097810,3925,0.0097820,10786,0.0097830,7324
gate,binance,龙虾USDT,0.00978,0.0097620,-0.184,1774065619000,0.00036525,,1774080000000,,,,,,,,,,0.009752,11483,0.009717,20368,0.0097,800,0.009675,5096,0.009674,2700,0.009653,4687,0.009652,34299,0.009646,4246,0.009644,209,0.009643,4543,0.009781,1779,0.00979,1804,0.009799,1811,0.009808,1811,0.009817,1811,0.009827,2399,0.009828,13881,0.009832,800,0.009837,208,0.009849,9451,0.0097620,544,0.0097600,609,0.0097590,4366,0.0097580,564,0.0097560,2261,0.0097550,4158,0.0097540,12581,0.0097530,4043,0.0097520,5565,0.0097510,3394,0.0097690,1306,0.0097710,4160,0.0097720,8934,0.0097730,7919,0.0097740,6420,0.0097760,7919,0.0097780,4737,0.0097790,4167,0.0097800,2051,0.0097810,3925
gate,binance,龙虾USDT,0.009776,0.0097620,-0.1432,1774065620000,0.00036525,,1774080000000,,,,,,,,,,0.009752,11483,0.009717,20368,0.0097,800,0.009675,5096,0.009674,2700,0.009653,4687,0.009652,34299,0.009646,4246,0.009644,209,0.009643,4543,0.009777,1613,0.009778,14278,0.009832,800,0.009837,208,0.009845,13877,0.009849,9451,0.009872,2223,0.009875,15270,0.009878,33555,0.009882,3355,0.0097640,1000,0.0097630,7919,0.0097620,2628,0.0097600,6845,0.0097590,4366,0.0097580,4721,0.0097560,6418,0.0097550,4158,0.0097540,2329,0.0097530,14296,0.0097740,6420,0.0097760,8482,0.0097780,563,0.0097790,5749,0.0097800,2051,0.0097810,3925,0.0097820,10786,0.0097830,19076,0.0097840,27453,0.0097860,563
gate,binance,龙虾USDT,0.009775,0.0097590,-0.1637,1774065621000,0.00036525,,1774080000000,,,,,,,,,,0.009752,10275,0.009717,20368,0.009701,1984,0.0097,800,0.009675,5096,0.009674,2700,0.009653,4687,0.009652,34299,0.009646,4246,0.009644,209,0.009775,12673,0.009793,1670,0.009802,1813,0.009811,1813,0.00982,1813,0.009831,2418,0.009832,800,0.009837,208,0.009844,2619,0.009845,13877,0.0097610,1598,0.0097600,7919,0.0097590,4366,0.0097580,564,0.0097560,564,0.0097540,6483,0.0097530,4043,0.0097520,5563,0.0097500,5254,0.0097480,4723,0.0097710,7919,0.0097730,7919,0.0097740,6420,0.0097750,6231,0.0097760,8482,0.0097780,4717,0.0097790,3394,0.0097800,4717,0.0097810,4154,0.0097820,21009
gate,binance,龙虾USDT,0.009778,0.0097600,-0.1841,1774065623000,0.00036525,,1774080000000,,,,,,,,,,0.009752,7855,0.009718,1984,0.009717,19568,0.009705,800,0.0097,800,0.009674,2700,0.009654,5107,0.009653,4687,0.009652,34299,0.009646,4246,0.009774,2076,0.009777,2605,0.009778,12673,0.009832,800,0.009837,208,0.009872,2223,0.009875,15270,0.009882,3355,0.009895,7863,0.009902,3794,0.0097600,3633,0.0097590,4366,0.0097580,4325,0.0097560,5416,0.0097550,3394,0.0097540,6483,0.0097530,4043,0.0097520,5563,0.0097500,5254,0.0097490,3733,0.0097710,9159,0.0097730,7919,0.0097740,6420,0.0097750,4668,0.0097760,8482,0.0097780,4756,0.0097790,3394,0.0097800,4717,0.0097810,14378,0.0097820,28825
