spot_exch,fut_exch,symbol,ask_spot,bid_futures,spread_pct,ts,bn_fr,bn_fr_next,bn_fr_time,bb_fr,bb_fr_next,bb_fr_time,ok_fr,ok_fr_next,ok_fr_time,gt_fr,gt_fr_next,gt_fr_time,s_b1,s_b2,s_b3,s_b4,s_b5,s_b6,s_b7,s_b8,s_b9,s_b10,s_bq1,s_bq2,s_bq3,s_bq4,s_bq5,s_bq6,s_bq7,s_bq8,s_bq9,s_bq10,s_a1,s_a2,s_a3,s_a4,s_a5,s_a6,s_a7,s_a8,s_a9,s_a10,s_aq1,s_aq2,s_aq3,s_aq4,s_aq5,s_aq6,s_aq7,s_aq8,s_aq9,s_aq10,f_b1,f_b2,f_b3,f_b4,f_b5,f_b6,f_b7,f_b8,f_b9,f_b10,f_bq1,f_bq2,f_bq3,f_bq4,f_bq5,f_bq6,f_bq7,f_bq8,f_bq9,f_bq10,f_a1,f_a2,f_a3,f_a4,f_a5,f_a6,f_a7,f_a8,f_a9,f_a10,f_aq1,f_aq2,f_aq3,f_aq4,f_aq5,f_aq6,f_aq7,f_aq8,f_aq9,f_aq10
gate,bybit,BEATUSDT,0.6353,0.63513,-0.0268,1774065602000,,,,0.00005,,1774065600000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.63523,40,0.63515,103,0.63514,103,0.63513,140,0.63512,70,0.63506,138,0.63503,103,0.63501,103,0.63499,103,0.63497,91,0.63524,83,0.63531,11,0.63541,144,0.63546,9,0.63554,91,0.63559,91,0.63560,9,0.63563,23,0.63565,18,0.63567,23
gate,bybit,BEATUSDT,0.6353,0.63513,-0.0268,1774065603000,,,,0.00005,,1774065600000,0.0000500000000000,,1774094400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.63490,65,0.63487,119,0.63476,9,0.63471,41,0.63469,91,0.63466,22,0.63465,41,0.63462,50,0.63458,41,0.63453,45,0.63513,75,0.63514,75,0.63536,28,0.63538,91,0.63539,103,0.63541,136,0.63544,91,0.63546,9,0.63549,41,0.63555,41
gate,bybit,BEATUSDT,0.6351,0.63496,-0.022,1774065604000,,,,0.00005,,1774065600000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.63494,143,0.63493,143,0.63492,32,0.63491,748,0.63490,9,0.63488,91,0.63487,119,0.63476,9,0.63474,91,0.63466,22,0.63522,161,0.63540,177,0.63546,9,0.63547,34,0.63548,41,0.63551,114,0.63554,18,0.63555,23,0.63559,132,0.63560,9
gate,bybit,BEATUSDT,0.6348,0.63479,-0.0016,1774065605000,,,,0.00005,,1774065600000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.63476,89,0.63466,22,0.63462,9,0.63448,9,0.63447,23,0.63441,198,0.63435,41,0.63434,9,0.63431,23,0.63430,91,0.63477,80,0.63487,103,0.63489,91,0.63507,29,0.63509,22,0.63511,91,0.63512,103,0.63528,23,0.63529,18,0.63531,91
gate,bybit,BEATUSDT,0.6337,0.63364,-0.0095,1774065606000,0.00005000,,1774080000000,0.00005,,1774065600000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.63378,9,0.63364,9,0.63360,9,0.63350,9,0.63344,41,0.63343,88,0.63341,157,0.63340,18,0.63339,114,0.63336,9,0.63397,167,0.63400,270,0.63403,1057,0.63406,373,0.63407,87,0.63408,103,0.63417,87,0.63418,113,0.63428,87,0.63434,87
gate,bybit,BEATUSDT,0.6345,0.63441,-0.0142,1774065607000,0.00005000,,1774080000000,0.00005,,1774065600000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.63429,87,0.63422,87,0.63421,69,0.63420,790,0.63419,148,0.63413,122,0.63412,103,0.63411,9,0.63407,18,0.63405,125,0.63506,270,0.63508,332,0.63509,384,0.63511,270,0.63514,87,0.63517,159,0.63518,9,0.63522,87,0.63525,41,0.63531,132
gate,bybit,BEATUSDT,0.6351,0.6348,-0.0472,1774065608000,0.00005000,,1774080000000,0.00005,,1774065600000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.63480,87,0.63477,357,0.63475,103,0.63474,270,0.63473,699,0.63465,87,0.63461,103,0.63453,87,0.63445,86,0.63442,45,0.63513,55,0.63518,9,0.63531,18,0.63532,9,0.63533,8,0.63537,41,0.63540,41,0.63544,41,0.63546,9,0.63548,41
gate,bybit,BEATUSDT,0.6353,0.6352,-0.0157,1774065609000,0.00005000,,1774080000000,0.00005,,1774080000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.63520,87,0.63517,2272,0.63516,146,0.63503,87,0.63500,103,0.63499,96,0.63488,40,0.63486,38,0.63485,176,0.63484,87,0.63532,1,0.63533,8,0.63535,32,0.63546,9,0.63548,18,0.63554,18,0.63560,50,0.63565,41,0.63568,2,0.63569,18
gate,bybit,BEATUSDT,0.6353,0.63525,-0.0079,1774065610000,0.00005000,,1774080000000,0.00005,,1774080000000,,,,,,,0.6343,246.3,0.634,243.1,0.6339,242.8,0.6337,94.2,0.6336,472.5,0.6335,85.1,0.6334,346.5,0.6333,246.2,0.6331,100,0.633,390.9,0.6353,858.9,0.636,331.2,0.6362,233.5,0.6363,885,0.6366,602,0.6368,225.7,0.637,184.1,0.6371,216.2,0.6372,192.9,0.6373,885,0.63517,7481,0.63512,142,0.63505,87,0.63499,9,0.63485,41,0.63484,87,0.63481,41,0.63480,87,0.63476,9,0.63475,144,0.63531,125,0.63532,1,0.63533,8,0.63535,32,0.63538,2,0.63545,24,0.63546,9,0.63547,13,0.63548,169,0.63554,18
gate,bybit,BEATUSDT,0.6349,0.63507,0.0268,1774065611000,0.00005000,,1774080000000,0.00005,,1774080000000,,,,,,,0.6344,206.7,0.6341,330.5,0.6339,248,0.6334,94.2,0.6333,273,0.6332,433,0.6331,1008,0.6328,292.8,0.6327,347.9,0.6326,100,0.6351,937.7,0.6355,776.9,0.6356,883,0.636,2.5,0.6362,198.1,0.6363,885,0.6366,274,0.6368,105.7,0.6371,275.3,0.6374,110.6,0.63476,9,0.63475,103,0.63469,23,0.63466,23,0.63465,87,0.63462,669,0.63461,103,0.63456,41,0.63453,87,0.63450,41,0.63502,24,0.63504,15,0.63506,24,0.63514,45,0.63518,350,0.63520,270,0.63530,87,0.63532,1,0.63533,8,0.63538,2
