spot_exch,fut_exch,symbol,ask_spot,bid_futures,spread_pct,ts,bn_fr,bn_fr_next,bn_fr_time,bb_fr,bb_fr_next,bb_fr_time,ok_fr,ok_fr_next,ok_fr_time,gt_fr,gt_fr_next,gt_fr_time,s_b1,s_b2,s_b3,s_b4,s_b5,s_b6,s_b7,s_b8,s_b9,s_b10,s_bq1,s_bq2,s_bq3,s_bq4,s_bq5,s_bq6,s_bq7,s_bq8,s_bq9,s_bq10,s_a1,s_a2,s_a3,s_a4,s_a5,s_a6,s_a7,s_a8,s_a9,s_a10,s_aq1,s_aq2,s_aq3,s_aq4,s_aq5,s_aq6,s_aq7,s_aq8,s_aq9,s_aq10,f_b1,f_b2,f_b3,f_b4,f_b5,f_b6,f_b7,f_b8,f_b9,f_b10,f_bq1,f_bq2,f_bq3,f_bq4,f_bq5,f_bq6,f_bq7,f_bq8,f_bq9,f_bq10,f_a1,f_a2,f_a3,f_a4,f_a5,f_a6,f_a7,f_a8,f_a9,f_a10,f_aq1,f_aq2,f_aq3,f_aq4,f_aq5,f_aq6,f_aq7,f_aq8,f_aq9,f_aq10
gate,binance,BANANAS31USDT,0.009394,0.0093930,-0.0106,1774075213000,0.00005000,,1774080000000,0.00005,,1774080000000,,,,,,,0.009382,6000,0.009374,5000,0.009373,14106,0.009372,5000,0.009371,108892.8,0.009364,18528.7,0.00935,6998.5,0.009347,6997.3,0.009345,393.8,0.009344,70070,0.009394,7800,0.009396,1910.5,0.009403,2461.9,0.009405,5496,0.009407,55530.6,0.009415,28381.8,0.009424,53056,0.009425,70110,0.00944,33924.4,0.009452,3917.9,0.0093930,52338,0.0093920,12390,0.0093910,18081,0.0093900,2199,0.0093890,27318,0.0093880,24473,0.0093870,16054,0.0093860,131153,0.0093850,31905,0.0093840,21515,0.0093940,6826,0.0093950,9597,0.0093960,8360,0.0093970,115305,0.0093980,41764,0.0093990,41264,0.0094000,38742,0.0094010,83742,0.0094020,55270,0.0094030,101308
gate,binance,BANANAS31USDT,0.009393,0.0093940,0.0106,1774075226000,0.00005000,,1774080000000,0.00005,,1774080000000,,,,,,,0.009382,6000,0.009374,5000,0.009373,14106,0.009372,5000,0.009371,108892.8,0.009364,18528.7,0.00935,6998.5,0.009347,6997.3,0.009345,393.8,0.009344,70070,0.009393,4150.2,0.009394,7800,0.009396,1910.5,0.009398,2461.9,0.009399,55570.6,0.009405,5496,0.009424,53056,0.009425,70110,0.00944,33924.4,0.009452,3917.9,0.0093930,7035,0.0093920,3253,0.0093910,1609,0.0093900,2199,0.0093890,32848,0.0093880,24473,0.0093870,15093,0.0093860,43653,0.0093850,31905,0.0093840,71515,0.0093940,24994,0.0093950,117154,0.0093960,11824,0.0093970,115305,0.0093980,25574,0.0093990,41264,0.0094000,38742,0.0094010,106587,0.0094020,179266,0.0094030,173104
gate,binance,BANANAS31USDT,0.009393,0.0093930,0.0,1774075227000,0.00005000,,1774080000000,0.00005,,1774080000000,,,,,,,0.009382,6000,0.009374,5000,0.009373,14106,0.009372,5000,0.009371,108892.8,0.009364,24910.7,0.00935,6998.5,0.009347,6997.3,0.009345,393.8,0.009344,70070,0.009393,4150.2,0.009394,7800,0.009396,1910.5,0.009398,2461.9,0.009399,55570.6,0.009405,5496,0.009424,53056,0.009425,70110,0.00944,33924.4,0.009452,3917.9,0.0093930,7035,0.0093920,1656,0.0093910,1609,0.0093900,2199,0.0093890,27318,0.0093880,24473,0.0093870,15093,0.0093860,43653,0.0093850,51060,0.0093840,71515,0.0093940,24994,0.0093950,117154,0.0093960,28677,0.0093970,115305,0.0093980,25574,0.0093990,41264,0.0094000,60261,0.0094010,148423,0.0094020,179266,0.0094030,173104
gate,binance,BANANAS31USDT,0.009393,0.0093910,-0.0213,1774075228000,0.00005000,,1774080000000,0.00005,,1774080000000,,,,,,,0.009382,6000,0.009374,5000,0.009372,5000,0.009371,108892.8,0.009364,18528.7,0.00935,6998.5,0.009347,6997.3,0.009345,393.8,0.009344,70070,0.009332,2343.7,0.009393,6612.1,0.009394,7800,0.009396,1910.5,0.009399,55570.6,0.009415,53107,0.009423,7519.6,0.009425,70110,0.00944,33924.4,0.009452,3917.9,0.009455,5774.9,0.0093910,5191,0.0093900,1656,0.0093890,12569,0.0093880,2199,0.0093870,10052,0.0093860,40828,0.0093850,31905,0.0093840,22059,0.0093830,111793,0.0093820,32374,0.0093920,33873,0.0093930,43126,0.0093940,15486,0.0093950,116072,0.0093960,39883,0.0093970,141841,0.0093980,43076,0.0093990,81728,0.0094000,86560,0.0094010,253128
gate,binance,BANANAS31USDT,0.009393,0.0093910,-0.0213,1774075230000,0.00005000,,1774080000000,,,,,,,,,,0.009378,6000,0.009372,5000,0.009371,108892.8,0.009364,18528.7,0.00935,6998.5,0.009344,70070,0.009332,2343.7,0.00933,72770.1,0.009327,22905.6,0.00932,360,0.009393,4150.2,0.009394,10261.9,0.009396,1910.5,0.009399,55570.6,0.009415,53107,0.009425,70110,0.00944,33924.4,0.009452,3917.9,0.009455,5774.9,0.009456,2560.1,0.0093910,5191,0.0093900,1656,0.0093890,10575,0.0093880,2199,0.0093870,10052,0.0093860,30128,0.0093850,31905,0.0093840,22059,0.0093830,111793,0.0093820,32374,0.0093920,141589,0.0093930,43696,0.0093940,15486,0.0093950,9074,0.0093960,52346,0.0093970,141841,0.0093980,41744,0.0093990,81728,0.0094000,86560,0.0094010,238151
gate,binance,BANANAS31USDT,0.009393,0.0093900,-0.0319,1774075232000,0.00005000,,1774080000000,0.00005,,1774080000000,,,,,,,0.009379,3616.2,0.009378,6000,0.009372,5000,0.009371,108892.8,0.009364,18528.7,0.00935,6998.5,0.009344,70070,0.009332,2343.7,0.00933,72770.1,0.009327,22905.6,0.009393,6612.1,0.009394,7800,0.009396,1910.5,0.009399,55570.6,0.009414,7519.6,0.009415,53107,0.009425,70110,0.00944,33924.4,0.009452,3917.9,0.009455,5774.9,0.0093900,55174,0.0093890,10575,0.0093880,2199,0.0093870,1067,0.0093860,18943,0.0093850,31905,0.0093840,22059,0.0093830,111793,0.0093820,64374,0.0093810,113797,0.0093910,47742,0.0093920,134618,0.0093930,41112,0.0093940,16591,0.0093950,25096,0.0093960,63057,0.0093970,130805,0.0093980,60638,0.0093990,70700,0.0094000,86560
gate,binance,BANANAS31USDT,0.009393,0.0093900,-0.0319,1774075233000,0.00005000,,1774080000000,,,,,,,,,,0.009379,3616.2,0.009378,6000,0.009372,5000,0.009371,108892.8,0.009364,18528.7,0.00935,6998.5,0.009344,70070,0.009332,2343.7,0.00933,72770.1,0.009327,22905.6,0.009393,4150.2,0.009394,7800,0.009395,2461.9,0.009396,1910.5,0.009399,55570.6,0.009414,7519.6,0.009415,53107,0.009425,70110,0.00944,33924.4,0.009452,3917.9,0.0093900,55174,0.0093890,10575,0.0093880,2199,0.0093870,1067,0.0093860,18943,0.0093850,37405,0.0093840,46593,0.0093830,106293,0.0093820,64374,0.0093810,113797,0.0093910,678,0.0093920,111318,0.0093930,17358,0.0093940,16591,0.0093950,8530,0.0093960,34800,0.0093970,120285,0.0093980,44889,0.0093990,49549,0.0094000,41504
gate,binance,BANANAS31USDT,0.00939,0.0093900,0.0,1774075246000,0.00005000,,1774080000000,0.00005,,1774080000000,,,,,,,0.009379,3616.2,0.009378,6000,0.009372,5000,0.009371,108892.8,0.009368,18539.3,0.009366,18539.3,0.009361,53413,0.00935,6998.5,0.009344,70070,0.009332,2343.7,0.009391,7800,0.009398,2461.9,0.009399,55570.6,0.009401,6855,0.009414,7519.6,0.009415,53107,0.009425,70110,0.00944,36074.8,0.009452,3917.9,0.009455,5774.9,0.0093900,54220,0.0093890,10575,0.0093880,2199,0.0093870,1067,0.0093860,18943,0.0093850,31905,0.0093840,46558,0.0093830,31798,0.0093820,50151,0.0093810,113797,0.0093910,211213,0.0093920,3849,0.0093930,17358,0.0093940,16591,0.0093950,18598,0.0093960,59241,0.0093970,13880,0.0093980,116190,0.0093990,49549,0.0094000,51189
gate,binance,BANANAS31USDT,0.009389,0.0093880,-0.0107,1774075247000,0.00005000,,1774080000000,0.00005,,1774080000000,,,,,,,0.009378,6000,0.009372,5000,0.009371,53356,0.009367,55609.9,0.009366,18539.3,0.009365,18542.3,0.00935,6998.5,0.009344,70070,0.009332,2343.7,0.00933,73163.9,0.00939,7901.1,0.009391,7800,0.009399,55570.6,0.009401,6855,0.009414,7519.6,0.009415,53107,0.009425,70110,0.00944,36074.8,0.009452,3917.9,0.009455,5774.9,0.0093850,10906,0.0093840,7511,0.0093830,1067,0.0093820,18944,0.0093810,28520,0.0093800,35256,0.0093790,31974,0.0093780,32586,0.0093770,31999,0.0093760,58333,0.0093860,10105,0.0093870,54455,0.0093880,47354,0.0093890,88248,0.0093900,96584,0.0093910,229534,0.0093920,14074,0.0093930,172200,0.0093940,88136,0.0093950,28695
gate,binance,BANANAS31USDT,0.009382,0.0093820,0.0,1774075248000,0.00005000,,1774080000000,0.00005,,1774080000000,,,,,,,0.009372,6000,0.009371,53356,0.009345,5000,0.009344,70070,0.009332,2343.7,0.00933,73163.9,0.009327,22905.6,0.00932,360,0.009316,3284.4,0.009315,485.3,0.009385,5929.4,0.009388,5285,0.009396,3463,0.009397,28386.3,0.009399,55570.6,0.009415,53107,0.009425,70110,0.009434,3046.3,0.00944,36074.8,0.009452,3917.9,0.0093820,1657,0.0093810,3068,0.0093800,5390,0.0093790,2657,0.0093780,19157,0.0093770,31999,0.0093760,32526,0.0093750,37049,0.0093740,32525,0.0093730,35389,0.0093830,79349,0.0093840,28669,0.0093850,42444,0.0093860,32575,0.0093870,55521,0.0093880,87602,0.0093890,94127,0.0093900,223040,0.0093910,234821,0.0093920,85400
