spot_exch,fut_exch,symbol,ask_spot,bid_futures,spread_pct,ts,bn_fr,bn_fr_next,bn_fr_time,bb_fr,bb_fr_next,bb_fr_time,ok_fr,ok_fr_next,ok_fr_time,gt_fr,gt_fr_next,gt_fr_time,s_b1,s_b2,s_b3,s_b4,s_b5,s_b6,s_b7,s_b8,s_b9,s_b10,s_bq1,s_bq2,s_bq3,s_bq4,s_bq5,s_bq6,s_bq7,s_bq8,s_bq9,s_bq10,s_a1,s_a2,s_a3,s_a4,s_a5,s_a6,s_a7,s_a8,s_a9,s_a10,s_aq1,s_aq2,s_aq3,s_aq4,s_aq5,s_aq6,s_aq7,s_aq8,s_aq9,s_aq10,f_b1,f_b2,f_b3,f_b4,f_b5,f_b6,f_b7,f_b8,f_b9,f_b10,f_bq1,f_bq2,f_bq3,f_bq4,f_bq5,f_bq6,f_bq7,f_bq8,f_bq9,f_bq10,f_a1,f_a2,f_a3,f_a4,f_a5,f_a6,f_a7,f_a8,f_a9,f_a10,f_aq1,f_aq2,f_aq3,f_aq4,f_aq5,f_aq6,f_aq7,f_aq8,f_aq9,f_aq10
gate,bybit,PTBUSDT,0.001483,0.0014875,0.3034,1774075203000,,,,0.0002012,,1774080000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0014875,3700,0.0014870,3700,0.0014868,240,0.0014867,10980,0.0014865,15010,0.0014864,10490,0.0014863,35610,0.0014861,10700,0.0014860,39320,0.0014858,10560,0.0014890,3700,0.0014892,13970,0.0014895,3700,0.0014896,10660,0.0014898,77640,0.0014900,3700,0.0014904,10490,0.0014905,39240,0.0014906,10560,0.0014910,3690
gate,bybit,PTBUSDT,0.001483,0.0014875,0.3034,1774075204000,,,,0.0002012,,1774080000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0014875,3700,0.0014870,3700,0.0014868,240,0.0014865,13750,0.0014864,10490,0.0014863,35610,0.0014861,10700,0.0014860,39320,0.0014858,10560,0.0014855,3710,0.0014889,61340,0.0014890,3700,0.0014892,10550,0.0014895,3700,0.0014896,10660,0.0014898,77640,0.0014900,3700,0.0014904,10490,0.0014905,3700,0.0014906,10560
gate,bybit,PTBUSDT,0.0014829,0.0014876,0.3169,1774075208000,,,,0.0002012,,1774080000000,,,,,,,0.0014811,161682,0.001481,18242,0.0014809,107261,0.0014795,50000,0.0014794,425688,0.001478,50000,0.0014779,425688,0.0014764,261423,0.0014763,425688,0.0014751,65019,0.0014829,121273,0.001483,86866,0.0014832,109321,0.001484,425688,0.0014855,403265,0.0014868,19324,0.0014869,19319,0.0014871,117292,0.0014882,425688,0.0014903,425688,0.0014875,3700,0.0014870,3700,0.0014868,240,0.0014865,13750,0.0014864,10490,0.0014863,35610,0.0014861,10700,0.0014860,39320,0.0014858,10560,0.0014855,3710,0.0014888,10470,0.0014890,3700,0.0014892,10550,0.0014895,3700,0.0014896,10660,0.0014898,10560,0.0014900,3700,0.0014904,10490,0.0014905,21470,0.0014906,10560
gate,bybit,PTBUSDT,0.0014828,0.0014875,0.317,1774075209000,,,,0.00019248,,1774080000000,,,,,,,0.0014809,18242,0.0014808,154224,0.0014795,50000,0.0014794,425688,0.001478,50000,0.0014779,425688,0.0014764,261423,0.0014763,425688,0.0014751,65019,0.001475,357816,0.0014828,80627,0.0014829,76403,0.001483,86866,0.0014832,109321,0.001484,425688,0.0014855,403265,0.0014866,19319,0.0014867,19315,0.0014871,117292,0.0014882,425688,0.0014875,3700,0.0014870,3700,0.0014868,240,0.0014865,13750,0.0014864,10490,0.0014863,35610,0.0014861,10700,0.0014860,39320,0.0014858,10560,0.0014855,3710,0.0014888,61270,0.0014890,3700,0.0014892,10550,0.0014895,3700,0.0014896,10660,0.0014898,10560,0.0014900,39240,0.0014901,67110,0.0014902,10420,0.0014904,46030
gate,bybit,PTBUSDT,0.0014824,0.0014865,0.2766,1774075211000,,,,0.00019248,,1774080000000,,,,,,,0.0014806,18242,0.0014805,103624,0.0014795,50000,0.001478,50000,0.0014779,425688,0.0014764,261423,0.0014763,425688,0.0014751,65019,0.001475,357816,0.0014748,356460,0.0014827,82212,0.001484,425688,0.0014855,403265,0.0014868,19316,0.0014869,19314,0.0014871,117292,0.0014882,425688,0.001489,357980,0.0014903,425688,0.0014905,357046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gate,bybit,PTBUSDT,0.0014824,0.0014865,0.2766,1774075212000,,,,0.00019248,,1774080000000,,,,,,,0.00148,18242,0.001478,50000,0.0014779,425688,0.0014764,50000,0.0014763,425688,0.0014751,210507,0.001475,422834,0.0014748,356460,0.0014746,425688,0.0014742,1046,0.0014824,91946,0.0014828,79435,0.001484,425688,0.0014855,422563,0.001487,19304,0.0014871,117292,0.0014882,425688,0.001489,357980,0.0014903,425688,0.0014905,357046,0.0014875,3700,0.0014870,3700,0.0014868,240,0.0014865,13750,0.0014864,10490,0.0014863,35610,0.0014861,10700,0.0014860,39320,0.0014858,10560,0.0014855,3710,0.0014887,10470,0.0014888,50800,0.0014889,3490,0.0014890,3700,0.0014892,10550,0.0014895,3700,0.0014896,10660,0.0014898,10560,0.0014900,39240,0.0014901,67110
gate,bybit,PTBUSDT,0.0014822,0.0014872,0.3373,1774075214000,,,,0.00019248,,1774080000000,,,,,,,0.0014798,18242,0.0014797,96640,0.001478,50000,0.0014779,425688,0.0014764,50000,0.0014763,425688,0.0014751,210507,0.001475,357816,0.0014748,356460,0.0014746,490706,0.0014822,188358,0.0014828,79435,0.001484,425688,0.0014853,19299,0.0014855,403265,0.0014871,117292,0.0014882,425688,0.001489,357980,0.0014903,425688,0.0014905,357046,0.0014872,1750,0.0014865,3700,0.0014860,3710,0.0014855,13820,0.0014853,11380,0.0014852,10660,0.0014851,56480,0.0014850,3710,0.0014849,10900,0.0014845,3710,0.0014880,10470,0.0014886,10180,0.0014887,10420,0.0014888,11350,0.0014890,3700,0.0014891,35540,0.0014892,10550,0.0014894,10420,0.0014895,3700,0.0014896,46200
gate,bybit,PTBUSDT,0.0014822,0.0014872,0.3373,1774075215000,,,,0.00019248,,1774080000000,,,,,,,0.0014811,18242,0.001481,200000,0.001478,50000,0.0014779,425688,0.0014764,260649,0.0014763,425688,0.0014751,65020,0.001475,357816,0.0014748,356460,0.0014746,425688,0.0014822,188358,0.0014828,79435,0.001484,425688,0.0014855,403265,0.001487,38624,0.0014871,117292,0.0014882,425688,0.001489,357980,0.0014903,425688,0.0014905,357046,0.0014872,1750,0.0014865,3700,0.0014860,3710,0.0014857,15170,0.0014856,10710,0.0014855,3710,0.0014853,18940,0.0014852,10660,0.0014851,56480,0.0014850,3710,0.0014880,10470,0.0014886,10180,0.0014887,10420,0.0014888,11350,0.0014890,3700,0.0014891,35540,0.0014894,10420,0.0014895,3700,0.0014896,46200,0.0014898,10560
gate,bybit,PTBUSDT,0.0014822,0.0014875,0.3576,1774075218000,,,,0.00019248,,1774080000000,,,,,,,0.0014812,18242,0.0014811,200000,0.001478,50000,0.0014779,425688,0.0014765,219017,0.0014764,50000,0.0014763,425688,0.0014751,65020,0.001475,357816,0.0014748,356460,0.0014822,188358,0.0014828,79435,0.001484,425688,0.0014855,403265,0.0014869,19318,0.0014871,117292,0.0014882,425688,0.001489,357980,0.0014899,337700,0.0014903,425688,0.0014875,970,0.0014872,1750,0.0014865,3700,0.0014860,16740,0.0014859,10710,0.0014857,15170,0.0014856,10710,0.0014855,3710,0.0014853,18940,0.0014852,10660,0.0014879,10710,0.0014886,10180,0.0014887,10420,0.0014890,3700,0.0014891,35540,0.0014894,10420,0.0014895,3700,0.0014896,46200,0.0014898,10560,0.0014900,39240
gate,bybit,PTBUSDT,0.0014822,0.0014865,0.2901,1774075222000,,,,0.00019248,,1774080000000,,,,,,,0.0014812,18242,0.0014811,200000,0.001478,50000,0.0014779,425688,0.0014765,215065,0.0014764,50000,0.0014763,425688,0.0014751,65020,0.001475,357816,0.0014748,356460,0.0014822,188358,0.0014828,79435,0.001484,425688,0.0014855,403265,0.0014869,19318,0.0014871,117292,0.0014882,425688,0.001489,357980,0.0014903,425688,0.0014905,357046,0.0014875,970,0.0014872,1750,0.0014865,3700,0.0014860,16740,0.0014859,10710,0.0014857,15170,0.0014856,10710,0.0014855,3710,0.0014853,18940,0.0014852,10660,0.0014879,10710,0.0014886,10180,0.0014887,10420,0.0014890,3700,0.0014891,35540,0.0014894,10420,0.0014895,3700,0.0014896,46200,0.0014898,10560,0.0014900,39240
gate,bybit,PTBUSDT,0.0014822,0.0014862,0.2699,1774075224000,,,,0.00019248,,1774080000000,,,,,,,0.0014811,18519,0.001478,50000,0.0014779,425688,0.0014765,215065,0.0014764,50000,0.0014763,425688,0.0014751,65020,0.001475,357816,0.0014748,356460,0.0014746,425688,0.0014822,100483,0.0014827,13681,0.0014828,79435,0.001484,425688,0.0014855,403265,0.0014867,19311,0.0014868,19316,0.0014871,117292,0.0014882,425688,0.001489,357980,0.0014862,56490,0.0014861,56480,0.0014860,56480,0.0014859,56750,0.0014856,10710,0.0014855,3710,0.0014852,10660,0.0014851,56480,0.0014850,3710,0.0014849,10900,0.0014879,10710,0.0014885,15130,0.0014886,10180,0.0014887,10420,0.0014890,18900,0.0014891,10710,0.0014893,15240,0.0014894,10420,0.0014895,39240,0.0014896,10660
gate,bybit,PTBUSDT,0.0014821,0.0014862,0.2766,1774075228000,,,,0.00019248,,1774080000000,,,,,,,0.0014808,18519,0.0014782,144212,0.001478,50000,0.0014779,425688,0.0014765,215065,0.0014764,50000,0.0014763,425688,0.001475,422835,0.0014748,356460,0.0014746,425688,0.0014822,100483,0.0014827,13681,0.0014828,79435,0.001484,425688,0.0014855,422569,0.001487,19312,0.0014871,117292,0.0014882,425688,0.001489,357980,0.0014903,425688,0.0014865,10540,0.0014863,56490,0.0014862,56480,0.0014861,56480,0.0014860,56480,0.0014859,56750,0.0014856,10710,0.0014855,3710,0.0014852,10660,0.0014851,56480,0.0014879,10710,0.0014885,15130,0.0014886,10180,0.0014887,10420,0.0014890,18900,0.0014891,10710,0.0014893,15240,0.0014894,10420,0.0014895,39240,0.0014898,10560
gate,bybit,PTBUSDT,0.0014821,0.001486,0.2631,1774075232000,,,,0.00019248,,1774080000000,,,,,,,0.0014802,143255,0.0014801,18519,0.00148,156578,0.001478,50000,0.0014779,425688,0.0014766,50000,0.0014765,215065,0.0014764,50000,0.0014763,425688,0.001475,357816,0.0014821,105453,0.0014822,100483,0.0014828,79435,0.001484,425688,0.0014854,19287,0.0014855,422559,0.0014871,117292,0.0014882,425688,0.001489,357980,0.0014903,425688,0.0014860,56480,0.0014859,56750,0.0014856,10710,0.0014855,3710,0.0014852,10660,0.0014851,56480,0.0014850,3710,0.0014849,10900,0.0014845,3710,0.0014843,11140,0.0014877,10540,0.0014878,11390,0.0014879,17500,0.0014885,15130,0.0014887,10420,0.0014890,3700,0.0014891,10710,0.0014892,35540,0.0014894,10420,0.0014895,39240
gate,bybit,PTBUSDT,0.0014819,0.0014856,0.2497,1774075236000,,,,0.00019248,,1774080000000,,,,,,,0.0014805,18519,0.001478,50000,0.0014779,425688,0.0014766,50000,0.0014765,205460,0.0014764,50000,0.0014763,425688,0.0014751,65020,0.001475,357816,0.0014748,356460,0.001482,108097,0.0014839,13681,0.001484,425688,0.0014855,403265,0.0014869,19298,0.001487,19304,0.0014871,117292,0.0014882,425688,0.001489,357980,0.0014895,337564,0.0014856,10710,0.0014855,3710,0.0014852,10660,0.0014851,56480,0.0014850,3710,0.0014849,10900,0.0014845,3710,0.0014843,11140,0.0014841,10560,0.0014840,3710,0.0014875,10540,0.0014876,11390,0.0014879,10710,0.0014885,15130,0.0014887,10420,0.0014888,15520,0.0014889,35540,0.0014890,3700,0.0014891,10710,0.0014894,10420
gate,bybit,PTBUSDT,0.0014819,0.0014856,0.2497,1774075237000,,,,0.00019248,,1774080000000,,,,,,,0.0014792,18519,0.0014791,107016,0.001478,50000,0.0014779,425688,0.0014768,50000,0.0014767,202715,0.0014764,50000,0.0014763,425688,0.001475,423794,0.0014748,356460,0.0014819,13681,0.001482,108097,0.001484,425688,0.0014855,422566,0.0014868,19307,0.0014871,117292,0.0014882,425688,0.001489,357980,0.0014895,337564,0.0014903,425688,0.0014856,10710,0.0014855,3710,0.0014852,10660,0.0014851,56480,0.0014850,3710,0.0014849,10900,0.0014845,3710,0.0014843,11140,0.0014841,10560,0.0014840,3710,0.0014874,11390,0.0014875,10540,0.0014879,10710,0.0014882,11640,0.0014885,15130,0.0014887,10420,0.0014888,15520,0.0014889,35540,0.0014890,3700,0.0014891,10710
gate,bybit,PTBUSDT,0.0014819,0.0014855,0.2429,1774075238000,,,,0.00019248,,1774080000000,,,,,,,0.0014798,18519,0.0014797,122952,0.0014794,50000,0.001478,50000,0.0014779,425688,0.0014764,50000,0.0014763,425688,0.0014751,211339,0.001475,423792,0.0014748,356460,0.0014819,114336,0.001482,108097,0.001484,425688,0.0014855,422547,0.001487,19289,0.0014871,117292,0.0014882,425688,0.001489,357980,0.0014903,425688,0.0014905,357046,0.0014855,3710,0.0014852,10660,0.0014851,56480,0.0014850,3710,0.0014849,10900,0.0014845,3710,0.0014843,11140,0.0014841,10560,0.0014840,3710,0.0014839,10900,0.0014872,10490,0.0014873,50800,0.0014874,11390,0.0014879,10710,0.0014885,3700,0.0014887,10420,0.0014889,35540,0.0014890,3700,0.0014891,10710,0.0014894,10420
