spot_exch,fut_exch,symbol,ask_spot,bid_futures,spread_pct,ts,bn_fr,bn_fr_next,bn_fr_time,bb_fr,bb_fr_next,bb_fr_time,ok_fr,ok_fr_next,ok_fr_time,gt_fr,gt_fr_next,gt_fr_time,s_b1,s_b2,s_b3,s_b4,s_b5,s_b6,s_b7,s_b8,s_b9,s_b10,s_bq1,s_bq2,s_bq3,s_bq4,s_bq5,s_bq6,s_bq7,s_bq8,s_bq9,s_bq10,s_a1,s_a2,s_a3,s_a4,s_a5,s_a6,s_a7,s_a8,s_a9,s_a10,s_aq1,s_aq2,s_aq3,s_aq4,s_aq5,s_aq6,s_aq7,s_aq8,s_aq9,s_aq10,f_b1,f_b2,f_b3,f_b4,f_b5,f_b6,f_b7,f_b8,f_b9,f_b10,f_bq1,f_bq2,f_bq3,f_bq4,f_bq5,f_bq6,f_bq7,f_bq8,f_bq9,f_bq10,f_a1,f_a2,f_a3,f_a4,f_a5,f_a6,f_a7,f_a8,f_a9,f_a10,f_aq1,f_aq2,f_aq3,f_aq4,f_aq5,f_aq6,f_aq7,f_aq8,f_aq9,f_aq10
gate,bybit,UAIUSDT,0.364,0.36264,-0.3736,1774080003000,,,,,,,,,,,,,0.36271,211,0.36253,149,0.36252,1543,0.36249,1543,0.36147,3639,0.36057,177,0.36049,128,0.36045,4440,0.36009,181,0.35925,66,0.364,39,0.36401,89,0.3644,180,0.36445,1545,0.36508,175,0.36509,1545,0.3654,66,0.36541,3644,0.3658,10,0.36624,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gate,bybit,UAIUSDT,0.36401,0.3629,-0.3049,1774080004000,,,,,,,,,,,,,0.36298,133,0.36275,188,0.36274,2202,0.36252,1543,0.36249,1543,0.36147,3639,0.36057,177,0.36049,128,0.36045,4440,0.3601,181,0.36401,89,0.36452,121,0.36471,157,0.36472,39,0.36473,133,0.3649,133,0.36507,141,0.36508,133,0.36509,1545,0.36524,1543,0.36271,172,0.36268,195,0.36267,109,0.36264,212,0.36263,14,0.36260,168,0.36257,54,0.36256,151,0.36255,54,0.36254,27,0.36278,368,0.36284,39,0.36287,107,0.36290,16,0.36292,41,0.36293,54,0.36295,27,0.36296,27,0.36298,302,0.36299,83
gate,bybit,UAIUSDT,0.36435,0.36271,-0.4501,1774080005000,,,,0.00005,,1774080000000,,,,,,,0.36299,89,0.3628,133,0.36255,204,0.36252,1543,0.36249,1543,0.36201,1301,0.36147,3639,0.3605,177,0.36049,128,0.36045,4440,0.364,39,0.36418,133,0.36435,133,0.36452,121,0.36471,157,0.36472,89,0.36473,133,0.36505,123,0.36507,141,0.36509,1545,0.36270,16,0.36264,212,0.36261,126,0.36260,16,0.36255,27,0.36254,81,0.36252,595,0.36251,54,0.36250,16,0.36248,54,0.36271,127,0.36282,109,0.36285,109,0.36288,163,0.36290,229,0.36291,163,0.36294,27,0.36297,27,0.36298,275,0.36299,260
gate,bybit,UAIUSDT,0.36434,0.36308,-0.3458,1774080006000,,,,0.00005,,1774080000000,,,,,,,0.363,251,0.36299,89,0.3628,133,0.36255,204,0.36253,141,0.36252,1543,0.36249,1543,0.36147,3639,0.3605,177,0.36049,128,0.36434,39,0.36452,121,0.36471,157,0.36472,89,0.365,120,0.36501,115,0.36502,128,0.36509,1545,0.36523,175,0.36524,1543,0.36270,16,0.36264,18,0.36261,154,0.36260,16,0.36253,27,0.36252,595,0.36251,54,0.36250,16,0.36248,54,0.36245,54,0.36271,236,0.36282,109,0.36285,109,0.36286,27,0.36288,163,0.36291,163,0.36294,54,0.36297,54,0.36298,275,0.36299,260
gate,bybit,UAIUSDT,0.36472,0.36363,-0.2989,1774080007000,,,,0.00005,,1774080000000,,,,,,,0.3635,133,0.36321,117,0.3632,118,0.36319,133,0.363,2202,0.36299,89,0.36252,1543,0.36249,1543,0.36221,3636,0.36058,177,0.36472,89,0.36508,39,0.36509,1545,0.36524,1543,0.3658,10,0.36624,191,0.36638,3636,0.3673,182,0.36735,9,0.3679,606,0.36271,31,0.36270,98,0.36264,45,0.36261,126,0.36260,16,0.36256,54,0.36255,245,0.36254,54,0.36253,153,0.36252,568,0.36282,76,0.36285,109,0.36288,109,0.36291,163,0.36294,54,0.36297,81,0.36298,275,0.36300,1420,0.36302,4228,0.36303,114
gate,bybit,UAIUSDT,0.36472,0.36345,-0.3482,1774080008000,,,,0.00005,,1774080000000,,,,,,,0.36352,141,0.36351,2202,0.36299,89,0.36252,1543,0.36249,1543,0.36221,3636,0.36143,127,0.36121,4430,0.36061,182,0.3606,66,0.36472,128,0.36507,133,0.36509,1545,0.36524,1543,0.3658,10,0.36624,16,0.36635,175,0.36636,66,0.36638,3636,0.36703,1939,0.36271,87,0.36270,98,0.36264,45,0.36261,126,0.36260,16,0.36256,207,0.36254,54,0.36253,153,0.36252,568,0.36251,54,0.36282,76,0.36291,87,0.36294,54,0.36295,38,0.36297,234,0.36298,130,0.36299,275,0.36300,1420,0.36301,56,0.36302,4228
gate,bybit,UAIUSDT,0.36472,0.36395,-0.2111,1774080009000,,,,0.00005,,1774094400000,,,,,,,0.36388,256,0.36387,2202,0.36356,1543,0.36354,1542,0.36299,89,0.36221,3636,0.36143,127,0.36076,66,0.36075,759,0.36063,182,0.36472,89,0.36538,256,0.36539,39,0.36557,133,0.36578,172,0.3658,10,0.36597,156,0.36598,1542,0.36614,175,0.36615,1543,0.36278,109,0.36276,204,0.36275,196,0.36274,304,0.36272,152,0.36271,196,0.36270,98,0.36264,289,0.36262,148,0.36261,126,0.36294,23,0.36297,27,0.36299,275,0.36300,1393,0.36302,4255,0.36303,58,0.36305,27,0.36306,1002,0.36308,27,0.36309,27
gate,bybit,UAIUSDT,0.36554,0.36411,-0.3912,1774080010000,,,,0.00005,,1774094400000,,,,,,,0.36388,268,0.36387,2202,0.36356,1543,0.36354,1542,0.36299,89,0.36221,3636,0.36143,127,0.36078,66,0.36077,182,0.36075,759,0.36472,5,0.36537,39,0.36554,133,0.36578,172,0.3658,10,0.36597,156,0.36598,1542,0.36615,1543,0.36624,16,0.36636,175,0.36290,87,0.36289,19,0.36286,109,0.36285,109,0.36282,87,0.36281,50,0.36276,204,0.36275,54,0.36272,54,0.36270,98,0.36294,23,0.36300,16,0.36302,4228,0.36303,4,0.36306,975,0.36309,27,0.36310,16,0.36311,32,0.36313,27,0.36314,27
gate,bybit,UAIUSDT,0.36553,0.36439,-0.3119,1774080011000,,,,0.00005,,1774094400000,,,,,,,0.36416,133,0.36388,268,0.36387,2202,0.36356,1543,0.36354,1542,0.3634,315,0.36221,3636,0.36143,127,0.36139,4428,0.36115,182,0.36553,39,0.3658,10,0.36597,141,0.36598,1542,0.36615,1543,0.36624,16,0.36636,175,0.36638,3636,0.3681,66,0.36811,51,0.36319,400,0.36318,172,0.36311,153,0.36306,192,0.36305,246,0.36304,54,0.36301,54,0.36298,54,0.36297,194,0.36296,27,0.36320,8,0.36328,78,0.36330,362,0.36334,9,0.36335,27,0.36336,27,0.36339,27,0.36340,16,0.36341,106,0.36342,55
gate,bybit,UAIUSDT,0.36578,0.36442,-0.3718,1774080012000,,,,0.00005,,1774094400000,,,,,,,0.36451,2202,0.36388,12,0.36356,1543,0.36354,1542,0.36236,127,0.36223,4418,0.36221,3636,0.36117,183,0.36114,176,0.36075,742,0.36579,39,0.3658,10,0.36623,123,0.36624,16,0.36653,227,0.3667,133,0.36686,175,0.36687,533,0.36689,133,0.3669,891,0.36350,86,0.36349,195,0.36348,304,0.36345,304,0.36343,304,0.36340,16,0.36339,54,0.36338,27,0.36337,54,0.36335,27,0.36351,127,0.36364,39,0.36368,54,0.36370,17,0.36371,160,0.36379,27,0.36380,70,0.36383,205,0.36384,8,0.36386,54
gate,bybit,UAIUSDT,0.3654,0.36411,-0.353,1774080015000,,,,0.00005,,1774094400000,,,,,,,0.3639,250,0.36389,2202,0.36388,12,0.36356,1543,0.36354,1542,0.3632,728,0.36236,127,0.36221,3636,0.36174,4424,0.3612,183,0.36541,39,0.36559,133,0.36578,116,0.3658,10,0.36597,141,0.36623,123,0.36624,16,0.36649,211,0.36651,207,0.36659,651,0.36411,864,0.36405,14,0.36401,54,0.36400,64,0.36398,54,0.36396,54,0.36395,54,0.36393,576,0.36391,54,0.36388,54,0.36419,127,0.36423,86,0.36424,45,0.36426,109,0.36429,86,0.36430,157,0.36434,345,0.36436,27,0.36437,27,0.36440,71
gate,bybit,UAIUSDT,0.36536,0.36393,-0.3914,1774080016000,,,,0.00005,,1774094400000,,,,,,,0.3639,128,0.36388,12,0.36356,1543,0.36354,1542,0.36236,127,0.36221,3636,0.36174,4424,0.3612,183,0.36114,176,0.36036,10,0.36536,211,0.36537,39,0.36538,226,0.36578,116,0.3658,10,0.36597,141,0.36605,203,0.36606,1539,0.36624,16,0.36679,175,0.36414,168,0.36412,86,0.36411,358,0.36405,199,0.36404,576,0.36401,54,0.36400,64,0.36399,27,0.36398,27,0.36396,54,0.36430,20,0.36434,345,0.36437,39,0.36439,27,0.36440,44,0.36443,27,0.36444,27,0.36445,111,0.36447,64,0.36449,4
