spot_exch,fut_exch,symbol,ask_spot,bid_futures,spread_pct,ts,fr,fr_next,fr_time,s_b1,s_b2,s_b3,s_b4,s_b5,s_b6,s_b7,s_b8,s_b9,s_b10,s_bq1,s_bq2,s_bq3,s_bq4,s_bq5,s_bq6,s_bq7,s_bq8,s_bq9,s_bq10,s_a1,s_a2,s_a3,s_a4,s_a5,s_a6,s_a7,s_a8,s_a9,s_a10,s_aq1,s_aq2,s_aq3,s_aq4,s_aq5,s_aq6,s_aq7,s_aq8,s_aq9,s_aq10,f_b1,f_b2,f_b3,f_b4,f_b5,f_b6,f_b7,f_b8,f_b9,f_b10,f_bq1,f_bq2,f_bq3,f_bq4,f_bq5,f_bq6,f_bq7,f_bq8,f_bq9,f_bq10,f_a1,f_a2,f_a3,f_a4,f_a5,f_a6,f_a7,f_a8,f_a9,f_a10,f_aq1,f_aq2,f_aq3,f_aq4,f_aq5,f_aq6,f_aq7,f_aq8,f_aq9,f_aq10
binance,bybit,SXPUSDT,0.00810000,0.00814,0.4938,1774093560000,0.00018365,,1774108800000,0.00800000,1202397.80000000,0.00790000,1784072.60000000,0.00780000,1905126.00000000,0.00770000,1413967.80000000,0.00760000,1398931.20000000,0.00750000,1219569.20000000,0.00740000,348980.10000000,0.00730000,354865.10000000,0.00720000,380211.30000000,0.00710000,360834.00000000,0.00810000,412904.00000000,0.00820000,766622.60000000,0.00830000,484461.70000000,0.00840000,570764.30000000,0.00850000,373114.60000000,0.00860000,152820.20000000,0.00870000,55361.60000000,0.00880000,162339.00000000,0.00890000,176994.50000000,0.00900000,284171.10000000,0.00813,44959.4,0.00812,433131.0,0.00811,63193.3,0.00810,47322.2,0.00809,150356.1,0.00808,30322.2,0.00807,28600.4,0.00806,26731.6,0.00805,64924.1,0.00804,26305.6,0.00816,35753.8,0.00817,33155.4,0.00818,33890.6,0.00819,50413.9,0.00820,85463.8,0.00821,35334.9,0.00822,50092.9,0.00823,84185.6,0.00824,53531.8,0.00825,27273.9
binance,bybit,SXPUSDT,0.00810000,0.00813,0.3704,1774093579000,0.0002553,,1774108800000,0.00800000,1365418.40000000,0.00790000,1813174.50000000,0.00780000,1939100.20000000,0.00770000,1444237.10000000,0.00760000,1428181.20000000,0.00750000,1248819.20000000,0.00740000,378230.10000000,0.00730000,384115.10000000,0.00720000,409461.30000000,0.00710000,390084.00000000,0.00810000,345380.20000000,0.00820000,961485.70000000,0.00830000,392718.90000000,0.00840000,640803.20000000,0.00850000,421351.90000000,0.00860000,182070.20000000,0.00870000,84611.60000000,0.00880000,191589.00000000,0.00890000,206244.50000000,0.00900000,313421.10000000,0.00813,29272.2,0.00812,403841.3,0.00811,52916.2,0.00810,47198.8,0.00809,129291.6,0.00808,29827.1,0.00807,51027.5,0.00806,65164.2,0.00805,25077.5,0.00804,26429.8,0.00815,10825.7,0.00816,35016.7,0.00817,33155.4,0.00818,33890.6,0.00819,30520.7,0.00820,104108.0,0.00821,35943.9,0.00822,50092.9,0.00823,107645.5,0.00824,30071.1
binance,bybit,SXPUSDT,0.00810000,0.00812,0.2469,1774093591000,,,,0.00800000,1365418.40000000,0.00790000,1720365.00000000,0.00780000,1909850.20000000,0.00770000,1414987.10000000,0.00760000,1398931.20000000,0.00750000,1219569.20000000,0.00740000,348980.10000000,0.00730000,354865.10000000,0.00720000,380211.30000000,0.00710000,360834.00000000,0.00810000,316130.20000000,0.00820000,932235.70000000,0.00830000,363468.90000000,0.00840000,611553.20000000,0.00850000,392101.90000000,0.00860000,152820.20000000,0.00870000,55361.60000000,0.00880000,162339.00000000,0.00890000,176994.50000000,0.00900000,284171.10000000,0.00812,403783.8,0.00811,41184.6,0.00810,34958.1,0.00809,111978.5,0.00808,86176.6,0.00807,48784.1,0.00806,47795.7,0.00805,25077.5,0.00804,64460.4,0.00803,141892.8,0.00814,18311.6,0.00815,21851.8,0.00816,35023.8,0.00817,35965.4,0.00818,52580.4,0.00819,28936.1,0.00820,97577.7,0.00821,73187.0,0.00822,37979.0,0.00823,70492.9
binance,bybit,SXPUSDT,0.00810000,0.00812,0.2469,1774093592000,0.0002553,,1774108800000,0.00800000,1428183.40000000,0.00790000,1720365.00000000,0.00780000,1909850.20000000,0.00770000,1414987.10000000,0.00760000,1398931.20000000,0.00750000,1219569.20000000,0.00740000,348980.10000000,0.00730000,354865.10000000,0.00720000,380211.30000000,0.00710000,360834.00000000,0.00810000,316130.20000000,0.00820000,932235.70000000,0.00830000,363468.90000000,0.00840000,611553.20000000,0.00850000,392101.90000000,0.00860000,152820.20000000,0.00870000,55361.60000000,0.00880000,162339.00000000,0.00890000,176994.50000000,0.00900000,284171.10000000,0.00812,403783.8,0.00811,41184.6,0.00810,44852.6,0.00809,111978.5,0.00808,86176.6,0.00807,48784.1,0.00806,47795.7,0.00805,25077.5,0.00804,64460.4,0.00803,141892.8,0.00814,18311.6,0.00815,21851.8,0.00816,35023.8,0.00817,35965.4,0.00818,52580.4,0.00819,28936.1,0.00820,97577.7,0.00821,72578.0,0.00822,37979.0,0.00823,70492.9
binance,bybit,SXPUSDT,0.00810000,0.00812,0.2469,1774093609000,,,,0.00800000,1491046.40000000,0.00790000,1686055.50000000,0.00780000,1939100.20000000,0.00770000,1414987.10000000,0.00760000,1398931.20000000,0.00750000,1219569.20000000,0.00740000,348980.10000000,0.00730000,354865.10000000,0.00720000,380211.30000000,0.00710000,360834.00000000,0.00810000,343946.20000000,0.00820000,961485.70000000,0.00830000,392718.90000000,0.00840000,611553.20000000,0.00850000,392101.90000000,0.00860000,152820.20000000,0.00870000,55361.60000000,0.00880000,162339.00000000,0.00890000,176994.50000000,0.00900000,284171.10000000,0.00812,403783.8,0.00811,41184.6,0.00810,44852.6,0.00809,111978.5,0.00808,86176.6,0.00807,48784.1,0.00806,47795.7,0.00805,25077.5,0.00804,64460.4,0.00803,141892.8,0.00814,9396.4,0.00815,21851.8,0.00816,35023.8,0.00817,35965.4,0.00818,52580.4,0.00819,28936.1,0.00820,97577.7,0.00821,72578.0,0.00822,37979.0,0.00823,70492.9
binance,bybit,SXPUSDT,0.00810000,0.00812,0.2469,1774093629000,0.00032314,,1774108800000,0.00800000,1491046.40000000,0.00790000,1673419.50000000,0.00780000,1939100.20000000,0.00770000,1444237.10000000,0.00760000,1428181.20000000,0.00750000,1248819.20000000,0.00740000,378230.10000000,0.00730000,384115.10000000,0.00720000,409461.30000000,0.00710000,390084.00000000,0.00810000,343946.20000000,0.00820000,900251.50000000,0.00830000,453215.30000000,0.00840000,640803.20000000,0.00850000,421351.90000000,0.00860000,182070.20000000,0.00870000,84611.60000000,0.00880000,191589.00000000,0.00890000,206244.50000000,0.00900000,313421.10000000,0.00812,405039.7,0.00811,72234.9,0.00810,85253.1,0.00809,111978.5,0.00808,105097.7,0.00807,29839.5,0.00806,47795.7,0.00805,25077.5,0.00804,64460.4,0.00803,141892.8,0.00815,21851.8,0.00816,50171.4,0.00817,34862.2,0.00818,52580.4,0.00819,28814.1,0.00820,97577.7,0.00821,35334.9,0.00822,75176.8,0.00823,70492.9,0.00824,29464.4
binance,bybit,SXPUSDT,0.00810000,0.00812,0.2469,1774093669000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00812,405039.7,0.00811,52662.6,0.00810,96201.1,0.00809,111978.5,0.00808,105097.7,0.00807,29839.5,0.00806,47795.7,0.00805,25077.5,0.00804,64460.4,0.00803,141892.8,0.00814,32158.6,0.00815,20624.0,0.00816,28784.6,0.00817,34862.2,0.00818,52580.4,0.00819,28814.1,0.00820,97577.7,0.00821,35334.9,0.00822,75176.8,0.00823,70492.9
binance,bybit,SXPUSDT,0.00810000,0.00812,0.2469,1774093680000,0.00032314,,1774108800000,0.00800000,1491046.40000000,0.00790000,1654099.60000000,0.00780000,1909850.20000000,0.00770000,1414987.10000000,0.00760000,1398931.20000000,0.00750000,1219569.20000000,0.00740000,348980.10000000,0.00730000,354865.10000000,0.00720000,380211.30000000,0.00710000,360834.00000000,0.00810000,314696.20000000,0.00820000,871001.50000000,0.00830000,423965.30000000,0.00840000,611553.20000000,0.00850000,392101.90000000,0.00860000,152820.20000000,0.00870000,55361.60000000,0.00880000,162339.00000000,0.00890000,176994.50000000,0.00900000,284171.10000000,0.00812,405039.7,0.00811,26365.0,0.00810,97376.4,0.00809,111978.5,0.00808,105097.7,0.00807,29839.5,0.00806,47795.7,0.00805,25077.5,0.00804,64460.4,0.00803,141892.8,0.00814,32158.6,0.00815,20624.0,0.00816,28784.6,0.00817,34862.2,0.00818,52580.4,0.00819,28814.1,0.00820,97577.7,0.00821,35334.9,0.00822,75176.8,0.00823,70492.9
binance,bybit,SXPUSDT,0.00810000,0.00812,0.2469,1774093686000,0.00039045,,1774108800000,0.00800000,1496859.50000000,0.00790000,1654099.60000000,0.00780000,1909850.20000000,0.00770000,1414987.10000000,0.00760000,1398931.20000000,0.00750000,1219569.20000000,0.00740000,348980.10000000,0.00730000,354865.10000000,0.00720000,380211.30000000,0.00710000,360834.00000000,0.00810000,314696.20000000,0.00820000,871001.50000000,0.00830000,423965.30000000,0.00840000,630540.50000000,0.00850000,373114.60000000,0.00860000,152820.20000000,0.00870000,55361.60000000,0.00880000,162339.00000000,0.00890000,176994.50000000,0.00900000,284171.10000000,0.00812,409697.9,0.00811,27417.5,0.00810,58516.2,0.00809,129291.6,0.00808,34549.2,0.00807,51027.5,0.00806,26607.7,0.00805,63060.8,0.00804,26429.8,0.00803,68557.8,0.00815,22118.2,0.00816,19306.4,0.00817,35967.8,0.00818,34012.7,0.00819,46247.3,0.00820,97577.7,0.00821,35334.9,0.00822,41189.7,0.00823,107645.5,0.00824,29464.4
binance,bybit,SXPUSDT,0.00810000,0.00812,0.2469,1774093692000,0.00039045,,1774108800000,0.00800000,1496859.50000000,0.00790000,1654099.60000000,0.00780000,1909850.20000000,0.00770000,1414987.10000000,0.00760000,1398931.20000000,0.00750000,1219569.20000000,0.00740000,348980.10000000,0.00730000,354865.10000000,0.00720000,380211.30000000,0.00710000,360834.00000000,0.00810000,313718.90000000,0.00820000,871001.50000000,0.00830000,423965.30000000,0.00840000,630540.50000000,0.00850000,373114.60000000,0.00860000,152820.20000000,0.00870000,55361.60000000,0.00880000,162339.00000000,0.00890000,176994.50000000,0.00900000,284171.10000000,0.00812,409697.9,0.00811,34217.4,0.00810,60077.9,0.00809,111978.5,0.00808,86176.6,0.00807,48784.1,0.00806,47795.7,0.00805,25077.5,0.00804,103320.6,0.00803,141892.8,0.00815,22033.5,0.00816,43661.6,0.00817,35967.8,0.00818,52702.5,0.00819,27580.3,0.00820,97577.7,0.00821,72578.0,0.00822,41189.7,0.00823,70492.9,0.00824,103679.4
