spot_exch,fut_exch,symbol,ask_spot,bid_futures,spread_pct,ts,fr,fr_next,fr_time,s_b1,s_b2,s_b3,s_b4,s_b5,s_b6,s_b7,s_b8,s_b9,s_b10,s_bq1,s_bq2,s_bq3,s_bq4,s_bq5,s_bq6,s_bq7,s_bq8,s_bq9,s_bq10,s_a1,s_a2,s_a3,s_a4,s_a5,s_a6,s_a7,s_a8,s_a9,s_a10,s_aq1,s_aq2,s_aq3,s_aq4,s_aq5,s_aq6,s_aq7,s_aq8,s_aq9,s_aq10,f_b1,f_b2,f_b3,f_b4,f_b5,f_b6,f_b7,f_b8,f_b9,f_b10,f_bq1,f_bq2,f_bq3,f_bq4,f_bq5,f_bq6,f_bq7,f_bq8,f_bq9,f_bq10,f_a1,f_a2,f_a3,f_a4,f_a5,f_a6,f_a7,f_a8,f_a9,f_a10,f_aq1,f_aq2,f_aq3,f_aq4,f_aq5,f_aq6,f_aq7,f_aq8,f_aq9,f_aq10
binance,gate,FUNUSDT,0.00146500,0.03212,2092.4915,1774095568666,0.00005,0.00005,,0.00146400,5863.00000000,0.00146200,584443.00000000,0.00146100,274758.00000000,0.00146000,625310.00000000,0.00145900,499359.00000000,0.00145800,1009553.00000000,0.00145700,71854.00000000,0.00145600,763152.00000000,0.00145500,7609028.00000000,0.00145400,251344.00000000,0.00146500,18843.00000000,0.00146600,946795.00000000,0.00146700,60720.00000000,0.00146800,1528150.00000000,0.00146900,695761.00000000,0.00147000,500671.00000000,0.00147100,578883.00000000,0.00147200,581534.00000000,0.00147300,85331.00000000,0.00147400,263669.00000000,0.03212,15,0.03211,89,0.03209,14,0.03208,142,0.03202,15,0.03201,75,0.032,14,0.03199,10,0.03198,95,0.03193,10,0.03219,15,0.0322,90,0.03221,74,0.03222,14,0.03223,90,0.03227,15,0.03228,75,0.0323,1,0.03232,14,0.03233,10
binance,gate,FUNUSDT,0.00146500,0.03212,2092.4915,1774095568966,0.00005,0.00005,,0.00146400,5863.00000000,0.00146200,584443.00000000,0.00146100,274758.00000000,0.00146000,625310.00000000,0.00145900,499359.00000000,0.00145800,1009553.00000000,0.00145700,71854.00000000,0.00145600,763152.00000000,0.00145500,7609028.00000000,0.00145400,251344.00000000,0.00146500,18843.00000000,0.00146600,946795.00000000,0.00146700,60720.00000000,0.00146800,1528150.00000000,0.00146900,695761.00000000,0.00147000,500671.00000000,0.00147100,578883.00000000,0.00147200,581534.00000000,0.00147300,85331.00000000,0.00147400,263669.00000000,0.03212,15,0.03211,89,0.03209,14,0.03208,142,0.03202,15,0.03201,75,0.032,14,0.03199,10,0.03198,95,0.03193,10,0.03219,15,0.0322,164,0.03222,14,0.03223,90,0.03227,15,0.03228,75,0.0323,1,0.03232,14,0.03233,10,0.03234,89
binance,gate,FUNUSDT,0.00146500,0.03212,2092.4915,1774095569266,0.00005,0.00005,,0.00146400,978.00000000,0.00146200,584443.00000000,0.00146100,274758.00000000,0.00146000,625310.00000000,0.00145900,499359.00000000,0.00145800,1009553.00000000,0.00145700,71854.00000000,0.00145600,763152.00000000,0.00145500,7609028.00000000,0.00145400,251344.00000000,0.00146500,91822.00000000,0.00146600,946795.00000000,0.00146700,60720.00000000,0.00146800,1528150.00000000,0.00146900,695761.00000000,0.00147000,500671.00000000,0.00147100,578883.00000000,0.00147200,581534.00000000,0.00147300,85331.00000000,0.00147400,205173.00000000,0.03212,15,0.03211,89,0.03209,14,0.03208,142,0.03202,15,0.03201,75,0.032,14,0.03199,10,0.03198,95,0.03193,10,0.03219,15,0.0322,90,0.03222,88,0.03223,90,0.03227,15,0.03228,75,0.0323,1,0.03232,14,0.03233,10,0.03234,89
binance,gate,FUNUSDT,0.00146500,0.03212,2092.4915,1774095569566,0.00005,0.00005,,0.00146400,978.00000000,0.00146200,584443.00000000,0.00146100,274758.00000000,0.00146000,625310.00000000,0.00145900,499359.00000000,0.00145800,1009553.00000000,0.00145700,71854.00000000,0.00145600,763152.00000000,0.00145500,7609028.00000000,0.00145400,251344.00000000,0.00146500,91822.00000000,0.00146600,946795.00000000,0.00146700,60720.00000000,0.00146800,1528150.00000000,0.00146900,695761.00000000,0.00147000,500671.00000000,0.00147100,578883.00000000,0.00147200,581534.00000000,0.00147300,85331.00000000,0.00147400,205173.00000000,0.03212,15,0.03211,89,0.03209,14,0.03208,142,0.03202,15,0.03201,75,0.032,14,0.03199,10,0.03198,95,0.03193,10,0.03219,15,0.0322,90,0.03222,88,0.03223,90,0.03227,15,0.03228,75,0.0323,1,0.03232,14,0.03233,10,0.03234,89
binance,gate,FUNUSDT,0.00146300,0.03212,2095.4887,1774095569867,0.00005,0.00005,,0.00146000,700272.00000000,0.00145900,65337.00000000,0.00145800,585536.00000000,0.00145700,501344.00000000,0.00145600,991888.00000000,0.00145500,7609028.00000000,0.00145400,251344.00000000,0.00145300,777120.00000000,0.00145200,199551.00000000,0.00145100,706960.00000000,0.00146300,9718.00000000,0.00146400,637290.00000000,0.00146500,921618.00000000,0.00146600,88756.00000000,0.00146700,909359.00000000,0.00146800,670111.00000000,0.00146900,695761.00000000,0.00147000,691179.00000000,0.00147100,769391.00000000,0.00147200,581534.00000000,0.03212,15,0.03211,89,0.03209,14,0.03208,142,0.03202,15,0.03201,75,0.032,14,0.03199,10,0.03198,95,0.03193,10,0.03219,15,0.0322,90,0.03222,88,0.03223,90,0.03227,15,0.03228,75,0.0323,1,0.03232,14,0.03233,10,0.03234,89
binance,gate,FUNUSDT,0.00146300,0.03212,2095.4887,1774095570167,0.00005,0.00005,,0.00146000,700272.00000000,0.00145900,65337.00000000,0.00145800,585536.00000000,0.00145700,501344.00000000,0.00145600,991888.00000000,0.00145500,7609028.00000000,0.00145400,251344.00000000,0.00145300,777120.00000000,0.00145200,199551.00000000,0.00145100,706960.00000000,0.00146300,18843.00000000,0.00146400,637290.00000000,0.00146500,921618.00000000,0.00146600,88756.00000000,0.00146700,909359.00000000,0.00146800,670111.00000000,0.00146900,695761.00000000,0.00147000,691179.00000000,0.00147100,769391.00000000,0.00147200,581534.00000000,0.03212,15,0.03211,89,0.03209,14,0.03208,142,0.03202,15,0.03201,75,0.032,14,0.03199,10,0.03198,95,0.03193,10,0.03219,15,0.0322,90,0.03222,88,0.03223,90,0.03227,15,0.03228,75,0.0323,1,0.03232,14,0.03233,10,0.03234,89
binance,gate,FUNUSDT,0.00146300,0.03212,2095.4887,1774095570467,0.00005,0.00005,,0.00146000,700272.00000000,0.00145900,65337.00000000,0.00145800,585536.00000000,0.00145700,501344.00000000,0.00145600,991888.00000000,0.00145500,7609028.00000000,0.00145400,251344.00000000,0.00145300,777120.00000000,0.00145200,199551.00000000,0.00145100,706960.00000000,0.00146300,18843.00000000,0.00146400,583640.00000000,0.00146500,921618.00000000,0.00146600,88756.00000000,0.00146700,909359.00000000,0.00146800,670111.00000000,0.00146900,695761.00000000,0.00147000,691179.00000000,0.00147100,769391.00000000,0.00147200,581534.00000000,0.03212,15,0.03211,89,0.03209,14,0.03208,142,0.03202,15,0.03201,75,0.032,14,0.03199,10,0.03198,95,0.03193,10,0.03219,15,0.0322,90,0.03222,88,0.03223,90,0.03227,15,0.03228,75,0.0323,1,0.03232,14,0.03233,10,0.03234,89
binance,gate,FUNUSDT,0.00146300,0.03212,2095.4887,1774095570771,0.00005,0.00005,,0.00146000,700272.00000000,0.00145900,65337.00000000,0.00145800,585536.00000000,0.00145700,501344.00000000,0.00145600,991888.00000000,0.00145500,7550724.00000000,0.00145400,251344.00000000,0.00145300,777120.00000000,0.00145200,261690.00000000,0.00145100,706960.00000000,0.00146300,18843.00000000,0.00146400,583640.00000000,0.00146500,921618.00000000,0.00146600,518517.00000000,0.00146700,480016.00000000,0.00146800,670111.00000000,0.00146900,695761.00000000,0.00147000,257157.00000000,0.00147100,769391.00000000,0.00147200,581534.00000000,0.03212,15,0.03211,89,0.03209,14,0.03208,142,0.03202,15,0.03201,75,0.032,14,0.03199,10,0.03198,95,0.03193,10,0.03219,15,0.0322,90,0.03222,88,0.03223,90,0.03227,15,0.03228,75,0.0323,1,0.03232,14,0.03233,10,0.03234,89
binance,gate,FUNUSDT,0.00146300,0.03212,2095.4887,1774095571072,0.00005,0.00005,,0.00146000,700272.00000000,0.00145900,65337.00000000,0.00145800,585536.00000000,0.00145700,501344.00000000,0.00145600,991888.00000000,0.00145500,7550724.00000000,0.00145400,251344.00000000,0.00145300,777120.00000000,0.00145200,261690.00000000,0.00145100,706960.00000000,0.00146300,18843.00000000,0.00146400,583640.00000000,0.00146500,921618.00000000,0.00146600,518517.00000000,0.00146700,480016.00000000,0.00146800,670111.00000000,0.00146900,695761.00000000,0.00147000,257157.00000000,0.00147100,769391.00000000,0.00147200,581534.00000000,0.03212,15,0.03211,89,0.03209,14,0.03208,142,0.03202,15,0.03201,75,0.032,14,0.03199,10,0.03198,95,0.03193,10,0.03219,15,0.0322,164,0.03222,14,0.03223,90,0.03227,15,0.03228,75,0.0323,1,0.03232,14,0.03233,10,0.03234,89
binance,gate,FUNUSDT,0.00146300,0.03212,2095.4887,1774095571372,0.00005,0.00005,,0.00146000,700272.00000000,0.00145900,65337.00000000,0.00145800,585536.00000000,0.00145700,501344.00000000,0.00145600,991888.00000000,0.00145500,7550724.00000000,0.00145400,251344.00000000,0.00145300,777120.00000000,0.00145200,261690.00000000,0.00145100,706960.00000000,0.00146300,18843.00000000,0.00146400,1013615.00000000,0.00146500,492275.00000000,0.00146600,518517.00000000,0.00146700,480016.00000000,0.00146800,670111.00000000,0.00146900,695761.00000000,0.00147000,257157.00000000,0.00147100,769391.00000000,0.00147200,581534.00000000,0.03212,15,0.03211,89,0.03209,14,0.03208,142,0.03202,15,0.03201,75,0.032,14,0.03199,10,0.03198,95,0.03193,10,0.03219,15,0.0322,164,0.03222,14,0.03223,90,0.03227,15,0.03228,75,0.0323,1,0.03232,14,0.03233,10,0.03234,89
