spot_exch,fut_exch,symbol,ask_spot,bid_futures,spread_pct,ts,fr,fr_next,fr_time,s_b1,s_b2,s_b3,s_b4,s_b5,s_b6,s_b7,s_b8,s_b9,s_b10,s_bq1,s_bq2,s_bq3,s_bq4,s_bq5,s_bq6,s_bq7,s_bq8,s_bq9,s_bq10,s_a1,s_a2,s_a3,s_a4,s_a5,s_a6,s_a7,s_a8,s_a9,s_a10,s_aq1,s_aq2,s_aq3,s_aq4,s_aq5,s_aq6,s_aq7,s_aq8,s_aq9,s_aq10,f_b1,f_b2,f_b3,f_b4,f_b5,f_b6,f_b7,f_b8,f_b9,f_b10,f_bq1,f_bq2,f_bq3,f_bq4,f_bq5,f_bq6,f_bq7,f_bq8,f_bq9,f_bq10,f_a1,f_a2,f_a3,f_a4,f_a5,f_a6,f_a7,f_a8,f_a9,f_a10,f_aq1,f_aq2,f_aq3,f_aq4,f_aq5,f_aq6,f_aq7,f_aq8,f_aq9,f_aq10
gate,bybit,VANRYUSDT,0.005624,0.006065,7.8414,1774096543000,-0.00037694,,1774108800000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006065,18009,0.006064,4720,0.006063,16422,0.006062,21838,0.006061,22976,0.006060,20745,0.006059,34865,0.006058,85412,0.006057,38402,0.006056,31628,0.006066,21308,0.006067,4364,0.006068,16605,0.006069,40918,0.006070,65000,0.006071,48652,0.006072,34463,0.006073,26945,0.006074,83813,0.006075,26412
gate,bybit,VANRYUSDT,0.005624,0.006065,7.8414,1774096544007,-0.00037694,,1774108800000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006065,18009,0.006064,4720,0.006063,16422,0.006062,21838,0.006061,22976,0.006060,18897,0.006059,34865,0.006058,85412,0.006057,38402,0.006056,31628,0.006066,21308,0.006067,4364,0.006068,16605,0.006069,40918,0.006070,65000,0.006071,48652,0.006072,83275,0.006073,26945,0.006074,83813,0.006075,26412
gate,bybit,VANRYUSDT,0.005624,0.006065,7.8414,1774096544312,-0.00037694,,1774108800000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006065,18009,0.006064,4720,0.006063,16422,0.006062,21838,0.006061,22976,0.006060,18897,0.006059,34865,0.006058,85412,0.006057,38402,0.006056,31628,0.006066,21308,0.006067,4364,0.006068,16605,0.006069,40918,0.006070,65000,0.006071,48652,0.006072,83275,0.006073,26945,0.006074,83813,0.006075,26412
gate,bybit,VANRYUSDT,0.005624,0.006065,7.8414,1774096544617,-0.00037694,,1774108800000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006065,18009,0.006064,4720,0.006063,16422,0.006062,21838,0.006061,22976,0.006060,18897,0.006059,34865,0.006058,85412,0.006057,38402,0.006056,31628,0.006066,21308,0.006067,4364,0.006068,16605,0.006069,40918,0.006070,65000,0.006071,48652,0.006072,34463,0.006073,26945,0.006074,83813,0.006075,26412
gate,bybit,VANRYUSDT,0.005624,0.006065,7.8414,1774096544921,-0.00037694,,1774108800000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006065,18009,0.006064,4720,0.006063,16422,0.006062,19678,0.006061,22976,0.006060,18897,0.006059,34865,0.006058,85412,0.006057,38402,0.006056,31628,0.006066,27803,0.006067,4364,0.006068,16605,0.006069,40918,0.006070,65000,0.006071,48652,0.006072,34463,0.006073,26945,0.006074,83813,0.006075,26412
gate,bybit,VANRYUSDT,0.005624,0.006065,7.8414,1774096545230,-0.00037694,,1774108800000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006065,18009,0.006064,4720,0.006063,16422,0.006062,19678,0.006061,22976,0.006060,18897,0.006059,34865,0.006058,85412,0.006057,38402,0.006056,31628,0.006066,27803,0.006067,4364,0.006068,16605,0.006069,40918,0.006070,65000,0.006071,48652,0.006072,34463,0.006073,26945,0.006074,83813,0.006075,26412
gate,bybit,VANRYUSDT,0.005624,0.006065,7.8414,1774096545531,-0.00037694,,1774108800000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006065,18009,0.006064,4720,0.006063,16422,0.006062,19678,0.006061,22976,0.006060,18897,0.006059,34865,0.006058,85412,0.006057,38402,0.006056,31628,0.006066,27803,0.006067,4364,0.006068,16605,0.006069,40918,0.006070,65000,0.006071,48652,0.006072,34463,0.006073,26945,0.006074,83813,0.006075,26412
gate,bybit,VANRYUSDT,0.005624,0.006065,7.8414,1774096545831,-0.00037694,,1774108800000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006065,18009,0.006064,4720,0.006063,16422,0.006062,19678,0.006061,22976,0.006060,18897,0.006059,34865,0.006058,85412,0.006057,38402,0.006056,31628,0.006066,27803,0.006067,4364,0.006068,16605,0.006069,40918,0.006070,65000,0.006071,48652,0.006072,34463,0.006073,26945,0.006074,83813,0.006075,26412
gate,bybit,VANRYUSDT,0.005625,0.006065,7.8222,1774096546131,-0.00037694,,1774108800000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006065,18009,0.006064,4720,0.006063,16422,0.006062,19678,0.006061,22976,0.006060,18897,0.006059,34865,0.006058,85412,0.006057,38402,0.006056,31628,0.006066,27803,0.006067,4364,0.006068,16605,0.006069,40918,0.006070,65000,0.006071,48652,0.006072,34463,0.006073,26945,0.006074,83813,0.006075,26412
gate,bybit,VANRYUSDT,0.005625,0.006065,7.8222,1774096546432,-0.00037694,,1774108800000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006065,18009,0.006064,4720,0.006063,16422,0.006062,19678,0.006061,22976,0.006060,18897,0.006059,34865,0.006058,85412,0.006057,38402,0.006056,31628,0.006066,27803,0.006067,4364,0.006068,16605,0.006069,40918,0.006070,65000,0.006071,48652,0.006072,34463,0.006073,26945,0.006074,83813,0.006075,26412
gate,bybit,VANRYUSDT,0.005624,0.006065,7.8414,1774096546732,-0.00037694,,1774108800000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006065,18009,0.006064,4720,0.006063,16422,0.006062,19678,0.006061,22976,0.006060,18897,0.006059,34865,0.006058,85412,0.006057,38402,0.006056,31628,0.006066,36297,0.006067,4364,0.006068,16605,0.006069,40918,0.006070,65000,0.006071,48652,0.006072,34463,0.006073,26945,0.006074,83813,0.006075,26412
gate,bybit,VANRYUSDT,0.005625,0.006065,7.8222,1774096547033,-0.00037694,,1774108800000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006065,18009,0.006064,4720,0.006063,16422,0.006062,21838,0.006061,22976,0.006060,20832,0.006059,34865,0.006058,85412,0.006057,38402,0.006056,31628,0.006066,36297,0.006067,4364,0.006068,16605,0.006069,40918,0.006070,65000,0.006071,48652,0.006072,34463,0.006073,26945,0.006074,83813,0.006075,26412
