spot_exch,fut_exch,symbol,ask_spot,bid_futures,spread_pct,ts,fr,fr_next,fr_time,s_b1,s_b2,s_b3,s_b4,s_b5,s_b6,s_b7,s_b8,s_b9,s_b10,s_bq1,s_bq2,s_bq3,s_bq4,s_bq5,s_bq6,s_bq7,s_bq8,s_bq9,s_bq10,s_a1,s_a2,s_a3,s_a4,s_a5,s_a6,s_a7,s_a8,s_a9,s_a10,s_aq1,s_aq2,s_aq3,s_aq4,s_aq5,s_aq6,s_aq7,s_aq8,s_aq9,s_aq10,f_b1,f_b2,f_b3,f_b4,f_b5,f_b6,f_b7,f_b8,f_b9,f_b10,f_bq1,f_bq2,f_bq3,f_bq4,f_bq5,f_bq6,f_bq7,f_bq8,f_bq9,f_bq10,f_a1,f_a2,f_a3,f_a4,f_a5,f_a6,f_a7,f_a8,f_a9,f_a10,f_aq1,f_aq2,f_aq3,f_aq4,f_aq5,f_aq6,f_aq7,f_aq8,f_aq9,f_aq10
gate,bybit,BSUUSDT,0.05371,0.05375,0.0745,1774096623000,0.00005,,1774108800000,0.05331,413,0.0533,402,0.05304,190,0.05294,196,0.05291,3437,0.05284,203,0.05274,510,0.05265,377,0.05264,407,0.05262,1580,0.05376,751,0.05377,88,0.05378,1792,0.05382,258,0.05386,1794,0.05392,492,0.05393,941,0.05396,3558,0.05397,1163,0.05402,506,0.05373,199,0.05372,972,0.05371,204,0.05370,293,0.05369,199,0.05368,9195,0.05367,4,0.05366,7,0.05362,197,0.05361,243,0.05380,79,0.05381,500,0.05382,197,0.05383,697,0.05384,200,0.05385,272,0.05389,197,0.05390,206,0.05391,705,0.05392,450
gate,bybit,BSUUSDT,0.05374,0.05377,0.0558,1774096626000,0.00005,,1774108800000,0.05331,413,0.0533,402,0.05304,190,0.05294,196,0.05291,3437,0.05284,203,0.05274,510,0.05265,377,0.05264,407,0.05262,1580,0.05376,751,0.05377,88,0.05378,1792,0.05382,258,0.05389,1793,0.0539,1145,0.05392,492,0.05393,941,0.05396,3558,0.05397,1163,0.05375,199,0.05374,972,0.05371,204,0.05370,199,0.05369,199,0.05368,9195,0.05367,4,0.05366,7,0.05362,197,0.05361,25097,0.05380,79,0.05381,500,0.05382,197,0.05383,697,0.05384,200,0.05385,272,0.05389,197,0.05390,206,0.05391,705,0.05392,450
gate,bybit,BSUUSDT,0.05372,0.05369,-0.0558,1774096699000,0.00005,,1774108800000,0.05331,413,0.0533,402,0.05314,202,0.05304,190,0.05294,196,0.05291,3437,0.05284,203,0.05276,377,0.05275,1576,0.05274,510,0.05372,1983,0.05381,751,0.05382,258,0.05391,88,0.05392,492,0.05393,941,0.05395,3513,0.05396,3558,0.05397,1163,0.05402,506,0.05369,699,0.05368,9195,0.05367,4,0.05366,7,0.05362,197,0.05361,19174,0.05360,199,0.05359,849,0.05358,24854,0.05357,18,0.05382,201,0.05383,500,0.05384,200,0.05385,272,0.05389,197,0.05390,206,0.05391,705,0.05392,707,0.05393,18366,0.05395,442
gate,bybit,BSUUSDT,0.05369,0.05368,-0.0186,1774096705000,,,,0.05346,176,0.05331,413,0.0533,402,0.05314,202,0.05304,190,0.05294,196,0.05291,3437,0.05284,203,0.05276,377,0.05274,510,0.05369,751,0.05371,88,0.05372,1983,0.05379,1902,0.05382,258,0.05389,1258,0.05392,492,0.05393,941,0.05396,3558,0.05397,1163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gate,bybit,BSUUSDT,0.0537,0.05369,-0.0186,1774096747000,,,,0.05331,413,0.0533,402,0.05304,190,0.05294,196,0.05291,3437,0.05284,203,0.05274,510,0.05265,377,0.05264,407,0.05255,1582,0.0537,751,0.05371,88,0.05372,1983,0.05379,1902,0.05382,258,0.05389,1258,0.05392,492,0.05393,941,0.05396,3558,0.05397,1163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gate,bybit,BSUUSDT,0.0537,0.05369,-0.0186,1774096750000,,,,0.05347,413,0.0533,402,0.05304,190,0.05294,196,0.05291,3437,0.05284,203,0.05274,510,0.05265,377,0.05264,407,0.05255,1582,0.0537,751,0.05371,88,0.05372,1983,0.05379,1902,0.05382,258,0.05389,1258,0.05392,492,0.05393,941,0.05396,3558,0.05397,1163,0.05369,500,0.05368,9094,0.05367,4,0.05366,7,0.05362,197,0.05361,19174,0.05359,199,0.05358,24854,0.05357,18,0.05356,270,0.05380,204,0.05381,500,0.05382,201,0.05383,500,0.05384,200,0.05385,272,0.05389,197,0.05390,206,0.05391,705,0.05392,707
gate,bybit,BSUUSDT,0.0537,0.05369,-0.0186,1774096759000,0.00005,,1774108800000,0.05331,413,0.0533,402,0.05304,190,0.05294,196,0.05291,3437,0.05284,203,0.05274,510,0.05265,377,0.05264,407,0.05255,1582,0.0537,751,0.05371,88,0.05372,1983,0.05379,1902,0.05382,258,0.05389,1258,0.05392,492,0.05393,941,0.05396,3558,0.05397,1163,0.05370,206,0.05369,706,0.05368,9094,0.05367,4,0.05366,7,0.05362,197,0.05361,19174,0.05359,199,0.05358,24854,0.05357,18,0.05380,204,0.05381,500,0.05382,201,0.05383,500,0.05384,200,0.05385,272,0.05389,197,0.05390,206,0.05391,705,0.05392,707
gate,bybit,BSUUSDT,0.0537,0.05368,-0.0372,1774096763000,0.00005,,1774108800000,0.05346,182,0.05331,413,0.0533,402,0.05304,190,0.05294,196,0.05291,3437,0.05284,203,0.05274,510,0.05265,377,0.05264,407,0.0537,751,0.05371,88,0.05372,1983,0.05379,1902,0.05382,258,0.05389,1258,0.05392,492,0.05393,941,0.05396,3558,0.05397,1163,0.05369,211,0.05368,9094,0.05367,4,0.05366,7,0.05362,197,0.05361,19174,0.05359,199,0.05358,24854,0.05357,18,0.05356,270,0.05380,204,0.05381,500,0.05382,201,0.05383,500,0.05384,200,0.05385,272,0.05389,197,0.05390,206,0.05391,705,0.05392,707
gate,bybit,BSUUSDT,0.0537,0.05369,-0.0186,1774096774000,,,,0.05331,413,0.0533,402,0.05304,190,0.05294,196,0.05291,3437,0.05284,203,0.05274,510,0.05265,377,0.05264,407,0.05255,1582,0.0537,751,0.05371,88,0.05372,1983,0.05379,1902,0.05382,258,0.05389,1258,0.05392,492,0.05393,941,0.05396,3558,0.05397,1163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gate,bybit,BSUUSDT,0.0537,0.0537,0.0,1774096849000,,,,0.05331,413,0.0533,402,0.05304,190,0.05294,196,0.05291,3437,0.05284,203,0.05274,510,0.05265,377,0.05264,407,0.05255,1582,0.0537,751,0.05371,88,0.05372,1983,0.05379,1902,0.05382,258,0.05389,1258,0.05392,492,0.05393,941,0.05396,3558,0.05397,1163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
