spot_exch,fut_exch,symbol,ask_spot,bid_futures,spread_pct,ts,s_b1,s_b2,s_b3,s_b4,s_b5,s_b6,s_b7,s_b8,s_b9,s_b10,s_bq1,s_bq2,s_bq3,s_bq4,s_bq5,s_bq6,s_bq7,s_bq8,s_bq9,s_bq10,s_a1,s_a2,s_a3,s_a4,s_a5,s_a6,s_a7,s_a8,s_a9,s_a10,s_aq1,s_aq2,s_aq3,s_aq4,s_aq5,s_aq6,s_aq7,s_aq8,s_aq9,s_aq10,f_b1,f_b2,f_b3,f_b4,f_b5,f_b6,f_b7,f_b8,f_b9,f_b10,f_bq1,f_bq2,f_bq3,f_bq4,f_bq5,f_bq6,f_bq7,f_bq8,f_bq9,f_bq10,f_a1,f_a2,f_a3,f_a4,f_a5,f_a6,f_a7,f_a8,f_a9,f_a10,f_aq1,f_aq2,f_aq3,f_aq4,f_aq5,f_aq6,f_aq7,f_aq8,f_aq9,f_aq10
binance,bybit,NTRNUSDT,0.00610000,0.006193,1.5246,1774107040000,0.00600000,2686625.40000000,0.00590000,1486848.50000000,0.00580000,1525391.20000000,0.00570000,1268185.30000000,0.00560000,709760.10000000,0.00550000,156420.70000000,0.00540000,7778.20000000,0.00530000,1509.40000000,0.00520000,741577.30000000,0.00500000,316325.40000000,0.00610000,514796.40000000,0.00620000,1145873.00000000,0.00630000,1532853.70000000,0.00640000,1544941.10000000,0.00650000,668628.30000000,0.00660000,864090.00000000,0.00670000,325120.10000000,0.00680000,197447.40000000,0.00690000,120000.00000000,0.00700000,537183.90000000,0.006193,970,0.006189,2550,0.006185,970,0.006181,1275,0.006180,2550,0.006176,9715,0.006168,2043,0.006166,5316,0.006165,11519,0.006162,3699,0.006199,664,0.006200,3568,0.006202,5000,0.006203,5000,0.006207,664,0.006209,3743,0.006210,161,0.006211,3774,0.006213,5785,0.006216,4503
binance,bybit,NTRNUSDT,0.00620000,0.006198,-0.0323,1774107044000,0.00600000,2631569.40000000,0.00590000,1458303.60000000,0.00580000,1520890.80000000,0.00570000,1145405.40000000,0.00560000,709760.10000000,0.00550000,149268.30000000,0.00540000,7778.20000000,0.00530000,1509.40000000,0.00520000,741577.30000000,0.00500000,316325.40000000,0.00610000,609115.40000000,0.00620000,1305229.80000000,0.00630000,1523584.40000000,0.00640000,1544941.10000000,0.00650000,668628.30000000,0.00660000,864090.00000000,0.00670000,325120.10000000,0.00680000,197447.40000000,0.00690000,120000.00000000,0.00700000,537183.90000000,0.006198,2544,0.006192,4949,0.006187,2018,0.006185,970,0.006182,664,0.006181,1275,0.006180,1275,0.006176,16141,0.006174,2276,0.006173,8699,0.006200,850,0.006207,664,0.006209,16106,0.006211,3774,0.006213,36961,0.006214,5000,0.006215,36747,0.006216,4503,0.006217,160,0.006219,3774
binance,bybit,NTRNUSDT,0.00610000,0.006174,1.2131,1774107045000,0.00600000,2652824.20000000,0.00590000,1458303.60000000,0.00580000,1725225.50000000,0.00570000,1269643.00000000,0.00560000,709760.10000000,0.00550000,149268.30000000,0.00540000,7778.20000000,0.00530000,1509.40000000,0.00520000,741577.30000000,0.00500000,316325.40000000,0.00610000,1321799.40000000,0.00620000,1378713.30000000,0.00630000,1434455.40000000,0.00640000,1544941.10000000,0.00650000,668628.30000000,0.00660000,864090.00000000,0.00670000,325120.10000000,0.00680000,197447.40000000,0.00690000,120000.00000000,0.00700000,537183.90000000,0.006174,664,0.006167,1492,0.006166,3699,0.006165,11519,0.006162,5704,0.006157,2669,0.006154,3743,0.006152,5781,0.006151,3286,0.006150,3774,0.006188,6492,0.006189,7736,0.006190,664,0.006191,1604,0.006195,1582,0.006199,1936,0.006200,850,0.006204,2407,0.006205,3699,0.006206,5132
binance,bybit,NTRNUSDT,0.00610000,0.006181,1.3279,1774107046000,0.00600000,2652824.20000000,0.00590000,1458303.60000000,0.00580000,1725225.50000000,0.00570000,1269643.00000000,0.00560000,709760.10000000,0.00550000,149268.30000000,0.00540000,7778.20000000,0.00530000,1509.40000000,0.00520000,741577.30000000,0.00500000,316325.40000000,0.00610000,1316399.40000000,0.00620000,1378713.30000000,0.00630000,1434455.40000000,0.00640000,1544941.10000000,0.00650000,668628.30000000,0.00660000,864090.00000000,0.00670000,325120.10000000,0.00680000,197447.40000000,0.00690000,120000.00000000,0.00700000,537183.90000000,0.006181,18,0.006174,664,0.006167,17707,0.006166,3699,0.006165,11519,0.006162,5704,0.006157,2669,0.006154,3743,0.006152,5781,0.006151,3286,0.006188,6492,0.006189,7736,0.006190,664,0.006191,1604,0.006195,1582,0.006199,1936,0.006200,850,0.006204,2407,0.006205,3699,0.006206,5132
binance,bybit,NTRNUSDT,0.00610000,0.006181,1.3279,1774107047000,0.00600000,2652824.20000000,0.00590000,1458303.60000000,0.00580000,1725225.50000000,0.00570000,1269643.00000000,0.00560000,709760.10000000,0.00550000,149268.30000000,0.00540000,7778.20000000,0.00530000,1509.40000000,0.00520000,741577.30000000,0.00500000,316325.40000000,0.00610000,1316399.40000000,0.00620000,1379936.20000000,0.00630000,1433232.50000000,0.00640000,1544941.10000000,0.00650000,668628.30000000,0.00660000,864090.00000000,0.00670000,325120.10000000,0.00680000,197447.40000000,0.00690000,120000.00000000,0.00700000,537183.90000000,0.006181,9725,0.006174,3214,0.006167,1492,0.006166,3699,0.006165,11519,0.006162,5704,0.006157,2669,0.006154,3743,0.006152,5781,0.006151,3286,0.006190,664,0.006195,1582,0.006199,1936,0.006200,850,0.006204,2407,0.006205,3699,0.006206,5132,0.006207,4363,0.006209,12161,0.006212,3699
binance,bybit,NTRNUSDT,0.00610000,0.006181,1.3279,1774107050000,0.00600000,2677535.20000000,0.00590000,1462899.40000000,0.00580000,1725225.50000000,0.00570000,1269643.00000000,0.00560000,709760.10000000,0.00550000,149268.30000000,0.00540000,7778.20000000,0.00530000,1509.40000000,0.00520000,741577.30000000,0.00500000,316325.40000000,0.00610000,1276787.40000000,0.00620000,1379936.20000000,0.00630000,1433232.50000000,0.00640000,1544941.10000000,0.00650000,668628.30000000,0.00660000,864090.00000000,0.00670000,325120.10000000,0.00680000,197447.40000000,0.00690000,120000.00000000,0.00700000,537183.90000000,0.006181,18,0.006174,3214,0.006167,17707,0.006166,19866,0.006165,11519,0.006162,5704,0.006160,2633,0.006157,2669,0.006154,3743,0.006152,5781,0.006190,664,0.006195,1582,0.006199,1936,0.006200,850,0.006204,2407,0.006205,3699,0.006206,5132,0.006207,4363,0.006209,12161,0.006212,3699
binance,bybit,NTRNUSDT,0.00610000,0.006174,1.2131,1774107054000,0.00600000,2677535.20000000,0.00590000,1462899.40000000,0.00580000,1725225.50000000,0.00570000,1269643.00000000,0.00560000,709760.10000000,0.00550000,149268.30000000,0.00540000,7778.20000000,0.00530000,1509.40000000,0.00520000,741577.30000000,0.00500000,316325.40000000,0.00610000,1271387.40000000,0.00620000,1379936.20000000,0.00630000,1442501.80000000,0.00640000,1544941.10000000,0.00650000,668628.30000000,0.00660000,864090.00000000,0.00670000,325120.10000000,0.00680000,197447.40000000,0.00690000,120000.00000000,0.00700000,537183.90000000,0.006174,10382,0.006171,1274,0.006169,2633,0.006168,1577,0.006166,16167,0.006165,11519,0.006162,5292,0.006157,2669,0.006154,3743,0.006153,5383,0.006189,7408,0.006190,664,0.006194,1576,0.006199,1936,0.006200,850,0.006202,1576,0.006204,16119,0.006205,3699,0.006206,3860,0.006207,4363
binance,bybit,NTRNUSDT,0.00610000,0.006172,1.1803,1774107057000,0.00600000,2033740.50000000,0.00590000,1462899.40000000,0.00580000,2537209.20000000,0.00570000,1269643.00000000,0.00560000,709760.10000000,0.00550000,149268.30000000,0.00540000,7778.20000000,0.00530000,1509.40000000,0.00520000,741577.30000000,0.00500000,316325.40000000,0.00610000,1271387.40000000,0.00620000,1379936.20000000,0.00630000,1451552.90000000,0.00640000,1544941.10000000,0.00650000,668628.30000000,0.00660000,864090.00000000,0.00670000,325120.10000000,0.00680000,197447.40000000,0.00690000,120000.00000000,0.00700000,537183.90000000,0.006165,11519,0.006157,18431,0.006154,3743,0.006153,5383,0.006152,5781,0.006151,3286,0.006150,12944,0.006149,162,0.006148,6058,0.006141,3745,0.006175,2550,0.006179,1275,0.006182,664,0.006183,1414,0.006184,155706,0.006185,5026,0.006187,8878,0.006190,664,0.006199,4454,0.006200,3409
binance,bybit,NTRNUSDT,0.00610000,0.006166,1.082,1774107061000,0.00600000,2033740.50000000,0.00590000,1462899.40000000,0.00580000,2537209.20000000,0.00570000,1269643.00000000,0.00560000,709760.10000000,0.00550000,149268.30000000,0.00540000,7778.20000000,0.00530000,1509.40000000,0.00520000,741577.30000000,0.00500000,316325.40000000,0.00610000,1252679.90000000,0.00620000,1379936.20000000,0.00630000,1451552.90000000,0.00640000,1544941.10000000,0.00650000,668628.30000000,0.00660000,864090.00000000,0.00670000,325120.10000000,0.00680000,197447.40000000,0.00690000,120000.00000000,0.00700000,537183.90000000,0.006172,1576,0.006167,16215,0.006166,11698,0.006165,10534,0.006163,2785,0.006161,1573,0.006159,2585,0.006157,16854,0.006154,3743,0.006153,5383,0.006181,6061,0.006182,664,0.006184,150000,0.006190,664,0.006199,4454,0.006200,7279,0.006205,3699,0.006206,3860,0.006207,4363,0.006208,3790
binance,bybit,NTRNUSDT,0.00610000,0.006176,1.2459,1774107067385,0.00600000,2033740.50000000,0.00590000,1462927.40000000,0.00580000,2537209.20000000,0.00570000,1269643.00000000,0.00560000,709760.10000000,0.00550000,149268.30000000,0.00540000,7778.20000000,0.00530000,1509.40000000,0.00520000,741577.30000000,0.00500000,316325.40000000,0.00610000,1252679.90000000,0.00620000,1379936.20000000,0.00630000,1451552.90000000,0.00640000,1544941.10000000,0.00650000,668628.30000000,0.00660000,864090.00000000,0.00670000,325120.10000000,0.00680000,197447.40000000,0.00690000,120000.00000000,0.00700000,537183.90000000,0.006176,4418,0.006169,1580,0.006168,16198,0.006166,1967,0.006165,664,0.006158,1421,0.006157,664,0.006154,5337,0.006153,3790,0.006152,5355,0.006182,1768,0.006188,16160,0.006189,1578,0.006190,150664,0.006199,4454,0.006200,7279,0.006202,28341,0.006205,3699,0.006206,3860,0.006207,4363
