spot_exch,fut_exch,symbol,ask_spot,bid_futures,spread_pct,ts,s_b1,s_b2,s_b3,s_b4,s_b5,s_b6,s_b7,s_b8,s_b9,s_b10,s_bq1,s_bq2,s_bq3,s_bq4,s_bq5,s_bq6,s_bq7,s_bq8,s_bq9,s_bq10,s_a1,s_a2,s_a3,s_a4,s_a5,s_a6,s_a7,s_a8,s_a9,s_a10,s_aq1,s_aq2,s_aq3,s_aq4,s_aq5,s_aq6,s_aq7,s_aq8,s_aq9,s_aq10,f_b1,f_b2,f_b3,f_b4,f_b5,f_b6,f_b7,f_b8,f_b9,f_b10,f_bq1,f_bq2,f_bq3,f_bq4,f_bq5,f_bq6,f_bq7,f_bq8,f_bq9,f_bq10,f_a1,f_a2,f_a3,f_a4,f_a5,f_a6,f_a7,f_a8,f_a9,f_a10,f_aq1,f_aq2,f_aq3,f_aq4,f_aq5,f_aq6,f_aq7,f_aq8,f_aq9,f_aq10
binance,bybit,RDNTUSDT,0.00609000,0.006136,0.7553,1774107038000,0.00607000,80260.00000000,0.00606000,159891.00000000,0.00605000,348129.00000000,0.00604000,264725.00000000,0.00603000,177232.00000000,0.00602000,271331.00000000,0.00601000,117081.00000000,0.00600000,198458.00000000,0.00599000,119677.00000000,0.00598000,801870.00000000,0.00609000,102251.00000000,0.00610000,146453.00000000,0.00611000,96906.00000000,0.00612000,270898.00000000,0.00613000,141602.00000000,0.00614000,70231.00000000,0.00615000,103359.00000000,0.00616000,118271.00000000,0.00617000,61698.00000000,0.00618000,110830.00000000,0.006133,7921,0.006130,131421,0.006129,113,0.006126,2036,0.006124,4369,0.006122,12878,0.006121,78135,0.006120,52081,0.006119,15174,0.006118,115297,0.006138,20594,0.006139,11558,0.006140,42479,0.006144,10000,0.006145,10000,0.006146,42374,0.006147,43057,0.006148,2143,0.006150,20129,0.006151,62538
binance,bybit,RDNTUSDT,0.00609000,0.006131,0.6732,1774107039000,0.00607000,73846.00000000,0.00606000,159849.00000000,0.00605000,460888.00000000,0.00604000,151779.00000000,0.00603000,177232.00000000,0.00602000,271331.00000000,0.00601000,117081.00000000,0.00600000,223452.00000000,0.00599000,119677.00000000,0.00598000,801870.00000000,0.00609000,90237.00000000,0.00610000,146453.00000000,0.00611000,96906.00000000,0.00612000,245496.00000000,0.00613000,171716.00000000,0.00614000,70231.00000000,0.00615000,98631.00000000,0.00616000,116250.00000000,0.00617000,86253.00000000,0.00618000,110830.00000000,0.006136,6699,0.006133,4302,0.006131,48933,0.006130,131421,0.006129,113,0.006128,5142,0.006124,38767,0.006123,17509,0.006122,14284,0.006121,27036,0.006138,10499,0.006141,32568,0.006142,42781,0.006143,51427,0.006144,10000,0.006145,10000,0.006146,33545,0.006147,5035,0.006148,140499,0.006149,16263
binance,bybit,RDNTUSDT,0.00610000,0.006138,0.623,1774107040000,0.00608000,31051.00000000,0.00607000,104897.00000000,0.00606000,210778.00000000,0.00605000,379180.00000000,0.00604000,292799.00000000,0.00603000,128753.00000000,0.00602000,291780.00000000,0.00601000,117081.00000000,0.00600000,200124.00000000,0.00599000,211803.00000000,0.00610000,75245.00000000,0.00611000,96906.00000000,0.00612000,137418.00000000,0.00613000,279895.00000000,0.00614000,70231.00000000,0.00615000,98631.00000000,0.00616000,116250.00000000,0.00617000,83738.00000000,0.00618000,136363.00000000,0.00619000,48980.00000000,0.006138,88258,0.006134,3910,0.006133,52168,0.006132,170132,0.006130,53033,0.006129,113,0.006127,4588,0.006126,37532,0.006125,9733,0.006124,12,0.006144,10000,0.006145,10000,0.006146,18641,0.006147,54859,0.006148,139187,0.006149,9785,0.006150,38925,0.006151,158241,0.006152,2442,0.006153,88198
binance,bybit,RDNTUSDT,0.00608000,0.006132,0.8553,1774107041000,0.00607000,3916.00000000,0.00606000,90251.00000000,0.00605000,300095.00000000,0.00604000,317321.00000000,0.00603000,150964.00000000,0.00602000,291780.00000000,0.00601000,192023.00000000,0.00600000,225423.00000000,0.00599000,188496.00000000,0.00598000,866108.00000000,0.00608000,21063.00000000,0.00609000,96182.00000000,0.00610000,95054.00000000,0.00611000,126138.00000000,0.00612000,245919.00000000,0.00613000,141737.00000000,0.00614000,70231.00000000,0.00615000,98631.00000000,0.00616000,116250.00000000,0.00617000,83738.00000000,0.006132,64190,0.006130,53033,0.006129,113,0.006128,1447,0.006124,45185,0.006121,39497,0.006120,41780,0.006119,8010,0.006118,32690,0.006117,49472,0.006133,19974,0.006137,3817,0.006138,10000,0.006140,3717,0.006141,59751,0.006142,9480,0.006143,77391,0.006144,16056,0.006145,28859,0.006146,37534
binance,bybit,RDNTUSDT,0.00607000,0.00613,0.9885,1774107042000,0.00606000,95224.00000000,0.00605000,190207.00000000,0.00604000,252294.00000000,0.00603000,263814.00000000,0.00602000,307473.00000000,0.00601000,253449.00000000,0.00600000,200124.00000000,0.00599000,240579.00000000,0.00598000,933229.00000000,0.00597000,324846.00000000,0.00608000,83491.00000000,0.00609000,83356.00000000,0.00610000,197377.00000000,0.00611000,171094.00000000,0.00612000,232252.00000000,0.00613000,89651.00000000,0.00614000,70231.00000000,0.00615000,61150.00000000,0.00616000,90127.00000000,0.00617000,59183.00000000,0.006127,2295,0.006124,12,0.006119,84,0.006118,36259,0.006117,2377,0.006116,84063,0.006115,44137,0.006114,26274,0.006113,42838,0.006112,44092,0.006133,56374,0.006135,32600,0.006136,7727,0.006137,40833,0.006141,21604,0.006142,62513,0.006143,21948,0.006144,15296,0.006145,65773,0.006146,43663
binance,bybit,RDNTUSDT,0.00607000,0.006114,0.7249,1774107043000,0.00605000,99149.00000000,0.00604000,149253.00000000,0.00603000,227280.00000000,0.00602000,365135.00000000,0.00601000,357641.00000000,0.00600000,205987.00000000,0.00599000,209621.00000000,0.00598000,929017.00000000,0.00597000,316327.00000000,0.00596000,69079.00000000,0.00607000,70715.00000000,0.00608000,105060.00000000,0.00609000,330765.00000000,0.00610000,244359.00000000,0.00611000,171079.00000000,0.00612000,124679.00000000,0.00613000,129792.00000000,0.00614000,57956.00000000,0.00615000,61150.00000000,0.00616000,63786.00000000,0.006119,500000,0.006118,27025,0.006114,52389,0.006113,16861,0.006112,32722,0.006111,38834,0.006110,4562,0.006109,2513,0.006108,2194,0.006107,85345,0.006125,2867,0.006126,14308,0.006127,21552,0.006128,3924,0.006129,1496,0.006130,12573,0.006131,7074,0.006132,12539,0.006133,139607,0.006134,2442
binance,bybit,RDNTUSDT,0.00608000,0.006123,0.7072,1774107044000,0.00605000,90445.00000000,0.00604000,91288.00000000,0.00603000,172717.00000000,0.00602000,405918.00000000,0.00601000,269292.00000000,0.00600000,176612.00000000,0.00599000,182251.00000000,0.00598000,859938.00000000,0.00597000,392092.00000000,0.00596000,62809.00000000,0.00607000,79208.00000000,0.00608000,100216.00000000,0.00609000,337416.00000000,0.00610000,213289.00000000,0.00611000,171079.00000000,0.00612000,125996.00000000,0.00613000,129792.00000000,0.00614000,57956.00000000,0.00615000,61150.00000000,0.00616000,63786.00000000,0.006123,6380,0.006122,8366,0.006121,9469,0.006120,25049,0.006119,496060,0.006118,2447,0.006115,46699,0.006113,4814,0.006112,40630,0.006111,13815,0.006129,29580,0.006131,10000,0.006132,11876,0.006133,135697,0.006136,28664,0.006137,35999,0.006140,2442,0.006142,113,0.006143,30955,0.006144,32351
binance,bybit,RDNTUSDT,0.00604000,0.006095,0.9106,1774107045000,0.00603000,79208.00000000,0.00602000,267697.00000000,0.00601000,231846.00000000,0.00600000,316068.00000000,0.00599000,183537.00000000,0.00598000,939146.00000000,0.00597000,391998.00000000,0.00596000,62809.00000000,0.00595000,200019.00000000,0.00594000,50000.00000000,0.00605000,35503.00000000,0.00606000,107229.00000000,0.00607000,210440.00000000,0.00608000,180260.00000000,0.00609000,335014.00000000,0.00610000,102651.00000000,0.00611000,152640.00000000,0.00612000,124794.00000000,0.00613000,85124.00000000,0.00614000,34295.00000000,0.006096,16404,0.006095,27405,0.006094,237402,0.006092,30826,0.006091,1843,0.006090,1386,0.006089,111433,0.006088,3100,0.006087,10097,0.006086,130837,0.006102,4357,0.006110,22120,0.006111,3259,0.006113,3982,0.006114,27169,0.006115,113,0.006116,1695,0.006117,32838,0.006118,10000,0.006119,6381
binance,bybit,RDNTUSDT,0.00605000,0.006092,0.6942,1774107046000,0.00603000,69012.00000000,0.00602000,83450.00000000,0.00601000,236041.00000000,0.00600000,456318.00000000,0.00599000,158251.00000000,0.00598000,971497.00000000,0.00597000,244006.00000000,0.00596000,143175.00000000,0.00595000,263397.00000000,0.00594000,66973.00000000,0.00605000,139395.00000000,0.00606000,111774.00000000,0.00607000,240766.00000000,0.00608000,180260.00000000,0.00609000,309634.00000000,0.00610000,133668.00000000,0.00611000,152640.00000000,0.00612000,118140.00000000,0.00613000,59114.00000000,0.00614000,34295.00000000,0.006092,480486,0.006091,1843,0.006090,1386,0.006089,1913,0.006088,14017,0.006087,10097,0.006086,107467,0.006083,27440,0.006082,10518,0.006081,54012,0.006097,102457,0.006101,3259,0.006106,41770,0.006108,4131,0.006109,30663,0.006110,27442,0.006114,6381,0.006115,30667,0.006117,11147,0.006118,39889
binance,bybit,RDNTUSDT,0.00604000,0.006083,0.7119,1774107047000,0.00602000,1492.00000000,0.00601000,103861.00000000,0.00600000,311747.00000000,0.00599000,269969.00000000,0.00598000,1096549.00000000,0.00597000,197786.00000000,0.00596000,263955.00000000,0.00595000,315480.00000000,0.00594000,146181.00000000,0.00593000,64108.00000000,0.00604000,114081.00000000,0.00605000,133049.00000000,0.00606000,145994.00000000,0.00607000,315865.00000000,0.00608000,97411.00000000,0.00609000,284232.00000000,0.00610000,133668.00000000,0.00611000,117053.00000000,0.00612000,94937.00000000,0.00613000,61629.00000000,0.006075,199,0.006074,35570,0.006073,28018,0.006072,42698,0.006071,49267,0.006070,116474,0.006068,14608,0.006067,19228,0.006066,60372,0.006065,60776,0.006085,27524,0.006089,99601,0.006090,56784,0.006091,10000,0.006092,11864,0.006093,35731,0.006095,3982,0.006096,56965,0.006097,119469,0.006100,5118
