spot_exch,fut_exch,symbol,ask_spot,bid_futures,spread_pct,ts,s_b1,s_b2,s_b3,s_b4,s_b5,s_b6,s_b7,s_b8,s_b9,s_b10,s_bq1,s_bq2,s_bq3,s_bq4,s_bq5,s_bq6,s_bq7,s_bq8,s_bq9,s_bq10,s_a1,s_a2,s_a3,s_a4,s_a5,s_a6,s_a7,s_a8,s_a9,s_a10,s_aq1,s_aq2,s_aq3,s_aq4,s_aq5,s_aq6,s_aq7,s_aq8,s_aq9,s_aq10,f_b1,f_b2,f_b3,f_b4,f_b5,f_b6,f_b7,f_b8,f_b9,f_b10,f_bq1,f_bq2,f_bq3,f_bq4,f_bq5,f_bq6,f_bq7,f_bq8,f_bq9,f_bq10,f_a1,f_a2,f_a3,f_a4,f_a5,f_a6,f_a7,f_a8,f_a9,f_a10,f_aq1,f_aq2,f_aq3,f_aq4,f_aq5,f_aq6,f_aq7,f_aq8,f_aq9,f_aq10
gate,bybit,RDNTUSDT,0.006134,0.006131,-0.0489,1774107039000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006136,6699,0.006133,4302,0.006131,48933,0.006130,131421,0.006129,113,0.006128,5142,0.006124,38767,0.006123,17509,0.006122,14284,0.006121,27036,0.006138,10499,0.006141,32568,0.006142,42781,0.006143,51427,0.006144,10000,0.006145,10000,0.006146,33545,0.006147,5035,0.006148,140499,0.006149,16263
gate,bybit,RDNTUSDT,0.00614,0.006138,-0.0326,1774107040000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006138,88258,0.006134,3910,0.006133,52168,0.006132,170132,0.006130,53033,0.006129,113,0.006127,4588,0.006126,37532,0.006125,9733,0.006124,12,0.006144,10000,0.006145,10000,0.006146,18641,0.006147,54859,0.006148,139187,0.006149,9785,0.006150,38925,0.006151,158241,0.006152,2442,0.006153,88198
gate,bybit,RDNTUSDT,0.00614,0.006132,-0.1303,1774107041000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006132,64190,0.006130,53033,0.006129,113,0.006128,1447,0.006124,45185,0.006121,39497,0.006120,41780,0.006119,8010,0.006118,32690,0.006117,49472,0.006133,19974,0.006137,3817,0.006138,10000,0.006140,3717,0.006141,59751,0.006142,9480,0.006143,77391,0.006144,16056,0.006145,28859,0.006146,37534
gate,bybit,RDNTUSDT,0.00614,0.00613,-0.1629,1774107042000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006127,2295,0.006124,12,0.006119,84,0.006118,36259,0.006117,2377,0.006116,84063,0.006115,44137,0.006114,26274,0.006113,42838,0.006112,44092,0.006133,56374,0.006135,32600,0.006136,7727,0.006137,40833,0.006141,21604,0.006142,62513,0.006143,21948,0.006144,15296,0.006145,65773,0.006146,43663
gate,bybit,RDNTUSDT,0.00614,0.006114,-0.4235,1774107043000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006119,500000,0.006118,27025,0.006114,52389,0.006113,16861,0.006112,32722,0.006111,38834,0.006110,4562,0.006109,2513,0.006108,2194,0.006107,85345,0.006125,2867,0.006126,14308,0.006127,21552,0.006128,3924,0.006129,1496,0.006130,12573,0.006131,7074,0.006132,12539,0.006133,139607,0.006134,2442
gate,bybit,RDNTUSDT,0.00614,0.006123,-0.2769,1774107044000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006123,6380,0.006122,8366,0.006121,9469,0.006120,25049,0.006119,496060,0.006118,2447,0.006115,46699,0.006113,4814,0.006112,40630,0.006111,13815,0.006129,29580,0.006131,10000,0.006132,11876,0.006133,135697,0.006136,28664,0.006137,35999,0.006140,2442,0.006142,113,0.006143,30955,0.006144,32351
gate,bybit,RDNTUSDT,0.006138,0.006095,-0.7006,1774107045000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006096,16404,0.006095,27405,0.006094,237402,0.006092,30826,0.006091,1843,0.006090,1386,0.006089,111433,0.006088,3100,0.006087,10097,0.006086,130837,0.006102,4357,0.006110,22120,0.006111,3259,0.006113,3982,0.006114,27169,0.006115,113,0.006116,1695,0.006117,32838,0.006118,10000,0.006119,6381
gate,bybit,RDNTUSDT,0.006135,0.006092,-0.7009,1774107046000,0.006084,543,0.006081,9963,0.006074,109030,0.00607,34421,0.006069,7476,0.006068,109057,0.006063,109057,0.006059,91591,0.006053,109075,0.006048,215847,0.006139,2657,0.00614,58213,0.006178,30379,0.006179,17458,0.00618,4741,0.006187,22577,0.006199,20578,0.006211,23647,0.006214,532,0.006223,20702,0.006092,480486,0.006091,1843,0.006090,1386,0.006089,1913,0.006088,14017,0.006087,10097,0.006086,107467,0.006083,27440,0.006082,10518,0.006081,54012,0.006097,102457,0.006101,3259,0.006106,41770,0.006108,4131,0.006109,30663,0.006110,27442,0.006114,6381,0.006115,30667,0.006117,11147,0.006118,39889
gate,bybit,RDNTUSDT,0.006098,0.006083,-0.246,1774107047000,0.006084,543,0.006071,9963,0.00607,4042,0.006053,109075,0.006048,215847,0.006043,200644,0.006042,91587,0.006033,109030,0.006032,548,0.006027,217568,0.006139,2657,0.00614,58213,0.006162,7521,0.006163,20949,0.006174,9937,0.006175,24127,0.006177,4736,0.006186,7476,0.006187,22577,0.006199,20578,0.006075,199,0.006074,35570,0.006073,28018,0.006072,42698,0.006071,49267,0.006070,116474,0.006068,14608,0.006067,19228,0.006066,60372,0.006065,60776,0.006085,27524,0.006089,99601,0.006090,56784,0.006091,10000,0.006092,11864,0.006093,35731,0.006095,3982,0.006096,56965,0.006097,119469,0.006100,5118
gate,bybit,RDNTUSDT,0.006097,0.006077,-0.328,1774107048000,0.006032,109837,0.006028,9598,0.006027,206776,0.006023,11256,0.006021,109289,0.006016,109856,0.006015,216158,0.006012,91703,0.006007,91698,0.006004,10803,0.006098,90625,0.006099,91663,0.006109,7343,0.006141,9767,0.006142,12045,0.006147,2657,0.006151,22067,0.006163,20675,0.006175,24127,0.006187,22577,0.006077,51339,0.006076,211192,0.006075,3829,0.006072,26192,0.006071,31661,0.006070,1844,0.006068,28796,0.006066,1179,0.006065,34349,0.006064,4357,0.006083,8030,0.006084,3253,0.006085,3259,0.006086,5060,0.006087,10113,0.006088,7915,0.006089,33274,0.006090,1969,0.006091,2269,0.006092,56786
gate,bybit,RDNTUSDT,0.006127,0.006095,-0.5223,1774107049000,0.006051,119633,0.006045,11327,0.006044,399898,0.00604,109929,0.006032,548,0.006027,206776,0.006004,18959,0.005988,4481,0.005982,14716,0.00598,552,0.006126,5051,0.006127,4997,0.006129,91788,0.006133,91752,0.006198,21902,0.006199,24284,0.006211,23647,0.006214,532,0.006223,20702,0.006235,22087,0.006095,2743,0.006094,26067,0.006093,11151,0.006092,37119,0.006091,10516,0.006090,52864,0.006089,44530,0.006088,31839,0.006087,35332,0.006086,45850,0.006107,9825,0.006108,2447,0.006109,16369,0.006110,34905,0.006112,6930,0.006113,27638,0.006115,4540,0.006116,30206,0.006117,12339,0.006118,3610
gate,bybit,RDNTUSDT,0.006107,0.006093,-0.2292,1774107050000,0.006066,109487,0.006061,109487,0.006056,109487,0.006045,109487,0.006035,11347,0.006034,5952,0.006032,548,0.006028,91825,0.006027,214026,0.006014,13291,0.006107,94477,0.006108,91825,0.006127,5066,0.006172,9846,0.006173,12094,0.006175,24401,0.006187,21779,0.006199,24284,0.006211,23647,0.006214,532,0.006093,18203,0.006091,13632,0.006090,29218,0.006089,16991,0.006088,122122,0.006087,46724,0.006086,61336,0.006085,94336,0.006084,48236,0.006083,62138,0.006103,13672,0.006104,1967,0.006105,16380,0.006106,27642,0.006107,27468,0.006109,1974,0.006110,32204,0.006111,16364,0.006112,3948,0.006113,32719
gate,bybit,RDNTUSDT,0.006107,0.00611,0.0491,1774107051000,0.006067,43631,0.006066,109487,0.006061,109487,0.006051,119309,0.006047,91886,0.006043,11376,0.006042,91880,0.006041,216588,0.006034,5952,0.006032,548,0.006107,91820,0.006108,91825,0.006126,2657,0.006127,5072,0.006165,12209,0.006166,7430,0.006167,4702,0.006187,21779,0.006199,24284,0.006211,23647,0.006097,378,0.006096,200,0.006095,65015,0.006094,1560,0.006093,2577,0.006092,3619,0.006091,51154,0.006089,50437,0.006088,51155,0.006087,56304,0.006100,2289,0.006101,18401,0.006102,14736,0.006103,10000,0.006104,29781,0.006106,3948,0.006107,35904,0.006108,37814,0.006109,1974,0.006112,4760
