spot_exch,fut_exch,symbol,ask_spot,bid_futures,spread_pct,ts,s_b1,s_b2,s_b3,s_b4,s_b5,s_b6,s_b7,s_b8,s_b9,s_b10,s_bq1,s_bq2,s_bq3,s_bq4,s_bq5,s_bq6,s_bq7,s_bq8,s_bq9,s_bq10,s_a1,s_a2,s_a3,s_a4,s_a5,s_a6,s_a7,s_a8,s_a9,s_a10,s_aq1,s_aq2,s_aq3,s_aq4,s_aq5,s_aq6,s_aq7,s_aq8,s_aq9,s_aq10,f_b1,f_b2,f_b3,f_b4,f_b5,f_b6,f_b7,f_b8,f_b9,f_b10,f_bq1,f_bq2,f_bq3,f_bq4,f_bq5,f_bq6,f_bq7,f_bq8,f_bq9,f_bq10,f_a1,f_a2,f_a3,f_a4,f_a5,f_a6,f_a7,f_a8,f_a9,f_a10,f_aq1,f_aq2,f_aq3,f_aq4,f_aq5,f_aq6,f_aq7,f_aq8,f_aq9,f_aq10
binance,bybit,SXPUSDT,0.00850000,0.00847,-0.3529,1774108910000,0.00840000,550231.00000000,0.00830000,1623614.60000000,0.00820000,430652.50000000,0.00810000,898229.60000000,0.00800000,672409.00000000,0.00790000,483546.20000000,0.00780000,1870590.30000000,0.00770000,641029.60000000,0.00760000,1223930.30000000,0.00750000,551031.90000000,0.00850000,105919.80000000,0.00860000,311047.90000000,0.00870000,280114.90000000,0.00880000,187339.90000000,0.00890000,602917.00000000,0.00900000,262509.50000000,0.00910000,68441.70000000,0.00920000,15257.20000000,0.00930000,30618.60000000,0.00940000,955759.60000000,0.00847,11.8,0.00846,58453.9,0.00845,69208.2,0.00844,85862.9,0.00843,89716.2,0.00842,23384.6,0.00841,44445.6,0.00840,20817.0,0.00839,33326.8,0.00838,21039.5,0.00849,17014.5,0.00850,81937.1,0.00851,47055.8,0.00852,18632.3,0.00853,20531.6,0.00854,21719.1,0.00855,86265.4,0.00856,66132.2,0.00857,21577.6,0.00858,63811.0
binance,bybit,SXPUSDT,0.00850000,0.00845,-0.5882,1774108911000,0.00840000,297319.90000000,0.00830000,1594364.60000000,0.00820000,401402.50000000,0.00810000,865500.70000000,0.00800000,643159.00000000,0.00790000,449571.20000000,0.00780000,1870590.30000000,0.00770000,641029.60000000,0.00760000,1223930.30000000,0.00750000,551031.90000000,0.00850000,197187.80000000,0.00860000,326448.90000000,0.00870000,250864.90000000,0.00880000,158089.90000000,0.00890000,573667.00000000,0.00900000,233259.50000000,0.00910000,39191.70000000,0.00920000,15257.20000000,0.00930000,30618.60000000,0.00940000,955759.60000000,0.00842,118.7,0.00841,18602.9,0.00840,27792.3,0.00839,46669.2,0.00838,22232.8,0.00837,19979.1,0.00836,31217.9,0.00835,20081.5,0.00834,18312.6,0.00833,17974.7,0.00845,14141.7,0.00846,23527.2,0.00847,24849.9,0.00848,24856.1,0.00849,37191.7,0.00850,88034.9,0.00851,47055.8,0.00852,18632.3,0.00853,31251.4,0.00854,33320.0
binance,bybit,SXPUSDT,0.00860000,0.00842,-2.093,1774108916000,0.00840000,485278.40000000,0.00830000,1597497.10000000,0.00820000,417121.30000000,0.00810000,864883.40000000,0.00800000,643159.00000000,0.00790000,448938.20000000,0.00780000,1870590.30000000,0.00770000,641029.60000000,0.00760000,1223930.30000000,0.00750000,551031.90000000,0.00850000,281993.40000000,0.00860000,329348.40000000,0.00870000,193149.90000000,0.00880000,215149.00000000,0.00890000,573077.10000000,0.00900000,233842.90000000,0.00910000,39191.70000000,0.00920000,15257.20000000,0.00930000,30618.60000000,0.00940000,955759.60000000,0.00842,747.0,0.00841,17161.0,0.00840,24625.6,0.00839,26419.3,0.00838,35353.4,0.00837,19979.1,0.00836,40270.0,0.00835,22486.8,0.00834,29369.3,0.00833,17974.7,0.00845,18094.4,0.00846,23534.3,0.00847,26034.5,0.00848,30953.9,0.00849,36011.1,0.00850,26344.8,0.00851,59169.7,0.00852,54300.6,0.00853,43204.9,0.00854,19770.1
binance,bybit,SXPUSDT,0.00850000,0.00844,-0.7059,1774108917000,0.00840000,500622.90000000,0.00830000,1597497.10000000,0.00820000,401402.50000000,0.00810000,865500.70000000,0.00800000,643159.00000000,0.00790000,449571.20000000,0.00780000,1870590.30000000,0.00770000,641029.60000000,0.00760000,1223930.30000000,0.00750000,551031.90000000,0.00850000,282671.80000000,0.00860000,329348.40000000,0.00870000,193149.90000000,0.00880000,215149.00000000,0.00890000,573077.10000000,0.00900000,233842.90000000,0.00910000,39191.70000000,0.00920000,15257.20000000,0.00930000,30618.60000000,0.00940000,955759.60000000,0.00844,12328.4,0.00843,22342.6,0.00842,25256.0,0.00841,20673.3,0.00840,29035.0,0.00839,26932.2,0.00838,52132.0,0.00837,21186.8,0.00836,31217.9,0.00835,21279.1,0.00847,17594.8,0.00848,19856.1,0.00849,30755.6,0.00850,51347.7,0.00851,53153.6,0.00852,18515.1,0.00853,31134.2,0.00854,55438.4,0.00855,104235.0,0.00856,18350.0
binance,bybit,SXPUSDT,0.00850000,0.00842,-0.9412,1774108918000,0.00840000,291211.70000000,0.00830000,1597497.10000000,0.00820000,401402.50000000,0.00810000,865500.70000000,0.00800000,643159.00000000,0.00790000,449571.20000000,0.00780000,1870590.30000000,0.00770000,641029.60000000,0.00760000,1223930.30000000,0.00750000,551031.90000000,0.00850000,60316.90000000,0.00860000,325861.60000000,0.00870000,193149.90000000,0.00880000,215149.00000000,0.00890000,573077.10000000,0.00900000,233842.90000000,0.00910000,39191.70000000,0.00920000,15257.20000000,0.00930000,30618.60000000,0.00940000,955759.60000000,0.00842,24509.0,0.00841,24508.4,0.00840,24744.6,0.00839,32505.1,0.00838,46034.2,0.00837,21186.8,0.00836,31217.9,0.00835,21279.1,0.00834,17233.4,0.00833,24072.5,0.00845,9355.9,0.00846,17785.9,0.00847,24803.1,0.00848,19453.9,0.00849,28893.6,0.00850,51347.7,0.00851,47055.8,0.00852,18515.1,0.00853,31134.2,0.00854,55438.4
binance,bybit,SXPUSDT,0.00850000,0.00842,-0.9412,1774108920000,0.00840000,304057.40000000,0.00830000,1597497.10000000,0.00820000,430652.50000000,0.00810000,894750.70000000,0.00800000,672409.00000000,0.00790000,478821.20000000,0.00780000,1899840.30000000,0.00770000,670279.60000000,0.00760000,1253180.30000000,0.00750000,580281.90000000,0.00850000,89566.90000000,0.00860000,355111.60000000,0.00870000,222399.90000000,0.00880000,244399.00000000,0.00890000,602327.10000000,0.00900000,263092.90000000,0.00910000,68441.70000000,0.00920000,44507.20000000,0.00930000,59868.60000000,0.00940000,985009.60000000,0.00842,10129.1,0.00841,24415.2,0.00840,24744.6,0.00839,30556.1,0.00838,24846.2,0.00837,26076.9,0.00836,40270.0,0.00835,20091.6,0.00834,29369.3,0.00833,17974.7,0.00844,316.9,0.00845,17791.2,0.00846,17785.9,0.00847,21699.0,0.00848,25736.6,0.00849,40672.2,0.00850,24630.9,0.00851,59169.7,0.00852,54183.4,0.00853,45036.7
binance,bybit,SXPUSDT,0.00850000,0.00842,-0.9412,1774108944000,0.00840000,279606.60000000,0.00830000,1597497.10000000,0.00820000,401402.50000000,0.00810000,868211.20000000,0.00800000,547765.30000000,0.00790000,449571.20000000,0.00780000,1870590.30000000,0.00770000,641029.60000000,0.00760000,1223930.30000000,0.00750000,551031.90000000,0.00850000,60316.90000000,0.00860000,338001.60000000,0.00870000,193149.90000000,0.00880000,215149.00000000,0.00890000,592064.40000000,0.00900000,214855.60000000,0.00910000,39191.70000000,0.00920000,15257.20000000,0.00930000,30618.60000000,0.00940000,955759.60000000,0.00842,787.1,0.00841,19437.5,0.00840,24010.7,0.00839,24864.1,0.00838,24965.5,0.00837,30486.3,0.00836,40270.0,0.00835,22486.8,0.00834,17233.4,0.00833,30110.6,0.00844,10695.5,0.00845,19589.0,0.00846,21603.3,0.00847,25886.3,0.00848,37529.1,0.00849,23893.6,0.00850,43228.2,0.00851,20502.1,0.00852,43756.2,0.00853,46604.6
binance,bybit,SXPUSDT,0.00850000,0.00844,-0.7059,1774108947000,0.00840000,279606.60000000,0.00830000,1573761.00000000,0.00820000,401402.50000000,0.00810000,868211.20000000,0.00800000,547765.30000000,0.00790000,449571.20000000,0.00780000,1870590.30000000,0.00770000,641029.60000000,0.00760000,1223930.30000000,0.00750000,551031.90000000,0.00850000,60316.90000000,0.00860000,338001.60000000,0.00870000,193149.90000000,0.00880000,215149.00000000,0.00890000,592064.40000000,0.00900000,214855.60000000,0.00910000,39191.70000000,0.00920000,15257.20000000,0.00930000,30618.60000000,0.00940000,955759.60000000,0.00845,11.8,0.00844,18100.6,0.00843,79457.6,0.00842,79846.1,0.00841,19437.5,0.00840,26918.2,0.00839,30961.9,0.00838,26914.5,0.00837,42374.8,0.00836,19082.0,0.00846,3208.7,0.00847,18543.2,0.00848,24453.9,0.00849,22795.8,0.00850,25993.6,0.00851,44003.9,0.00852,37900.5,0.00853,22537.2,0.00854,117888.2,0.00855,81337.1
binance,bybit,SXPUSDT,0.00850000,0.00843,-0.8235,1774108950000,0.00840000,308856.60000000,0.00830000,1603011.00000000,0.00820000,430652.50000000,0.00810000,897461.20000000,0.00800000,577015.30000000,0.00790000,478821.20000000,0.00780000,1899840.30000000,0.00770000,670279.60000000,0.00760000,1253180.30000000,0.00750000,580281.90000000,0.00850000,85916.60000000,0.00860000,367251.60000000,0.00870000,222399.90000000,0.00880000,244399.00000000,0.00890000,621314.40000000,0.00900000,244105.60000000,0.00910000,68441.70000000,0.00920000,44507.20000000,0.00930000,59868.60000000,0.00940000,985009.60000000,0.00843,10483.3,0.00842,15380.3,0.00841,24437.5,0.00840,28400.6,0.00839,30961.9,0.00838,26914.5,0.00837,41167.1,0.00836,20289.7,0.00835,33415.0,0.00834,17233.4,0.00845,59171.5,0.00846,10066.5,0.00847,28602.6,0.00848,24453.9,0.00849,22795.8,0.00850,32091.4,0.00851,20502.1,0.00852,31802.7,0.00853,58205.5,0.00854,82219.9
binance,bybit,SXPUSDT,0.00850000,0.00841,-1.0588,1774108960000,0.00840000,308856.60000000,0.00830000,1573761.00000000,0.00820000,430652.50000000,0.00810000,894750.70000000,0.00800000,569409.00000000,0.00790000,478821.20000000,0.00780000,1899840.30000000,0.00770000,670279.60000000,0.00760000,1253180.30000000,0.00750000,580281.90000000,0.00850000,85916.60000000,0.00860000,367251.60000000,0.00870000,222399.90000000,0.00880000,244399.00000000,0.00890000,621314.40000000,0.00900000,244105.60000000,0.00910000,68441.70000000,0.00920000,44507.20000000,0.00930000,59868.60000000,0.00940000,985009.60000000,0.00841,10833.0,0.00840,21655.4,0.00839,26495.3,0.00838,31204.6,0.00837,19979.1,0.00836,40270.0,0.00835,18883.9,0.00834,18441.1,0.00833,24072.5,0.00832,30401.8,0.00843,56549.5,0.00844,59241.7,0.00845,79136.6,0.00846,21318.4,0.00847,28484.7,0.00848,30669.6,0.00849,29909.7,0.00850,19395.8,0.00851,56170.4,0.00852,18515.1
