spot_exch,fut_exch,symbol,ask_spot,bid_futures,spread_pct,ts,s_b1,s_b2,s_b3,s_b4,s_b5,s_b6,s_b7,s_b8,s_b9,s_b10,s_bq1,s_bq2,s_bq3,s_bq4,s_bq5,s_bq6,s_bq7,s_bq8,s_bq9,s_bq10,s_a1,s_a2,s_a3,s_a4,s_a5,s_a6,s_a7,s_a8,s_a9,s_a10,s_aq1,s_aq2,s_aq3,s_aq4,s_aq5,s_aq6,s_aq7,s_aq8,s_aq9,s_aq10,f_b1,f_b2,f_b3,f_b4,f_b5,f_b6,f_b7,f_b8,f_b9,f_b10,f_bq1,f_bq2,f_bq3,f_bq4,f_bq5,f_bq6,f_bq7,f_bq8,f_bq9,f_bq10,f_a1,f_a2,f_a3,f_a4,f_a5,f_a6,f_a7,f_a8,f_a9,f_a10,f_aq1,f_aq2,f_aq3,f_aq4,f_aq5,f_aq6,f_aq7,f_aq8,f_aq9,f_aq10
gate,binance,A2ZUSDT,0.0005924,0.0005926,0.0338,1774108907000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0005931,32078,0.0005930,32078,0.0005929,32078,0.0005928,60755,0.0005927,240160,0.0005926,466156,0.0005925,229976,0.0005924,124204,0.0005923,234957,0.0005922,243947,0.0005941,12114,0.0005944,28677,0.0005945,80275,0.0005947,200230,0.0005948,234511,0.0005949,51008,0.0005950,32078,0.0005951,276805,0.0005952,722832,0.0005953,452078
gate,binance,A2ZUSDT,0.0005923,0.0005923,0.0,1774108908000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0005936,54118,0.0005935,32078,0.0005934,32078,0.0005933,197909,0.0005932,137280,0.0005926,204082,0.0005925,215406,0.0005924,197909,0.0005923,564740,0.0005921,103600,0.0005944,120004,0.0005945,113985,0.0005947,32078,0.0005948,42125,0.0005949,323493,0.0005950,32078,0.0005951,32078,0.0005952,40969,0.0005953,32078,0.0005954,40969
gate,binance,A2ZUSDT,0.0005922,0.0005936,0.2364,1774108909000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0005936,32078,0.0005935,165831,0.0005934,197909,0.0005933,225572,0.0005932,105202,0.0005931,40945,0.0005927,314480,0.0005926,177639,0.0005925,286880,0.0005924,206800,0.0005941,129323,0.0005942,32078,0.0005943,32078,0.0005944,32078,0.0005945,80275,0.0005947,61477,0.0005948,32078,0.0005949,125557,0.0005950,200145,0.0005951,87078
gate,binance,A2ZUSDT,0.0005925,0.0005936,0.1857,1774108910000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0005936,235394,0.0005935,197909,0.0005934,197909,0.0005933,174722,0.0005932,105202,0.0005931,32078,0.0005930,18032,0.0005928,7003,0.0005927,106308,0.0005926,8891,0.0005941,118493,0.0005943,32078,0.0005944,32078,0.0005945,80275,0.0005947,52347,0.0005948,32078,0.0005949,125557,0.0005950,32078,0.0005951,240202,0.0005952,40969
gate,binance,A2ZUSDT,0.0005878,0.0005876,-0.034,1774108911000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0005877,32422,0.0005876,177884,0.0005875,32422,0.0005874,9198,0.0005873,10245,0.0005872,10133,0.0005871,68417,0.0005870,96596,0.0005869,64999,0.0005868,41313,0.0005882,216037,0.0005884,32422,0.0005886,32422,0.0005887,234980,0.0005888,339320,0.0005889,739454,0.0005890,198253,0.0005891,172086,0.0005893,44541,0.0005894,16086
gate,binance,A2ZUSDT,0.0005865,0.0005859,-0.1023,1774108912000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0005859,105521,0.0005858,1522142,0.0005856,32422,0.0005855,106254,0.0005854,51482,0.0005853,41313,0.0005851,57819,0.0005850,42591,0.0005849,84611,0.0005848,279168,0.0005863,511270,0.0005864,1299296,0.0005865,436523,0.0005866,215559,0.0005867,187281,0.0005868,187281,0.0005869,223805,0.0005874,333656,0.0005875,73687,0.0005876,8891
gate,binance,A2ZUSDT,0.000584,0.0005842,0.0342,1774108913000,0.0005871,12840,0.0005833,37018,0.0005829,260100,0.0005818,255640,0.0005816,100000,0.0005815,128697,0.0005796,260011,0.0005791,2642,0.0005785,278851,0.0005774,253650,0.0005924,8318,0.0005985,62886,0.000599,19325,0.0006032,88531,0.0006045,120356,0.0006089,169708,0.0006101,162253,0.0006113,179702,0.0006125,174621,0.0006137,165010,0.0005842,54713,0.0005841,32422,0.0005839,10853,0.0005836,32422,0.0005835,32422,0.0005834,198253,0.0005833,110561,0.0005832,32422,0.0005831,41313,0.0005830,116325,0.0005848,32422,0.0005849,32422,0.0005850,406469,0.0005851,288743,0.0005852,107747,0.0005853,235172,0.0005854,219703,0.0005855,470137,0.0005856,165831,0.0005857,344208
gate,binance,A2ZUSDT,0.000591,0.0005851,-0.9983,1774108914000,0.0005842,196515,0.000584,267917,0.0005833,37018,0.0005829,260100,0.0005818,255640,0.0005816,100000,0.0005796,260011,0.0005791,2642,0.0005785,278851,0.0005774,253650,0.0005925,8310,0.0005985,62886,0.0006006,46028,0.000601,19325,0.0006022,120356,0.000604,88351,0.0006077,174639,0.0006089,165801,0.0006101,162253,0.0006113,179702,0.0005851,94964,0.0005850,60155,0.0005849,884840,0.0005848,165831,0.0005845,284327,0.0005844,55372,0.0005843,234198,0.0005842,303098,0.0005841,222832,0.0005840,400029,0.0005863,46292,0.0005864,46292,0.0005865,32422,0.0005866,90159,0.0005867,233857,0.0005869,219703,0.0005871,41313,0.0005872,219703,0.0005873,75983,0.0005874,355106
gate,binance,A2ZUSDT,0.0005862,0.0005854,-0.1365,1774108915000,0.0005805,9900,0.0005804,546,0.0005803,1867,0.0005791,2642,0.0005762,267860,0.0005755,38376,0.0005752,100000,0.0005751,239374,0.0005744,1886,0.000574,238248,0.0005862,7750,0.0005909,170000,0.000591,62886,0.0005949,46028,0.000595,19325,0.0006028,1810,0.0006041,158386,0.0006053,181825,0.0006065,159635,0.0006089,165801,0.0005856,32422,0.0005855,198253,0.0005854,208148,0.0005850,29035,0.0005849,22348,0.0005848,62616,0.0005847,211053,0.0005846,336514,0.0005845,96440,0.0005844,229223,0.0005867,583715,0.0005868,32422,0.0005869,32422,0.0005870,32422,0.0005871,207144,0.0005872,385534,0.0005873,207144,0.0005874,198253,0.0005875,42598,0.0005876,219703
gate,binance,A2ZUSDT,0.000591,0.0005846,-1.0829,1774108916000,0.0005805,9898,0.0005804,546,0.0005803,1867,0.0005791,2642,0.0005762,257335,0.0005755,38376,0.0005752,100000,0.0005751,239374,0.0005744,1886,0.000574,238248,0.0005842,8512,0.000587,383160,0.000591,62886,0.0005949,46028,0.000595,19325,0.0006017,165378,0.0006028,1810,0.0006029,165735,0.0006041,158386,0.0006053,181825,0.0005847,32422,0.0005846,93870,0.0005845,61506,0.0005844,161340,0.0005843,888753,0.0005842,126749,0.0005841,72736,0.0005840,81486,0.0005839,32422,0.0005838,41313,0.0005859,61506,0.0005860,198253,0.0005861,99858,0.0005862,51241,0.0005863,29387,0.0005864,769611,0.0005865,5084518,0.0005866,41313,0.0005867,71772,0.0005870,220263
gate,binance,A2ZUSDT,0.0005855,0.0005849,-0.1025,1774108917000,0.0005804,546,0.0005803,1867,0.0005791,2642,0.000579,37763,0.0005788,207715,0.0005777,151778,0.0005762,257335,0.0005752,100000,0.0005751,239374,0.0005744,1886,0.0005855,11981,0.0005856,32422,0.000591,62886,0.000593,19325,0.0005938,46028,0.0005939,120010,0.0006017,165378,0.0006028,1810,0.0006029,165735,0.0006041,158386,0.0005849,32422,0.0005848,888533,0.0005846,41313,0.0005845,71689,0.0005844,161340,0.0005843,32422,0.0005842,84011,0.0005841,72736,0.0005840,278341,0.0005839,167900,0.0005857,26301,0.0005858,41313,0.0005859,61506,0.0005860,213335,0.0005861,99858,0.0005862,51241,0.0005863,228019,0.0005865,220263,0.0005866,66962,0.0005868,245437
