spot_exch,fut_exch,symbol,ask_spot,bid_futures,spread_pct,ts,s_b1,s_b2,s_b3,s_b4,s_b5,s_b6,s_b7,s_b8,s_b9,s_b10,s_bq1,s_bq2,s_bq3,s_bq4,s_bq5,s_bq6,s_bq7,s_bq8,s_bq9,s_bq10,s_a1,s_a2,s_a3,s_a4,s_a5,s_a6,s_a7,s_a8,s_a9,s_a10,s_aq1,s_aq2,s_aq3,s_aq4,s_aq5,s_aq6,s_aq7,s_aq8,s_aq9,s_aq10,f_b1,f_b2,f_b3,f_b4,f_b5,f_b6,f_b7,f_b8,f_b9,f_b10,f_bq1,f_bq2,f_bq3,f_bq4,f_bq5,f_bq6,f_bq7,f_bq8,f_bq9,f_bq10,f_a1,f_a2,f_a3,f_a4,f_a5,f_a6,f_a7,f_a8,f_a9,f_a10,f_aq1,f_aq2,f_aq3,f_aq4,f_aq5,f_aq6,f_aq7,f_aq8,f_aq9,f_aq10
gate,binance,ICNTUSDT,0.358,0.3562000,-0.5028,1774108908000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3562000,93,0.3561000,350,0.3560000,184,0.3559000,169,0.3558000,638,0.3557000,1366,0.3556000,1291,0.3555000,2371,0.3554000,1516,0.3553000,1336,0.3564000,351,0.3565000,199,0.3566000,351,0.3567000,632,0.3568000,1010,0.3569000,1289,0.3570000,1637,0.3571000,1051,0.3572000,1160,0.3573000,432
gate,binance,ICNTUSDT,0.35792,0.3561000,-0.5085,1774108909000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3562000,93,0.3561000,56,0.3560000,184,0.3559000,169,0.3558000,638,0.3557000,1366,0.3556000,1291,0.3555000,2371,0.3554000,1516,0.3553000,1336,0.3563000,122,0.3564000,249,0.3565000,184,0.3566000,351,0.3567000,632,0.3568000,886,0.3569000,1289,0.3570000,1730,0.3571000,1015,0.3572000,1160
gate,binance,ICNTUSDT,0.35792,0.3560000,-0.5364,1774108910000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3561000,149,0.3560000,184,0.3559000,169,0.3558000,638,0.3557000,457,0.3556000,1509,0.3555000,2371,0.3554000,1516,0.3553000,1336,0.3552000,1263,0.3563000,122,0.3564000,249,0.3565000,184,0.3566000,351,0.3567000,632,0.3568000,886,0.3569000,1289,0.3570000,1730,0.3571000,1015,0.3572000,1160
gate,binance,ICNTUSDT,0.358,0.3561000,-0.5307,1774108914000,0.3579,45,0.35761,435,0.3576,489,0.35757,258,0.35755,145,0.35734,102,0.35733,1399,0.3572,92,0.35699,26,0.35691,28,0.35794,157,0.35796,560,0.35798,92,0.358,307,0.35807,27,0.3585,124,0.35867,6262,0.35868,20979,0.35872,124,0.35877,65,0.3561000,527,0.3560000,704,0.3559000,449,0.3558000,640,0.3557000,1082,0.3556000,1155,0.3555000,2371,0.3554000,1194,0.3553000,1319,0.3552000,1263,0.3565000,49,0.3566000,61,0.3567000,88,0.3568000,869,0.3569000,1186,0.3570000,1426,0.3571000,962,0.3572000,1464,0.3573000,432,0.3574000,920
gate,binance,ICNTUSDT,0.35832,0.3561000,-0.6196,1774108915000,0.35792,126,0.3579,45,0.35762,102,0.35761,435,0.3576,489,0.35754,1398,0.35699,26,0.35694,129,0.35691,28,0.35682,100,0.35835,126,0.3587,94,0.35872,124,0.35899,92,0.359,309,0.35901,12277,0.35906,3835,0.35908,115,0.35927,65,0.35932,3650,0.3561000,617,0.3560000,1066,0.3559000,486,0.3558000,640,0.3557000,557,0.3556000,1155,0.3555000,2371,0.3554000,871,0.3553000,1319,0.3552000,1263,0.3565000,49,0.3566000,61,0.3567000,353,0.3568000,733,0.3569000,950,0.3570000,970,0.3571000,1055,0.3572000,1141,0.3573000,432,0.3574000,920
gate,binance,ICNTUSDT,0.3586,0.3563000,-0.6414,1774108917000,0.35809,553,0.35791,102,0.35787,280,0.35763,1398,0.35761,435,0.3576,489,0.35752,24,0.35736,106,0.35698,100,0.35697,20930,0.3586,190,0.35861,27,0.35893,118,0.35895,163,0.35921,20942,0.35927,65,0.35932,3650,0.35939,174,0.35943,20930,0.35951,146,0.3563000,232,0.3562000,145,0.3561000,494,0.3560000,1360,0.3559000,806,0.3558000,740,0.3557000,1051,0.3556000,1717,0.3555000,966,0.3554000,1089,0.3566000,31,0.3567000,136,0.3568000,482,0.3569000,662,0.3570000,970,0.3571000,1055,0.3572000,1141,0.3573000,774,0.3574000,903,0.3575000,1115
gate,binance,ICNTUSDT,0.35847,0.3565000,-0.5496,1774108920000,0.3581,164,0.35793,206,0.35791,102,0.35789,280,0.35787,280,0.35768,1397,0.35761,435,0.3576,489,0.35752,24,0.3575,130,0.35848,84,0.35849,280,0.35861,27,0.35913,67,0.35914,226,0.35921,20942,0.35927,65,0.35939,174,0.35943,41860,0.35951,146,0.3564000,232,0.3563000,139,0.3562000,185,0.3561000,436,0.3560000,1360,0.3559000,551,0.3558000,740,0.3557000,1051,0.3556000,1717,0.3555000,966,0.3566000,31,0.3567000,136,0.3568000,119,0.3569000,591,0.3570000,969,0.3571000,962,0.3572000,1228,0.3573000,867,0.3574000,903,0.3575000,963
gate,binance,ICNTUSDT,0.35835,0.3565000,-0.5163,1774108921000,0.35786,152,0.35764,100,0.35763,102,0.35758,1398,0.35752,24,0.3575,130,0.35698,100,0.35697,20930,0.35694,129,0.35691,28,0.35835,209,0.35861,27,0.3588,129,0.35914,105,0.3592,6251,0.35921,20942,0.35927,65,0.35939,174,0.35951,146,0.35954,204,0.3564000,93,0.3563000,170,0.3562000,170,0.3561000,436,0.3560000,1360,0.3559000,938,0.3558000,740,0.3557000,1023,0.3556000,1717,0.3555000,983,0.3566000,128,0.3567000,103,0.3568000,291,0.3569000,591,0.3570000,969,0.3571000,990,0.3572000,1228,0.3573000,967,0.3574000,884,0.3575000,814
gate,binance,ICNTUSDT,0.35807,0.3564000,-0.4664,1774108923000,0.3581,533,0.35795,486,0.35789,280,0.35772,102,0.35771,1397,0.35752,24,0.3575,97,0.35698,100,0.35697,20930,0.35694,129,0.35839,140,0.3584,84,0.35841,280,0.35842,156,0.35843,560,0.35861,27,0.3588,129,0.35915,133,0.3592,6251,0.35921,20942,0.3565000,8,0.3564000,93,0.3563000,170,0.3562000,170,0.3561000,436,0.3560000,1360,0.3559000,938,0.3558000,740,0.3557000,1015,0.3556000,1717,0.3567000,321,0.3568000,236,0.3569000,662,0.3570000,1217,0.3571000,1053,0.3572000,1243,0.3573000,955,0.3574000,945,0.3575000,814,0.3576000,2638
gate,binance,ICNTUSDT,0.35826,0.3562000,-0.575,1774108924000,0.35785,129,0.35761,102,0.3576,1398,0.35752,24,0.3575,97,0.35698,100,0.35697,20930,0.35691,28,0.35689,20942,0.35681,20992,0.35831,137,0.35861,27,0.35891,127,0.35915,133,0.3592,6251,0.35921,20942,0.35927,65,0.3593,20937,0.35932,20936,0.35939,174,0.3562000,16,0.3561000,124,0.3560000,1360,0.3559000,562,0.3558000,1091,0.3557000,888,0.3556000,1717,0.3555000,966,0.3554000,981,0.3553000,2209,0.3566000,140,0.3567000,351,0.3568000,747,0.3569000,662,0.3570000,1217,0.3571000,1397,0.3572000,1243,0.3573000,955,0.3574000,945,0.3575000,844
