spot_exch,fut_exch,symbol,ask_spot,bid_futures,spread_pct,ts,s_b1,s_b2,s_b3,s_b4,s_b5,s_b6,s_b7,s_b8,s_b9,s_b10,s_bq1,s_bq2,s_bq3,s_bq4,s_bq5,s_bq6,s_bq7,s_bq8,s_bq9,s_bq10,s_a1,s_a2,s_a3,s_a4,s_a5,s_a6,s_a7,s_a8,s_a9,s_a10,s_aq1,s_aq2,s_aq3,s_aq4,s_aq5,s_aq6,s_aq7,s_aq8,s_aq9,s_aq10,f_b1,f_b2,f_b3,f_b4,f_b5,f_b6,f_b7,f_b8,f_b9,f_b10,f_bq1,f_bq2,f_bq3,f_bq4,f_bq5,f_bq6,f_bq7,f_bq8,f_bq9,f_bq10,f_a1,f_a2,f_a3,f_a4,f_a5,f_a6,f_a7,f_a8,f_a9,f_a10,f_aq1,f_aq2,f_aq3,f_aq4,f_aq5,f_aq6,f_aq7,f_aq8,f_aq9,f_aq10
gate,bybit,VANRYUSDT,0.005544,0.005959,7.4856,1774110644000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005959,8180,0.005958,1678,0.005957,1678,0.005956,17108,0.005955,32399,0.005954,73041,0.005953,26168,0.005952,40446,0.005951,78554,0.005950,20225,0.005960,10965,0.005961,3415,0.005962,21562,0.005963,28358,0.005964,20645,0.005965,13866,0.005966,19876,0.005967,71403,0.005968,43072,0.005969,13930
gate,bybit,VANRYUSDT,0.005544,0.005959,7.4856,1774110649862,0.005542,4467,0.005541,18427,0.00554,17209,0.005539,17938,0.005538,27356,0.005537,26289,0.005536,25840,0.005535,21600,0.005534,21600,0.005533,11600,0.005544,4359,0.005545,18197,0.005546,16465,0.005547,130425,0.005548,11600,0.005549,16078,0.00555,18427,0.005551,15819,0.005555,11600,0.005556,11600,0.005959,8180,0.005958,1678,0.005957,1678,0.005956,18430,0.005955,32399,0.005954,73041,0.005953,26168,0.005952,40446,0.005951,78554,0.005950,20225,0.005960,11675,0.005961,3404,0.005962,21562,0.005963,28358,0.005964,20645,0.005965,13866,0.005966,14796,0.005967,71403,0.005968,43072,0.005969,13930
gate,bybit,VANRYUSDT,0.005544,0.005959,7.4856,1774110650162,0.005542,4467,0.005541,18427,0.00554,17209,0.005539,17938,0.005538,27356,0.005537,26289,0.005536,25840,0.005535,21600,0.005534,21600,0.005533,11600,0.005544,4359,0.005545,18197,0.005546,17049,0.005547,130425,0.005548,11600,0.005549,16078,0.00555,18427,0.005551,15819,0.005556,11600,0.005559,11600,0.005959,8180,0.005958,1678,0.005957,1678,0.005956,18430,0.005955,32399,0.005954,73041,0.005953,26168,0.005952,40446,0.005951,78554,0.005950,20225,0.005960,11675,0.005961,3404,0.005962,21562,0.005963,28358,0.005964,20645,0.005965,13866,0.005966,14796,0.005967,71403,0.005968,43072,0.005969,13930
gate,bybit,VANRYUSDT,0.005544,0.005959,7.4856,1774110650462,0.005542,4467,0.005541,18427,0.00554,17209,0.005539,17938,0.005538,27356,0.005537,26289,0.005536,25840,0.005535,21600,0.005534,21600,0.005533,11600,0.005544,4359,0.005545,18197,0.005546,17049,0.005547,130425,0.005548,11600,0.005549,16078,0.00555,18427,0.005551,15819,0.005556,11600,0.005559,11600,0.005959,8180,0.005958,1678,0.005957,1678,0.005956,18430,0.005955,32399,0.005954,73041,0.005953,26168,0.005952,40446,0.005951,78554,0.005950,20225,0.005960,11675,0.005961,3404,0.005962,21562,0.005963,28358,0.005964,20645,0.005965,13866,0.005966,14796,0.005967,71403,0.005968,43072,0.005969,13930
gate,bybit,VANRYUSDT,0.005544,0.005959,7.4856,1774110650762,0.005542,4467,0.005541,18427,0.00554,17209,0.005539,17938,0.005538,27356,0.005537,26289,0.005536,25840,0.005535,21600,0.005534,21600,0.005533,11600,0.005544,4359,0.005545,18197,0.005546,17049,0.005547,130425,0.005548,11600,0.005549,16078,0.00555,18427,0.005551,15819,0.005556,11600,0.005559,11600,0.005959,8180,0.005958,1678,0.005957,1678,0.005956,18430,0.005955,32399,0.005954,73041,0.005953,26168,0.005952,40446,0.005951,78554,0.005950,20225,0.005960,11675,0.005961,3404,0.005962,21562,0.005963,28358,0.005964,20645,0.005965,13866,0.005966,14796,0.005967,71403,0.005968,43072,0.005969,13930
gate,bybit,VANRYUSDT,0.005544,0.005959,7.4856,1774110651063,0.005542,4467,0.005541,18427,0.00554,17209,0.005539,17938,0.005538,27356,0.005537,26289,0.005536,25840,0.005535,21600,0.005534,21600,0.005533,11600,0.005544,4359,0.005545,18197,0.005546,17049,0.005547,130425,0.005548,11600,0.005549,16078,0.00555,18427,0.005551,15819,0.005556,11600,0.005559,11600,0.005959,8180,0.005958,1678,0.005957,1678,0.005956,18430,0.005955,32399,0.005954,73041,0.005953,26168,0.005952,40446,0.005951,78554,0.005950,20225,0.005960,11675,0.005961,3404,0.005962,21562,0.005963,28358,0.005964,20645,0.005965,13866,0.005966,14796,0.005967,71403,0.005968,43072,0.005969,13930
gate,bybit,VANRYUSDT,0.005544,0.005959,7.4856,1774110651363,0.005542,4467,0.005541,18427,0.00554,17209,0.005539,17938,0.005538,27356,0.005537,26289,0.005536,25840,0.005535,21600,0.005534,21600,0.005533,11600,0.005544,4359,0.005545,18197,0.005546,17049,0.005547,130425,0.005548,11600,0.005549,16078,0.00555,18427,0.005551,15819,0.005556,11600,0.005559,11600,0.005959,8180,0.005958,1678,0.005957,1678,0.005956,18430,0.005955,32399,0.005954,73041,0.005953,26168,0.005952,40446,0.005951,78554,0.005950,20225,0.005960,11675,0.005961,3404,0.005962,21562,0.005963,28358,0.005964,20645,0.005965,13866,0.005966,14796,0.005967,71403,0.005968,43072,0.005969,13930
gate,bybit,VANRYUSDT,0.005544,0.005959,7.4856,1774110651663,0.005542,13128,0.005541,18427,0.00554,17209,0.005539,17938,0.005538,27356,0.005537,26289,0.005536,25840,0.005535,21600,0.005534,21600,0.005533,11600,0.005544,4359,0.005545,18197,0.005546,17049,0.005547,130425,0.005548,11600,0.005549,16078,0.00555,18427,0.005551,15819,0.005556,11600,0.005559,11600,0.005959,8180,0.005958,1678,0.005957,1678,0.005956,18430,0.005955,32399,0.005954,73041,0.005953,26168,0.005952,40446,0.005951,78554,0.005950,20225,0.005960,11675,0.005961,3404,0.005962,21562,0.005963,28358,0.005964,20645,0.005965,13866,0.005966,14796,0.005967,71403,0.005968,43072,0.005969,13930
gate,bybit,VANRYUSDT,0.005544,0.005959,7.4856,1774110651964,0.005542,13128,0.005541,18427,0.00554,17209,0.005539,17938,0.005538,27356,0.005537,26289,0.005536,25840,0.005535,21600,0.005534,21600,0.005533,11600,0.005544,4359,0.005545,18197,0.005546,16465,0.005547,130425,0.005548,11600,0.005549,16078,0.00555,18427,0.005551,15819,0.005556,11600,0.005559,11600,0.005959,8180,0.005958,1678,0.005957,1678,0.005956,18430,0.005955,32399,0.005954,73041,0.005953,26168,0.005952,40446,0.005951,78554,0.005950,20225,0.005960,11675,0.005961,3404,0.005962,21562,0.005963,28358,0.005964,20645,0.005965,13866,0.005966,14796,0.005967,71403,0.005968,43072,0.005969,13930
gate,bybit,VANRYUSDT,0.005544,0.005959,7.4856,1774110652264,0.005542,13128,0.005541,18427,0.00554,17209,0.005539,17938,0.005538,27356,0.005537,26289,0.005536,25840,0.005535,21600,0.005534,21600,0.005533,11600,0.005544,4359,0.005545,18197,0.005546,16465,0.005547,130425,0.005548,11600,0.005549,16078,0.00555,18427,0.005551,15819,0.005556,11600,0.005559,11600,0.005959,8180,0.005958,1678,0.005957,1678,0.005956,18430,0.005955,32399,0.005954,73041,0.005953,26168,0.005952,40446,0.005951,78554,0.005950,20225,0.005960,11675,0.005961,3404,0.005962,21562,0.005963,28358,0.005964,20645,0.005965,13866,0.005966,14796,0.005967,71403,0.005968,43072,0.005969,13930
