spot_exch,fut_exch,symbol,ask_spot,bid_futures,spread_pct,ts,s_b1,s_b2,s_b3,s_b4,s_b5,s_b6,s_b7,s_b8,s_b9,s_b10,s_bq1,s_bq2,s_bq3,s_bq4,s_bq5,s_bq6,s_bq7,s_bq8,s_bq9,s_bq10,s_a1,s_a2,s_a3,s_a4,s_a5,s_a6,s_a7,s_a8,s_a9,s_a10,s_aq1,s_aq2,s_aq3,s_aq4,s_aq5,s_aq6,s_aq7,s_aq8,s_aq9,s_aq10,f_b1,f_b2,f_b3,f_b4,f_b5,f_b6,f_b7,f_b8,f_b9,f_b10,f_bq1,f_bq2,f_bq3,f_bq4,f_bq5,f_bq6,f_bq7,f_bq8,f_bq9,f_bq10,f_a1,f_a2,f_a3,f_a4,f_a5,f_a6,f_a7,f_a8,f_a9,f_a10,f_aq1,f_aq2,f_aq3,f_aq4,f_aq5,f_aq6,f_aq7,f_aq8,f_aq9,f_aq10
binance,gate,NTRNUSDT,0.00650000,0.00642,-1.2308,1774112807000,0.00630000,2147862.90000000,0.00620000,2865197.50000000,0.00610000,1433480.30000000,0.00600000,1129760.50000000,0.00590000,1087340.70000000,0.00580000,963509.80000000,0.00570000,877.20000000,0.00560000,33820.10000000,0.00550000,108061.60000000,0.00540000,6852.20000000,0.00650000,1486154.30000000,0.00660000,1358459.40000000,0.00670000,701661.10000000,0.00680000,967301.00000000,0.00690000,236552.40000000,0.00700000,645719.60000000,0.00710000,511329.50000000,0.00720000,294783.60000000,0.00730000,138359.00000000,0.00740000,115185.40000000,0.00642,744,0.00641,1061,0.0064,526,0.00639,1848,0.00638,14063,0.00637,1091,0.00636,5140,0.00635,544,0.00634,3691,0.00633,3698,0.00643,1129,0.00644,709,0.00645,578,0.00646,553,0.00647,3356,0.00648,2341,0.00649,500,0.0065,9856,0.00651,8304,0.00652,3576
binance,gate,NTRNUSDT,0.00640000,0.00641,0.1562,1774112808000,0.00630000,2140892.10000000,0.00620000,2865197.50000000,0.00610000,1433480.30000000,0.00600000,1247547.70000000,0.00590000,1087340.70000000,0.00580000,963509.80000000,0.00570000,877.20000000,0.00560000,33820.10000000,0.00550000,108061.60000000,0.00540000,6852.20000000,0.00640000,80105.40000000,0.00650000,1484935.60000000,0.00660000,1358459.40000000,0.00670000,701661.10000000,0.00680000,967301.00000000,0.00690000,236552.40000000,0.00700000,645719.60000000,0.00710000,511329.50000000,0.00720000,294783.60000000,0.00730000,138359.00000000,0.00641,20,0.0064,26,0.00639,576,0.00638,542,0.00637,714,0.00636,12252,0.00635,544,0.00634,579,0.00633,539,0.00632,544,0.00642,653,0.00643,551,0.00645,1377,0.00646,661,0.00647,1090,0.00648,8318,0.00649,7293,0.0065,550,0.00651,1717,0.00652,550
binance,gate,NTRNUSDT,0.00640000,0.00641,0.1562,1774112809000,0.00630000,2128404.90000000,0.00620000,2865197.50000000,0.00610000,1472600.00000000,0.00600000,1247547.70000000,0.00590000,1088188.20000000,0.00580000,963509.80000000,0.00570000,877.20000000,0.00560000,34713.00000000,0.00550000,108061.60000000,0.00540000,6852.20000000,0.00640000,789955.10000000,0.00650000,1406195.50000000,0.00660000,1435978.70000000,0.00670000,701661.10000000,0.00680000,967301.00000000,0.00690000,236552.40000000,0.00700000,645719.60000000,0.00710000,511329.50000000,0.00720000,294783.60000000,0.00730000,138359.00000000,0.00641,20,0.0064,26,0.00639,576,0.00638,542,0.00637,2772,0.00636,12252,0.00635,544,0.00634,3712,0.00632,3666,0.00631,3723,0.00642,677,0.00643,551,0.00644,799,0.00645,2117,0.00646,1161,0.00647,1090,0.00648,11383,0.00649,6793,0.0065,3585,0.00651,4789
binance,gate,NTRNUSDT,0.00640000,0.00641,0.1562,1774112810000,0.00630000,2131211.90000000,0.00620000,2865197.50000000,0.00610000,1472600.00000000,0.00600000,1247547.70000000,0.00590000,1088188.20000000,0.00580000,963509.80000000,0.00570000,877.20000000,0.00560000,34713.00000000,0.00550000,108061.60000000,0.00540000,6852.20000000,0.00640000,789955.10000000,0.00650000,1406195.50000000,0.00660000,1435978.70000000,0.00670000,701661.10000000,0.00680000,967301.00000000,0.00690000,236552.40000000,0.00700000,645719.60000000,0.00710000,511329.50000000,0.00720000,294783.60000000,0.00730000,138359.00000000,0.00641,20,0.0064,26,0.00639,576,0.00638,1042,0.00637,2772,0.00636,12252,0.00635,544,0.00634,3712,0.00632,3666,0.00631,3723,0.00642,677,0.00643,551,0.00644,799,0.00645,3621,0.00646,1161,0.00647,1090,0.00648,9879,0.00649,6793,0.0065,3585,0.00651,4789
binance,gate,NTRNUSDT,0.00640000,0.00641,0.1562,1774112812000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00641,20,0.0064,26,0.00639,576,0.00638,1042,0.00637,2772,0.00636,12752,0.00635,544,0.00634,3712,0.00632,3666,0.00631,3723,0.00642,653,0.00643,551,0.00645,3621,0.00646,1961,0.00647,1090,0.00648,9879,0.00649,6793,0.0065,3585,0.00651,4789,0.00652,550
binance,gate,NTRNUSDT,0.00640000,0.00641,0.1562,1774112818000,0.00630000,2133058.90000000,0.00620000,2865197.50000000,0.00610000,1337832.60000000,0.00600000,1247547.70000000,0.00590000,1088188.20000000,0.00580000,963509.80000000,0.00570000,877.20000000,0.00560000,34713.00000000,0.00550000,108061.60000000,0.00540000,6852.20000000,0.00640000,789955.10000000,0.00650000,1406195.50000000,0.00660000,1435978.70000000,0.00670000,701661.10000000,0.00680000,967301.00000000,0.00690000,236552.40000000,0.00700000,645719.60000000,0.00710000,511329.50000000,0.00720000,294783.60000000,0.00730000,138359.00000000,0.00641,20,0.0064,26,0.00639,576,0.00638,1042,0.00637,2772,0.00636,12752,0.00635,544,0.00634,3712,0.00632,3666,0.00631,3723,0.00642,685,0.00643,551,0.00644,800,0.00645,3621,0.00646,1161,0.00647,1090,0.00648,9879,0.00649,6793,0.0065,3585,0.00651,4789
binance,gate,NTRNUSDT,0.00640000,0.00641,0.1562,1774112820000,0.00630000,2133058.90000000,0.00620000,2865197.50000000,0.00610000,1337832.60000000,0.00600000,1247547.70000000,0.00590000,1088188.20000000,0.00580000,963509.80000000,0.00570000,877.20000000,0.00560000,34713.00000000,0.00550000,108061.60000000,0.00540000,6852.20000000,0.00640000,778100.90000000,0.00650000,1406195.50000000,0.00660000,1435978.70000000,0.00670000,701661.10000000,0.00680000,967301.00000000,0.00690000,236552.40000000,0.00700000,645719.60000000,0.00710000,511329.50000000,0.00720000,294783.60000000,0.00730000,138359.00000000,0.00641,10,0.0064,26,0.00639,576,0.00638,1042,0.00637,2772,0.00636,12752,0.00635,544,0.00634,3712,0.00632,4244,0.00631,3723,0.00642,709,0.00643,552,0.00644,800,0.00645,3621,0.00646,1161,0.00647,1090,0.00648,9879,0.00649,6793,0.0065,3585,0.00651,4789
binance,gate,NTRNUSDT,0.00640000,0.0064,0.0,1774112847000,0.00630000,2129077.80000000,0.00620000,2865197.50000000,0.00610000,1337832.60000000,0.00600000,1247547.70000000,0.00590000,1087340.70000000,0.00580000,963509.80000000,0.00570000,877.20000000,0.00560000,34713.00000000,0.00550000,108061.60000000,0.00540000,6852.20000000,0.00640000,1082763.70000000,0.00650000,1369075.30000000,0.00660000,1435978.70000000,0.00670000,701661.10000000,0.00680000,851030.10000000,0.00690000,258720.90000000,0.00700000,645719.60000000,0.00710000,511329.50000000,0.00720000,294783.60000000,0.00730000,138359.00000000,0.00641,13,0.0064,549,0.00639,589,0.00638,1055,0.00637,2746,0.00636,12765,0.00635,544,0.00634,3687,0.00632,4244,0.00631,3723,0.00642,636,0.00643,586,0.00644,800,0.00645,3608,0.00646,1187,0.00647,1077,0.00648,9867,0.00649,6818,0.0065,3598,0.00651,4789
binance,gate,NTRNUSDT,0.00640000,0.0064,0.0,1774112849000,0.00630000,2343739.00000000,0.00620000,2984269.30000000,0.00610000,1337832.60000000,0.00600000,1247547.70000000,0.00590000,1087340.70000000,0.00580000,963509.80000000,0.00570000,877.20000000,0.00560000,34713.00000000,0.00550000,108061.60000000,0.00540000,6852.20000000,0.00640000,85114.30000000,0.00650000,1369075.30000000,0.00660000,1435978.70000000,0.00670000,701661.10000000,0.00680000,967826.40000000,0.00690000,258720.90000000,0.00700000,645719.60000000,0.00710000,511329.50000000,0.00720000,294783.60000000,0.00730000,138359.00000000,0.0064,556,0.00639,589,0.00638,1055,0.00637,1188,0.00636,2087,0.00635,1044,0.00634,14368,0.00633,1579,0.00632,544,0.00631,6850,0.00642,656,0.00643,551,0.00645,4149,0.00646,1879,0.00647,14879,0.00648,2843,0.00649,25,0.0065,6674,0.00651,1717,0.00652,550
binance,gate,NTRNUSDT,0.00640000,0.00641,0.1562,1774112850000,0.00630000,2273402.10000000,0.00620000,2984269.30000000,0.00610000,1337832.60000000,0.00600000,1247547.70000000,0.00590000,1088188.20000000,0.00580000,153233.30000000,0.00570000,877.20000000,0.00560000,34713.00000000,0.00550000,108061.60000000,0.00540000,6852.20000000,0.00640000,75581.80000000,0.00650000,1378839.70000000,0.00660000,1435978.70000000,0.00670000,701661.10000000,0.00680000,967826.40000000,0.00690000,258720.90000000,0.00700000,645719.60000000,0.00710000,511329.50000000,0.00720000,294783.60000000,0.00730000,138359.00000000,0.00641,556,0.0064,568,0.00639,589,0.00638,1055,0.00637,2746,0.00636,12794,0.00635,1044,0.00634,3687,0.00632,3666,0.00631,3723,0.00642,13,0.00643,551,0.00645,2606,0.00646,1879,0.00647,1077,0.00648,3755,0.00649,1529,0.0065,15856,0.00651,5002,0.00652,550
