spot_source_id,fut_source_id,symbol_id,ask_spot,bid_futures,spread_pct,ts,s_b1,s_b2,s_b3,s_b4,s_b5,s_b6,s_b7,s_b8,s_b9,s_b10,s_bq1,s_bq2,s_bq3,s_bq4,s_bq5,s_bq6,s_bq7,s_bq8,s_bq9,s_bq10,s_a1,s_a2,s_a3,s_a4,s_a5,s_a6,s_a7,s_a8,s_a9,s_a10,s_aq1,s_aq2,s_aq3,s_aq4,s_aq5,s_aq6,s_aq7,s_aq8,s_aq9,s_aq10,f_b1,f_b2,f_b3,f_b4,f_b5,f_b6,f_b7,f_b8,f_b9,f_b10,f_bq1,f_bq2,f_bq3,f_bq4,f_bq5,f_bq6,f_bq7,f_bq8,f_bq9,f_bq10,f_a1,f_a2,f_a3,f_a4,f_a5,f_a6,f_a7,f_a8,f_a9,f_a10,f_aq1,f_aq2,f_aq3,f_aq4,f_aq5,f_aq6,f_aq7,f_aq8,f_aq9,f_aq10,fr_r,fr_ft
6,3,507,0.008298,0.00823,-0.8195,1774130213000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00823,3317.1,0.00822,45575.1,0.00821,26351.4,0.00820,10196.4,0.00819,27838.5,0.00818,46429.5,0.00817,28022.5,0.00816,3818.3,0.00815,40689.9,0.00814,36988.2,0.00828,10481.9,0.00829,10343.0,0.00830,10111.7,0.00831,24602.2,0.00832,20286.7,0.00833,35107.5,0.00834,35492.5,0.00835,63806.6,0.00836,46398.8,0.00837,77231.5,0.0001,1774137600000
6,3,507,0.008296,0.00823,-0.7956,1774130214000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00823,2417.3,0.00821,25738.6,0.00820,13180.4,0.00819,16015.9,0.00818,46551.7,0.00817,27905.3,0.00816,5043.7,0.00815,64961.7,0.00814,36988.2,0.00813,7562.2,0.00825,5476.2,0.00826,10922.3,0.00827,11665.1,0.00828,10481.9,0.00829,10343.0,0.00830,22180.3,0.00831,27563.8,0.00832,67716.3,0.00833,59014.6,0.00834,9301.5,0.0001,1774137600000
6,3,507,0.008295,0.00823,-0.7836,1774130218000,0.008155,210835,0.008154,2452,0.008153,3101,0.008111,8177,0.00811,9864,0.008109,1431,0.008085,3561,0.008084,7152,0.008001,5445,0.008,12500,0.008295,1498,0.008296,13664,0.00833,2831,0.008331,15614,0.008335,7420,0.008336,12610,0.009294,1685,0.009295,1460,0.009298,2755,0.009299,8593,0.00823,0.9,0.00822,2933.2,0.00821,25738.1,0.00820,14804.5,0.00819,20015.9,0.00818,46551.7,0.00817,27293.4,0.00816,5043.7,0.00815,64961.7,0.00814,36988.2,0.00825,5469.0,0.00826,6922.3,0.00827,7665.1,0.00828,10602.5,0.00829,10463.4,0.00830,22060.0,0.00831,27443.7,0.00832,67716.3,0.00833,60215.0,0.00834,9498.1,,
6,3,507,0.008293,0.00823,-0.7597,1774130219000,0.008156,12610,0.008155,210835,0.008154,2452,0.008153,3101,0.008111,8177,0.00811,9864,0.008109,1431,0.008085,3561,0.008084,7152,0.008001,5445,0.008293,1498,0.008294,12610,0.008296,13664,0.008329,7420,0.00833,2831,0.008331,15614,0.009294,1685,0.009295,1460,0.009298,4334,0.009299,6535,0.00823,0.9,0.00822,2933.2,0.00821,25738.1,0.00820,9583.1,0.00819,20015.9,0.00818,41592.9,0.00817,32514.8,0.00816,10002.5,0.00815,64961.7,0.00814,36988.2,0.00824,1689.2,0.00825,5469.0,0.00826,6922.3,0.00827,7665.1,0.00828,10602.5,0.00829,10463.4,0.00830,10011.8,0.00831,27443.7,0.00832,67716.3,0.00833,60215.0,0.0001,1774137600000
6,3,507,0.008293,0.00823,-0.7597,1774130220000,0.008155,210835,0.008154,2452,0.008153,3101,0.008111,8177,0.00811,9864,0.008109,1431,0.008085,3561,0.008084,7152,0.008001,5445,0.008,12500,0.008293,1498,0.008296,13664,0.008328,2830,0.008329,15614,0.009294,3365,0.009295,1460,0.009298,4334,0.009299,6535,0.0093,63020,0.009598,426,0.00823,13941.7,0.00822,13974.0,0.00821,29738.1,0.00820,9583.1,0.00819,17986.1,0.00818,41592.9,0.00817,27293.4,0.00816,29315.5,0.00815,40689.9,0.00814,36988.2,0.00827,7792.6,0.00828,10481.9,0.00829,10463.4,0.00830,22060.0,0.00831,48162.7,0.00832,47337.2,0.00833,59349.5,0.00834,33565.5,0.00835,13680.8,0.00836,45800.8,0.0001,1774137600000
6,3,507,0.008293,0.00828,-0.1568,1774130221000,0.008155,210835,0.008154,2452,0.008153,3101,0.008111,8177,0.00811,9864,0.008109,1431,0.008085,3561,0.008084,7152,0.008001,5445,0.008,12500,0.008293,1498,0.008328,2829,0.008329,15614,0.008336,14396,0.009294,3365,0.009295,1460,0.009298,4334,0.009299,6535,0.0093,63020,0.009598,426,0.00830,120.4,0.00828,6420.5,0.00827,6180.1,0.00826,14765.9,0.00825,11517.1,0.00824,11382.4,0.00823,95583.3,0.00822,15999.6,0.00821,29738.1,0.00820,33854.9,0.00831,5238.9,0.00832,11578.2,0.00833,10879.8,0.00834,9301.5,0.00835,26759.4,0.00836,50759.6,0.00837,52935.9,0.00838,6540.5,0.00839,34755.5,0.00840,30243.0,0.0001,1774137600000
6,3,507,0.008327,0.00828,-0.5644,1774130222000,0.008195,5000,0.008181,5000,0.008176,14395,0.008156,5000,0.008155,210835,0.008153,3101,0.008115,5232,0.008111,8177,0.00811,9864,0.008109,1431,0.008327,15614,0.00847,7420,0.008471,1498,0.008472,2887,0.009294,3365,0.009295,1460,0.009298,4334,0.009299,6535,0.0093,63020,0.009598,426,0.00828,5520.5,0.00827,6596.2,0.00826,6309.7,0.00825,23334.6,0.00824,51635.4,0.00823,59869.0,0.00822,102065.0,0.00821,29859.7,0.00820,33854.9,0.00819,7683.9,0.00832,5330.8,0.00833,6135.9,0.00834,11452.5,0.00835,23435.6,0.00836,45800.8,0.00837,52935.9,0.00838,13855.4,0.00839,38522.5,0.00840,30124.1,0.00841,13086.9,0.0001,1774137600000
6,3,507,0.008327,0.00828,-0.5644,1774130223000,0.008195,5000,0.008176,14395,0.008156,5000,0.008155,210835,0.008153,3101,0.008116,2464,0.008115,5232,0.008111,2013,0.00811,9864,0.008109,1431,0.008327,15614,0.008467,2908,0.008468,7420,0.008471,1498,0.009294,3365,0.009295,1460,0.009298,4334,0.009299,6535,0.0093,63020,0.009598,426,0.00828,9520.5,0.00827,6596.2,0.00826,10309.7,0.00825,23334.6,0.00824,51635.4,0.00823,59869.0,0.00822,102065.0,0.00821,25859.7,0.00820,29854.9,0.00819,7683.9,0.00831,139.5,0.00832,5330.8,0.00833,6135.9,0.00834,11452.5,0.00835,23555.2,0.00836,45920.2,0.00837,52935.9,0.00838,13855.4,0.00839,38522.5,0.00840,30124.1,0.0001,1774137600000
6,3,507,0.008464,0.00825,-2.5284,1774130224000,0.008157,7353,0.008153,3101,0.008138,22634,0.00812,4725,0.008116,2464,0.008111,2013,0.00811,2466,0.008109,1431,0.008098,2731,0.008097,3577,0.008463,212333,0.008464,7420,0.008465,12610,0.008467,18522,0.009294,3365,0.009295,1460,0.009298,4334,0.009299,6535,0.0093,63020,0.009598,426,0.00825,15256.2,0.00824,11382.4,0.00823,59869.0,0.00822,113773.2,0.00821,25859.7,0.00820,29854.9,0.00819,7683.9,0.00818,17301.5,0.00817,3138.8,0.00816,8777.1,0.00828,121.0,0.00829,7046.2,0.00830,9618.9,0.00831,5871.1,0.00832,5330.8,0.00833,6135.9,0.00834,42998.7,0.00835,63808.2,0.00836,45920.2,0.00837,88650.2,0.0001,1774137600000
6,3,507,0.00844,0.00825,-2.2512,1774130226000,0.008158,210835,0.008157,7353,0.008153,3101,0.00812,4725,0.008116,2464,0.008115,6161,0.008114,5232,0.008111,2013,0.00811,2466,0.008109,1431,0.008441,7420,0.008442,123658,0.008446,1498,0.00846,15614,0.008465,12610,0.009294,3365,0.009295,1460,0.009298,4334,0.009299,4450,0.0093,63020,0.00825,12729.3,0.00824,11382.4,0.00823,31233.5,0.00822,113773.2,0.00821,25738.1,0.00820,33371.4,0.00819,27838.5,0.00818,17301.5,0.00817,27410.6,0.00816,3940.7,0.00829,6111.2,0.00830,9618.9,0.00831,9731.6,0.00832,9450.8,0.00833,39224.2,0.00834,66447.5,0.00835,35527.0,0.00836,45800.8,0.00837,65288.0,0.00838,6540.5,0.0001,1774137600000
6,3,507,0.008329,0.00825,-0.9485,1774130229000,0.008158,210835,0.008157,7353,0.008153,3101,0.008121,6156,0.00812,4725,0.008116,2464,0.008114,5232,0.008111,2013,0.00811,2466,0.008109,1431,0.008329,1498,0.008331,12550,0.008429,7420,0.00843,2870,0.008439,15614,0.008465,12610,0.009295,1460,0.009298,4334,0.009299,4450,0.0093,63020,0.00825,12729.3,0.00824,11382.4,0.00823,31233.5,0.00822,134452.5,0.00821,25737.9,0.00820,21294.0,0.00819,52007.7,0.00818,17301.5,0.00817,27410.6,0.00816,3940.7,0.00829,6111.2,0.00830,9618.9,0.00831,9731.6,0.00832,9450.8,0.00833,39224.2,0.00834,66447.5,0.00835,35527.0,0.00836,69868.2,0.00837,41220.6,0.00838,6540.5,0.0001,1774137600000
6,3,507,0.008324,0.00825,-0.889,1774130230000,0.008159,17610,0.008158,210835,0.008157,7353,0.008153,3101,0.008122,3688,0.008121,6156,0.00812,4725,0.008116,2464,0.008114,5232,0.008111,2013,0.008325,1498,0.008326,2869,0.008328,12610,0.008331,12550,0.008438,7420,0.008439,15614,0.009293,1680,0.009295,1460,0.009298,4334,0.009299,4450,0.00825,12729.3,0.00824,46676.6,0.00823,31233.5,0.00822,134452.5,0.00821,25737.9,0.00820,21294.0,0.00819,52007.7,0.00818,17301.5,0.00817,27410.6,0.00816,3940.7,0.00828,142.2,0.00829,4798.2,0.00830,5618.9,0.00831,9731.6,0.00832,9450.8,0.00833,39224.2,0.00834,58882.1,0.00835,43557.3,0.00836,69868.2,0.00837,41220.6,0.0001,1774137600000
6,3,507,0.008318,0.00825,-0.8175,1774130231000,0.008159,17610,0.008158,210835,0.008157,7353,0.008153,3101,0.008123,3553,0.008122,3688,0.008121,6156,0.00812,4725,0.008116,2464,0.008115,5601,0.008318,7861,0.008319,6498,0.00832,5000,0.008321,5000,0.008328,28224,0.008359,7420,0.009293,1680,0.009295,1460,0.009298,4334,0.009299,4450,0.00825,9998.9,0.00824,11382.4,0.00823,31233.5,0.00822,134452.5,0.00821,26311.0,0.00820,21294.0,0.00819,52007.7,0.00818,17301.5,0.00817,27410.6,0.00816,3940.7,0.00828,142.2,0.00829,4798.2,0.00830,9618.9,0.00831,9731.6,0.00832,9450.8,0.00833,39224.2,0.00834,58882.1,0.00835,43557.3,0.00836,69868.2,0.00837,41220.6,0.0001,1774137600000
6,3,507,0.008314,0.00825,-0.7698,1774130232000,0.008159,17610,0.008158,210835,0.008157,7353,0.008153,3101,0.008123,3553,0.008122,3688,0.008121,6156,0.00812,4725,0.008116,2464,0.008115,5601,0.008315,1498,0.008316,2859,0.008318,5000,0.008324,15614,0.008328,12610,0.008359,7420,0.009293,1680,0.009295,1460,0.009298,4334,0.009299,4450,0.00825,9998.9,0.00824,11382.4,0.00823,31233.5,0.00822,134452.5,0.00821,26311.0,0.00820,21294.0,0.00819,52007.7,0.00818,17301.5,0.00817,27410.6,0.00816,3940.7,0.00828,142.2,0.00829,4798.2,0.00830,9739.2,0.00831,9851.7,0.00832,9330.8,0.00833,39104.3,0.00834,58882.1,0.00835,43557.3,0.00836,69868.2,0.00837,47335.2,0.0001,1774137600000
