spot_source_id,fut_source_id,symbol_id,ask_spot,bid_futures,spread_pct,ts,s_b1,s_b2,s_b3,s_b4,s_b5,s_b6,s_b7,s_b8,s_b9,s_b10,s_bq1,s_bq2,s_bq3,s_bq4,s_bq5,s_bq6,s_bq7,s_bq8,s_bq9,s_bq10,s_a1,s_a2,s_a3,s_a4,s_a5,s_a6,s_a7,s_a8,s_a9,s_a10,s_aq1,s_aq2,s_aq3,s_aq4,s_aq5,s_aq6,s_aq7,s_aq8,s_aq9,s_aq10,f_b1,f_b2,f_b3,f_b4,f_b5,f_b6,f_b7,f_b8,f_b9,f_b10,f_bq1,f_bq2,f_bq3,f_bq4,f_bq5,f_bq6,f_bq7,f_bq8,f_bq9,f_bq10,f_a1,f_a2,f_a3,f_a4,f_a5,f_a6,f_a7,f_a8,f_a9,f_a10,f_aq1,f_aq2,f_aq3,f_aq4,f_aq5,f_aq6,f_aq7,f_aq8,f_aq9,f_aq10,fr_r,fr_ft
8,3,436,26.1443,26.171,0.1021,1774131800000,26.1303,3.93,26.1278,4.67,26.1267,3.93,26.1251,3.94,26.1243,33.39,26.1227,3.93,26.1213,5.89,26.1212,79.18,26.1199,19.14,26.1173,5.78,26.1408,7.81,26.1443,8.15,26.1445,7.24,26.1492,3.93,26.1527,5.38,26.1528,3.93,26.1548,37.43,26.1554,3.88,26.1583,4.48,26.1584,3.93,26.171,25.9,26.170,15.4,26.169,8.6,26.168,60.2,26.167,43.6,26.166,0.4,26.165,58.8,26.164,82.6,26.163,2.6,26.162,8.6,26.172,33.8,26.173,19.2,26.174,24.4,26.175,20.9,26.176,29.8,26.177,0.7,26.178,16.3,26.179,8.0,26.180,14.8,26.181,29.5,0.00053938,1774137600000
8,3,436,26.133,26.175,0.1607,1774131801000,26.1254,3.93,26.1228,7.02,26.1227,3.93,26.1214,4.11,26.1199,19.14,26.1166,5,26.1165,33.4,26.1139,3.82,26.1113,3.82,26.1083,4.55,26.1331,3.81,26.1357,3.83,26.1383,7.76,26.1409,7.76,26.1443,8.15,26.1445,7.24,26.1492,3.93,26.1527,5.38,26.1528,3.93,26.1547,4.11,26.175,9.7,26.174,8.2,26.173,8.2,26.172,8.6,26.171,17.6,26.170,9.5,26.169,13.6,26.168,13.6,26.167,13.6,26.166,8.2,26.176,132.1,26.177,0.7,26.178,8.6,26.179,3.2,26.180,1.8,26.181,10.6,26.182,5.4,26.183,8.2,26.184,3.3,26.185,20.0,0.00053938,1774137600000
8,3,436,26.1351,26.165,0.1144,1774131802000,26.125,3.93,26.1224,3.85,26.1223,3.93,26.12,7.49,26.1199,19.14,26.1195,3.93,26.117,3.81,26.1169,1.19,26.1165,33.4,26.1118,7.62,26.1351,3.69,26.1352,3.49,26.1353,3.83,26.1383,3.93,26.1407,3.81,26.1409,3.93,26.1441,4.07,26.1443,3.93,26.1471,4.24,26.1472,37.42,26.165,17.0,26.164,8.2,26.162,3.2,26.160,1.6,26.159,18.1,26.157,14.5,26.156,35.2,26.155,27.1,26.154,0.5,26.153,31.9,26.166,27.3,26.168,7.3,26.169,48.7,26.170,7.3,26.171,80.8,26.172,65.3,26.173,100.3,26.174,95.4,26.175,142.5,26.176,9.9,0.00053938,1774137600000
8,3,436,26.1351,26.165,0.1144,1774131803000,26.1235,3.93,26.1224,3.85,26.12,3.81,26.1199,19.14,26.1195,3.93,26.117,3.81,26.1165,33.4,26.1118,7.62,26.1116,3.8,26.1082,3.93,26.1303,3.81,26.1351,7.62,26.1352,3.49,26.1353,3.83,26.1383,3.93,26.1407,3.81,26.1409,3.93,26.1441,4.07,26.1443,3.93,26.1471,4.24,26.165,40.6,26.164,8.2,26.162,3.2,26.160,1.1,26.159,3.5,26.157,20.2,26.156,20.5,26.155,31.9,26.154,5.0,26.153,12.2,26.166,28.7,26.168,27.0,26.169,31.3,26.170,7.3,26.171,73.3,26.172,65.3,26.173,100.3,26.174,95.4,26.175,142.5,26.176,9.9,0.00053938,1774137600000
8,3,436,26.1347,26.165,0.1159,1774131804000,26.1247,3.93,26.1236,6.01,26.1224,3.85,26.1199,19.14,26.1195,3.93,26.117,3.81,26.1165,33.4,26.1118,7.62,26.1116,3.8,26.1082,3.93,26.1347,3.91,26.1348,7.05,26.1349,3.55,26.1383,3.93,26.1407,3.81,26.1409,3.93,26.1441,4.07,26.1443,3.93,26.1471,4.24,26.1472,37.42,26.165,40.1,26.164,8.2,26.162,3.2,26.161,5.0,26.160,6.1,26.159,19.6,26.158,5.0,26.157,20.7,26.156,20.5,26.155,26.4,26.166,13.1,26.168,7.3,26.169,26.6,26.170,7.3,26.171,67.9,26.172,65.3,26.173,100.3,26.174,95.4,26.175,142.5,26.176,9.9,0.00053938,1774137600000
8,3,436,26.13,26.165,0.1339,1774131805000,26.1201,3.93,26.1172,4.39,26.1171,1.19,26.117,3.81,26.1165,33.4,26.1118,7.62,26.1116,3.8,26.1082,3.93,26.1054,3.45,26.1052,37.91,26.13,3.27,26.1347,7.84,26.1348,3.12,26.1349,3.55,26.1383,3.93,26.1407,3.81,26.1409,3.93,26.1441,4.07,26.1443,3.93,26.1471,4.24,26.165,0.5,26.164,7.7,26.163,7.7,26.161,5.0,26.160,6.1,26.159,3.5,26.158,5.0,26.157,19.5,26.156,20.5,26.155,31.4,26.166,79.3,26.168,7.3,26.169,26.6,26.170,7.9,26.171,73.3,26.172,65.3,26.173,100.3,26.174,95.4,26.175,142.5,26.176,9.9,0.00053938,1774137600000
8,3,436,26.1347,26.163,0.1083,1774131806000,26.1223,3.93,26.1202,6.44,26.1172,4.39,26.1171,1.19,26.117,3.81,26.1165,33.4,26.1118,3.8,26.1116,3.8,26.1082,3.93,26.1054,3.45,26.13,3.27,26.1347,7.84,26.1348,3.12,26.1383,3.93,26.1407,3.81,26.1409,3.93,26.1441,4.07,26.1443,3.93,26.1471,4.24,26.1472,37.42,26.167,30.6,26.166,43.3,26.165,57.0,26.164,62.0,26.163,70.5,26.162,67.6,26.161,34.4,26.160,13.0,26.159,3.2,26.158,5.0,26.168,7.3,26.169,7.7,26.170,7.3,26.171,55.9,26.172,15.5,26.173,4.7,26.174,8.8,26.175,4.3,26.176,5.9,26.177,0.7,0.00053938,1774137600000
8,3,436,26.1345,26.167,0.1244,1774131807000,26.1239,3.93,26.1224,5.38,26.1172,4.52,26.1171,1.19,26.117,3.81,26.1165,33.4,26.1119,3.81,26.1083,3.9,26.1082,3.93,26.1055,4.1,26.1345,10.94,26.1382,5.27,26.1383,3.93,26.1407,3.81,26.1409,3.93,26.1441,4.07,26.1443,3.93,26.1471,4.24,26.1472,37.42,26.1492,3.93,26.167,9.2,26.166,12.7,26.165,12.7,26.164,45.4,26.163,66.1,26.162,67.6,26.161,34.4,26.160,13.0,26.159,3.2,26.158,5.0,26.168,53.2,26.169,7.7,26.170,7.3,26.171,45.8,26.172,15.5,26.173,4.7,26.174,6.2,26.175,10.8,26.176,5.9,26.177,20.3,0.00053938,1774137600000
8,3,436,26.1491,26.183,0.1296,1774131808000,26.1399,3.93,26.136,3.93,26.1334,4.29,26.1333,3.93,26.1308,3.8,26.1306,3.93,26.1294,3.94,26.1293,79.18,26.1291,33.46,26.1267,3.93,26.1491,9.41,26.1526,3.83,26.1528,3.93,26.1554,3.44,26.1555,3.93,26.1583,3.78,26.1584,3.93,26.1592,37.39,26.1619,3.43,26.162,3.93,26.184,7.4,26.183,7.4,26.181,3.2,26.179,7.8,26.178,3.2,26.177,26.3,26.176,3.6,26.175,3.4,26.174,2.0,26.173,30.9,26.185,41.1,26.187,80.2,26.188,53.2,26.189,0.4,26.190,53.2,26.191,39.2,26.192,7.9,26.193,8.5,26.194,14.7,26.195,7.8,0.00053938,1774137600000
8,3,436,26.1464,26.181,0.1323,1774131809000,26.1387,3.93,26.1361,3.84,26.136,3.93,26.1334,4.29,26.1333,3.93,26.1308,3.8,26.1306,3.93,26.1294,3.94,26.1293,79.18,26.1291,33.46,26.1464,3.71,26.1491,3.93,26.1526,3.83,26.1528,3.93,26.1554,3.44,26.1555,3.93,26.1582,4.54,26.1583,3.78,26.1584,3.93,26.1592,37.39,26.181,64.6,26.179,7.4,26.178,22.7,26.177,19.8,26.176,1.4,26.175,27.4,26.174,25.8,26.173,30.9,26.172,7.6,26.171,10.6,26.182,13.4,26.185,2.7,26.186,0.8,26.187,56.1,26.188,48.8,26.190,48.8,26.191,31.2,26.192,0.2,26.193,5.2,26.194,0.2,0.00053938,1774137600000
