spot_source_id,fut_source_id,symbol_id,ask_spot,bid_futures,spread_pct,ts,s_b1,s_b2,s_b3,s_b4,s_b5,s_b6,s_b7,s_b8,s_b9,s_b10,s_bq1,s_bq2,s_bq3,s_bq4,s_bq5,s_bq6,s_bq7,s_bq8,s_bq9,s_bq10,s_a1,s_a2,s_a3,s_a4,s_a5,s_a6,s_a7,s_a8,s_a9,s_a10,s_aq1,s_aq2,s_aq3,s_aq4,s_aq5,s_aq6,s_aq7,s_aq8,s_aq9,s_aq10,f_b1,f_b2,f_b3,f_b4,f_b5,f_b6,f_b7,f_b8,f_b9,f_b10,f_bq1,f_bq2,f_bq3,f_bq4,f_bq5,f_bq6,f_bq7,f_bq8,f_bq9,f_bq10,f_a1,f_a2,f_a3,f_a4,f_a5,f_a6,f_a7,f_a8,f_a9,f_a10,f_aq1,f_aq2,f_aq3,f_aq4,f_aq5,f_aq6,f_aq7,f_aq8,f_aq9,f_aq10,fr_r,fr_ft
0,9,126,0.02043000,0.0204,-0.1468,1774137105000,0.02042000,3088.20000000,0.02041000,11117.60000000,0.02040000,17774.40000000,0.02039000,7984.00000000,0.02038000,55563.20000000,0.02037000,14870.80000000,0.02036000,7088.20000000,0.02035000,7088.20000000,0.02034000,48483.70000000,0.02033000,25300.60000000,0.02043000,3705.80000000,0.02044000,6024.20000000,0.02045000,6695.70000000,0.02046000,6848.40000000,0.02047000,11886.10000000,0.02048000,12545.70000000,0.02049000,17059.90000000,0.02050000,8183.20000000,0.02051000,52349.70000000,0.02052000,12120.70000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00005,1774137600000
0,9,126,0.02043000,0.0204,-0.1468,1774137106000,0.02041000,11117.60000000,0.02040000,15326.50000000,0.02039000,7984.60000000,0.02038000,51563.20000000,0.02037000,64496.30000000,0.02036000,7088.20000000,0.02035000,14865.10000000,0.02034000,48483.70000000,0.02033000,25300.60000000,0.02032000,10041.10000000,0.02043000,3705.80000000,0.02044000,6024.20000000,0.02045000,6695.70000000,0.02046000,6848.40000000,0.02047000,11886.10000000,0.02048000,12545.70000000,0.02049000,17059.90000000,0.02050000,8183.20000000,0.02051000,52349.70000000,0.02052000,12120.70000000,0.0204,16354,0.02039,16349,0.02038,16349,0.02037,170717,0.02036,14441,0.02035,158992,0.02034,566616,0.02033,266536,0.02032,206632,0.02031,16910,0.02045,31806,0.02046,6908,0.02047,21349,0.02048,20834,0.02049,131203,0.0205,14441,0.02051,72414,0.02052,139216,0.02053,175191,0.02056,65439,0.00005,1774137600000
0,9,126,0.02043000,0.02041,-0.0979,1774137108000,0.02042000,1864.10000000,0.02041000,11117.60000000,0.02040000,12747.50000000,0.02039000,8006.70000000,0.02038000,55563.20000000,0.02037000,14870.80000000,0.02036000,7088.20000000,0.02035000,14865.10000000,0.02034000,48483.70000000,0.02033000,25300.60000000,0.02044000,4293.00000000,0.02045000,8163.00000000,0.02046000,6848.40000000,0.02047000,11886.10000000,0.02048000,12545.70000000,0.02049000,17059.90000000,0.02050000,8183.20000000,0.02051000,52349.70000000,0.02052000,12120.70000000,0.02053000,10021.30000000,0.0204,16354,0.02039,16349,0.02038,16349,0.02037,170717,0.02036,14441,0.02035,158992,0.02034,566616,0.02033,266536,0.02032,206632,0.02031,16910,0.02045,29898,0.02046,5000,0.02047,21349,0.02048,20834,0.02049,131203,0.0205,14441,0.02051,72414,0.02052,139216,0.02053,175191,0.02056,65439,0.00005,1774137600000
0,9,126,0.02043000,0.0204,-0.1468,1774137109000,0.02043000,3088.20000000,0.02042000,3088.20000000,0.02041000,9167.50000000,0.02040000,10165.00000000,0.02039000,44048.40000000,0.02038000,15729.60000000,0.02037000,14870.80000000,0.02036000,7088.20000000,0.02035000,14865.10000000,0.02034000,48483.70000000,0.02044000,5467.40000000,0.02045000,3088.20000000,0.02046000,6848.40000000,0.02047000,11886.10000000,0.02048000,15995.20000000,0.02049000,50342.90000000,0.02050000,4708.20000000,0.02051000,3088.20000000,0.02052000,12120.70000000,0.02053000,10021.30000000,0.0204,16354,0.02039,16349,0.02038,16349,0.02037,170717,0.02036,14441,0.02035,158992,0.02034,566616,0.02033,266536,0.02032,206632,0.02031,16910,0.02045,24898,0.02046,5000,0.02047,21349,0.02048,20834,0.02049,131203,0.0205,14441,0.02051,71105,0.02052,139216,0.02053,175191,0.02056,65439,0.00005,1774137600000
0,9,126,0.02043000,0.02041,-0.0979,1774137110000,0.02043000,3088.20000000,0.02042000,5038.30000000,0.02041000,14062.10000000,0.02040000,4052.60000000,0.02039000,42922.00000000,0.02038000,19729.60000000,0.02037000,14870.80000000,0.02036000,7088.20000000,0.02035000,14865.10000000,0.02034000,48483.70000000,0.02044000,5467.40000000,0.02045000,3088.20000000,0.02046000,6848.40000000,0.02047000,11886.10000000,0.02048000,12545.70000000,0.02049000,50342.90000000,0.02050000,8166.20000000,0.02051000,3088.20000000,0.02052000,12120.70000000,0.02053000,10021.30000000,0.0204,16354,0.02039,16349,0.02038,16349,0.02037,170717,0.02036,14441,0.02035,158992,0.02034,566616,0.02033,266536,0.02032,206632,0.02031,16910,0.02046,5000,0.02047,21349,0.02048,20834,0.02049,131203,0.0205,14441,0.02051,71105,0.02052,139216,0.02053,175191,0.02056,65439,0.02057,61524,0.00005,1774137600000
0,9,126,0.02044000,0.0204,-0.1957,1774137111000,0.02042000,17358.20000000,0.02041000,9167.50000000,0.02040000,7984.00000000,0.02039000,7025.00000000,0.02038000,53056.80000000,0.02037000,14870.80000000,0.02036000,7088.20000000,0.02035000,14865.10000000,0.02034000,48483.70000000,0.02033000,25300.60000000,0.02043000,3705.80000000,0.02044000,4556.20000000,0.02045000,8217.50000000,0.02046000,6848.40000000,0.02047000,11886.10000000,0.02048000,12545.70000000,0.02049000,50342.90000000,0.02050000,8166.20000000,0.02051000,3088.20000000,0.02052000,12120.70000000,0.02041,1908,0.0204,16354,0.02039,16349,0.02038,16349,0.02037,170717,0.02036,14441,0.02035,158992,0.02034,566616,0.02033,266536,0.02032,206632,0.02047,67754,0.02048,20834,0.02049,131203,0.0205,14441,0.02051,71105,0.02052,139216,0.02053,175191,0.02056,65439,0.02057,61524,0.02058,53694,0.00005,1774137600000
0,9,126,0.02043000,0.02041,-0.0979,1774137112000,0.02043000,3088.20000000,0.02042000,3088.20000000,0.02041000,5038.30000000,0.02040000,12879.80000000,0.02039000,15920.80000000,0.02038000,53056.80000000,0.02037000,62200.60000000,0.02036000,7088.20000000,0.02035000,14865.10000000,0.02034000,48483.70000000,0.02044000,5467.40000000,0.02045000,8217.50000000,0.02046000,6848.40000000,0.02047000,59216.50000000,0.02048000,7464.20000000,0.02049000,50342.90000000,0.02050000,8166.20000000,0.02051000,3088.20000000,0.02052000,12120.70000000,0.02053000,10021.30000000,0.02041,16349,0.0204,16354,0.02039,16349,0.02038,21349,0.02037,170717,0.02036,14441,0.02035,158992,0.02034,566616,0.02033,266536,0.02032,206632,0.02046,3910,0.02047,309893,0.02048,14441,0.02049,131203,0.0205,14441,0.02051,71105,0.02052,139216,0.02053,175191,0.02056,65439,0.02057,61524,0.00005,1774137600000
0,9,126,0.02044000,0.02043,-0.0489,1774137113000,0.02044000,20446.40000000,0.02043000,5038.30000000,0.02041000,3088.20000000,0.02040000,12285.60000000,0.02039000,50457.00000000,0.02038000,19729.60000000,0.02037000,14870.80000000,0.02036000,14865.10000000,0.02035000,19016.20000000,0.02034000,53500.70000000,0.02045000,3829.30000000,0.02046000,4554.70000000,0.02047000,10716.40000000,0.02048000,8285.60000000,0.02049000,17059.90000000,0.02050000,12556.70000000,0.02051000,46636.40000000,0.02052000,12120.70000000,0.02053000,10021.30000000,0.02055000,3571.70000000,0.02041,16349,0.0204,16354,0.02039,16349,0.02038,21349,0.02037,14441,0.02036,14441,0.02035,158992,0.02034,566616,0.02033,266536,0.02032,206632,0.02046,3910,0.02047,309893,0.02048,14441,0.02049,131203,0.0205,14441,0.02051,71105,0.02052,139216,0.02053,175191,0.02056,65439,0.02057,61524,0.00005,1774137600000
0,9,126,0.02043000,0.0204,-0.1468,1774137114000,0.02044000,20446.40000000,0.02043000,5038.30000000,0.02042000,3088.20000000,0.02041000,3088.20000000,0.02040000,8285.60000000,0.02039000,63818.20000000,0.02038000,63663.60000000,0.02037000,14870.80000000,0.02036000,21539.60000000,0.02035000,19016.20000000,0.02045000,4153.30000000,0.02046000,4554.70000000,0.02047000,11209.80000000,0.02048000,7858.40000000,0.02049000,60993.90000000,0.02050000,12556.70000000,0.02051000,48637.20000000,0.02052000,12120.70000000,0.02053000,10021.30000000,0.02055000,3088.20000000,0.0204,1909,0.02039,16315,0.02038,16349,0.02037,16349,0.02036,16349,0.02035,95652,0.02034,222809,0.02033,65113,0.02031,16910,0.0203,14441,0.02044,1784,0.02045,6908,0.02046,20259,0.02047,16349,0.02048,14441,0.02049,131203,0.0205,14441,0.02051,71105,0.02052,124775,0.02053,175191,0.00005,1774137600000
0,9,126,0.02045000,0.02041,-0.1956,1774137115000,0.02044000,17358.20000000,0.02043000,3088.20000000,0.02042000,5038.30000000,0.02041000,3088.20000000,0.02040000,12285.60000000,0.02039000,45651.30000000,0.02038000,63664.00000000,0.02037000,14870.80000000,0.02036000,61726.60000000,0.02035000,19016.20000000,0.02045000,4153.30000000,0.02046000,4554.70000000,0.02047000,11209.80000000,0.02048000,7858.40000000,0.02049000,60993.90000000,0.02050000,12556.70000000,0.02051000,43762.70000000,0.02052000,12120.70000000,0.02053000,10021.30000000,0.02055000,3088.20000000,0.0204,16350,0.02039,16315,0.02038,16349,0.02037,16349,0.02036,65372,0.02035,95652,0.02034,222809,0.02033,65113,0.02031,16910,0.0203,14441,0.02046,212871,0.02047,63729,0.02048,81051,0.02049,131203,0.0205,14441,0.02051,83092,0.02052,58381,0.02053,115093,0.02056,65439,0.02057,61524,0.00005,1774137600000
