spot_source_id,fut_source_id,symbol_id,ask_spot,bid_futures,spread_pct,ts,s_b1,s_b2,s_b3,s_b4,s_b5,s_b6,s_b7,s_b8,s_b9,s_b10,s_bq1,s_bq2,s_bq3,s_bq4,s_bq5,s_bq6,s_bq7,s_bq8,s_bq9,s_bq10,s_a1,s_a2,s_a3,s_a4,s_a5,s_a6,s_a7,s_a8,s_a9,s_a10,s_aq1,s_aq2,s_aq3,s_aq4,s_aq5,s_aq6,s_aq7,s_aq8,s_aq9,s_aq10,f_b1,f_b2,f_b3,f_b4,f_b5,f_b6,f_b7,f_b8,f_b9,f_b10,f_bq1,f_bq2,f_bq3,f_bq4,f_bq5,f_bq6,f_bq7,f_bq8,f_bq9,f_bq10,f_a1,f_a2,f_a3,f_a4,f_a5,f_a6,f_a7,f_a8,f_a9,f_a10,f_aq1,f_aq2,f_aq3,f_aq4,f_aq5,f_aq6,f_aq7,f_aq8,f_aq9,f_aq10,fr_r,fr_ft
0,9,166,0.09242000,0.09235,-0.0757,1774137105000,0.09240000,79286.00000000,0.09239000,356710.00000000,0.09238000,317.00000000,0.09237000,26611.00000000,0.09236000,154860.00000000,0.09235000,457266.00000000,0.09234000,153767.00000000,0.09233000,555023.00000000,0.09232000,316992.00000000,0.09231000,573172.00000000,0.09241000,60773.00000000,0.09242000,56471.00000000,0.09243000,298270.00000000,0.09244000,170197.00000000,0.09245000,612163.00000000,0.09246000,421280.00000000,0.09247000,244229.00000000,0.09248000,247616.00000000,0.09249000,709090.00000000,0.09250000,476634.00000000,0.09235,22682,0.09234,7092,0.09233,372272,0.09232,357010,0.09231,1286425,0.0923,5120348,0.09229,249610,0.09228,325172,0.09227,852343,0.09226,132637,0.09236,14746,0.09237,240489,0.09238,938345,0.09239,1036449,0.0924,1998822,0.09241,894820,0.09242,7189274,0.09243,5496461,0.09244,848012,0.09245,832770,0.000087,1774137600000
0,9,166,0.09240000,0.0923,-0.1082,1774137106000,0.09229000,122524.00000000,0.09228000,188950.00000000,0.09227000,93836.00000000,0.09226000,70375.00000000,0.09225000,527882.00000000,0.09224000,36383.00000000,0.09223000,586020.00000000,0.09222000,205451.00000000,0.09221000,503477.00000000,0.09220000,304296.00000000,0.09230000,8215.00000000,0.09231000,5589.00000000,0.09232000,27258.00000000,0.09233000,219630.00000000,0.09234000,208599.00000000,0.09235000,563940.00000000,0.09236000,146855.00000000,0.09237000,326139.00000000,0.09238000,46944.00000000,0.09239000,119395.00000000,0.09234,10308,0.09233,33286,0.09232,4394,0.09231,2088,0.0923,687259,0.09229,583581,0.09228,570939,0.09227,820247,0.09226,922212,0.09225,825358,0.09235,136132,0.09236,476144,0.09237,706905,0.09238,1281238,0.09239,857528,0.0924,1249446,0.09241,896908,0.09242,7165520,0.09243,5499709,0.09244,835178,0.000087,1774137600000
0,9,166,0.09237000,0.09228,-0.0974,1774137107000,0.09239000,138024.00000000,0.09238000,21858.00000000,0.09237000,174191.00000000,0.09236000,174077.00000000,0.09235000,494754.00000000,0.09234000,331347.00000000,0.09233000,459964.00000000,0.09232000,208689.00000000,0.09231000,546821.00000000,0.09230000,469602.00000000,0.09240000,14994.00000000,0.09241000,166.00000000,0.09242000,20412.00000000,0.09243000,161227.00000000,0.09244000,113542.00000000,0.09245000,507538.00000000,0.09246000,511645.00000000,0.09247000,237904.00000000,0.09248000,23146.00000000,0.09249000,398525.00000000,0.09227,9284,0.09226,978,0.09225,35,0.09224,327544,0.09223,327157,0.09222,332256,0.09221,326136,0.0922,805608,0.09219,552266,0.09218,824243,0.09228,87482,0.09229,52906,0.0923,991633,0.09231,1276349,0.09232,853636,0.09233,1799476,0.09234,863966,0.09235,860555,0.09236,842246,0.09237,860004,0.000087,1774137600000
0,9,166,0.09229000,0.09234,0.0542,1774137108000,0.09234000,50872.00000000,0.09233000,144.00000000,0.09232000,191.00000000,0.09231000,137.00000000,0.09230000,26644.00000000,0.09229000,435430.00000000,0.09228000,173268.00000000,0.09227000,431280.00000000,0.09226000,249020.00000000,0.09225000,579596.00000000,0.09235000,60260.00000000,0.09236000,372410.00000000,0.09237000,198400.00000000,0.09238000,222517.00000000,0.09239000,467786.00000000,0.09240000,613940.00000000,0.09241000,340494.00000000,0.09242000,466354.00000000,0.09243000,60704.00000000,0.09244000,128017.00000000,0.09221,9454,0.09219,2088,0.09218,2628,0.09217,2088,0.09216,338475,0.09215,325730,0.09214,12253916,0.09213,600598,0.09212,74103,0.09211,794592,0.09222,36410,0.09223,495660,0.09224,1032890,0.09225,836100,0.09226,1213245,0.09227,1043701,0.09228,827462,0.09229,1471160,0.0923,831634,0.09231,830003,0.000087,1774137600000
0,9,166,0.09235000,0.09224,-0.1191,1774137109000,0.09237000,199600.00000000,0.09236000,93297.00000000,0.09235000,70506.00000000,0.09234000,289258.00000000,0.09233000,608597.00000000,0.09232000,153669.00000000,0.09231000,492340.00000000,0.09230000,440210.00000000,0.09229000,552029.00000000,0.09228000,133896.00000000,0.09238000,36007.00000000,0.09239000,5341.00000000,0.09240000,38242.00000000,0.09241000,142373.00000000,0.09242000,348546.00000000,0.09243000,142178.00000000,0.09244000,114080.00000000,0.09245000,495774.00000000,0.09246000,425973.00000000,0.09247000,163839.00000000,0.09228,9544,0.09227,9791,0.09226,537,0.09225,323511,0.09224,323511,0.09223,564446,0.09222,822215,0.09221,789575,0.0922,821490,0.09219,789575,0.09229,72438,0.0923,9082,0.09231,548083,0.09232,1035683,0.09233,1124427,0.09234,889410,0.09235,646672,0.09236,833339,0.09237,965275,0.09238,853712,0.000087,1774137600000
0,9,166,0.09240000,0.09229,-0.119,1774137110000,0.09234000,143860.00000000,0.09233000,61719.00000000,0.09232000,58751.00000000,0.09231000,492188.00000000,0.09230000,440210.00000000,0.09229000,549346.00000000,0.09228000,166721.00000000,0.09227000,476464.00000000,0.09226000,376200.00000000,0.09225000,505506.00000000,0.09235000,45450.00000000,0.09236000,17077.00000000,0.09237000,130530.00000000,0.09238000,37955.00000000,0.09239000,187790.00000000,0.09240000,128597.00000000,0.09241000,473679.00000000,0.09242000,494629.00000000,0.09243000,302044.00000000,0.09244000,127978.00000000,0.09232,9785,0.09231,969,0.0923,32047,0.09229,346048,0.09228,356022,0.09227,323511,0.09226,822117,0.09225,789638,0.09224,789575,0.09223,790659,0.09233,24605,0.09234,3645,0.09235,768649,0.09236,1123821,0.09237,827549,0.09238,1342771,0.09239,872890,0.0924,830545,0.09241,874584,0.09242,6634712,0.000087,1774137600000
0,9,166,0.09235000,0.09216,-0.2057,1774137111000,0.09222000,107199.00000000,0.09221000,578.00000000,0.09220000,17954.00000000,0.09219000,27558.00000000,0.09218000,50025.00000000,0.09217000,588816.00000000,0.09216000,236682.00000000,0.09215000,546722.00000000,0.09214000,83464.00000000,0.09213000,476266.00000000,0.09223000,32377.00000000,0.09224000,11004.00000000,0.09225000,121240.00000000,0.09226000,55821.00000000,0.09227000,216231.00000000,0.09228000,119522.00000000,0.09229000,571801.00000000,0.09230000,226379.00000000,0.09231000,113846.00000000,0.09232000,388955.00000000,0.09234,107040,0.09233,15601,0.09232,338122,0.09231,562210,0.0923,569061,0.09229,1165368,0.09228,824302,0.09227,789575,0.09226,854155,0.09225,820036,0.09235,1730,0.09237,16032,0.09238,632955,0.09239,990868,0.0924,838737,0.09241,887985,0.09242,7156985,0.09243,58041,0.09244,826923,0.09245,1329722,0.000087,1774137600000
0,9,166,0.09237000,0.09218,-0.2057,1774137112000,0.09223000,168324.00000000,0.09222000,75178.00000000,0.09221000,19597.00000000,0.09220000,234266.00000000,0.09219000,561881.00000000,0.09218000,318682.00000000,0.09217000,624508.00000000,0.09216000,212709.00000000,0.09215000,678686.00000000,0.09214000,365068.00000000,0.09224000,87083.00000000,0.09225000,10201.00000000,0.09226000,55359.00000000,0.09227000,265937.00000000,0.09228000,138307.00000000,0.09229000,194875.00000000,0.09230000,753713.00000000,0.09231000,107855.00000000,0.09232000,370102.00000000,0.09233000,326077.00000000,0.09228,106432,0.09227,2088,0.09226,338866,0.09225,323511,0.09224,596700,0.09223,597579,0.09222,820591,0.09221,789575,0.0922,789575,0.09219,1264484,0.09229,25912,0.0923,19945,0.09231,35526,0.09232,527310,0.09233,928801,0.09234,870219,0.09235,943651,0.09236,848111,0.09237,1002946,0.09238,1370932,0.000087,1774137600000
0,9,166,0.09235000,0.09223,-0.1299,1774137113000,0.09229000,18986.00000000,0.09228000,46458.00000000,0.09227000,439660.00000000,0.09226000,202736.00000000,0.09225000,627220.00000000,0.09224000,441697.00000000,0.09223000,546288.00000000,0.09222000,225544.00000000,0.09221000,537488.00000000,0.09220000,304024.00000000,0.09230000,180058.00000000,0.09231000,10072.00000000,0.09232000,202108.00000000,0.09233000,169928.00000000,0.09234000,79654.00000000,0.09235000,176398.00000000,0.09236000,468898.00000000,0.09237000,110474.00000000,0.09238000,636030.00000000,0.09239000,306370.00000000,0.09227,520,0.09225,2148,0.09224,323511,0.09223,324595,0.09222,580046,0.09221,566978,0.0922,628617,0.09219,1264484,0.09218,795218,0.09217,227084,0.09228,82751,0.09229,491746,0.0923,970736,0.09231,825146,0.09232,836789,0.09233,834339,0.09234,1413591,0.09235,929277,0.09236,838911,0.09237,851218,0.000087,1774137600000
0,9,166,0.09223000,0.09219,-0.0434,1774137114000,0.09224000,61991.00000000,0.09223000,154153.00000000,0.09222000,430936.00000000,0.09221000,26499.00000000,0.09220000,257605.00000000,0.09219000,544594.00000000,0.09218000,254351.00000000,0.09217000,585711.00000000,0.09216000,102733.00000000,0.09215000,581805.00000000,0.09225000,208791.00000000,0.09226000,106471.00000000,0.09227000,326722.00000000,0.09228000,171001.00000000,0.09229000,132336.00000000,0.09230000,133632.00000000,0.09231000,250327.00000000,0.09232000,93898.00000000,0.09233000,707298.00000000,0.09234000,85654.00000000,0.09224,2088,0.09223,2088,0.09222,2692,0.09221,325910,0.0922,628617,0.09219,564579,0.09218,790878,0.09217,789575,0.09216,787655,0.09215,787487,0.09225,44178,0.09226,30838,0.09227,75864,0.09228,521702,0.09229,857401,0.0923,1054900,0.09231,827459,0.09232,1255698,0.09233,825674,0.09234,1404422,0.000087,1774137600000
