spot_source_id,fut_source_id,symbol_id,ask_spot,bid_futures,spread_pct,ts,s_b1,s_b2,s_b3,s_b4,s_b5,s_b6,s_b7,s_b8,s_b9,s_b10,s_bq1,s_bq2,s_bq3,s_bq4,s_bq5,s_bq6,s_bq7,s_bq8,s_bq9,s_bq10,s_a1,s_a2,s_a3,s_a4,s_a5,s_a6,s_a7,s_a8,s_a9,s_a10,s_aq1,s_aq2,s_aq3,s_aq4,s_aq5,s_aq6,s_aq7,s_aq8,s_aq9,s_aq10,f_b1,f_b2,f_b3,f_b4,f_b5,f_b6,f_b7,f_b8,f_b9,f_b10,f_bq1,f_bq2,f_bq3,f_bq4,f_bq5,f_bq6,f_bq7,f_bq8,f_bq9,f_bq10,f_a1,f_a2,f_a3,f_a4,f_a5,f_a6,f_a7,f_a8,f_a9,f_a10,f_aq1,f_aq2,f_aq3,f_aq4,f_aq5,f_aq6,f_aq7,f_aq8,f_aq9,f_aq10,fr_r,fr_ft
0,9,350,0.01313000,0.01308,-0.3808,1774137105000,0.01296000,3081.00000000,0.01295000,11149.20000000,0.01294000,89440.50000000,0.01293000,56981.70000000,0.01292000,101889.30000000,0.01291000,197352.70000000,0.01290000,104981.90000000,0.01289000,230859.90000000,0.01288000,8580.50000000,0.01287000,9645.10000000,0.01298000,30935.50000000,0.01299000,56807.40000000,0.01300000,14600051.10000000,0.01301000,8325.00000000,0.01303000,109434.00000000,0.01304000,67972.00000000,0.01305000,45166.60000000,0.01306000,68127.50000000,0.01307000,109434.00000000,0.01308000,68064.00000000,0.01308,915,0.01307,17371,0.01306,107607,0.01305,117545,0.01304,344855,0.01303,181716,0.01302,409935,0.01301,581521,0.013,455454,0.01299,90738,0.0131,112262,0.01311,390190,0.01312,322987,0.01313,94478,0.01314,543322,0.01315,223557,0.01316,327849,0.01317,383397,0.01318,559290,0.01319,90738,0.00005,1774137600000
0,9,350,0.01300000,0.01305,0.3846,1774137106000,0.01290000,31879.40000000,0.01289000,27845.20000000,0.01288000,102691.60000000,0.01287000,37836.70000000,0.01286000,35640.10000000,0.01285000,149602.50000000,0.01284000,120534.40000000,0.01283000,150919.00000000,0.01282000,688790.50000000,0.01281000,16767.80000000,0.01291000,67972.00000000,0.01292000,9983.60000000,0.01293000,153114.80000000,0.01294000,116672.70000000,0.01295000,234196.80000000,0.01296000,38720.10000000,0.01297000,229782.40000000,0.01298000,61404.90000000,0.01299000,227439.90000000,0.01300000,14579942.60000000,0.01308,915,0.01307,17371,0.01306,107607,0.01305,66807,0.01304,344855,0.01303,181716,0.01302,409935,0.01301,581521,0.013,455454,0.01299,90738,0.0131,114753,0.01311,390190,0.01312,322987,0.01313,94478,0.01314,543322,0.01315,183557,0.01316,287849,0.01317,343397,0.01318,559290,0.01319,90738,0.00005,1774137600000
0,9,350,0.01298000,0.01289,-0.6934,1774137107000,0.01293000,64413.70000000,0.01292000,184252.80000000,0.01291000,148092.40000000,0.01290000,154379.50000000,0.01289000,200567.40000000,0.01288000,117238.80000000,0.01287000,197401.50000000,0.01286000,64666.50000000,0.01285000,196692.00000000,0.01284000,84707.60000000,0.01296000,72894.10000000,0.01297000,166272.20000000,0.01298000,70794.30000000,0.01299000,260799.10000000,0.01300000,14579942.60000000,0.01301000,143459.40000000,0.01302000,83907.30000000,0.01303000,125369.30000000,0.01304000,84061.50000000,0.01305000,15935.30000000,0.01286,90738,0.01285,219966,0.01284,334600,0.01283,112554,0.01282,416361,0.01281,94522,0.0128,416608,0.01279,425313,0.01278,473525,0.01277,328737,0.01291,19484,0.01292,68484,0.01293,109941,0.01294,110267,0.01295,153528,0.01296,153528,0.01297,222035,0.01298,113864,0.01299,113922,0.013,221135,0.00005,1774137600000
0,9,350,0.01293000,0.01292,-0.0773,1774137108000,0.01292000,43979.20000000,0.01291000,43663.70000000,0.01290000,135016.20000000,0.01289000,95000.70000000,0.01288000,52053.10000000,0.01287000,161478.50000000,0.01286000,166585.00000000,0.01285000,164388.30000000,0.01284000,84707.60000000,0.01283000,202358.50000000,0.01293000,115505.50000000,0.01294000,39212.50000000,0.01295000,154895.90000000,0.01296000,150549.90000000,0.01297000,167387.40000000,0.01298000,120443.90000000,0.01299000,157879.50000000,0.01300000,14580096.80000000,0.01301000,125469.10000000,0.01302000,101843.40000000,0.01286,22666,0.01285,132534,0.01284,221034,0.01283,108701,0.01282,416361,0.01281,232761,0.0128,416608,0.01279,425313,0.01278,473525,0.01277,419465,0.0129,90738,0.01291,90738,0.01292,90738,0.01293,94668,0.01294,198345,0.01295,130738,0.01296,130738,0.01297,202204,0.01298,90738,0.01299,90738,0.00005,1774137600000
0,9,350,0.01293000,0.0129,-0.232,1774137109000,0.01293000,42284.30000000,0.01292000,308784.60000000,0.01291000,175978.80000000,0.01290000,262128.00000000,0.01289000,59173.20000000,0.01288000,120025.10000000,0.01287000,262097.20000000,0.01286000,422284.10000000,0.01285000,196692.00000000,0.01284000,50667.20000000,0.01295000,5820.00000000,0.01296000,128751.90000000,0.01297000,205996.80000000,0.01298000,81275.00000000,0.01299000,230314.20000000,0.01300000,14618915.80000000,0.01301000,125469.10000000,0.01302000,101843.40000000,0.01303000,137679.90000000,0.01304000,87463.00000000,0.01288,18476,0.01287,22680,0.01286,22717,0.01285,22717,0.01284,130324,0.01283,57907,0.01282,444007,0.01281,142023,0.0128,325870,0.01279,425313,0.01289,90738,0.0129,334092,0.01291,333836,0.01292,198345,0.01293,94668,0.01294,448840,0.01295,198280,0.01296,90738,0.01297,301877,0.01298,497300,0.00005,1774137600000
0,9,350,0.01294000,0.01292,-0.1546,1774137110000,0.01294000,42557.60000000,0.01293000,96842.80000000,0.01292000,309750.70000000,0.01291000,142656.90000000,0.01290000,279791.20000000,0.01289000,59173.20000000,0.01288000,120025.10000000,0.01287000,227101.60000000,0.01286000,390558.60000000,0.01285000,196692.00000000,0.01296000,108810.80000000,0.01297000,117759.00000000,0.01298000,116243.70000000,0.01299000,230314.20000000,0.01300000,14583974.70000000,0.01301000,125469.10000000,0.01302000,83907.30000000,0.01303000,125369.30000000,0.01304000,87463.00000000,0.01305000,259721.60000000,0.01289,24437,0.01288,22140,0.01287,19013,0.01286,110888,0.01285,113143,0.01284,221062,0.01283,148645,0.01282,416361,0.01281,191408,0.0128,198345,0.01291,333836,0.01292,334259,0.01293,94668,0.01294,448840,0.01295,313199,0.01296,90738,0.01297,202204,0.01298,497300,0.01299,201672,0.013,506966,0.00005,1774137600000
0,9,350,0.01295000,0.0129,-0.3861,1774137111000,0.01292000,2610.00000000,0.01291000,54610.70000000,0.01290000,124604.10000000,0.01289000,52879.90000000,0.01288000,63623.90000000,0.01287000,297283.80000000,0.01286000,387721.70000000,0.01285000,266156.60000000,0.01284000,129551.50000000,0.01283000,227694.40000000,0.01294000,54391.80000000,0.01295000,135226.70000000,0.01296000,77162.60000000,0.01297000,236631.00000000,0.01298000,87532.10000000,0.01299000,230314.20000000,0.01300000,98411.80000000,0.01301000,125586.70000000,0.01302000,83907.30000000,0.01303000,141969.00000000,0.01292,19924,0.01291,112934,0.0129,112899,0.01289,112934,0.01288,148958,0.01287,217358,0.01286,90738,0.01285,208038,0.01284,465371,0.01283,192350,0.01294,357642,0.01295,107542,0.01296,180242,0.01297,202204,0.01298,343856,0.01299,201672,0.013,597704,0.01301,100835,0.01302,198345,0.01303,231016,0.00005,1774137600000
0,9,350,0.01295000,0.01291,-0.3089,1774137112000,0.01292000,34399.70000000,0.01291000,133614.80000000,0.01290000,177128.10000000,0.01289000,214014.50000000,0.01288000,217252.80000000,0.01287000,233888.20000000,0.01286000,492344.70000000,0.01285000,119155.60000000,0.01284000,46156.20000000,0.01283000,197896.70000000,0.01294000,14145.00000000,0.01295000,76297.00000000,0.01296000,62263.90000000,0.01297000,271315.30000000,0.01298000,97700.70000000,0.01299000,224907.80000000,0.01300000,60519.80000000,0.01301000,161381.70000000,0.01302000,138208.60000000,0.01303000,141969.00000000,0.01292,18377,0.01291,111897,0.0129,113017,0.01289,90738,0.01288,90738,0.01287,307046,0.01286,215981,0.01285,208098,0.01284,544534,0.01283,90738,0.01294,351734,0.01295,198345,0.01296,226652,0.01297,202204,0.01298,343856,0.01299,201672,0.013,597704,0.01301,200508,0.01302,334740,0.01303,231016,0.00005,1774137600000
0,9,350,0.01297000,0.01295,-0.1542,1774137113000,0.01295000,81706.70000000,0.01294000,173997.60000000,0.01293000,160205.60000000,0.01292000,175503.70000000,0.01291000,180136.00000000,0.01290000,116234.50000000,0.01289000,169331.30000000,0.01288000,144387.30000000,0.01287000,229292.70000000,0.01286000,426070.90000000,0.01297000,67414.00000000,0.01298000,70933.50000000,0.01299000,115474.20000000,0.01300000,102379.10000000,0.01301000,188576.30000000,0.01302000,120504.20000000,0.01303000,177224.70000000,0.01304000,87463.00000000,0.01305000,260091.50000000,0.01306000,84062.80000000,0.01285,204165,0.01284,544534,0.01283,90738,0.01282,533333,0.01281,191408,0.0128,198345,0.01279,553824,0.01278,198345,0.01277,860261,0.01276,470100,0.0129,127261,0.01291,93111,0.01292,90738,0.01293,260497,0.01294,442472,0.01295,411608,0.01296,354831,0.01297,202204,0.01298,343856,0.01299,91507,0.00005,1774137600000
0,9,350,0.01294000,0.01293,-0.0773,1774137114000,0.01295000,2668.60000000,0.01294000,219480.70000000,0.01293000,125954.40000000,0.01292000,86514.40000000,0.01291000,217762.10000000,0.01290000,116709.90000000,0.01289000,168820.50000000,0.01288000,124482.30000000,0.01287000,236398.30000000,0.01286000,372864.70000000,0.01296000,32994.80000000,0.01297000,43514.10000000,0.01298000,76836.90000000,0.01299000,80230.20000000,0.01300000,120763.90000000,0.01301000,188554.80000000,0.01302000,117362.30000000,0.01303000,202470.40000000,0.01304000,83907.30000000,0.01305000,242049.40000000,0.0129,119515,0.01288,198345,0.01287,90738,0.01286,198345,0.01285,208013,0.01284,544534,0.01283,90738,0.01282,533333,0.01281,191408,0.0128,198345,0.01291,2373,0.01293,40000,0.01294,103869,0.01295,411608,0.01296,354831,0.01297,202204,0.01298,343856,0.01299,91507,0.013,597704,0.01301,200569,0.00005,1774137600000
