spot_source_id,fut_source_id,symbol_id,ask_spot,bid_futures,spread_pct,ts,s_b1,s_b2,s_b3,s_b4,s_b5,s_b6,s_b7,s_b8,s_b9,s_b10,s_bq1,s_bq2,s_bq3,s_bq4,s_bq5,s_bq6,s_bq7,s_bq8,s_bq9,s_bq10,s_a1,s_a2,s_a3,s_a4,s_a5,s_a6,s_a7,s_a8,s_a9,s_a10,s_aq1,s_aq2,s_aq3,s_aq4,s_aq5,s_aq6,s_aq7,s_aq8,s_aq9,s_aq10,f_b1,f_b2,f_b3,f_b4,f_b5,f_b6,f_b7,f_b8,f_b9,f_b10,f_bq1,f_bq2,f_bq3,f_bq4,f_bq5,f_bq6,f_bq7,f_bq8,f_bq9,f_bq10,f_a1,f_a2,f_a3,f_a4,f_a5,f_a6,f_a7,f_a8,f_a9,f_a10,f_aq1,f_aq2,f_aq3,f_aq4,f_aq5,f_aq6,f_aq7,f_aq8,f_aq9,f_aq10,fr_r,fr_ft
0,9,384,2.39500000,2.388,-0.2923,1774137105000,2.39200000,322.67000000,2.39100000,618.36000000,2.39000000,1527.06000000,2.38900000,1152.97000000,2.38800000,1592.67000000,2.38700000,1216.03000000,2.38600000,298.39000000,2.38500000,1643.17000000,2.38400000,896.08000000,2.38300000,557.05000000,2.39400000,313.65000000,2.39500000,820.31000000,2.39600000,919.32000000,2.39700000,2030.65000000,2.39800000,2794.20000000,2.39900000,2026.27000000,2.40000000,1968.89000000,2.40100000,1288.70000000,2.40200000,1066.98000000,2.40300000,1066.54000000,2.388,68.33,2.387,188.12,2.386,2578.93,2.385,4917.99,2.384,3687.97,2.383,4453.71,2.382,6283.35,2.381,2458.39,2.38,5458.86,2.379,25.61,2.389,100.96,2.39,2453.65,2.391,3186.06,2.392,3215.38,2.393,2877.7,2.394,1927.93,2.395,2819.13,2.396,1226.37,2.397,4562.43,2.398,6605.15,0.00005,1774137600000
0,9,384,2.39400000,2.386,-0.3342,1774137106000,2.39000000,55.46000000,2.38900000,504.33000000,2.38800000,1391.42000000,2.38700000,1353.48000000,2.38600000,460.48000000,2.38500000,1204.08000000,2.38400000,982.07000000,2.38300000,868.49000000,2.38200000,1812.04000000,2.38100000,305.04000000,2.39100000,24.06000000,2.39200000,289.88000000,2.39300000,823.65000000,2.39400000,1237.59000000,2.39500000,1167.66000000,2.39600000,2570.95000000,2.39700000,2596.74000000,2.39800000,2741.50000000,2.39900000,1808.68000000,2.40000000,912.32000000,2.388,2.31,2.387,188.12,2.386,2578.93,2.385,4918.85,2.384,3687.97,2.383,4453.71,2.382,6283.35,2.381,2458.39,2.38,5458.86,2.379,25.61,2.389,24.73,2.39,2453.65,2.391,3186.06,2.392,3215.38,2.393,2877.7,2.394,1536.87,2.395,1591.29,2.396,1226.37,2.397,4562.43,2.398,6605.15,0.00005,1774137600000
0,9,384,2.39300000,2.385,-0.3343,1774137107000,2.39400000,45.00000000,2.39300000,1146.54000000,2.39200000,639.25000000,2.39100000,1616.59000000,2.39000000,1438.22000000,2.38900000,1366.79000000,2.38800000,995.72000000,2.38700000,1646.71000000,2.38600000,368.88000000,2.38500000,586.37000000,2.39600000,862.96000000,2.39700000,308.74000000,2.39800000,1271.68000000,2.39900000,1973.09000000,2.40000000,2360.89000000,2.40100000,1985.93000000,2.40200000,2736.00000000,2.40300000,902.64000000,2.40400000,63.66000000,2.40500000,69.53000000,2.387,7.63,2.386,411.65,2.385,1799.13,2.384,3072.24,2.383,4341.87,2.382,6905.34,2.381,3427.53,2.38,3509.54,2.379,1253.45,2.378,5165.66,2.388,125.69,2.389,2096.89,2.39,3019.95,2.391,3074.22,2.392,3103.54,2.393,2503.41,2.394,1114.53,2.395,54.34,2.396,25.29,2.397,3361.35,0.00005,1774137600000
0,9,384,2.39200000,2.389,-0.1254,1774137108000,2.39200000,49.18000000,2.39100000,302.62000000,2.39000000,657.14000000,2.38900000,1576.69000000,2.38800000,1054.73000000,2.38700000,1208.25000000,2.38600000,478.32000000,2.38500000,1122.46000000,2.38400000,368.89000000,2.38300000,34.39000000,2.39400000,750.35000000,2.39500000,734.98000000,2.39600000,1058.68000000,2.39700000,2320.41000000,2.39800000,2376.46000000,2.39900000,1920.27000000,2.40000000,2017.35000000,2.40100000,600.69000000,2.40200000,1662.84000000,2.40300000,366.06000000,2.387,7.63,2.385,393.06,2.384,1846.19,2.383,4341.87,2.382,6905.34,2.381,3427.53,2.38,3509.54,2.379,2342.69,2.378,6394.53,2.377,1552.08,2.388,1214.93,2.389,3168.01,2.39,3648.78,2.391,5401.31,2.392,2505.2,2.393,1277.36,2.394,1118.7,2.395,54.34,2.396,25.29,2.397,8848.68,0.00005,1774137600000
0,9,384,2.39300000,2.386,-0.2925,1774137109000,2.39200000,389.39000000,2.39100000,294.01000000,2.39000000,635.76000000,2.38900000,1579.00000000,2.38800000,1341.49000000,2.38700000,1357.81000000,2.38600000,457.14000000,2.38500000,1662.92000000,2.38400000,368.89000000,2.38300000,226.40000000,2.39400000,646.03000000,2.39500000,194.34000000,2.39600000,1005.86000000,2.39700000,2320.41000000,2.39800000,2323.64000000,2.39900000,1920.27000000,2.40000000,2558.51000000,2.40100000,600.69000000,2.40200000,588.96000000,2.40300000,366.06000000,2.385,229.67,2.384,1426.2,2.383,3115.82,2.382,6905.34,2.381,3427.53,2.38,3068.73,2.379,2342.69,2.378,7483.77,2.377,2780.95,2.376,3339.85,2.388,2092.38,2.389,3168.01,2.39,3648.78,2.391,5401.31,2.392,2653.44,2.393,1277.36,2.394,1126.58,2.395,58.04,2.396,33.56,2.397,8848.68,0.00005,1774137600000
0,9,384,2.39500000,2.386,-0.3758,1774137110000,2.39100000,176.99000000,2.39000000,226.27000000,2.38900000,1671.72000000,2.38800000,1341.49000000,2.38700000,1357.81000000,2.38600000,457.14000000,2.38500000,1751.74000000,2.38400000,900.48000000,2.38300000,226.40000000,2.38200000,422.18000000,2.39300000,159.25000000,2.39400000,382.76000000,2.39500000,418.43000000,2.39600000,1590.26000000,2.39700000,2320.41000000,2.39800000,2855.23000000,2.39900000,1920.27000000,2.40000000,2018.16000000,2.40100000,600.69000000,2.40200000,588.96000000,2.385,3137.1,2.384,3002.89,2.383,4345.55,2.382,6905.34,2.381,3427.53,2.38,5187.46,2.379,1114.85,2.378,6254.9,2.377,3483.31,2.376,3339.85,2.389,100.96,2.39,2420.94,2.391,3074.22,2.392,3663.58,2.393,5224.37,2.394,2355.71,2.395,1147.28,2.396,33.56,2.397,9021.06,2.398,3163.2,0.00005,1774137600000
0,9,384,2.39400000,2.385,-0.3759,1774137111000,2.39000000,49.18000000,2.38900000,1026.23000000,2.38800000,1207.25000000,2.38700000,821.33000000,2.38600000,457.14000000,2.38500000,1751.74000000,2.38400000,1029.08000000,2.38300000,390.13000000,2.38200000,756.82000000,2.38100000,305.04000000,2.39100000,45.00000000,2.39200000,88.09000000,2.39300000,314.29000000,2.39400000,772.55000000,2.39500000,1567.46000000,2.39600000,1590.26000000,2.39700000,2320.41000000,2.39800000,2684.31000000,2.39900000,1513.92000000,2.40000000,1449.42000000,2.389,629.45,2.388,1935.62,2.387,3171.1,2.386,3197.59,2.385,3116.78,2.384,3002.89,2.383,4344.69,2.382,6171.51,2.381,1118.71,2.38,4407.35,2.391,125.69,2.392,2653.44,2.393,3005.96,2.394,3422.79,2.395,3792.5,2.396,3815.59,2.397,10110.3,2.398,3163.2,2.399,25.29,2.4,3719.68,0.00005,1774137600000
0,9,384,2.39400000,2.385,-0.3759,1774137112000,2.38900000,49.18000000,2.38800000,615.08000000,2.38700000,1296.15000000,2.38600000,818.71000000,2.38500000,1443.95000000,2.38400000,1213.83000000,2.38300000,1217.82000000,2.38200000,770.21000000,2.38100000,639.90000000,2.38000000,1495.44000000,2.39100000,245.59000000,2.39200000,208.01000000,2.39300000,627.59000000,2.39400000,769.37000000,2.39500000,2860.78000000,2.39600000,1590.26000000,2.39700000,2267.59000000,2.39800000,2324.71000000,2.39900000,945.99000000,2.40000000,928.65000000,2.387,232.69,2.386,1422.53,2.385,1422.64,2.384,1773.76,2.383,4344.69,2.382,6167.33,2.381,2343.66,2.38,2368.93,2.379,2342.18,2.378,7482.23,2.389,125.69,2.39,2362.73,2.391,3249.11,2.392,3041.23,2.393,3005.96,2.394,2193.66,2.395,2563.37,2.396,1122.8,2.397,10110.3,2.398,3163.2,0.00005,1774137600000
0,9,384,2.39300000,2.387,-0.2507,1774137113000,2.39200000,51.31000000,2.39100000,369.91000000,2.39000000,1462.81000000,2.38900000,462.28000000,2.38800000,1373.02000000,2.38700000,1378.99000000,2.38600000,980.47000000,2.38500000,1211.28000000,2.38400000,900.48000000,2.38300000,1552.48000000,2.39300000,215.27000000,2.39400000,55.46000000,2.39500000,418.43000000,2.39600000,1886.75000000,2.39700000,1783.98000000,2.39800000,2204.21000000,2.39900000,1514.49000000,2.40000000,1292.36000000,2.40100000,52.61000000,2.40200000,20.74000000,2.386,1568.44,2.385,1422.64,2.384,1773.76,2.383,4344.69,2.382,6866.91,2.381,3052.86,2.38,2375.89,2.379,2342.18,2.378,7482.23,2.377,2692.23,2.388,100.96,2.389,3329.68,2.39,3311.16,2.391,3249.11,2.392,4717.37,2.393,1433.54,2.394,1126.58,2.395,3665,2.396,1122.8,2.397,10110.3,0.00005,1774137600000
0,9,384,2.39200000,2.387,-0.209,1774137114000,2.39100000,208.47000000,2.39000000,700.98000000,2.38900000,562.28000000,2.38800000,1373.02000000,2.38700000,1476.04000000,2.38600000,980.47000000,2.38500000,1211.28000000,2.38400000,900.48000000,2.38300000,1615.12000000,2.38200000,422.18000000,2.39300000,45.00000000,2.39400000,313.34000000,2.39500000,272.94000000,2.39600000,833.56000000,2.39700000,1983.61000000,2.39800000,2204.21000000,2.39900000,2054.82000000,2.40000000,1813.98000000,2.40100000,1663.05000000,2.40200000,20.74000000,2.386,458.98,2.385,1422.64,2.384,1773.76,2.383,3115.82,2.382,6866.91,2.381,3052.86,2.38,2375.89,2.379,2342.18,2.378,7482.23,2.377,3920.85,2.388,1354.31,2.389,3329.68,2.39,3019.29,2.391,3633.37,2.392,3489.53,2.393,1281.53,2.394,1122.87,2.395,3661.3,2.396,1122.8,2.397,10110.3,0.00005,1774137600000
0,9,384,2.39300000,2.386,-0.2925,1774137115000,2.39100000,49.19000000,2.39000000,179.49000000,2.38900000,645.87000000,2.38800000,1373.02000000,2.38700000,1994.56000000,2.38600000,1238.52000000,2.38500000,1211.28000000,2.38400000,988.04000000,2.38300000,1325.54000000,2.38200000,756.84000000,2.39200000,50.81000000,2.39300000,144.81000000,2.39400000,313.34000000,2.39500000,272.94000000,2.39600000,1217.07000000,2.39700000,2304.69000000,2.39800000,2725.03000000,2.39900000,1514.49000000,2.40000000,1813.98000000,2.40100000,1142.75000000,2.386,503.96,2.385,1685.64,2.384,3003.17,2.383,4344.44,2.382,6866.91,2.381,3052.86,2.38,2375.89,2.379,2342.18,2.378,6254.9,2.377,2692.23,2.389,2442.26,2.39,3019.29,2.391,3249.11,2.392,3986.65,2.393,2885.05,2.394,2215.77,2.395,3661.3,2.396,1122.8,2.397,10110.3,2.398,60.42,0.00005,1774137600000
0,9,384,2.39200000,2.386,-0.2508,1774137116000,2.39100000,49.19000000,2.39000000,795.82000000,2.38900000,645.87000000,2.38800000,1373.02000000,2.38700000,1994.56000000,2.38600000,1238.52000000,2.38500000,1211.28000000,2.38400000,988.04000000,2.38300000,798.53000000,2.38200000,756.84000000,2.39200000,50.81000000,2.39300000,144.81000000,2.39400000,313.34000000,2.39500000,272.94000000,2.39600000,1217.07000000,2.39700000,2304.69000000,2.39800000,2725.03000000,2.39900000,1514.49000000,2.40000000,1813.98000000,2.40100000,1142.75000000,2.386,870.7,2.385,1685.64,2.384,3002.31,2.383,4344.44,2.382,6866.91,2.381,2665.62,2.38,2376.92,2.379,2343.21,2.378,6254.9,2.377,2692.23,2.388,19.56,2.389,531.13,2.39,3041.21,2.391,3733.22,2.392,5340.95,2.393,3306.09,2.394,2215.77,2.395,3996.46,2.396,1122.8,2.397,10110.3,0.00005,1774137600000
0,9,384,2.39200000,2.386,-0.2508,1774137117000,2.39100000,49.19000000,2.39000000,795.82000000,2.38900000,645.87000000,2.38800000,1373.02000000,2.38700000,1994.56000000,2.38600000,1238.52000000,2.38500000,1211.28000000,2.38400000,988.04000000,2.38300000,798.53000000,2.38200000,756.84000000,2.39200000,5.81000000,2.39300000,144.81000000,2.39400000,313.34000000,2.39500000,272.94000000,2.39600000,1217.07000000,2.39700000,2304.69000000,2.39800000,2725.03000000,2.39900000,1514.49000000,2.40000000,1813.98000000,2.40100000,1142.75000000,2.386,1917.25,2.385,2914,2.384,3002.31,2.383,4344.44,2.382,6866.91,2.381,3012.01,2.38,2370,2.379,1114.85,2.378,6254.9,2.377,2692.23,2.389,1969.12,2.39,3723.67,2.391,6318.87,2.392,5022.72,2.393,2661.05,2.394,2211.6,2.395,3635.21,2.396,1114.53,2.397,10110.3,2.398,25.29,0.00005,1774137600000
0,9,384,2.39200000,2.386,-0.2508,1774137118000,2.39000000,269.83000000,2.38900000,472.49000000,2.38800000,1373.02000000,2.38700000,1994.56000000,2.38600000,1238.52000000,2.38500000,1211.28000000,2.38400000,1187.36000000,2.38300000,606.66000000,2.38200000,756.84000000,2.38100000,522.68000000,2.39200000,184.80000000,2.39300000,144.81000000,2.39400000,313.34000000,2.39500000,325.74000000,2.39600000,1017.44000000,2.39700000,2504.32000000,2.39800000,2725.03000000,2.39900000,1514.49000000,2.40000000,1813.98000000,2.40100000,1142.75000000,2.385,697.36,2.384,3002.31,2.383,4346.75,2.382,6866.91,2.381,3012.01,2.38,3069.53,2.379,2343.47,2.378,6254.9,2.377,2692.23,2.376,3331.54,2.387,125.69,2.388,1770.72,2.389,3096.78,2.39,3723.67,2.391,6318.87,2.392,6619.51,2.393,6276.29,2.394,1240.7,2.395,3635.21,2.396,1114.53,0.00005,1774137600000
0,9,384,2.39100000,2.385,-0.2509,1774137119000,2.39000000,49.19000000,2.38900000,270.26000000,2.38800000,1145.98000000,2.38700000,1476.04000000,2.38600000,1238.52000000,2.38500000,1507.21000000,2.38400000,988.04000000,2.38300000,1089.12000000,2.38200000,422.18000000,2.38100000,857.49000000,2.39200000,195.27000000,2.39300000,149.00000000,2.39400000,935.13000000,2.39500000,2414.87000000,2.39600000,1017.44000000,2.39700000,2556.06000000,2.39800000,2698.38000000,2.39900000,1514.49000000,2.40000000,768.85000000,2.40100000,621.15000000,2.385,128,2.384,684.45,2.383,4346.75,2.382,6866.91,2.381,3012.01,2.38,3069.53,2.379,2343.47,2.378,7483.52,2.377,2692.23,2.376,3331.54,2.387,1214.93,2.388,1770.72,2.389,3096.78,2.39,3723.67,2.391,6318.87,2.392,6619.51,2.393,6112.9,2.394,1181.58,2.395,3635.21,2.396,1114.53,0.00005,1774137600000
0,9,384,2.39100000,2.385,-0.2509,1774137120000,2.38800000,48.16000000,2.38700000,671.69000000,2.38600000,1418.45000000,2.38500000,443.26000000,2.38400000,988.04000000,2.38300000,1667.62000000,2.38200000,1056.52000000,2.38100000,350.04000000,2.38000000,1686.66000000,2.37900000,297.96000000,2.38900000,115.05000000,2.39100000,161.50000000,2.39200000,195.27000000,2.39300000,204.11000000,2.39400000,987.93000000,2.39500000,2412.57000000,2.39600000,964.58000000,2.39700000,2503.20000000,2.39800000,2282.41000000,2.39900000,1514.49000000,2.387,125.69,2.386,1867.7,2.385,2977.81,2.384,3101.61,2.383,4347.78,2.382,6866.91,2.381,3014.32,2.38,2370,2.379,1117.17,2.378,6254.9,2.389,125.69,2.39,1812.85,2.391,3249.11,2.392,6620.54,2.393,7111.39,2.394,3496.08,2.395,3635.21,2.396,2343.92,2.397,9021.06,2.398,27.59,0.00005,1774137600000
