spot_source_id,fut_source_id,symbol_id,ask_spot,bid_futures,spread_pct,ts,s_b1,s_b2,s_b3,s_b4,s_b5,s_b6,s_b7,s_b8,s_b9,s_b10,s_bq1,s_bq2,s_bq3,s_bq4,s_bq5,s_bq6,s_bq7,s_bq8,s_bq9,s_bq10,s_a1,s_a2,s_a3,s_a4,s_a5,s_a6,s_a7,s_a8,s_a9,s_a10,s_aq1,s_aq2,s_aq3,s_aq4,s_aq5,s_aq6,s_aq7,s_aq8,s_aq9,s_aq10,f_b1,f_b2,f_b3,f_b4,f_b5,f_b6,f_b7,f_b8,f_b9,f_b10,f_bq1,f_bq2,f_bq3,f_bq4,f_bq5,f_bq6,f_bq7,f_bq8,f_bq9,f_bq10,f_a1,f_a2,f_a3,f_a4,f_a5,f_a6,f_a7,f_a8,f_a9,f_a10,f_aq1,f_aq2,f_aq3,f_aq4,f_aq5,f_aq6,f_aq7,f_aq8,f_aq9,f_aq10,fr_r,fr_ft
0,3,40,0.09230000,0.09212,-0.195,1774137098000,0.09220000,16100.08000000,0.09210000,50872.33000000,0.09200000,229474.84000000,0.09190000,62174.29000000,0.09180000,153760.55000000,0.09170000,16799.55000000,0.09160000,117017.08000000,0.09150000,4191.21000000,0.09140000,49667.18000000,0.09130000,110326.48000000,0.09230000,417.78000000,0.09240000,39228.26000000,0.09250000,19089.43000000,0.09260000,30893.02000000,0.09270000,174210.20000000,0.09280000,20939.33000000,0.09290000,10948.06000000,0.09300000,18838.59000000,0.09310000,11193.89000000,0.09320000,114867.88000000,0.09216,547.8,0.09214,1395.0,0.09213,2239.5,0.09212,2785.8,0.09211,7492.1,0.09210,13947.7,0.09209,6046.1,0.09208,2968.8,0.09207,6268.5,0.09206,6046.3,0.09217,907.2,0.09218,5120.2,0.09219,7663.3,0.09220,5136.7,0.09221,8061.8,0.09222,3829.6,0.09223,3814.0,0.09224,2730.2,0.09225,7066.6,0.09226,3741.6,-0.00037784,1774137600000
0,3,40,0.09230000,0.09208,-0.2384,1774137099000,0.09220000,5999.54000000,0.09210000,45313.86000000,0.09200000,209360.62000000,0.09190000,33992.18000000,0.09180000,43531.39000000,0.09170000,24106.42000000,0.09160000,117017.08000000,0.09150000,4191.21000000,0.09140000,3880.37000000,0.09130000,3821.70000000,0.09230000,26648.34000000,0.09240000,22525.99000000,0.09250000,19029.87000000,0.09260000,33368.02000000,0.09270000,140947.56000000,0.09280000,14969.00000000,0.09290000,10948.06000000,0.09300000,12677.98000000,0.09310000,11523.16000000,0.09320000,116124.88000000,0.09212,905.8,0.09211,5398.1,0.09210,12614.5,0.09209,4971.6,0.09208,2280.2,0.09207,5952.3,0.09206,8217.1,0.09205,7272.2,0.09204,5055.6,0.09203,4805.4,0.09216,1293.4,0.09217,1334.3,0.09218,3738.9,0.09219,6581.3,0.09220,2730.3,0.09221,5985.7,0.09222,3829.6,0.09223,3321.6,0.09224,2731.0,0.09225,5995.8,-0.00037784,1774137600000
0,3,40,0.09230000,0.09204,-0.2817,1774137100000,0.09210000,18706.23000000,0.09200000,37337.75000000,0.09190000,24708.79000000,0.09180000,52692.22000000,0.09170000,24106.42000000,0.09160000,117017.08000000,0.09150000,4191.21000000,0.09140000,3880.37000000,0.09130000,3821.70000000,0.09120000,49745.18000000,0.09220000,98.49000000,0.09230000,31485.62000000,0.09240000,22525.99000000,0.09250000,19748.63000000,0.09260000,20100.74000000,0.09270000,140947.56000000,0.09280000,14969.00000000,0.09290000,10948.06000000,0.09300000,12677.98000000,0.09310000,11523.16000000,0.09208,1328.2,0.09207,6673.7,0.09206,2387.8,0.09205,3411.6,0.09204,2986.3,0.09203,4810.2,0.09202,5505.0,0.09201,4619.7,0.09200,7190.6,0.09199,3324.8,0.09213,905.8,0.09214,1746.5,0.09215,5125.5,0.09216,3240.4,0.09217,5979.6,0.09218,3729.8,0.09219,4333.3,0.09220,2730.3,0.09221,6050.9,0.09222,3723.5,-0.00037784,1774137600000
0,3,40,0.09230000,0.09207,-0.2492,1774137101000,0.09220000,2875.68000000,0.09210000,26656.86000000,0.09200000,57227.27000000,0.09190000,31194.37000000,0.09180000,153627.87000000,0.09170000,33542.17000000,0.09160000,117017.08000000,0.09150000,4191.21000000,0.09140000,3880.37000000,0.09130000,110326.48000000,0.09230000,23866.63000000,0.09240000,21760.38000000,0.09250000,20502.74000000,0.09260000,32413.76000000,0.09270000,32089.13000000,0.09280000,14809.69000000,0.09290000,10948.06000000,0.09300000,12523.50000000,0.09310000,12608.34000000,0.09320000,7143.58000000,0.09202,1249.9,0.09201,2300.4,0.09200,3352.1,0.09199,6042.7,0.09198,3810.8,0.09197,3744.9,0.09196,5550.3,0.09195,3910.0,0.09194,5406.2,0.09193,8171.4,0.09207,1736.8,0.09208,840.1,0.09209,3239.6,0.09210,4608.0,0.09211,3488.2,0.09212,5672.9,0.09213,2721.4,0.09214,2302.0,0.09215,4479.8,0.09216,3140.8,-0.00037784,1774137600000
0,3,40,0.09230000,0.09205,-0.2709,1774137104000,0.09220000,2875.68000000,0.09210000,53720.03000000,0.09200000,199108.18000000,0.09190000,67141.75000000,0.09180000,162921.38000000,0.09170000,24238.53000000,0.09160000,117017.08000000,0.09150000,4191.21000000,0.09140000,3880.37000000,0.09130000,110326.48000000,0.09230000,23866.63000000,0.09240000,31571.77000000,0.09250000,20168.48000000,0.09260000,60293.71000000,0.09270000,140832.65000000,0.09280000,19209.69000000,0.09290000,10948.06000000,0.09300000,12523.50000000,0.09310000,12608.34000000,0.09320000,112124.87000000,0.09207,539.0,0.09205,907.6,0.09204,907.6,0.09203,3272.8,0.09202,3763.8,0.09201,6140.1,0.09200,6079.6,0.09199,3316.3,0.09198,5254.6,0.09197,7894.0,0.09208,905.8,0.09209,1648.2,0.09210,1812.8,0.09211,2468.2,0.09212,3229.6,0.09213,2637.5,0.09214,2302.0,0.09215,3797.2,0.09216,3127.5,0.09217,2302.7,-0.00037784,1774137600000
0,3,40,0.09220000,0.092,-0.2169,1774137105000,0.09210000,11427.13000000,0.09200000,61717.27000000,0.09190000,43461.65000000,0.09180000,43398.71000000,0.09170000,142697.80000000,0.09160000,129910.49000000,0.09150000,4191.21000000,0.09140000,3880.37000000,0.09130000,3821.70000000,0.09120000,156249.96000000,0.09220000,23374.96000000,0.09230000,18027.61000000,0.09240000,20700.76000000,0.09250000,20302.49000000,0.09260000,40410.79000000,0.09270000,28254.96000000,0.09280000,19209.69000000,0.09290000,10948.06000000,0.09300000,12523.50000000,0.09310000,12608.34000000,0.09207,539.0,0.09205,2534.2,0.09204,2302.7,0.09203,3726.2,0.09202,4217.2,0.09201,3197.1,0.09200,6079.6,0.09199,4372.8,0.09198,8819.8,0.09197,11943.6,0.09210,905.8,0.09212,3749.0,0.09213,2637.5,0.09214,2302.0,0.09215,3797.2,0.09216,3127.5,0.09217,2302.7,0.09218,4135.0,0.09219,4202.6,0.09220,2722.4,-0.00037784,1774137600000
0,3,40,0.09220000,0.092,-0.2169,1774137106000,0.09210000,4752.43000000,0.09200000,29590.60000000,0.09190000,34693.14000000,0.09180000,56725.68000000,0.09170000,142565.69000000,0.09160000,27462.63000000,0.09150000,10702.33000000,0.09140000,3880.37000000,0.09130000,113338.07000000,0.09120000,110724.03000000,0.09220000,24503.96000000,0.09230000,18027.61000000,0.09240000,21273.51000000,0.09250000,25619.86000000,0.09260000,148514.65000000,0.09270000,22803.58000000,0.09280000,19209.69000000,0.09290000,10948.06000000,0.09300000,12083.14000000,0.09310000,118681.90000000,0.09207,539.0,0.09206,905.8,0.09205,2534.2,0.09204,2302.7,0.09203,3726.2,0.09202,4217.2,0.09201,3197.1,0.09200,6079.6,0.09199,7342.5,0.09198,13488.2,0.09211,905.8,0.09212,1414.9,0.09213,3205.9,0.09214,2302.0,0.09215,5079.6,0.09216,3127.5,0.09217,5561.9,0.09218,4135.0,0.09219,4202.6,0.09220,2722.4,-0.00037784,1774137600000
0,3,40,0.09220000,0.09198,-0.2386,1774137107000,0.09210000,4752.43000000,0.09200000,60387.41000000,0.09190000,88439.67000000,0.09180000,43458.40000000,0.09170000,150608.88000000,0.09160000,55353.98000000,0.09150000,4191.21000000,0.09140000,3880.37000000,0.09130000,113338.07000000,0.09120000,110724.03000000,0.09220000,20899.96000000,0.09230000,18027.61000000,0.09240000,21141.12000000,0.09250000,24931.48000000,0.09260000,120767.36000000,0.09270000,22803.58000000,0.09280000,19209.69000000,0.09290000,10948.06000000,0.09300000,12083.14000000,0.09310000,118681.90000000,0.09206,905.8,0.09205,3848.8,0.09204,3054.1,0.09203,3726.2,0.09202,3798.1,0.09201,3197.1,0.09200,6502.3,0.09199,3316.3,0.09198,8053.0,0.09197,12137.2,0.09211,1632.1,0.09212,2494.5,0.09213,3240.8,0.09214,2302.0,0.09215,4625.0,0.09216,2720.4,0.09217,5970.6,0.09218,4135.0,0.09219,3797.1,0.09220,2722.4,-0.00037784,1774137600000
0,3,40,0.09220000,0.09203,-0.1844,1774137108000,0.09210000,16169.09000000,0.09200000,61748.25000000,0.09190000,105359.15000000,0.09180000,163170.18000000,0.09170000,23166.58000000,0.09160000,48784.69000000,0.09150000,4191.21000000,0.09140000,11366.49000000,0.09130000,219842.85000000,0.09120000,4219.25000000,0.09220000,6504.06000000,0.09230000,24036.52000000,0.09240000,20760.45000000,0.09250000,19480.10000000,0.09260000,122067.32000000,0.09270000,28254.96000000,0.09280000,14809.69000000,0.09290000,10948.06000000,0.09300000,16923.50000000,0.09310000,118495.56000000,0.09205,905.8,0.09204,5089.5,0.09203,2218.9,0.09202,3798.1,0.09201,3594.9,0.09200,6502.3,0.09199,6359.5,0.09198,12845.9,0.09197,4152.3,0.09196,6656.0,0.09211,1632.1,0.09212,1414.9,0.09213,3240.8,0.09214,2302.0,0.09215,4625.0,0.09216,2720.4,0.09217,5970.6,0.09218,4135.0,0.09219,3797.1,0.09220,2722.4,-0.00037784,1774137600000
0,3,40,0.09220000,0.09202,-0.1952,1774137109000,0.09220000,4685.55000000,0.09210000,24138.51000000,0.09200000,43988.95000000,0.09190000,126956.47000000,0.09180000,51387.51000000,0.09170000,32470.22000000,0.09160000,42280.63000000,0.09150000,4191.21000000,0.09140000,11366.49000000,0.09130000,113338.07000000,0.09230000,24037.55000000,0.09240000,20760.45000000,0.09250000,19480.10000000,0.09260000,19174.62000000,0.09270000,35462.02000000,0.09280000,43031.81000000,0.09290000,10948.06000000,0.09300000,16923.50000000,0.09310000,12608.34000000,0.09320000,2743.58000000,0.09206,2716.1,0.09205,905.8,0.09204,3053.9,0.09203,1813.4,0.09202,4626.3,0.09201,3594.9,0.09200,6502.3,0.09199,5059.5,0.09198,8206.7,0.09197,12652.3,0.09210,905.8,0.09211,905.8,0.09212,3549.2,0.09213,2332.8,0.09214,3130.2,0.09215,4625.0,0.09216,2301.3,0.09217,5970.6,0.09218,3727.9,0.09219,3797.1,-0.00037784,1774137600000
0,3,40,0.09220000,0.09201,-0.2061,1774137110000,0.09210000,16087.78000000,0.09200000,61744.20000000,0.09190000,159106.56000000,0.09180000,51387.51000000,0.09170000,23166.58000000,0.09160000,48784.69000000,0.09150000,4191.21000000,0.09140000,11366.49000000,0.09130000,113338.07000000,0.09120000,4219.25000000,0.09220000,1412.63000000,0.09230000,23937.79000000,0.09240000,20760.45000000,0.09250000,19480.10000000,0.09260000,24626.00000000,0.09270000,30374.03000000,0.09280000,43031.81000000,0.09290000,10948.06000000,0.09300000,16560.11000000,0.09310000,12608.34000000,0.09206,2716.1,0.09205,905.8,0.09204,5996.9,0.09203,1813.4,0.09202,4626.3,0.09201,3594.9,0.09200,6079.6,0.09199,4003.5,0.09198,15851.0,0.09197,4152.3,0.09210,1467.8,0.09211,1986.0,0.09212,3549.2,0.09213,2332.8,0.09214,3130.2,0.09215,4625.0,0.09216,2301.3,0.09217,5970.6,0.09218,3727.9,0.09219,3797.1,-0.00037784,1774137600000
0,3,40,0.09230000,0.09201,-0.3142,1774137111000,0.09210000,16087.78000000,0.09200000,61744.20000000,0.09190000,173942.31000000,0.09180000,60681.02000000,0.09170000,133395.74000000,0.09160000,48784.69000000,0.09150000,4191.21000000,0.09140000,11366.49000000,0.09130000,113338.07000000,0.09120000,110724.03000000,0.09220000,20314.37000000,0.09230000,17967.92000000,0.09240000,21520.96000000,0.09250000,19480.10000000,0.09260000,128707.61000000,0.09270000,23166.97000000,0.09280000,43031.81000000,0.09290000,10948.06000000,0.09300000,16560.11000000,0.09310000,121929.56000000,0.09206,2716.1,0.09205,905.8,0.09204,6074.3,0.09203,1813.4,0.09202,4626.3,0.09201,3594.9,0.09200,6079.6,0.09199,6449.1,0.09198,11969.7,0.09197,4152.3,0.09209,366.8,0.09210,905.8,0.09211,2762.6,0.09212,3549.2,0.09213,1813.4,0.09214,3130.2,0.09215,4216.7,0.09216,2801.3,0.09217,6390.7,0.09218,3727.9,-0.00037784,1774137600000
0,3,40,0.09230000,0.09197,-0.3575,1774137112000,0.09210000,4833.74000000,0.09200000,61744.20000000,0.09190000,193716.33000000,0.09180000,56680.23000000,0.09170000,133395.74000000,0.09160000,48784.69000000,0.09150000,4191.21000000,0.09140000,11366.49000000,0.09130000,113338.07000000,0.09120000,110724.03000000,0.09220000,20314.37000000,0.09230000,19027.61000000,0.09240000,32217.52000000,0.09250000,19480.10000000,0.09260000,128707.61000000,0.09270000,23166.97000000,0.09280000,42031.81000000,0.09290000,10948.06000000,0.09300000,16560.11000000,0.09310000,121929.56000000,0.09206,2716.1,0.09205,905.8,0.09204,5683.7,0.09203,1813.4,0.09202,4626.3,0.09201,3594.9,0.09200,6185.7,0.09199,4003.5,0.09198,3813.3,0.09197,4152.3,0.09209,905.8,0.09210,1286.6,0.09211,3282.0,0.09212,3129.5,0.09213,2234.5,0.09214,3130.2,0.09215,4322.8,0.09216,3192.8,0.09217,5970.6,0.09218,3308.8,-0.00037784,1774137600000
0,3,40,0.09220000,0.09203,-0.1844,1774137113000,0.09210000,24847.54000000,0.09200000,61648.00000000,0.09190000,225919.87000000,0.09180000,47327.03000000,0.09170000,142699.38000000,0.09160000,42280.63000000,0.09150000,4191.21000000,0.09140000,11366.49000000,0.09130000,113338.07000000,0.09120000,110724.03000000,0.09220000,4354.36000000,0.09230000,23997.48000000,0.09240000,32217.52000000,0.09250000,19480.10000000,0.09260000,135218.73000000,0.09270000,23166.97000000,0.09280000,42031.81000000,0.09290000,10948.06000000,0.09300000,16560.11000000,0.09310000,121929.56000000,0.09207,1649.9,0.09206,2716.1,0.09205,3132.6,0.09204,3132.1,0.09203,2422.5,0.09202,4626.3,0.09201,3197.1,0.09200,9888.2,0.09199,12403.8,0.09198,7650.5,0.09213,1737.2,0.09214,2866.0,0.09215,3822.8,0.09216,3630.9,0.09217,5561.9,0.09218,3729.7,0.09219,4769.0,0.09220,3412.1,0.09221,6085.5,0.09222,4249.5,-0.00037784,1774137600000
0,3,40,0.09220000,0.09201,-0.2061,1774137114000,0.09210000,28976.71000000,0.09200000,61648.00000000,0.09190000,231345.80000000,0.09180000,56620.54000000,0.09170000,133395.74000000,0.09160000,48791.75000000,0.09150000,4191.21000000,0.09140000,11366.49000000,0.09130000,113338.07000000,0.09120000,110724.03000000,0.09220000,4354.36000000,0.09230000,23997.48000000,0.09240000,32217.52000000,0.09250000,32747.38000000,0.09260000,135218.73000000,0.09270000,23166.97000000,0.09280000,42031.81000000,0.09290000,10948.06000000,0.09300000,16560.11000000,0.09310000,121929.56000000,0.09209,905.8,0.09208,3848.8,0.09207,3046.5,0.09206,3623.5,0.09205,3132.6,0.09204,2302.5,0.09203,3939.5,0.09202,4626.3,0.09201,9028.8,0.09200,15885.4,0.09213,875.3,0.09214,2412.0,0.09215,4624.7,0.09216,3630.9,0.09217,5561.9,0.09218,3835.8,0.09219,4205.6,0.09220,2722.4,0.09221,6031.2,0.09222,4195.2,-0.00037784,1774137600000
0,3,40,0.09220000,0.092,-0.2169,1774137115000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09209,905.8,0.09208,3848.8,0.09207,3046.5,0.09206,5118.9,0.09205,3132.6,0.09204,2302.5,0.09203,4045.6,0.09202,4626.3,0.09201,4287.0,0.09200,6909.0,0.09213,875.3,0.09214,1506.2,0.09215,4624.7,0.09216,3630.9,0.09217,5561.9,0.09218,3835.8,0.09219,4205.6,0.09220,2722.4,0.09221,6031.2,0.09222,4195.2,-0.00037784,1774137600000
0,3,40,0.09220000,0.092,-0.2169,1774137116000,0.09210000,18255.11000000,0.09200000,61648.00000000,0.09190000,231345.80000000,0.09180000,56620.54000000,0.09170000,133395.74000000,0.09160000,48791.75000000,0.09150000,4191.21000000,0.09140000,11366.49000000,0.09130000,113338.07000000,0.09120000,110724.03000000,0.09220000,4354.36000000,0.09230000,23997.48000000,0.09240000,21520.96000000,0.09250000,32747.38000000,0.09260000,135218.73000000,0.09270000,23166.97000000,0.09280000,42031.81000000,0.09290000,10948.06000000,0.09300000,16560.11000000,0.09310000,121929.56000000,0.09209,905.8,0.09208,3848.8,0.09207,3046.5,0.09206,5118.9,0.09205,3132.6,0.09204,2302.5,0.09203,4045.6,0.09202,4626.3,0.09201,4287.0,0.09200,6909.0,0.09213,875.3,0.09214,421.2,0.09215,4624.7,0.09216,3630.9,0.09217,5561.9,0.09218,3835.8,0.09219,4205.6,0.09220,2722.4,0.09221,6031.2,0.09222,4195.2,-0.00037784,1774137600000
