spot_source_id,fut_source_id,symbol_id,ask_spot,bid_futures,spread_pct,ts,s_b1,s_b2,s_b3,s_b4,s_b5,s_b6,s_b7,s_b8,s_b9,s_b10,s_bq1,s_bq2,s_bq3,s_bq4,s_bq5,s_bq6,s_bq7,s_bq8,s_bq9,s_bq10,s_a1,s_a2,s_a3,s_a4,s_a5,s_a6,s_a7,s_a8,s_a9,s_a10,s_aq1,s_aq2,s_aq3,s_aq4,s_aq5,s_aq6,s_aq7,s_aq8,s_aq9,s_aq10,f_b1,f_b2,f_b3,f_b4,f_b5,f_b6,f_b7,f_b8,f_b9,f_b10,f_bq1,f_bq2,f_bq3,f_bq4,f_bq5,f_bq6,f_bq7,f_bq8,f_bq9,f_bq10,f_a1,f_a2,f_a3,f_a4,f_a5,f_a6,f_a7,f_a8,f_a9,f_a10,f_aq1,f_aq2,f_aq3,f_aq4,f_aq5,f_aq6,f_aq7,f_aq8,f_aq9,f_aq10,fr_r,fr_ft
0,3,54,0.68200000,0.6805,-0.2199,1774137098000,0.68100000,34350.36000000,0.68000000,95297.66000000,0.67900000,54932.13000000,0.67800000,71209.88000000,0.67700000,52609.07000000,0.67600000,109867.58000000,0.67500000,87484.62000000,0.67400000,35283.05000000,0.67300000,28119.07000000,0.67200000,71852.24000000,0.68200000,56276.46000000,0.68300000,91939.11000000,0.68400000,103932.84000000,0.68500000,99852.09000000,0.68600000,30817.27000000,0.68700000,32709.08000000,0.68800000,18419.31000000,0.68900000,47562.52000000,0.69000000,43234.47000000,0.69100000,42656.72000000,0.6805,144,0.6804,1068,0.6803,4374,0.6802,8320,0.6801,11192,0.6800,14047,0.6799,6282,0.6798,11206,0.6797,10317,0.6796,9828,0.6806,8743,0.6807,5062,0.6808,13880,0.6809,15598,0.6810,7760,0.6811,11054,0.6812,10320,0.6813,17434,0.6814,8410,0.6815,7186,-0.00000372,1774137600000
0,3,54,0.68200000,0.6803,-0.2493,1774137099000,0.68100000,34350.36000000,0.68000000,91435.96000000,0.67900000,55631.86000000,0.67800000,71209.88000000,0.67700000,52609.07000000,0.67600000,109867.58000000,0.67500000,87484.62000000,0.67400000,35283.05000000,0.67300000,28119.07000000,0.67200000,71852.24000000,0.68200000,59422.08000000,0.68300000,91939.11000000,0.68400000,107518.36000000,0.68500000,96222.41000000,0.68600000,30817.27000000,0.68700000,32709.08000000,0.68800000,18419.31000000,0.68900000,47562.52000000,0.69000000,43234.47000000,0.69100000,42656.72000000,0.6805,144,0.6804,4444,0.6803,3829,0.6802,8320,0.6801,11192,0.6800,14047,0.6799,6282,0.6798,11206,0.6797,10317,0.6796,9828,0.6806,6317,0.6807,3466,0.6808,13880,0.6809,17825,0.6810,8049,0.6811,11054,0.6812,11177,0.6813,17434,0.6814,8410,0.6815,7186,-0.00000372,1774137600000
0,3,54,0.68200000,0.6802,-0.2639,1774137100000,0.68000000,68352.95000000,0.67900000,59861.96000000,0.67800000,74336.91000000,0.67700000,52644.93000000,0.67600000,114752.15000000,0.67500000,68461.10000000,0.67400000,40185.10000000,0.67300000,28986.89000000,0.67200000,71332.24000000,0.67100000,49622.45000000,0.68100000,17956.35000000,0.68200000,63071.54000000,0.68300000,106253.00000000,0.68400000,94538.60000000,0.68500000,85000.79000000,0.68600000,23540.25000000,0.68700000,28255.03000000,0.68800000,18419.31000000,0.68900000,56729.17000000,0.69000000,39571.47000000,0.6803,407,0.6802,5082,0.6801,3416,0.6800,14556,0.6799,7896,0.6798,11206,0.6797,9259,0.6796,8544,0.6795,18635,0.6794,13393,0.6804,6192,0.6805,7323,0.6806,4711,0.6807,7351,0.6808,8435,0.6809,9900,0.6810,10515,0.6811,13436,0.6812,10320,0.6813,15612,-0.00000372,1774137600000
0,3,54,0.68100000,0.6798,-0.1762,1774137101000,0.68000000,57419.00000000,0.67900000,56586.82000000,0.67800000,61289.93000000,0.67700000,65802.67000000,0.67600000,114909.11000000,0.67500000,67961.10000000,0.67400000,39992.68000000,0.67300000,29179.31000000,0.67200000,71332.24000000,0.67100000,53296.21000000,0.68100000,35021.34000000,0.68200000,64627.72000000,0.68300000,107138.17000000,0.68400000,95518.16000000,0.68500000,76881.64000000,0.68600000,22598.98000000,0.68700000,28549.44000000,0.68800000,41320.05000000,0.68900000,54895.06000000,0.69000000,39660.67000000,0.6802,1819,0.6801,24,0.6800,11222,0.6799,2249,0.6798,1987,0.6797,4960,0.6796,9237,0.6795,11307,0.6794,11103,0.6793,9101,0.6803,9084,0.6804,12716,0.6805,6646,0.6806,9686,0.6807,12334,0.6808,16217,0.6809,13193,0.6810,10515,0.6811,11054,0.6812,7492,-0.00000372,1774137600000
0,3,54,0.68100000,0.6795,-0.2203,1774137102000,0.68000000,57807.52000000,0.67900000,56075.09000000,0.67800000,61289.93000000,0.67700000,65802.67000000,0.67600000,114909.11000000,0.67500000,67961.10000000,0.67400000,39089.75000000,0.67300000,29179.31000000,0.67200000,72237.86000000,0.67100000,53296.21000000,0.68100000,36865.22000000,0.68200000,73608.49000000,0.68300000,127268.92000000,0.68400000,95518.16000000,0.68500000,72833.47000000,0.68600000,22598.98000000,0.68700000,28549.44000000,0.68800000,41320.05000000,0.68900000,54895.06000000,0.69000000,39660.67000000,0.6802,349,0.6801,24,0.6800,10541,0.6799,542,0.6798,4569,0.6797,4073,0.6796,8921,0.6795,11307,0.6794,9621,0.6793,9101,0.6803,6882,0.6804,13405,0.6805,5965,0.6806,10004,0.6807,16495,0.6808,16207,0.6809,10782,0.6810,10442,0.6811,11054,0.6812,7492,-0.00000372,1774137600000
0,3,54,0.68100000,0.6795,-0.2203,1774137103000,0.68000000,52112.56000000,0.67900000,57188.06000000,0.67800000,64113.66000000,0.67700000,65802.67000000,0.67600000,115088.86000000,0.67500000,67961.10000000,0.67400000,40203.10000000,0.67300000,29179.31000000,0.67200000,72237.86000000,0.67100000,53296.21000000,0.68100000,41320.26000000,0.68200000,69172.39000000,0.68300000,127268.92000000,0.68400000,95518.16000000,0.68500000,72833.47000000,0.68600000,22598.98000000,0.68700000,28549.44000000,0.68800000,41320.05000000,0.68900000,54895.06000000,0.69000000,39660.67000000,0.6797,4740,0.6796,1748,0.6795,4042,0.6794,9560,0.6793,3621,0.6792,10010,0.6791,10982,0.6790,6507,0.6789,8861,0.6788,10880,0.6798,15,0.6799,27,0.6800,4414,0.6801,12845,0.6802,14887,0.6803,9345,0.6804,25481,0.6805,6475,0.6806,7401,0.6807,15665,-0.00000372,1774137600000
0,3,54,0.68100000,0.6794,-0.2349,1774137104000,0.68000000,46985.91000000,0.67900000,53987.82000000,0.67800000,64682.03000000,0.67700000,65802.67000000,0.67600000,114909.11000000,0.67500000,61961.10000000,0.67400000,45089.75000000,0.67300000,29179.31000000,0.67200000,72237.86000000,0.67100000,53296.21000000,0.68100000,60397.91000000,0.68200000,69172.39000000,0.68300000,130634.52000000,0.68400000,91466.25000000,0.68500000,55225.26000000,0.68600000,22598.98000000,0.68700000,28549.44000000,0.68800000,41320.05000000,0.68900000,54895.06000000,0.69000000,39660.67000000,0.6798,76,0.6797,2703,0.6796,2744,0.6795,3077,0.6794,3476,0.6793,7152,0.6792,9153,0.6791,9319,0.6790,6880,0.6789,10754,0.6799,6848,0.6800,14251,0.6801,13919,0.6802,14088,0.6803,7011,0.6804,18781,0.6805,6329,0.6806,7567,0.6807,16770,0.6808,16208,-0.00000372,1774137600000
0,3,54,0.68100000,0.6789,-0.3084,1774137105000,0.67900000,50403.43000000,0.67800000,63167.72000000,0.67700000,65441.85000000,0.67600000,114940.09000000,0.67500000,67194.97000000,0.67400000,50273.65000000,0.67300000,30746.41000000,0.67200000,72237.86000000,0.67100000,53296.21000000,0.67000000,69282.10000000,0.68000000,32791.32000000,0.68100000,75105.86000000,0.68200000,62600.97000000,0.68300000,96039.64000000,0.68400000,75529.99000000,0.68500000,49052.42000000,0.68600000,18731.84000000,0.68700000,20925.72000000,0.68800000,41320.05000000,0.68900000,53228.20000000,0.6798,76,0.6797,1341,0.6796,2753,0.6795,3077,0.6794,4378,0.6793,5728,0.6792,9153,0.6791,9307,0.6790,6880,0.6789,10754,0.6799,7235,0.6800,14683,0.6801,13928,0.6802,17213,0.6803,7289,0.6804,16781,0.6805,4839,0.6806,5567,0.6807,14770,0.6808,14208,-0.00000372,1774137600000
0,3,54,0.68000000,0.6785,-0.2206,1774137106000,0.67900000,31075.02000000,0.67800000,56403.37000000,0.67700000,57959.75000000,0.67600000,60133.15000000,0.67500000,67194.97000000,0.67400000,113969.65000000,0.67300000,34262.51000000,0.67200000,72063.76000000,0.67100000,53296.21000000,0.67000000,73328.37000000,0.68000000,64523.30000000,0.68100000,78590.64000000,0.68200000,78732.65000000,0.68300000,96977.95000000,0.68400000,49852.03000000,0.68500000,49063.79000000,0.68600000,18617.92000000,0.68700000,50485.64000000,0.68800000,41330.33000000,0.68900000,53228.20000000,0.6798,76,0.6797,1341,0.6796,2680,0.6795,3150,0.6794,4378,0.6793,5728,0.6792,9153,0.6791,9307,0.6790,6880,0.6789,10754,0.6799,7367,0.6800,14683,0.6801,13928,0.6802,17389,0.6803,7419,0.6804,16781,0.6805,4839,0.6806,5567,0.6807,14741,0.6808,14208,-0.00000372,1774137600000
0,3,54,0.68000000,0.6788,-0.1765,1774137107000,0.67900000,40589.94000000,0.67800000,58246.24000000,0.67700000,55597.23000000,0.67600000,60273.82000000,0.67500000,72623.65000000,0.67400000,109567.60000000,0.67300000,29853.99000000,0.67200000,72063.76000000,0.67100000,53296.21000000,0.67000000,69649.20000000,0.68000000,39586.32000000,0.68100000,82696.69000000,0.68200000,82765.19000000,0.68300000,99425.10000000,0.68400000,67625.99000000,0.68500000,49052.42000000,0.68600000,18617.92000000,0.68700000,50485.64000000,0.68800000,41330.33000000,0.68900000,53228.20000000,0.6798,76,0.6797,1341,0.6796,2753,0.6795,4548,0.6794,4378,0.6793,5728,0.6792,9153,0.6791,9307,0.6790,6880,0.6789,10754,0.6799,7207,0.6800,14683,0.6801,14088,0.6802,17389,0.6803,7419,0.6804,16127,0.6805,4839,0.6806,5567,0.6807,14741,0.6808,14208,-0.00000372,1774137600000
