spot_source_id,fut_source_id,symbol_id,ask_spot,bid_futures,spread_pct,ts,s_b1,s_b2,s_b3,s_b4,s_b5,s_b6,s_b7,s_b8,s_b9,s_b10,s_bq1,s_bq2,s_bq3,s_bq4,s_bq5,s_bq6,s_bq7,s_bq8,s_bq9,s_bq10,s_a1,s_a2,s_a3,s_a4,s_a5,s_a6,s_a7,s_a8,s_a9,s_a10,s_aq1,s_aq2,s_aq3,s_aq4,s_aq5,s_aq6,s_aq7,s_aq8,s_aq9,s_aq10,f_b1,f_b2,f_b3,f_b4,f_b5,f_b6,f_b7,f_b8,f_b9,f_b10,f_bq1,f_bq2,f_bq3,f_bq4,f_bq5,f_bq6,f_bq7,f_bq8,f_bq9,f_bq10,f_a1,f_a2,f_a3,f_a4,f_a5,f_a6,f_a7,f_a8,f_a9,f_a10,f_aq1,f_aq2,f_aq3,f_aq4,f_aq5,f_aq6,f_aq7,f_aq8,f_aq9,f_aq10,fr_r,fr_ft
0,3,166,0.09264000,0.09256,-0.0864,1774137098000,0.09263000,230251.00000000,0.09262000,219094.00000000,0.09261000,323085.00000000,0.09260000,428330.00000000,0.09259000,224345.00000000,0.09258000,645742.00000000,0.09257000,424107.00000000,0.09256000,575195.00000000,0.09255000,249978.00000000,0.09254000,281843.00000000,0.09264000,35048.00000000,0.09265000,34176.00000000,0.09266000,101075.00000000,0.09267000,235070.00000000,0.09268000,396656.00000000,0.09269000,305488.00000000,0.09270000,625007.00000000,0.09271000,447391.00000000,0.09272000,126413.00000000,0.09273000,339966.00000000,0.09256,120359,0.09255,261981,0.09254,571937,0.09253,717125,0.09252,755712,0.09251,616790,0.09250,583052,0.09249,583110,0.09248,651804,0.09247,830421,0.09257,92565,0.09258,164780,0.09259,661762,0.09260,943169,0.09261,1140510,0.09262,637758,0.09263,657705,0.09264,661388,0.09265,718746,0.09266,923377,0.00004715,1774137600000
0,3,166,0.09265000,0.09257,-0.0863,1774137099000,0.09264000,43510.00000000,0.09263000,48553.00000000,0.09262000,515827.00000000,0.09261000,225504.00000000,0.09260000,489683.00000000,0.09259000,208479.00000000,0.09258000,657497.00000000,0.09257000,471670.00000000,0.09256000,549242.00000000,0.09255000,169470.00000000,0.09265000,215433.00000000,0.09266000,213219.00000000,0.09267000,247466.00000000,0.09268000,344183.00000000,0.09269000,223684.00000000,0.09270000,646800.00000000,0.09271000,370649.00000000,0.09272000,199879.00000000,0.09273000,378501.00000000,0.09274000,857228.00000000,0.09256,108773,0.09255,222244,0.09254,507106,0.09253,663120,0.09252,765868,0.09251,605982,0.09250,580306,0.09249,735095,0.09248,651804,0.09247,808542,0.09257,3660,0.09258,289931,0.09259,905709,0.09260,635816,0.09261,1138775,0.09262,681103,0.09263,657760,0.09264,650581,0.09265,718811,0.09266,971249,0.00004715,1774137600000
0,3,166,0.09258000,0.0925,-0.0864,1774137100000,0.09257000,26875.00000000,0.09256000,10547.00000000,0.09255000,557.00000000,0.09254000,24684.00000000,0.09253000,185962.00000000,0.09252000,405524.00000000,0.09251000,157395.00000000,0.09250000,1008151.00000000,0.09249000,431380.00000000,0.09248000,589841.00000000,0.09258000,43251.00000000,0.09259000,132300.00000000,0.09260000,138346.00000000,0.09261000,689147.00000000,0.09262000,175688.00000000,0.09263000,203390.00000000,0.09264000,268976.00000000,0.09265000,557272.00000000,0.09266000,596541.00000000,0.09267000,210752.00000000,0.09256,1188,0.09255,74192,0.09254,84778,0.09253,526496,0.09252,101989,0.09251,234302,0.09250,671902,0.09249,574255,0.09248,649608,0.09247,824262,0.09257,331576,0.09258,342233,0.09259,833018,0.09260,566299,0.09261,633468,0.09262,736361,0.09263,1160660,0.09264,646857,0.09265,781132,0.09266,932016,0.00004715,1774137600000
0,3,166,0.09259000,0.09248,-0.1188,1774137101000,0.09255000,340594.00000000,0.09254000,196379.00000000,0.09253000,316178.00000000,0.09252000,86756.00000000,0.09251000,759320.00000000,0.09250000,990809.00000000,0.09249000,641821.00000000,0.09248000,303685.00000000,0.09247000,460085.00000000,0.09246000,472011.00000000,0.09256000,262.00000000,0.09257000,38966.00000000,0.09258000,128824.00000000,0.09259000,172060.00000000,0.09260000,202579.00000000,0.09261000,452276.00000000,0.09262000,623730.00000000,0.09263000,282002.00000000,0.09264000,223603.00000000,0.09265000,602364.00000000,0.09250,120620,0.09249,83144,0.09248,257754,0.09247,324141,0.09246,298340,0.09245,265603,0.09244,368942,0.09243,655318,0.09242,714026,0.09241,801360,0.09251,48413,0.09252,164266,0.09253,479703,0.09254,599084,0.09255,658029,0.09256,1277952,0.09257,682253,0.09258,709172,0.09259,709949,0.09260,574647,0.00004715,1774137600000
0,3,166,0.09251000,0.09243,-0.0865,1774137102000,0.09253000,178797.00000000,0.09252000,159585.00000000,0.09251000,138582.00000000,0.09250000,128264.00000000,0.09249000,140787.00000000,0.09248000,97981.00000000,0.09247000,718224.00000000,0.09246000,184994.00000000,0.09245000,497523.00000000,0.09244000,294937.00000000,0.09254000,24.00000000,0.09255000,3869.00000000,0.09256000,184.00000000,0.09257000,61576.00000000,0.09258000,160395.00000000,0.09259000,171044.00000000,0.09260000,119672.00000000,0.09261000,375031.00000000,0.09262000,147306.00000000,0.09263000,449603.00000000,0.09250,150924,0.09249,94032,0.09248,418028,0.09247,695295,0.09246,396110,0.09245,551446,0.09244,634188,0.09243,715357,0.09242,726263,0.09241,887781,0.09251,48769,0.09252,193669,0.09253,663316,0.09254,528539,0.09255,670112,0.09256,1428494,0.09257,764717,0.09258,660460,0.09259,601114,0.09260,655402,0.00004715,1774137600000
0,3,166,0.09250000,0.09241,-0.0973,1774137103000,0.09249000,59678.00000000,0.09248000,95874.00000000,0.09247000,518301.00000000,0.09246000,428001.00000000,0.09245000,518750.00000000,0.09244000,444516.00000000,0.09243000,643323.00000000,0.09242000,252642.00000000,0.09241000,630426.00000000,0.09240000,609308.00000000,0.09250000,59353.00000000,0.09251000,91875.00000000,0.09252000,175439.00000000,0.09253000,171070.00000000,0.09254000,84286.00000000,0.09255000,381590.00000000,0.09256000,139696.00000000,0.09257000,326189.00000000,0.09258000,799102.00000000,0.09259000,317864.00000000,0.09251,156011,0.09250,176692,0.09249,128386,0.09248,435733,0.09247,735779,0.09246,489817,0.09245,603525,0.09244,682911,0.09243,715357,0.09242,801621,0.09252,1404,0.09253,98504,0.09254,281870,0.09255,782850,0.09256,1215988,0.09257,726652,0.09258,622164,0.09259,622732,0.09260,655402,0.09261,1101550,0.00004715,1774137600000
0,3,166,0.09249000,0.09239,-0.1081,1774137104000,0.09248000,74349.00000000,0.09247000,88882.00000000,0.09246000,917080.00000000,0.09245000,557183.00000000,0.09244000,506142.00000000,0.09243000,608689.00000000,0.09242000,236835.00000000,0.09241000,554564.00000000,0.09240000,672627.00000000,0.09239000,827196.00000000,0.09249000,89684.00000000,0.09250000,148751.00000000,0.09251000,215109.00000000,0.09252000,414508.00000000,0.09253000,185700.00000000,0.09254000,158050.00000000,0.09255000,380734.00000000,0.09256000,93224.00000000,0.09257000,366479.00000000,0.09258000,834727.00000000,0.09250,98275,0.09249,208109,0.09248,625714,0.09247,581537,0.09246,501138,0.09245,606269,0.09244,752307,0.09243,647361,0.09242,749988,0.09241,870821,0.09251,5227,0.09252,303679,0.09253,757306,0.09254,449885,0.09255,665215,0.09256,1216745,0.09257,744934,0.09258,661403,0.09259,594190,0.09260,601188,0.00004715,1774137600000
0,3,166,0.09242000,0.09232,-0.1082,1774137105000,0.09240000,79286.00000000,0.09239000,356710.00000000,0.09238000,317.00000000,0.09237000,26611.00000000,0.09236000,154860.00000000,0.09235000,457266.00000000,0.09234000,153767.00000000,0.09233000,555023.00000000,0.09232000,316992.00000000,0.09231000,573172.00000000,0.09241000,60773.00000000,0.09242000,56471.00000000,0.09243000,298270.00000000,0.09244000,170197.00000000,0.09245000,612163.00000000,0.09246000,421280.00000000,0.09247000,244229.00000000,0.09248000,247616.00000000,0.09249000,709090.00000000,0.09250000,476634.00000000,0.09246,98930,0.09245,107901,0.09244,137296,0.09243,224818,0.09242,217395,0.09241,470106,0.09240,456733,0.09239,734423,0.09238,559148,0.09237,614522,0.09247,77175,0.09248,113413,0.09249,288948,0.09250,741138,0.09251,1014080,0.09252,893099,0.09253,664823,0.09254,725842,0.09255,731683,0.09256,1206610,0.00004715,1774137600000
0,3,166,0.09240000,0.09223,-0.184,1774137106000,0.09229000,122524.00000000,0.09228000,188950.00000000,0.09227000,93836.00000000,0.09226000,70375.00000000,0.09225000,527882.00000000,0.09224000,36383.00000000,0.09223000,586020.00000000,0.09222000,205451.00000000,0.09221000,503477.00000000,0.09220000,304296.00000000,0.09230000,8215.00000000,0.09231000,5589.00000000,0.09232000,27258.00000000,0.09233000,219630.00000000,0.09234000,208599.00000000,0.09235000,563940.00000000,0.09236000,146855.00000000,0.09237000,326139.00000000,0.09238000,46944.00000000,0.09239000,119395.00000000,0.09241,149789,0.09240,89355,0.09239,10689,0.09238,234439,0.09237,90530,0.09236,74522,0.09235,46140,0.09234,113186,0.09233,352848,0.09232,517057,0.09243,36784,0.09244,41142,0.09245,56120,0.09246,252643,0.09247,142937,0.09248,391723,0.09249,210678,0.09250,130125,0.09251,475418,0.09252,772337,0.00004715,1774137600000
0,3,166,0.09237000,0.0923,-0.0758,1774137107000,0.09239000,138024.00000000,0.09238000,21858.00000000,0.09237000,174191.00000000,0.09236000,174077.00000000,0.09235000,494754.00000000,0.09234000,331347.00000000,0.09233000,459964.00000000,0.09232000,208689.00000000,0.09231000,546821.00000000,0.09230000,469602.00000000,0.09240000,14994.00000000,0.09241000,166.00000000,0.09242000,20412.00000000,0.09243000,161227.00000000,0.09244000,113542.00000000,0.09245000,507538.00000000,0.09246000,511645.00000000,0.09247000,237904.00000000,0.09248000,23146.00000000,0.09249000,398525.00000000,0.09243,11445,0.09242,162,0.09241,23428,0.09240,32058,0.09239,12066,0.09238,109048,0.09237,232095,0.09236,324981,0.09235,313629,0.09234,366372,0.09244,57992,0.09245,69107,0.09246,46560,0.09247,210366,0.09248,558192,0.09249,385115,0.09250,283517,0.09251,370414,0.09252,257876,0.09253,647364,0.00004715,1774137600000
