spot_source_id,fut_source_id,symbol_id,ask_spot,bid_futures,spread_pct,ts,s_b1,s_b2,s_b3,s_b4,s_b5,s_b6,s_b7,s_b8,s_b9,s_b10,s_bq1,s_bq2,s_bq3,s_bq4,s_bq5,s_bq6,s_bq7,s_bq8,s_bq9,s_bq10,s_a1,s_a2,s_a3,s_a4,s_a5,s_a6,s_a7,s_a8,s_a9,s_a10,s_aq1,s_aq2,s_aq3,s_aq4,s_aq5,s_aq6,s_aq7,s_aq8,s_aq9,s_aq10,f_b1,f_b2,f_b3,f_b4,f_b5,f_b6,f_b7,f_b8,f_b9,f_b10,f_bq1,f_bq2,f_bq3,f_bq4,f_bq5,f_bq6,f_bq7,f_bq8,f_bq9,f_bq10,f_a1,f_a2,f_a3,f_a4,f_a5,f_a6,f_a7,f_a8,f_a9,f_a10,f_aq1,f_aq2,f_aq3,f_aq4,f_aq5,f_aq6,f_aq7,f_aq8,f_aq9,f_aq10,fr_r,fr_ft
0,3,211,0.02999000,0.02995,-0.1334,1774137099000,0.02998000,516.95000000,0.02997000,9717.22000000,0.02996000,20520.56000000,0.02995000,39680.13000000,0.02994000,24107.42000000,0.02993000,59336.24000000,0.02992000,26142.17000000,0.02991000,38685.11000000,0.02990000,55216.63000000,0.02989000,66290.40000000,0.02999000,3686.92000000,0.03000000,24287.73000000,0.03001000,14354.46000000,0.03002000,28969.33000000,0.03003000,79005.02000000,0.03004000,38754.44000000,0.03005000,54414.69000000,0.03006000,24391.06000000,0.03007000,4115.84000000,0.03008000,70189.91000000,0.02995,183.7,0.02994,31063.1,0.02993,52932.7,0.02992,134088.9,0.02991,51863.3,0.02990,78833.9,0.02989,39116.4,0.02988,61907.5,0.02987,27982.3,0.02986,43284.4,0.02996,6274.0,0.02997,38712.8,0.02998,40055.1,0.02999,40262.5,0.03000,38497.6,0.03001,48285.3,0.03002,65328.0,0.03003,60418.2,0.03004,49123.7,0.03005,55062.5,0.0001,1774137600000
0,3,211,0.02998000,0.02993,-0.1668,1774137100000,0.02996000,510.56000000,0.02995000,510.66000000,0.02994000,5987.95000000,0.02993000,9844.42000000,0.02992000,24090.87000000,0.02991000,38685.11000000,0.02990000,55216.63000000,0.02989000,49632.35000000,0.02988000,82378.62000000,0.02987000,77352.53000000,0.02998000,4913.98000000,0.02999000,6728.79000000,0.03000000,28671.13000000,0.03001000,36137.60000000,0.03002000,28969.33000000,0.03003000,82483.89000000,0.03004000,42354.44000000,0.03005000,54414.69000000,0.03006000,24391.06000000,0.03007000,4115.84000000,0.02995,183.7,0.02994,31063.1,0.02993,52932.7,0.02992,134088.9,0.02991,51863.3,0.02990,114645.8,0.02989,39116.4,0.02988,26095.6,0.02987,27982.3,0.02986,43284.4,0.02996,9783.4,0.02997,38712.8,0.02998,40055.1,0.02999,44261.0,0.03000,38497.6,0.03001,48285.3,0.03002,65328.0,0.03003,60418.2,0.03004,49123.7,0.03005,55062.5,0.0001,1774137600000
0,3,211,0.02998000,0.02993,-0.1668,1774137101000,0.02996000,510.56000000,0.02995000,5992.88000000,0.02994000,26331.67000000,0.02993000,48186.56000000,0.02992000,24090.87000000,0.02991000,38685.11000000,0.02990000,55216.63000000,0.02989000,49632.35000000,0.02988000,82195.07000000,0.02987000,77352.53000000,0.02999000,35735.11000000,0.03000000,37756.40000000,0.03001000,35608.72000000,0.03002000,25987.85000000,0.03003000,78821.47000000,0.03004000,42354.44000000,0.03005000,54414.69000000,0.03006000,24391.06000000,0.03007000,4115.84000000,0.03008000,70189.91000000,0.02993,8633.2,0.02992,96840.2,0.02991,45609.0,0.02990,78833.9,0.02989,42552.0,0.02988,38887.5,0.02987,69291.1,0.02986,31504.1,0.02985,202061.0,0.02984,32630.5,0.02994,9758.6,0.02995,39679.2,0.02996,33820.7,0.02997,44850.9,0.02998,40271.2,0.02999,50498.8,0.03000,49313.4,0.03001,57339.5,0.03002,55178.5,0.03003,60067.8,0.0001,1774137600000
0,3,211,0.02999000,0.02993,-0.2001,1774137102000,0.02996000,5990.96000000,0.02995000,10192.88000000,0.02994000,25997.95000000,0.02993000,48186.56000000,0.02992000,29572.19000000,0.02991000,42915.64000000,0.02990000,55216.63000000,0.02989000,49632.35000000,0.02988000,82195.07000000,0.02987000,77352.53000000,0.02999000,33683.51000000,0.03000000,20860.08000000,0.03001000,35609.24000000,0.03002000,20506.53000000,0.03003000,78821.47000000,0.03004000,42354.44000000,0.03005000,54414.69000000,0.03006000,24391.06000000,0.03007000,4115.84000000,0.03008000,70189.91000000,0.02993,15280.0,0.02992,34001.8,0.02991,46479.8,0.02990,84599.1,0.02989,42552.0,0.02988,62000.2,0.02987,69291.1,0.02986,36959.9,0.02985,202061.0,0.02984,32630.5,0.02995,34448.6,0.02996,35329.7,0.02997,38154.0,0.02998,33607.7,0.02999,39631.9,0.03000,42594.3,0.03001,52767.1,0.03002,55178.5,0.03003,60067.8,0.03004,49123.7,0.0001,1774137600000
0,3,211,0.02999000,0.02993,-0.2001,1774137103000,0.02996000,510.56000000,0.02995000,10192.88000000,0.02994000,25997.95000000,0.02993000,48186.56000000,0.02992000,24090.87000000,0.02991000,38685.11000000,0.02990000,55216.63000000,0.02989000,49632.35000000,0.02988000,82195.07000000,0.02987000,77352.53000000,0.02999000,35735.81000000,0.03000000,20860.08000000,0.03001000,39809.24000000,0.03002000,25996.63000000,0.03003000,78821.47000000,0.03004000,42354.44000000,0.03005000,54414.69000000,0.03006000,24391.06000000,0.03007000,4115.84000000,0.03008000,70189.91000000,0.02993,19331.9,0.02992,34001.8,0.02991,46479.8,0.02990,135213.3,0.02989,42552.0,0.02988,38887.5,0.02987,69291.1,0.02986,31504.1,0.02985,202061.0,0.02984,32630.5,0.02995,22304.0,0.02996,35329.7,0.02997,57018.3,0.02998,33607.7,0.02999,46008.1,0.03000,48526.6,0.03001,52767.1,0.03002,55178.5,0.03003,60067.8,0.03004,49123.7,0.0001,1774137600000
0,3,211,0.02999000,0.02993,-0.2001,1774137104000,0.02996000,5015.27000000,0.02995000,10192.88000000,0.02994000,25997.95000000,0.02993000,48186.56000000,0.02992000,29580.97000000,0.02991000,44175.21000000,0.02990000,55216.63000000,0.02989000,49632.35000000,0.02988000,82195.07000000,0.02987000,77352.53000000,0.02999000,35569.08000000,0.03000000,20860.08000000,0.03001000,39809.24000000,0.03002000,20506.53000000,0.03003000,78821.47000000,0.03004000,42354.44000000,0.03005000,54414.69000000,0.03006000,24391.06000000,0.03007000,4115.84000000,0.03008000,70189.91000000,0.02993,9219.7,0.02992,34001.8,0.02991,56514.4,0.02990,135213.3,0.02989,42552.0,0.02988,38887.5,0.02987,69291.1,0.02986,31504.1,0.02985,202061.0,0.02984,32630.5,0.02994,6943.6,0.02995,65504.6,0.02996,40718.8,0.02997,32684.1,0.02998,37823.2,0.02999,46008.1,0.03000,42594.3,0.03001,47270.2,0.03002,62876.6,0.03003,60067.8,0.0001,1774137600000
0,3,211,0.02998000,0.02992,-0.2001,1774137106000,0.02995000,510.66000000,0.02994000,510.76000000,0.02993000,19162.42000000,0.02992000,25509.70000000,0.02991000,38685.11000000,0.02990000,34392.20000000,0.02989000,49632.35000000,0.02988000,65548.22000000,0.02987000,60694.48000000,0.02986000,49737.54000000,0.02996000,2052.50000000,0.02997000,5844.95000000,0.02998000,37246.33000000,0.02999000,41229.07000000,0.03000000,37051.05000000,0.03001000,31544.91000000,0.03002000,47615.71000000,0.03003000,79128.88000000,0.03004000,37355.84000000,0.03005000,54414.69000000,0.02993,8359.2,0.02992,34001.8,0.02991,63123.7,0.02990,135213.3,0.02989,42552.0,0.02988,38887.5,0.02987,69291.1,0.02986,31504.1,0.02985,202061.0,0.02984,32630.5,0.02995,2600.4,0.02996,40718.8,0.02997,57009.0,0.02998,37886.2,0.02999,43896.0,0.03000,49164.1,0.03001,76064.4,0.03002,46199.7,0.03003,60067.8,0.03004,49123.7,0.0001,1774137600000
0,3,211,0.02996000,0.02992,-0.1335,1774137107000,0.02995000,4283.26000000,0.02994000,28801.74000000,0.02993000,48345.82000000,0.02992000,25509.70000000,0.02991000,38685.11000000,0.02990000,54312.84000000,0.02989000,49632.35000000,0.02988000,65548.22000000,0.02987000,60694.48000000,0.02986000,49737.54000000,0.02997000,333.73000000,0.02998000,11657.99000000,0.02999000,7743.90000000,0.03000000,37663.01000000,0.03001000,31544.91000000,0.03002000,43802.53000000,0.03003000,79128.88000000,0.03004000,37355.84000000,0.03005000,54414.69000000,0.03006000,24085.88000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001,1774137600000
0,3,211,0.02996000,0.02993,-0.1001,1774137108000,0.02995000,787.62000000,0.02994000,8437.99000000,0.02993000,40165.82000000,0.02992000,26344.77000000,0.02991000,37185.11000000,0.02990000,49259.84000000,0.02989000,49632.35000000,0.02988000,65548.22000000,0.02987000,67775.78000000,0.02986000,49737.54000000,0.02997000,333.73000000,0.02998000,31684.69000000,0.02999000,41121.73000000,0.03000000,37663.01000000,0.03001000,31544.91000000,0.03002000,43802.53000000,0.03003000,79128.88000000,0.03004000,37355.84000000,0.03005000,54414.69000000,0.03006000,24085.88000000,0.02993,8359.2,0.02992,34001.8,0.02991,63123.7,0.02990,135213.3,0.02989,42552.0,0.02988,38887.5,0.02987,69291.1,0.02986,31504.1,0.02985,202061.0,0.02984,32630.5,0.02995,2600.4,0.02996,40718.8,0.02997,57192.6,0.02998,37886.2,0.02999,43896.0,0.03000,49164.1,0.03001,76064.4,0.03002,46199.7,0.03003,60067.8,0.03004,49123.7,0.0001,1774137600000
0,3,211,0.02997000,0.02992,-0.1668,1774137109000,0.02995000,4240.98000000,0.02994000,4953.30000000,0.02993000,11820.62000000,0.02992000,24761.83000000,0.02991000,42705.30000000,0.02990000,28586.78000000,0.02989000,53046.56000000,0.02988000,65548.22000000,0.02987000,67775.78000000,0.02986000,49737.54000000,0.02997000,333.73000000,0.02998000,35884.69000000,0.02999000,41121.73000000,0.03000000,33463.01000000,0.03001000,31544.91000000,0.03002000,43802.53000000,0.03003000,79128.88000000,0.03004000,37355.84000000,0.03005000,54414.69000000,0.03006000,24085.88000000,0.02993,8359.2,0.02992,34001.8,0.02991,56514.4,0.02990,135213.3,0.02989,42552.0,0.02988,38887.5,0.02987,69291.1,0.02986,31504.1,0.02985,202061.0,0.02984,32630.5,0.02995,6652.3,0.02996,40718.8,0.02997,57192.6,0.02998,37886.2,0.02999,43896.0,0.03000,49164.1,0.03001,76064.4,0.03002,46199.7,0.03003,60067.8,0.03004,49123.7,0.0001,1774137600000
