spot_source_id,fut_source_id,symbol_id,ask_spot,bid_futures,spread_pct,ts,s_b1,s_b2,s_b3,s_b4,s_b5,s_b6,s_b7,s_b8,s_b9,s_b10,s_bq1,s_bq2,s_bq3,s_bq4,s_bq5,s_bq6,s_bq7,s_bq8,s_bq9,s_bq10,s_a1,s_a2,s_a3,s_a4,s_a5,s_a6,s_a7,s_a8,s_a9,s_a10,s_aq1,s_aq2,s_aq3,s_aq4,s_aq5,s_aq6,s_aq7,s_aq8,s_aq9,s_aq10,f_b1,f_b2,f_b3,f_b4,f_b5,f_b6,f_b7,f_b8,f_b9,f_b10,f_bq1,f_bq2,f_bq3,f_bq4,f_bq5,f_bq6,f_bq7,f_bq8,f_bq9,f_bq10,f_a1,f_a2,f_a3,f_a4,f_a5,f_a6,f_a7,f_a8,f_a9,f_a10,f_aq1,f_aq2,f_aq3,f_aq4,f_aq5,f_aq6,f_aq7,f_aq8,f_aq9,f_aq10,fr_r,fr_ft
0,7,166,0.09250000,0.09246,-0.0432,1774137103000,0.09249000,59678.00000000,0.09248000,95874.00000000,0.09247000,518301.00000000,0.09246000,428001.00000000,0.09245000,518750.00000000,0.09244000,444516.00000000,0.09243000,643323.00000000,0.09242000,252642.00000000,0.09241000,630426.00000000,0.09240000,609308.00000000,0.09250000,59353.00000000,0.09251000,91875.00000000,0.09252000,175439.00000000,0.09253000,171070.00000000,0.09254000,84286.00000000,0.09255000,381590.00000000,0.09256000,139696.00000000,0.09257000,326189.00000000,0.09258000,799102.00000000,0.09259000,317864.00000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001,
0,7,166,0.09249000,0.09242,-0.0757,1774137104000,0.09248000,74349.00000000,0.09247000,88882.00000000,0.09246000,917080.00000000,0.09245000,557183.00000000,0.09244000,506142.00000000,0.09243000,608689.00000000,0.09242000,236835.00000000,0.09241000,554564.00000000,0.09240000,672627.00000000,0.09239000,827196.00000000,0.09249000,89684.00000000,0.09250000,148751.00000000,0.09251000,215109.00000000,0.09252000,414508.00000000,0.09253000,185700.00000000,0.09254000,158050.00000000,0.09255000,380734.00000000,0.09256000,93224.00000000,0.09257000,366479.00000000,0.09258000,834727.00000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001,
0,7,166,0.09242000,0.09234,-0.0866,1774137105000,0.09240000,79286.00000000,0.09239000,356710.00000000,0.09238000,317.00000000,0.09237000,26611.00000000,0.09236000,154860.00000000,0.09235000,457266.00000000,0.09234000,153767.00000000,0.09233000,555023.00000000,0.09232000,316992.00000000,0.09231000,573172.00000000,0.09241000,60773.00000000,0.09242000,56471.00000000,0.09243000,298270.00000000,0.09244000,170197.00000000,0.09245000,612163.00000000,0.09246000,421280.00000000,0.09247000,244229.00000000,0.09248000,247616.00000000,0.09249000,709090.00000000,0.09250000,476634.00000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001,
0,7,166,0.09240000,0.09223,-0.184,1774137106000,0.09229000,122524.00000000,0.09228000,188950.00000000,0.09227000,93836.00000000,0.09226000,70375.00000000,0.09225000,527882.00000000,0.09224000,36383.00000000,0.09223000,586020.00000000,0.09222000,205451.00000000,0.09221000,503477.00000000,0.09220000,304296.00000000,0.09230000,8215.00000000,0.09231000,5589.00000000,0.09232000,27258.00000000,0.09233000,219630.00000000,0.09234000,208599.00000000,0.09235000,563940.00000000,0.09236000,146855.00000000,0.09237000,326139.00000000,0.09238000,46944.00000000,0.09239000,119395.00000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,7,166,0.09237000,0.09233,-0.0433,1774137107000,0.09239000,138024.00000000,0.09238000,21858.00000000,0.09237000,174191.00000000,0.09236000,174077.00000000,0.09235000,494754.00000000,0.09234000,331347.00000000,0.09233000,459964.00000000,0.09232000,208689.00000000,0.09231000,546821.00000000,0.09230000,469602.00000000,0.09240000,14994.00000000,0.09241000,166.00000000,0.09242000,20412.00000000,0.09243000,161227.00000000,0.09244000,113542.00000000,0.09245000,507538.00000000,0.09246000,511645.00000000,0.09247000,237904.00000000,0.09248000,23146.00000000,0.09249000,398525.00000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001,
0,7,166,0.09229000,0.09226,-0.0325,1774137108000,0.09234000,50872.00000000,0.09233000,144.00000000,0.09232000,191.00000000,0.09231000,137.00000000,0.09230000,26644.00000000,0.09229000,435430.00000000,0.09228000,173268.00000000,0.09227000,431280.00000000,0.09226000,249020.00000000,0.09225000,579596.00000000,0.09235000,60260.00000000,0.09236000,372410.00000000,0.09237000,198400.00000000,0.09238000,222517.00000000,0.09239000,467786.00000000,0.09240000,613940.00000000,0.09241000,340494.00000000,0.09242000,466354.00000000,0.09243000,60704.00000000,0.09244000,128017.00000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001,
0,7,166,0.09235000,0.0923,-0.0541,1774137109000,0.09237000,199600.00000000,0.09236000,93297.00000000,0.09235000,70506.00000000,0.09234000,289258.00000000,0.09233000,608597.00000000,0.09232000,153669.00000000,0.09231000,492340.00000000,0.09230000,440210.00000000,0.09229000,552029.00000000,0.09228000,133896.00000000,0.09238000,36007.00000000,0.09239000,5341.00000000,0.09240000,38242.00000000,0.09241000,142373.00000000,0.09242000,348546.00000000,0.09243000,142178.00000000,0.09244000,114080.00000000,0.09245000,495774.00000000,0.09246000,425973.00000000,0.09247000,163839.00000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001,
0,7,166,0.09240000,0.09227,-0.1407,1774137110000,0.09234000,143860.00000000,0.09233000,61719.00000000,0.09232000,58751.00000000,0.09231000,492188.00000000,0.09230000,440210.00000000,0.09229000,549346.00000000,0.09228000,166721.00000000,0.09227000,476464.00000000,0.09226000,376200.00000000,0.09225000,505506.00000000,0.09235000,45450.00000000,0.09236000,17077.00000000,0.09237000,130530.00000000,0.09238000,37955.00000000,0.09239000,187790.00000000,0.09240000,128597.00000000,0.09241000,473679.00000000,0.09242000,494629.00000000,0.09243000,302044.00000000,0.09244000,127978.00000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001,
0,7,166,0.09235000,0.09216,-0.2057,1774137111000,0.09222000,107199.00000000,0.09221000,578.00000000,0.09220000,17954.00000000,0.09219000,27558.00000000,0.09218000,50025.00000000,0.09217000,588816.00000000,0.09216000,236682.00000000,0.09215000,546722.00000000,0.09214000,83464.00000000,0.09213000,476266.00000000,0.09223000,32377.00000000,0.09224000,11004.00000000,0.09225000,121240.00000000,0.09226000,55821.00000000,0.09227000,216231.00000000,0.09228000,119522.00000000,0.09229000,571801.00000000,0.09230000,226379.00000000,0.09231000,113846.00000000,0.09232000,388955.00000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001,
0,7,166,0.09237000,0.09217,-0.2165,1774137112000,0.09223000,168324.00000000,0.09222000,75178.00000000,0.09221000,19597.00000000,0.09220000,234266.00000000,0.09219000,561881.00000000,0.09218000,318682.00000000,0.09217000,624508.00000000,0.09216000,212709.00000000,0.09215000,678686.00000000,0.09214000,365068.00000000,0.09224000,87083.00000000,0.09225000,10201.00000000,0.09226000,55359.00000000,0.09227000,265937.00000000,0.09228000,138307.00000000,0.09229000,194875.00000000,0.09230000,753713.00000000,0.09231000,107855.00000000,0.09232000,370102.00000000,0.09233000,326077.00000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001,
