spot_source_id,fut_source_id,symbol_id,ask_spot,bid_futures,spread_pct,ts,s_b1,s_b2,s_b3,s_b4,s_b5,s_b6,s_b7,s_b8,s_b9,s_b10,s_bq1,s_bq2,s_bq3,s_bq4,s_bq5,s_bq6,s_bq7,s_bq8,s_bq9,s_bq10,s_a1,s_a2,s_a3,s_a4,s_a5,s_a6,s_a7,s_a8,s_a9,s_a10,s_aq1,s_aq2,s_aq3,s_aq4,s_aq5,s_aq6,s_aq7,s_aq8,s_aq9,s_aq10,f_b1,f_b2,f_b3,f_b4,f_b5,f_b6,f_b7,f_b8,f_b9,f_b10,f_bq1,f_bq2,f_bq3,f_bq4,f_bq5,f_bq6,f_bq7,f_bq8,f_bq9,f_bq10,f_a1,f_a2,f_a3,f_a4,f_a5,f_a6,f_a7,f_a8,f_a9,f_a10,f_aq1,f_aq2,f_aq3,f_aq4,f_aq5,f_aq6,f_aq7,f_aq8,f_aq9,f_aq10,fr_r,fr_ft
0,7,350,0.01314000,0.01311,-0.2283,1774137104000,0.01313000,8160.40000000,0.01312000,129219.70000000,0.01311000,268068.70000000,0.01310000,143971.90000000,0.01309000,211774.90000000,0.01308000,312851.00000000,0.01307000,158120.20000000,0.01306000,145050.50000000,0.01305000,126379.70000000,0.01304000,441181.30000000,0.01314000,8325.00000000,0.01315000,26296.30000000,0.01316000,42962.10000000,0.01317000,238323.90000000,0.01318000,15923.70000000,0.01319000,179218.20000000,0.01320000,88285.30000000,0.01321000,150797.20000000,0.01322000,116348.50000000,0.01323000,155597.00000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00005,
0,7,350,0.01313000,0.01303,-0.7616,1774137105000,0.01296000,3081.00000000,0.01295000,11149.20000000,0.01294000,89440.50000000,0.01293000,56981.70000000,0.01292000,101889.30000000,0.01291000,197352.70000000,0.01290000,104981.90000000,0.01289000,230859.90000000,0.01288000,8580.50000000,0.01287000,9645.10000000,0.01298000,30935.50000000,0.01299000,56807.40000000,0.01300000,14600051.10000000,0.01301000,8325.00000000,0.01303000,109434.00000000,0.01304000,67972.00000000,0.01305000,45166.60000000,0.01306000,68127.50000000,0.01307000,109434.00000000,0.01308000,68064.00000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00005,
0,7,350,0.01300000,0.01287,-1.0,1774137106000,0.01290000,31879.40000000,0.01289000,27845.20000000,0.01288000,102691.60000000,0.01287000,37836.70000000,0.01286000,35640.10000000,0.01285000,149602.50000000,0.01284000,120534.40000000,0.01283000,150919.00000000,0.01282000,688790.50000000,0.01281000,16767.80000000,0.01291000,67972.00000000,0.01292000,9983.60000000,0.01293000,153114.80000000,0.01294000,116672.70000000,0.01295000,234196.80000000,0.01296000,38720.10000000,0.01297000,229782.40000000,0.01298000,61404.90000000,0.01299000,227439.90000000,0.01300000,14579942.60000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,7,350,0.01298000,0.01292,-0.4622,1774137107000,0.01293000,64413.70000000,0.01292000,184252.80000000,0.01291000,148092.40000000,0.01290000,154379.50000000,0.01289000,200567.40000000,0.01288000,117238.80000000,0.01287000,197401.50000000,0.01286000,64666.50000000,0.01285000,196692.00000000,0.01284000,84707.60000000,0.01296000,72894.10000000,0.01297000,166272.20000000,0.01298000,70794.30000000,0.01299000,260799.10000000,0.01300000,14579942.60000000,0.01301000,143459.40000000,0.01302000,83907.30000000,0.01303000,125369.30000000,0.01304000,84061.50000000,0.01305000,15935.30000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00005,
0,7,350,0.01293000,0.0129,-0.232,1774137108000,0.01292000,43979.20000000,0.01291000,43663.70000000,0.01290000,135016.20000000,0.01289000,95000.70000000,0.01288000,52053.10000000,0.01287000,161478.50000000,0.01286000,166585.00000000,0.01285000,164388.30000000,0.01284000,84707.60000000,0.01283000,202358.50000000,0.01293000,115505.50000000,0.01294000,39212.50000000,0.01295000,154895.90000000,0.01296000,150549.90000000,0.01297000,167387.40000000,0.01298000,120443.90000000,0.01299000,157879.50000000,0.01300000,14580096.80000000,0.01301000,125469.10000000,0.01302000,101843.40000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00005,
0,7,350,0.01293000,0.01293,0.0,1774137109000,0.01293000,42284.30000000,0.01292000,308784.60000000,0.01291000,175978.80000000,0.01290000,262128.00000000,0.01289000,59173.20000000,0.01288000,120025.10000000,0.01287000,262097.20000000,0.01286000,422284.10000000,0.01285000,196692.00000000,0.01284000,50667.20000000,0.01295000,5820.00000000,0.01296000,128751.90000000,0.01297000,205996.80000000,0.01298000,81275.00000000,0.01299000,230314.20000000,0.01300000,14618915.80000000,0.01301000,125469.10000000,0.01302000,101843.40000000,0.01303000,137679.90000000,0.01304000,87463.00000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00005,
0,7,350,0.01294000,0.01293,-0.0773,1774137110000,0.01294000,42557.60000000,0.01293000,96842.80000000,0.01292000,309750.70000000,0.01291000,142656.90000000,0.01290000,279791.20000000,0.01289000,59173.20000000,0.01288000,120025.10000000,0.01287000,227101.60000000,0.01286000,390558.60000000,0.01285000,196692.00000000,0.01296000,108810.80000000,0.01297000,117759.00000000,0.01298000,116243.70000000,0.01299000,230314.20000000,0.01300000,14583974.70000000,0.01301000,125469.10000000,0.01302000,83907.30000000,0.01303000,125369.30000000,0.01304000,87463.00000000,0.01305000,259721.60000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00005,
0,7,350,0.01295000,0.0129,-0.3861,1774137111000,0.01292000,2610.00000000,0.01291000,54610.70000000,0.01290000,124604.10000000,0.01289000,52879.90000000,0.01288000,63623.90000000,0.01287000,297283.80000000,0.01286000,387721.70000000,0.01285000,266156.60000000,0.01284000,129551.50000000,0.01283000,227694.40000000,0.01294000,54391.80000000,0.01295000,135226.70000000,0.01296000,77162.60000000,0.01297000,236631.00000000,0.01298000,87532.10000000,0.01299000,230314.20000000,0.01300000,98411.80000000,0.01301000,125586.70000000,0.01302000,83907.30000000,0.01303000,141969.00000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00005,
0,7,350,0.01295000,0.01292,-0.2317,1774137112000,0.01292000,34399.70000000,0.01291000,133614.80000000,0.01290000,177128.10000000,0.01289000,214014.50000000,0.01288000,217252.80000000,0.01287000,233888.20000000,0.01286000,492344.70000000,0.01285000,119155.60000000,0.01284000,46156.20000000,0.01283000,197896.70000000,0.01294000,14145.00000000,0.01295000,76297.00000000,0.01296000,62263.90000000,0.01297000,271315.30000000,0.01298000,97700.70000000,0.01299000,224907.80000000,0.01300000,60519.80000000,0.01301000,161381.70000000,0.01302000,138208.60000000,0.01303000,141969.00000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00005,
0,7,350,0.01297000,0.01294,-0.2313,1774137113000,0.01295000,81706.70000000,0.01294000,173997.60000000,0.01293000,160205.60000000,0.01292000,175503.70000000,0.01291000,180136.00000000,0.01290000,116234.50000000,0.01289000,169331.30000000,0.01288000,144387.30000000,0.01287000,229292.70000000,0.01286000,426070.90000000,0.01297000,67414.00000000,0.01298000,70933.50000000,0.01299000,115474.20000000,0.01300000,102379.10000000,0.01301000,188576.30000000,0.01302000,120504.20000000,0.01303000,177224.70000000,0.01304000,87463.00000000,0.01305000,260091.50000000,0.01306000,84062.80000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00005,
0,7,350,0.01294000,0.01294,0.0,1774137114000,0.01295000,2668.60000000,0.01294000,219480.70000000,0.01293000,125954.40000000,0.01292000,86514.40000000,0.01291000,217762.10000000,0.01290000,116709.90000000,0.01289000,168820.50000000,0.01288000,124482.30000000,0.01287000,236398.30000000,0.01286000,372864.70000000,0.01296000,32994.80000000,0.01297000,43514.10000000,0.01298000,76836.90000000,0.01299000,80230.20000000,0.01300000,120763.90000000,0.01301000,188554.80000000,0.01302000,117362.30000000,0.01303000,202470.40000000,0.01304000,83907.30000000,0.01305000,242049.40000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,7,350,0.01297000,0.01294,-0.2313,1774137115000,0.01295000,49883.80000000,0.01294000,203191.60000000,0.01293000,192798.80000000,0.01292000,129932.50000000,0.01291000,217762.10000000,0.01290000,116709.90000000,0.01289000,168820.50000000,0.01288000,124482.30000000,0.01287000,221259.40000000,0.01286000,401393.80000000,0.01297000,50636.80000000,0.01298000,164389.70000000,0.01299000,163781.30000000,0.01300000,155705.70000000,0.01301000,153653.80000000,0.01302000,125078.30000000,0.01303000,205791.80000000,0.01304000,116927.10000000,0.01305000,15935.30000000,0.01306000,84062.80000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00005,
0,7,350,0.01297000,0.01294,-0.2313,1774137116000,0.01294000,100084.80000000,0.01293000,125954.40000000,0.01292000,86514.40000000,0.01291000,217762.10000000,0.01290000,151669.80000000,0.01289000,221902.80000000,0.01288000,159439.20000000,0.01287000,221259.40000000,0.01286000,403242.80000000,0.01285000,171702.30000000,0.01296000,31391.10000000,0.01297000,42358.30000000,0.01298000,164389.70000000,0.01299000,200249.30000000,0.01300000,155720.80000000,0.01301000,198820.40000000,0.01302000,125078.30000000,0.01303000,133796.20000000,0.01304000,86208.30000000,0.01305000,15935.30000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00005,
0,7,350,0.01296000,0.01294,-0.1543,1774137117000,0.01294000,100084.80000000,0.01293000,125954.40000000,0.01292000,142172.20000000,0.01291000,217762.10000000,0.01290000,151669.80000000,0.01289000,221902.80000000,0.01288000,159439.20000000,0.01287000,221259.40000000,0.01286000,403242.80000000,0.01285000,171702.30000000,0.01296000,5929.60000000,0.01297000,80874.30000000,0.01298000,164389.70000000,0.01299000,182744.00000000,0.01300000,155720.80000000,0.01301000,198820.40000000,0.01302000,125078.30000000,0.01303000,177207.90000000,0.01304000,86208.30000000,0.01305000,15935.30000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,7,350,0.01279000,0.01279,0.0,1774137118000,0.01277000,110695.70000000,0.01276000,31365.80000000,0.01275000,51507.00000000,0.01274000,54814.30000000,0.01273000,119841.80000000,0.01272000,55606.90000000,0.01271000,118908.30000000,0.01270000,62841.20000000,0.01269000,109053.60000000,0.01268000,9137.70000000,0.01279000,1005.00000000,0.01280000,57605.40000000,0.01281000,55606.90000000,0.01282000,115801.60000000,0.01283000,41669.20000000,0.01284000,116179.60000000,0.01285000,221671.90000000,0.01286000,131556.80000000,0.01287000,136914.70000000,0.01288000,76453.60000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00005,
0,7,350,0.01279000,0.01276,-0.2346,1774137119000,0.01276000,377954.20000000,0.01275000,12590.60000000,0.01274000,62769.20000000,0.01273000,49046.30000000,0.01272000,91038.50000000,0.01271000,120467.90000000,0.01270000,136642.80000000,0.01269000,464978.00000000,0.01268000,44759.50000000,0.01267000,12861.20000000,0.01277000,30653.70000000,0.01278000,15592.50000000,0.01279000,62061.50000000,0.01280000,120496.40000000,0.01281000,40639.50000000,0.01282000,233491.60000000,0.01283000,41669.20000000,0.01284000,236099.80000000,0.01285000,113974.80000000,0.01286000,272245.50000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00005,
0,7,350,0.01277000,0.01276,-0.0783,1774137120000,0.01275000,218858.80000000,0.01274000,133601.70000000,0.01273000,63087.40000000,0.01272000,177973.70000000,0.01271000,94240.10000000,0.01270000,151361.50000000,0.01269000,424975.10000000,0.01268000,76297.00000000,0.01267000,8325.00000000,0.01266000,157732.70000000,0.01278000,51939.90000000,0.01279000,17793.20000000,0.01280000,202037.20000000,0.01281000,80580.40000000,0.01282000,239282.40000000,0.01283000,53979.80000000,0.01284000,212133.30000000,0.01285000,89949.80000000,0.01286000,283395.90000000,0.01287000,52270.50000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00005,
0,7,350,0.01278000,0.01274,-0.313,1774137121000,0.01275000,1448.70000000,0.01274000,45710.00000000,0.01273000,117442.40000000,0.01272000,55471.80000000,0.01271000,81291.80000000,0.01270000,72709.80000000,0.01269000,405032.90000000,0.01268000,42285.20000000,0.01267000,8325.00000000,0.01266000,103202.80000000,0.01277000,76297.00000000,0.01279000,78056.30000000,0.01280000,123847.80000000,0.01281000,49722.60000000,0.01282000,203822.40000000,0.01283000,53979.80000000,0.01284000,257810.70000000,0.01285000,58765.60000000,0.01286000,235911.30000000,0.01287000,43672.70000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,7,350,0.01277000,0.01277,0.0,1774137122000,0.01279000,513.50000000,0.01278000,35049.10000000,0.01277000,82497.90000000,0.01276000,56167.20000000,0.01275000,123272.00000000,0.01274000,219744.30000000,0.01273000,117803.20000000,0.01272000,43683.90000000,0.01271000,69294.00000000,0.01270000,101080.50000000,0.01280000,8325.00000000,0.01281000,63231.20000000,0.01282000,109546.20000000,0.01283000,62623.00000000,0.01284000,224600.70000000,0.01285000,104443.00000000,0.01286000,232818.20000000,0.01287000,41236.50000000,0.01288000,111796.40000000,0.01289000,68608.60000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00005,
0,7,350,0.01278000,0.01278,0.0,1774137123000,0.01278000,43455.10000000,0.01277000,101563.70000000,0.01276000,156431.90000000,0.01275000,109764.60000000,0.01274000,88214.30000000,0.01273000,109871.00000000,0.01272000,64294.40000000,0.01271000,145435.90000000,0.01270000,100393.60000000,0.01269000,358039.60000000,0.01280000,8325.00000000,0.01281000,76608.90000000,0.01282000,119416.70000000,0.01283000,124584.40000000,0.01284000,189525.80000000,0.01285000,104443.00000000,0.01286000,232818.20000000,0.01287000,74405.10000000,0.01288000,142665.10000000,0.01289000,68774.70000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,7,350,0.01279000,0.01276,-0.2346,1774137124000,0.01277000,18915.00000000,0.01276000,125281.80000000,0.01275000,175477.80000000,0.01274000,80292.70000000,0.01273000,8325.00000000,0.01272000,101085.40000000,0.01271000,137871.20000000,0.01270000,159133.00000000,0.01269000,304120.00000000,0.01268000,8325.00000000,0.01280000,46575.40000000,0.01281000,54025.90000000,0.01282000,126911.40000000,0.01283000,52435.00000000,0.01284000,233570.10000000,0.01285000,57823.60000000,0.01286000,230744.70000000,0.01287000,42565.80000000,0.01288000,76475.60000000,0.01289000,136276.90000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00005,
0,7,350,0.01280000,0.01275,-0.3906,1774137125000,0.01277000,37026.00000000,0.01276000,72580.40000000,0.01275000,124917.70000000,0.01274000,56325.80000000,0.01273000,53122.80000000,0.01272000,141186.70000000,0.01271000,184347.60000000,0.01270000,100393.60000000,0.01269000,358543.90000000,0.01268000,12842.60000000,0.01279000,8325.00000000,0.01280000,83563.40000000,0.01281000,107729.10000000,0.01282000,298010.90000000,0.01283000,95327.70000000,0.01284000,235790.50000000,0.01285000,112322.30000000,0.01286000,265164.10000000,0.01287000,43874.50000000,0.01288000,117193.90000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,7,350,0.01280000,0.01278,-0.1563,1774137126000,0.01278000,5820.00000000,0.01277000,139205.00000000,0.01276000,57010.50000000,0.01275000,60152.50000000,0.01274000,108639.20000000,0.01273000,117412.10000000,0.01272000,179517.80000000,0.01271000,167109.80000000,0.01270000,32421.60000000,0.01269000,82813.20000000,0.01279000,8325.00000000,0.01280000,62696.00000000,0.01281000,116025.90000000,0.01282000,74016.30000000,0.01283000,181976.10000000,0.01284000,50652.80000000,0.01285000,119549.10000000,0.01286000,100765.20000000,0.01287000,54193.60000000,0.01288000,244739.30000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00005,
