spot_source_id,fut_source_id,symbol_id,ask_spot,bid_futures,spread_pct,ts,s_b1,s_b2,s_b3,s_b4,s_b5,s_b6,s_b7,s_b8,s_b9,s_b10,s_bq1,s_bq2,s_bq3,s_bq4,s_bq5,s_bq6,s_bq7,s_bq8,s_bq9,s_bq10,s_a1,s_a2,s_a3,s_a4,s_a5,s_a6,s_a7,s_a8,s_a9,s_a10,s_aq1,s_aq2,s_aq3,s_aq4,s_aq5,s_aq6,s_aq7,s_aq8,s_aq9,s_aq10,f_b1,f_b2,f_b3,f_b4,f_b5,f_b6,f_b7,f_b8,f_b9,f_b10,f_bq1,f_bq2,f_bq3,f_bq4,f_bq5,f_bq6,f_bq7,f_bq8,f_bq9,f_bq10,f_a1,f_a2,f_a3,f_a4,f_a5,f_a6,f_a7,f_a8,f_a9,f_a10,f_aq1,f_aq2,f_aq3,f_aq4,f_aq5,f_aq6,f_aq7,f_aq8,f_aq9,f_aq10,fr_r,fr_ft
0,5,54,0.68200000,0.6796,-0.3519,1774137100000,0.68000000,68352.95000000,0.67900000,59861.96000000,0.67800000,74336.91000000,0.67700000,52644.93000000,0.67600000,114752.15000000,0.67500000,68461.10000000,0.67400000,40185.10000000,0.67300000,28986.89000000,0.67200000,71332.24000000,0.67100000,49622.45000000,0.68100000,17956.35000000,0.68200000,63071.54000000,0.68300000,106253.00000000,0.68400000,94538.60000000,0.68500000,85000.79000000,0.68600000,23540.25000000,0.68700000,28255.03000000,0.68800000,18419.31000000,0.68900000,56729.17000000,0.69000000,39571.47000000,0.6795,10838,0.6794,5282,0.6793,8046,0.6792,16196,0.6791,28226,0.679,20908,0.6789,20988,0.6788,19242,0.6787,14910,0.6786,27559,0.6796,1825,0.6797,2216,0.6798,9084,0.6799,14175,0.68,13137,0.6801,10252,0.6802,21294,0.6803,17429,0.6804,20439,0.6805,16775,,
0,5,54,0.68100000,0.6795,-0.2203,1774137101000,0.68000000,57419.00000000,0.67900000,56586.82000000,0.67800000,61289.93000000,0.67700000,65802.67000000,0.67600000,114909.11000000,0.67500000,67961.10000000,0.67400000,39992.68000000,0.67300000,29179.31000000,0.67200000,71332.24000000,0.67100000,53296.21000000,0.68100000,35021.34000000,0.68200000,64627.72000000,0.68300000,107138.17000000,0.68400000,95518.16000000,0.68500000,76881.64000000,0.68600000,22598.98000000,0.68700000,28549.44000000,0.68800000,41320.05000000,0.68900000,54895.06000000,0.69000000,39660.67000000,0.6795,10838,0.6794,5282,0.6793,7458,0.6792,15011,0.6791,25188,0.679,20908,0.6789,20988,0.6788,19242,0.6787,14910,0.6786,27559,0.6796,1825,0.6797,2216,0.6798,9084,0.6799,14175,0.68,13137,0.6801,10252,0.6802,19794,0.6803,15929,0.6804,20439,0.6805,16775,,
0,5,54,0.68100000,0.6792,-0.2643,1774137102000,0.68000000,57807.52000000,0.67900000,56075.09000000,0.67800000,61289.93000000,0.67700000,65802.67000000,0.67600000,114909.11000000,0.67500000,67961.10000000,0.67400000,39089.75000000,0.67300000,29179.31000000,0.67200000,72237.86000000,0.67100000,53296.21000000,0.68100000,36865.22000000,0.68200000,73608.49000000,0.68300000,127268.92000000,0.68400000,95518.16000000,0.68500000,72833.47000000,0.68600000,22598.98000000,0.68700000,28549.44000000,0.68800000,41320.05000000,0.68900000,54895.06000000,0.69000000,39660.67000000,0.6794,854,0.6793,799,0.6792,5237,0.6791,19365,0.679,8333,0.6789,17895,0.6788,20550,0.6787,16495,0.6786,24007,0.6785,23568,0.6795,9373,0.6796,19548,0.6797,8446,0.6798,10726,0.6799,13440,0.68,38069,0.6801,10222,0.6802,24324,0.6803,16702,0.6804,18245,,
0,5,54,0.68100000,0.6795,-0.2203,1774137103000,0.68000000,52112.56000000,0.67900000,57188.06000000,0.67800000,64113.66000000,0.67700000,65802.67000000,0.67600000,115088.86000000,0.67500000,67961.10000000,0.67400000,40203.10000000,0.67300000,29179.31000000,0.67200000,72237.86000000,0.67100000,53296.21000000,0.68100000,41320.26000000,0.68200000,69172.39000000,0.68300000,127268.92000000,0.68400000,95518.16000000,0.68500000,72833.47000000,0.68600000,22598.98000000,0.68700000,28549.44000000,0.68800000,41320.05000000,0.68900000,54895.06000000,0.69000000,39660.67000000,0.6795,207,0.6794,1357,0.6793,8320,0.6792,10651,0.6791,12435,0.679,23156,0.6789,19357,0.6788,25640,0.6787,13391,0.6786,22336,0.6796,10261,0.6797,8015,0.6798,16174,0.6799,13565,0.68,27383,0.6801,11780,0.6802,22340,0.6803,17099,0.6804,20463,0.6805,18246,,
0,5,54,0.68100000,0.6793,-0.2496,1774137104000,0.68000000,46985.91000000,0.67900000,53987.82000000,0.67800000,64682.03000000,0.67700000,65802.67000000,0.67600000,114909.11000000,0.67500000,61961.10000000,0.67400000,45089.75000000,0.67300000,29179.31000000,0.67200000,72237.86000000,0.67100000,53296.21000000,0.68100000,60397.91000000,0.68200000,69172.39000000,0.68300000,130634.52000000,0.68400000,91466.25000000,0.68500000,55225.26000000,0.68600000,22598.98000000,0.68700000,28549.44000000,0.68800000,41320.05000000,0.68900000,54895.06000000,0.69000000,39660.67000000,0.6793,78,0.6792,2704,0.6791,4380,0.679,4574,0.6789,16328,0.6788,17647,0.6787,11430,0.6786,25465,0.6785,26018,0.6784,19485,0.6794,8373,0.6795,19123,0.6796,10218,0.6797,13670,0.6798,37404,0.6799,13390,0.68,14230,0.6801,14467,0.6802,22564,0.6803,15957,,
0,5,54,0.68100000,0.6787,-0.3377,1774137105000,0.67900000,50403.43000000,0.67800000,63167.72000000,0.67700000,65441.85000000,0.67600000,114940.09000000,0.67500000,67194.97000000,0.67400000,50273.65000000,0.67300000,30746.41000000,0.67200000,72237.86000000,0.67100000,53296.21000000,0.67000000,69282.10000000,0.68000000,32791.32000000,0.68100000,75105.86000000,0.68200000,62600.97000000,0.68300000,96039.64000000,0.68400000,75529.99000000,0.68500000,49052.42000000,0.68600000,18731.84000000,0.68700000,20925.72000000,0.68800000,41320.05000000,0.68900000,53228.20000000,0.6789,1117,0.6788,7745,0.6787,7816,0.6786,5801,0.6785,19742,0.6784,4847,0.6783,26088,0.6782,18041,0.6781,14548,0.678,28615,0.679,4737,0.6791,10570,0.6792,21079,0.6793,9879,0.6794,24124,0.6795,15694,0.6796,16803,0.6797,17948,0.6798,17733,0.6799,17995,,
0,5,54,0.68000000,0.6784,-0.2353,1774137106000,0.67900000,31075.02000000,0.67800000,56403.37000000,0.67700000,57959.75000000,0.67600000,60133.15000000,0.67500000,67194.97000000,0.67400000,113969.65000000,0.67300000,34262.51000000,0.67200000,72063.76000000,0.67100000,53296.21000000,0.67000000,73328.37000000,0.68000000,64523.30000000,0.68100000,78590.64000000,0.68200000,78732.65000000,0.68300000,96977.95000000,0.68400000,49852.03000000,0.68500000,49063.79000000,0.68600000,18617.92000000,0.68700000,50485.64000000,0.68800000,41330.33000000,0.68900000,53228.20000000,0.6783,445,0.6782,2672,0.6781,4697,0.678,16829,0.6779,9711,0.6778,43945,0.6777,19831,0.6776,18940,0.6775,19357,0.6774,19227,0.6784,3570,0.6785,9314,0.6786,19024,0.6787,7618,0.6788,15041,0.6789,13402,0.679,12996,0.6791,19448,0.6792,23588,0.6793,12160,,
0,5,54,0.68000000,0.679,-0.1471,1774137107000,0.67900000,40589.94000000,0.67800000,58246.24000000,0.67700000,55597.23000000,0.67600000,60273.82000000,0.67500000,72623.65000000,0.67400000,109567.60000000,0.67300000,29853.99000000,0.67200000,72063.76000000,0.67100000,53296.21000000,0.67000000,69649.20000000,0.68000000,39586.32000000,0.68100000,82696.69000000,0.68200000,82765.19000000,0.68300000,99425.10000000,0.68400000,67625.99000000,0.68500000,49052.42000000,0.68600000,18617.92000000,0.68700000,50485.64000000,0.68800000,41330.33000000,0.68900000,53228.20000000,0.6789,1493,0.6788,3313,0.6787,8149,0.6786,10368,0.6785,10713,0.6784,11856,0.6783,9945,0.6782,25547,0.6781,10082,0.678,24979,0.679,4317,0.6791,11981,0.6792,18506,0.6793,8471,0.6794,27249,0.6795,14564,0.6796,15906,0.6797,20602,0.6798,20788,0.6799,18801,,
0,5,54,0.68000000,0.679,-0.1471,1774137108000,0.67900000,46271.33000000,0.67800000,58902.04000000,0.67700000,69168.25000000,0.67600000,46648.92000000,0.67500000,72694.25000000,0.67400000,109558.16000000,0.67300000,30046.97000000,0.67200000,71871.06000000,0.67100000,53296.21000000,0.67000000,69649.20000000,0.68000000,13058.73000000,0.68100000,94404.24000000,0.68200000,69863.89000000,0.68300000,92976.38000000,0.68400000,67746.09000000,0.68500000,48721.86000000,0.68600000,18617.92000000,0.68700000,50727.72000000,0.68800000,41346.19000000,0.68900000,56901.96000000,0.6788,6484,0.6787,3789,0.6786,4744,0.6785,17878,0.6784,15432,0.6783,13127,0.6782,18892,0.6781,19248,0.678,25332,0.6779,18924,0.6789,140,0.679,27,0.6791,5951,0.6792,16855,0.6793,13780,0.6794,9702,0.6795,10991,0.6796,23204,0.6797,13510,0.6798,16415,,
0,5,54,0.68000000,0.679,-0.1471,1774137109000,0.67900000,51076.76000000,0.67800000,54100.62000000,0.67700000,69168.25000000,0.67600000,46648.92000000,0.67500000,72694.25000000,0.67400000,109558.16000000,0.67300000,30046.97000000,0.67200000,71871.06000000,0.67100000,53296.21000000,0.67000000,69649.20000000,0.68000000,14026.43000000,0.68100000,94740.13000000,0.68200000,90357.17000000,0.68300000,92976.38000000,0.68400000,67746.09000000,0.68500000,48732.13000000,0.68600000,18617.92000000,0.68700000,56727.72000000,0.68800000,35346.19000000,0.68900000,56901.96000000,0.679,1242,0.6789,6055,0.6788,10368,0.6787,5532,0.6786,11582,0.6785,15886,0.6784,14218,0.6783,19681,0.6782,26520,0.6781,16830,0.6791,3675,0.6792,11681,0.6793,9601,0.6794,9994,0.6795,9734,0.6796,21010,0.6797,13974,0.6798,14281,0.6799,20742,0.68,18793,,
0,5,54,0.68000000,0.6789,-0.1618,1774137110000,0.67900000,42509.65000000,0.67800000,59455.73000000,0.67700000,69168.25000000,0.67600000,47228.21000000,0.67500000,84280.05000000,0.67400000,109558.16000000,0.67300000,34461.98000000,0.67200000,71871.06000000,0.67100000,53296.21000000,0.67000000,69649.20000000,0.68000000,24430.90000000,0.68100000,95874.64000000,0.68200000,82038.02000000,0.68300000,92976.38000000,0.68400000,67846.09000000,0.68500000,48721.86000000,0.68600000,18959.20000000,0.68700000,56727.72000000,0.68800000,35346.19000000,0.68900000,53228.20000000,0.6789,114,0.6788,985,0.6787,7732,0.6786,11374,0.6785,16081,0.6784,14152,0.6783,19352,0.6782,24421,0.6781,17014,0.678,19027,0.679,6022,0.6791,5055,0.6792,15080,0.6793,12403,0.6794,9573,0.6795,10475,0.6796,20417,0.6797,13822,0.6798,14281,0.6799,20740,,
0,5,54,0.68000000,0.6789,-0.1618,1774137111000,0.67900000,43514.72000000,0.67800000,60460.80000000,0.67700000,70173.32000000,0.67600000,53106.41000000,0.67500000,78487.15000000,0.67400000,109558.16000000,0.67300000,34461.98000000,0.67200000,71871.06000000,0.67100000,53296.21000000,0.67000000,69649.20000000,0.68000000,25093.92000000,0.68100000,102524.11000000,0.68200000,82038.02000000,0.68300000,93054.21000000,0.68400000,67768.26000000,0.68500000,48721.86000000,0.68600000,18959.20000000,0.68700000,56727.72000000,0.68800000,35346.19000000,0.68900000,53228.20000000,0.6789,90,0.6788,26,0.6787,4871,0.6786,13537,0.6785,15502,0.6784,14152,0.6783,19536,0.6782,24421,0.6781,16830,0.678,19027,0.679,7312,0.6791,5055,0.6792,15228,0.6793,12841,0.6794,27644,0.6795,12669,0.6796,20265,0.6797,11628,0.6798,16260,0.6799,20740,,
0,5,54,0.68000000,0.6788,-0.1765,1774137112000,0.67900000,43883.56000000,0.67800000,60460.80000000,0.67700000,70173.32000000,0.67600000,53106.41000000,0.67500000,78487.15000000,0.67400000,109558.16000000,0.67300000,34269.00000000,0.67200000,72064.04000000,0.67100000,53296.21000000,0.67000000,69649.20000000,0.68000000,26710.63000000,0.68100000,104851.03000000,0.68200000,78994.96000000,0.68300000,93054.21000000,0.68400000,67768.26000000,0.68500000,43592.42000000,0.68600000,18959.20000000,0.68700000,56727.72000000,0.68800000,35346.19000000,0.68900000,53228.20000000,0.6788,76,0.6787,17,0.6786,7918,0.6785,15151,0.6784,11584,0.6783,18116,0.6782,24421,0.6781,17014,0.678,21007,0.6779,19184,0.6789,8576,0.679,13306,0.6791,13639,0.6792,13443,0.6793,18653,0.6794,30842,0.6795,11198,0.6796,20265,0.6797,11628,0.6798,18085,,
0,5,54,0.68000000,0.6788,-0.1765,1774137113000,0.67900000,44271.39000000,0.67800000,60460.80000000,0.67700000,70173.32000000,0.67600000,53106.41000000,0.67500000,78487.15000000,0.67400000,109558.16000000,0.67300000,34269.00000000,0.67200000,72064.04000000,0.67100000,53296.21000000,0.67000000,69649.20000000,0.68000000,26162.63000000,0.68100000,104786.11000000,0.68200000,78994.96000000,0.68300000,93054.21000000,0.68400000,67768.26000000,0.68500000,43592.42000000,0.68600000,18959.20000000,0.68700000,56727.72000000,0.68800000,35346.19000000,0.68900000,53228.20000000,0.6788,5732,0.6787,6715,0.6786,8028,0.6785,15007,0.6784,18452,0.6783,18446,0.6782,24276,0.6781,16830,0.678,21007,0.6779,19184,0.6789,57,0.679,4157,0.6791,13075,0.6792,8445,0.6793,12642,0.6794,9759,0.6795,12670,0.6796,20265,0.6797,11628,0.6798,16260,,
0,5,54,0.68000000,0.6791,-0.1324,1774137114000,0.67900000,43624.55000000,0.67800000,60468.23000000,0.67700000,70173.32000000,0.67600000,53205.99000000,0.67500000,78487.15000000,0.67400000,109558.16000000,0.67300000,34269.00000000,0.67200000,72064.04000000,0.67100000,53296.21000000,0.67000000,69649.20000000,0.68000000,26378.08000000,0.68100000,98533.93000000,0.68200000,89464.22000000,0.68300000,93054.21000000,0.68400000,67768.26000000,0.68500000,39543.87000000,0.68600000,18959.20000000,0.68700000,56727.72000000,0.68800000,35389.00000000,0.68900000,53228.20000000,0.6791,72,0.679,136,0.6789,7997,0.6788,13174,0.6787,6007,0.6786,11351,0.6785,12831,0.6784,14151,0.6783,22072,0.6782,24277,0.6792,3865,0.6793,10029,0.6794,14861,0.6795,10144,0.6796,43801,0.6797,11628,0.6798,16985,0.6799,20742,0.68,19531,0.6801,15469,,
0,5,54,0.68000000,0.6789,-0.1618,1774137115000,0.67900000,43550.97000000,0.67800000,60468.23000000,0.67700000,70173.32000000,0.67600000,53205.99000000,0.67500000,78487.15000000,0.67400000,109558.16000000,0.67300000,34269.00000000,0.67200000,72064.04000000,0.67100000,53296.21000000,0.67000000,69649.20000000,0.68000000,26710.63000000,0.68100000,104348.50000000,0.68200000,83056.46000000,0.68300000,93054.21000000,0.68400000,67768.26000000,0.68500000,35495.92000000,0.68600000,18959.20000000,0.68700000,56727.72000000,0.68800000,35389.00000000,0.68900000,53228.20000000,0.6789,33,0.6788,17,0.6787,5378,0.6786,13513,0.6785,12831,0.6784,11584,0.6783,22661,0.6782,26795,0.6781,17014,0.678,21007,0.679,10995,0.6791,3779,0.6792,15044,0.6793,12775,0.6794,22574,0.6795,11323,0.6796,21726,0.6797,13605,0.6798,18810,0.6799,20742,,
0,5,54,0.68000000,0.6789,-0.1618,1774137116000,0.67900000,43477.39000000,0.67800000,60468.23000000,0.67700000,70173.32000000,0.67600000,53250.78000000,0.67500000,78487.15000000,0.67400000,103558.16000000,0.67300000,40269.00000000,0.67200000,72064.04000000,0.67100000,53296.21000000,0.67000000,69649.20000000,0.68000000,26742.63000000,0.68100000,104348.50000000,0.68200000,87117.36000000,0.68300000,93054.21000000,0.68400000,67768.26000000,0.68500000,35495.92000000,0.68600000,18959.20000000,0.68700000,56727.72000000,0.68800000,35389.00000000,0.68900000,53228.20000000,0.6789,49,0.6788,17,0.6787,4417,0.6786,7894,0.6785,12524,0.6784,11584,0.6783,19171,0.6782,24093,0.6781,16831,0.678,24825,0.679,11301,0.6791,6217,0.6792,12252,0.6793,12613,0.6794,25157,0.6795,11717,0.6796,21282,0.6797,15430,0.6798,18810,0.6799,20742,,
0,5,54,0.68000000,0.6789,-0.1618,1774137117000,0.67900000,43477.39000000,0.67800000,60468.23000000,0.67700000,70173.32000000,0.67600000,53250.78000000,0.67500000,78487.15000000,0.67400000,103558.16000000,0.67300000,40269.00000000,0.67200000,72064.04000000,0.67100000,53296.21000000,0.67000000,69649.20000000,0.68000000,26742.63000000,0.68100000,104348.50000000,0.68200000,87117.36000000,0.68300000,92268.85000000,0.68400000,67768.26000000,0.68500000,35507.39000000,0.68600000,18959.20000000,0.68700000,56727.72000000,0.68800000,35389.00000000,0.68900000,53228.20000000,0.6789,1060,0.6788,17,0.6787,3878,0.6786,14925,0.6785,12524,0.6784,11584,0.6783,19323,0.6782,24093,0.6781,16831,0.678,24825,0.679,11311,0.6791,6217,0.6792,12253,0.6793,12613,0.6794,32515,0.6795,12491,0.6796,21282,0.6797,15430,0.6798,18810,0.6799,18506,,
0,5,54,0.68000000,0.6789,-0.1618,1774137118000,0.67900000,43477.39000000,0.67800000,60468.23000000,0.67700000,70173.32000000,0.67600000,53151.20000000,0.67500000,78487.15000000,0.67400000,103558.16000000,0.67300000,40269.00000000,0.67200000,72064.04000000,0.67100000,53296.21000000,0.67000000,69649.20000000,0.68000000,26710.63000000,0.68100000,102870.74000000,0.68200000,87117.36000000,0.68300000,92268.85000000,0.68400000,67768.26000000,0.68500000,35495.92000000,0.68600000,18959.20000000,0.68700000,57227.72000000,0.68800000,35389.00000000,0.68900000,52728.20000000,0.6789,1116,0.6788,17,0.6787,6008,0.6786,14921,0.6785,12691,0.6784,11902,0.6783,20979,0.6782,24093,0.6781,16831,0.678,24825,0.679,6342,0.6791,4027,0.6792,12722,0.6793,12619,0.6794,18846,0.6795,10246,0.6796,21282,0.6797,17676,0.6798,18810,0.6799,18506,,
0,5,54,0.68000000,0.6789,-0.1618,1774137119000,0.67900000,43236.72000000,0.67800000,60468.23000000,0.67700000,66562.00000000,0.67600000,53151.20000000,0.67500000,78487.15000000,0.67400000,103558.16000000,0.67300000,40269.00000000,0.67200000,72064.04000000,0.67100000,53296.21000000,0.67000000,69649.20000000,0.68000000,28694.22000000,0.68100000,102948.57000000,0.68200000,86442.56000000,0.68300000,92771.81000000,0.68400000,67768.26000000,0.68500000,35507.39000000,0.68600000,18959.20000000,0.68700000,57227.72000000,0.68800000,34506.00000000,0.68900000,52728.20000000,0.6789,1117,0.6788,15,0.6787,7213,0.6786,14206,0.6785,15716,0.6784,11902,0.6783,20980,0.6782,20980,0.6781,16831,0.678,24825,0.679,11989,0.6791,11695,0.6792,12559,0.6793,12467,0.6794,24649,0.6795,11718,0.6796,21282,0.6797,17676,0.6798,18810,0.6799,19095,,
