spot_source_id,fut_source_id,symbol_id,ask_spot,bid_futures,spread_pct,ts,s_b1,s_b2,s_b3,s_b4,s_b5,s_b6,s_b7,s_b8,s_b9,s_b10,s_bq1,s_bq2,s_bq3,s_bq4,s_bq5,s_bq6,s_bq7,s_bq8,s_bq9,s_bq10,s_a1,s_a2,s_a3,s_a4,s_a5,s_a6,s_a7,s_a8,s_a9,s_a10,s_aq1,s_aq2,s_aq3,s_aq4,s_aq5,s_aq6,s_aq7,s_aq8,s_aq9,s_aq10,f_b1,f_b2,f_b3,f_b4,f_b5,f_b6,f_b7,f_b8,f_b9,f_b10,f_bq1,f_bq2,f_bq3,f_bq4,f_bq5,f_bq6,f_bq7,f_bq8,f_bq9,f_bq10,f_a1,f_a2,f_a3,f_a4,f_a5,f_a6,f_a7,f_a8,f_a9,f_a10,f_aq1,f_aq2,f_aq3,f_aq4,f_aq5,f_aq6,f_aq7,f_aq8,f_aq9,f_aq10,fr_r,fr_ft
0,5,166,0.09258000,0.09252,-0.0648,1774137100000,0.09257000,26875.00000000,0.09256000,10547.00000000,0.09255000,557.00000000,0.09254000,24684.00000000,0.09253000,185962.00000000,0.09252000,405524.00000000,0.09251000,157395.00000000,0.09250000,1008151.00000000,0.09249000,431380.00000000,0.09248000,589841.00000000,0.09258000,43251.00000000,0.09259000,132300.00000000,0.09260000,138346.00000000,0.09261000,689147.00000000,0.09262000,175688.00000000,0.09263000,203390.00000000,0.09264000,268976.00000000,0.09265000,557272.00000000,0.09266000,596541.00000000,0.09267000,210752.00000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,5,166,0.09259000,0.09251,-0.0864,1774137101000,0.09255000,340594.00000000,0.09254000,196379.00000000,0.09253000,316178.00000000,0.09252000,86756.00000000,0.09251000,759320.00000000,0.09250000,990809.00000000,0.09249000,641821.00000000,0.09248000,303685.00000000,0.09247000,460085.00000000,0.09246000,472011.00000000,0.09256000,262.00000000,0.09257000,38966.00000000,0.09258000,128824.00000000,0.09259000,172060.00000000,0.09260000,202579.00000000,0.09261000,452276.00000000,0.09262000,623730.00000000,0.09263000,282002.00000000,0.09264000,223603.00000000,0.09265000,602364.00000000,0.09251,109.7,0.0925,450.58,0.09249,602.87,0.09248,713.32,0.09247,964.73,0.09246,820.26,0.09245,865.44,0.09244,962.98,0.09243,1036.64,0.09242,1223.78,0.09252,629.11,0.09253,531.22,0.09254,962.46,0.09255,1664.82,0.09256,1400.12,0.09257,984.69,0.09258,1069.54,0.09259,966.83,0.0926,1167.2,0.09261,776.36,,
0,5,166,0.09251000,0.09239,-0.1297,1774137102000,0.09253000,178797.00000000,0.09252000,159585.00000000,0.09251000,138582.00000000,0.09250000,128264.00000000,0.09249000,140787.00000000,0.09248000,97981.00000000,0.09247000,718224.00000000,0.09246000,184994.00000000,0.09245000,497523.00000000,0.09244000,294937.00000000,0.09254000,24.00000000,0.09255000,3869.00000000,0.09256000,184.00000000,0.09257000,61576.00000000,0.09258000,160395.00000000,0.09259000,171044.00000000,0.09260000,119672.00000000,0.09261000,375031.00000000,0.09262000,147306.00000000,0.09263000,449603.00000000,0.09238,475.87,0.09237,333.64,0.09236,274.49,0.09235,564.75,0.09234,566.24,0.09233,730.62,0.09232,904.83,0.09231,799.88,0.0923,1058.35,0.09229,574.14,0.09239,215.67,0.0924,688.2,0.09241,563.63,0.09242,833.27,0.09243,1087.78,0.09244,906.22,0.09245,746.06,0.09246,1093.38,0.09247,833.53,0.09248,1098.97,,
0,5,166,0.09250000,0.09244,-0.0649,1774137103000,0.09249000,59678.00000000,0.09248000,95874.00000000,0.09247000,518301.00000000,0.09246000,428001.00000000,0.09245000,518750.00000000,0.09244000,444516.00000000,0.09243000,643323.00000000,0.09242000,252642.00000000,0.09241000,630426.00000000,0.09240000,609308.00000000,0.09250000,59353.00000000,0.09251000,91875.00000000,0.09252000,175439.00000000,0.09253000,171070.00000000,0.09254000,84286.00000000,0.09255000,381590.00000000,0.09256000,139696.00000000,0.09257000,326189.00000000,0.09258000,799102.00000000,0.09259000,317864.00000000,0.09244,193.33,0.09243,334.58,0.09242,973.94,0.09241,915.93,0.0924,875.54,0.09239,873.08,0.09238,859.31,0.09237,619.21,0.09236,793.28,0.09235,766.49,0.09245,431.61,0.09246,680.04,0.09247,1405.95,0.09248,1100.2,0.09249,589.91,0.0925,1019,0.09251,908.22,0.09252,977.13,0.09253,730.1,0.09254,948.88,,
0,5,166,0.09249000,0.09241,-0.0865,1774137104000,0.09248000,74349.00000000,0.09247000,88882.00000000,0.09246000,917080.00000000,0.09245000,557183.00000000,0.09244000,506142.00000000,0.09243000,608689.00000000,0.09242000,236835.00000000,0.09241000,554564.00000000,0.09240000,672627.00000000,0.09239000,827196.00000000,0.09249000,89684.00000000,0.09250000,148751.00000000,0.09251000,215109.00000000,0.09252000,414508.00000000,0.09253000,185700.00000000,0.09254000,158050.00000000,0.09255000,380734.00000000,0.09256000,93224.00000000,0.09257000,366479.00000000,0.09258000,834727.00000000,0.09241,188.02,0.0924,407.69,0.09239,771.89,0.09238,848.48,0.09237,654.86,0.09236,807.67,0.09235,752.93,0.09234,754.18,0.09233,672.16,0.09232,1042.02,0.09242,297.03,0.09243,426.53,0.09244,1345.74,0.09245,1344.92,0.09246,942.55,0.09247,1217.07,0.09248,1051.49,0.09249,668.15,0.0925,1010.83,0.09251,713.1,,
0,5,166,0.09242000,0.09233,-0.0974,1774137105000,0.09240000,79286.00000000,0.09239000,356710.00000000,0.09238000,317.00000000,0.09237000,26611.00000000,0.09236000,154860.00000000,0.09235000,457266.00000000,0.09234000,153767.00000000,0.09233000,555023.00000000,0.09232000,316992.00000000,0.09231000,573172.00000000,0.09241000,60773.00000000,0.09242000,56471.00000000,0.09243000,298270.00000000,0.09244000,170197.00000000,0.09245000,612163.00000000,0.09246000,421280.00000000,0.09247000,244229.00000000,0.09248000,247616.00000000,0.09249000,709090.00000000,0.09250000,476634.00000000,0.09231,599.3,0.0923,449.52,0.09229,585.62,0.09228,562.95,0.09227,369.27,0.09226,609.59,0.09225,539.54,0.09224,499.17,0.09223,512.05,0.09222,639.26,0.09232,122.12,0.09233,404.03,0.09234,389.91,0.09235,1063.36,0.09236,691.68,0.09237,1309.43,0.09238,990.65,0.09239,1105.94,0.0924,638.88,0.09241,1633.21,,
0,5,166,0.09240000,0.0922,-0.2165,1774137106000,0.09229000,122524.00000000,0.09228000,188950.00000000,0.09227000,93836.00000000,0.09226000,70375.00000000,0.09225000,527882.00000000,0.09224000,36383.00000000,0.09223000,586020.00000000,0.09222000,205451.00000000,0.09221000,503477.00000000,0.09220000,304296.00000000,0.09230000,8215.00000000,0.09231000,5589.00000000,0.09232000,27258.00000000,0.09233000,219630.00000000,0.09234000,208599.00000000,0.09235000,563940.00000000,0.09236000,146855.00000000,0.09237000,326139.00000000,0.09238000,46944.00000000,0.09239000,119395.00000000,0.09226,327.47,0.09225,387.85,0.09224,432.39,0.09223,889.82,0.09222,793.93,0.09221,687.03,0.0922,737.94,0.09219,730.79,0.09218,746.37,0.09217,372.6,0.09227,104.58,0.09228,580.35,0.09229,1107.99,0.0923,913.48,0.09231,867.28,0.09232,583.1,0.09233,1049.57,0.09234,809.96,0.09235,990.26,0.09236,603.14,,
0,5,166,0.09237000,0.09234,-0.0325,1774137107000,0.09239000,138024.00000000,0.09238000,21858.00000000,0.09237000,174191.00000000,0.09236000,174077.00000000,0.09235000,494754.00000000,0.09234000,331347.00000000,0.09233000,459964.00000000,0.09232000,208689.00000000,0.09231000,546821.00000000,0.09230000,469602.00000000,0.09240000,14994.00000000,0.09241000,166.00000000,0.09242000,20412.00000000,0.09243000,161227.00000000,0.09244000,113542.00000000,0.09245000,507538.00000000,0.09246000,511645.00000000,0.09247000,237904.00000000,0.09248000,23146.00000000,0.09249000,398525.00000000,0.09234,271.1,0.09233,276.92,0.09232,794.8,0.09231,756.67,0.0923,905.18,0.09229,655.16,0.09228,971.63,0.09227,677.65,0.09226,1024.87,0.09225,538.86,0.09235,279.48,0.09236,251.16,0.09237,1089.35,0.09238,542.21,0.09239,794.24,0.0924,544.02,0.09241,810.12,0.09242,708.63,0.09243,837.02,0.09244,553.65,,
0,5,166,0.09229000,0.09228,-0.0108,1774137108000,0.09234000,50872.00000000,0.09233000,144.00000000,0.09232000,191.00000000,0.09231000,137.00000000,0.09230000,26644.00000000,0.09229000,435430.00000000,0.09228000,173268.00000000,0.09227000,431280.00000000,0.09226000,249020.00000000,0.09225000,579596.00000000,0.09235000,60260.00000000,0.09236000,372410.00000000,0.09237000,198400.00000000,0.09238000,222517.00000000,0.09239000,467786.00000000,0.09240000,613940.00000000,0.09241000,340494.00000000,0.09242000,466354.00000000,0.09243000,60704.00000000,0.09244000,128017.00000000,0.09228,298.81,0.09227,156.57,0.09226,442.43,0.09225,411.4,0.09224,392.1,0.09223,484.38,0.09222,793.8,0.09221,460.87,0.0922,619.97,0.09219,530.19,0.09229,927.03,0.0923,339.92,0.09231,1190.71,0.09232,1110.47,0.09233,1376.75,0.09234,1568.98,0.09235,1028.1,0.09236,739.55,0.09237,710.93,0.09238,598.89,,
0,5,166,0.09235000,0.09228,-0.0758,1774137109000,0.09237000,199600.00000000,0.09236000,93297.00000000,0.09235000,70506.00000000,0.09234000,289258.00000000,0.09233000,608597.00000000,0.09232000,153669.00000000,0.09231000,492340.00000000,0.09230000,440210.00000000,0.09229000,552029.00000000,0.09228000,133896.00000000,0.09238000,36007.00000000,0.09239000,5341.00000000,0.09240000,38242.00000000,0.09241000,142373.00000000,0.09242000,348546.00000000,0.09243000,142178.00000000,0.09244000,114080.00000000,0.09245000,495774.00000000,0.09246000,425973.00000000,0.09247000,163839.00000000,0.09228,355.97,0.09227,311.21,0.09226,554.45,0.09225,562.84,0.09224,504.92,0.09223,652.54,0.09222,818.34,0.09221,572.76,0.0922,651.73,0.09219,509.48,0.09229,259.44,0.0923,469.84,0.09231,974.52,0.09232,893.52,0.09233,851.2,0.09234,1670.09,0.09235,763.12,0.09236,722.56,0.09237,651.34,0.09238,488.31,,
