spot_source_id,fut_source_id,symbol_id,ask_spot,bid_futures,spread_pct,ts,s_b1,s_b2,s_b3,s_b4,s_b5,s_b6,s_b7,s_b8,s_b9,s_b10,s_bq1,s_bq2,s_bq3,s_bq4,s_bq5,s_bq6,s_bq7,s_bq8,s_bq9,s_bq10,s_a1,s_a2,s_a3,s_a4,s_a5,s_a6,s_a7,s_a8,s_a9,s_a10,s_aq1,s_aq2,s_aq3,s_aq4,s_aq5,s_aq6,s_aq7,s_aq8,s_aq9,s_aq10,f_b1,f_b2,f_b3,f_b4,f_b5,f_b6,f_b7,f_b8,f_b9,f_b10,f_bq1,f_bq2,f_bq3,f_bq4,f_bq5,f_bq6,f_bq7,f_bq8,f_bq9,f_bq10,f_a1,f_a2,f_a3,f_a4,f_a5,f_a6,f_a7,f_a8,f_a9,f_a10,f_aq1,f_aq2,f_aq3,f_aq4,f_aq5,f_aq6,f_aq7,f_aq8,f_aq9,f_aq10,fr_r,fr_ft
0,5,291,0.01008000,0.01008,0.0,1774137100000,0.01007000,95745.00000000,0.01006000,159737.00000000,0.01005000,158572.00000000,0.01004000,487166.00000000,0.01003000,1862727.00000000,0.01002000,262633.00000000,0.01001000,1097777.00000000,0.01000000,479970.00000000,0.00999000,94395.00000000,0.00998000,1229722.00000000,0.01008000,137223.00000000,0.01009000,326663.00000000,0.01010000,698190.00000000,0.01011000,863066.00000000,0.01012000,1828010.00000000,0.01013000,294548.00000000,0.01014000,181962.00000000,0.01015000,235606.00000000,0.01016000,717873.00000000,0.01017000,1725805.00000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,5,291,0.01010000,0.01008,-0.198,1774137101000,0.01009000,40833.00000000,0.01008000,254896.00000000,0.01007000,175042.00000000,0.01006000,604564.00000000,0.01005000,145954.00000000,0.01004000,243154.00000000,0.01003000,527409.00000000,0.01002000,171791.00000000,0.01001000,859345.00000000,0.01000000,479970.00000000,0.01010000,439269.00000000,0.01011000,768259.00000000,0.01012000,797528.00000000,0.01013000,396983.00000000,0.01014000,179942.00000000,0.01015000,238451.00000000,0.01016000,717873.00000000,0.01017000,224934.00000000,0.01018000,674948.00000000,0.01019000,609203.00000000,0.01008,531,0.01007,6786,0.01006,11496,0.01005,10987,0.01004,9766,0.01003,7690,0.01002,8620,0.01001,10074,0.01,27142,0.00999,32939,0.01009,2882,0.0101,9950,0.01011,7792,0.01012,13233,0.01013,14580,0.01014,8179,0.01015,5512,0.01016,4543,0.01017,5164,0.01018,5207,,
0,5,291,0.01009000,0.01008,-0.0991,1774137102000,0.01008000,138429.00000000,0.01007000,246527.00000000,0.01006000,618834.00000000,0.01005000,145954.00000000,0.01004000,243154.00000000,0.01003000,556144.00000000,0.01002000,167192.00000000,0.01001000,859345.00000000,0.01000000,486110.00000000,0.00999000,365545.00000000,0.01009000,81491.00000000,0.01010000,476368.00000000,0.01011000,772570.00000000,0.01012000,792988.00000000,0.01013000,259519.00000000,0.01014000,214971.00000000,0.01015000,238451.00000000,0.01016000,223213.00000000,0.01017000,661698.00000000,0.01018000,674948.00000000,0.01008,101,0.01007,6104,0.01006,12058,0.01005,10987,0.01004,9766,0.01003,7690,0.01002,8620,0.01001,10074,0.01,27142,0.00999,32939,0.01009,6144,0.0101,9159,0.01011,7793,0.01012,13233,0.01013,14580,0.01014,8179,0.01015,5512,0.01016,4543,0.01017,5164,0.01018,5207,,
0,5,291,0.01009000,0.01007,-0.1982,1774137103000,0.01008000,138429.00000000,0.01007000,246527.00000000,0.01006000,618834.00000000,0.01005000,145954.00000000,0.01004000,1689959.00000000,0.01003000,556144.00000000,0.01002000,167192.00000000,0.01001000,859345.00000000,0.01000000,529735.00000000,0.00999000,1928283.00000000,0.01009000,81491.00000000,0.01010000,476368.00000000,0.01011000,772570.00000000,0.01012000,792988.00000000,0.01013000,1708507.00000000,0.01014000,214971.00000000,0.01015000,238451.00000000,0.01016000,223213.00000000,0.01017000,661698.00000000,0.01018000,2196248.00000000,0.01008,236,0.01007,5668,0.01006,12058,0.01005,10987,0.01004,9766,0.01003,7690,0.01002,8620,0.01001,10074,0.01,27192,0.00999,32939,0.01009,6144,0.0101,9150,0.01011,7793,0.01012,13233,0.01013,14580,0.01014,8179,0.01015,5512,0.01016,4543,0.01017,5164,0.01018,5207,,
0,5,291,0.01005000,0.01006,0.0995,1774137104000,0.01004000,110317.00000000,0.01003000,182832.00000000,0.01002000,439563.00000000,0.01001000,720667.00000000,0.01000000,470802.00000000,0.00999000,114088.00000000,0.00998000,1258673.00000000,0.00997000,224883.00000000,0.00996000,273499.00000000,0.00995000,749596.00000000,0.01005000,19526.00000000,0.01006000,296312.00000000,0.01007000,402084.00000000,0.01008000,838644.00000000,0.01009000,260773.00000000,0.01010000,227476.00000000,0.01011000,309944.00000000,0.01012000,256991.00000000,0.01013000,249633.00000000,0.01014000,158460.00000000,0.01006,1513,0.01005,8384,0.01004,10720,0.01003,9992,0.01002,9184,0.01001,11085,0.01,17843,0.00999,6777,0.00998,13642,0.00997,5758,0.01007,4387,0.01008,9793,0.01009,13000,0.0101,6674,0.01011,9516,0.01012,8670,0.01013,5421,0.01014,4768,0.01015,5511,0.01016,4547,,
0,5,291,0.01005000,0.01004,-0.0995,1774137105000,0.01004000,82089.00000000,0.01003000,232897.00000000,0.01002000,439563.00000000,0.01001000,622061.00000000,0.01000000,526565.00000000,0.00999000,137613.00000000,0.00998000,1250108.00000000,0.00997000,224883.00000000,0.00996000,273499.00000000,0.00995000,503500.00000000,0.01005000,22239.00000000,0.01006000,302061.00000000,0.01007000,385805.00000000,0.01008000,1046508.00000000,0.01009000,334622.00000000,0.01010000,124939.00000000,0.01011000,211012.00000000,0.01012000,451558.00000000,0.01013000,251586.00000000,0.01014000,267161.00000000,0.01005,1087,0.01004,7215,0.01003,8270,0.01002,8620,0.01001,11925,0.01,16917,0.00999,6767,0.00998,14644,0.00997,6594,0.00996,35151,0.01006,2828,0.01007,7759,0.01008,9909,0.01009,11863,0.0101,6674,0.01011,9878,0.01012,8671,0.01013,5466,0.01014,4768,0.01015,5511,,
0,5,291,0.01006000,0.01006,0.0,1774137106000,0.01005000,58327.00000000,0.01004000,136041.00000000,0.01003000,227293.00000000,0.01002000,439563.00000000,0.01001000,2068866.00000000,0.01000000,446157.00000000,0.00999000,267534.00000000,0.00998000,1253681.00000000,0.00997000,224883.00000000,0.00996000,1836237.00000000,0.01006000,187362.00000000,0.01007000,438915.00000000,0.01008000,639513.00000000,0.01009000,692419.00000000,0.01010000,1604257.00000000,0.01011000,246041.00000000,0.01012000,221962.00000000,0.01013000,251586.00000000,0.01014000,267161.00000000,0.01015000,1670674.00000000,0.01006,1998,0.01005,6420,0.01004,7647,0.01003,8596,0.01002,8620,0.01001,10399,0.01,16817,0.00999,7367,0.00998,14744,0.00997,6229,0.01007,1737,0.01008,8506,0.01009,11636,0.0101,7247,0.01011,9878,0.01012,8667,0.01013,4971,0.01014,4768,0.01015,5511,0.01016,4547,,
0,5,291,0.01006000,0.01006,0.0,1774137107000,0.01004000,101437.00000000,0.01003000,214735.00000000,0.01002000,439563.00000000,0.01001000,622061.00000000,0.01000000,1951904.00000000,0.00999000,138051.00000000,0.00998000,1253444.00000000,0.00997000,324772.00000000,0.00996000,474941.00000000,0.00995000,2066238.00000000,0.01005000,68210.00000000,0.01006000,287281.00000000,0.01007000,596333.00000000,0.01008000,848371.00000000,0.01009000,1828171.00000000,0.01010000,115193.00000000,0.01011000,211012.00000000,0.01012000,256991.00000000,0.01013000,195842.00000000,0.01014000,1777228.00000000,0.01006,625,0.01005,6363,0.01004,5376,0.01003,7669,0.01002,9547,0.01001,10399,0.01,16817,0.00999,7267,0.00998,15236,0.00997,9826,0.01007,4487,0.01008,7641,0.01009,13290,0.0101,7174,0.01011,9878,0.01012,8667,0.01013,4971,0.01014,4768,0.01015,5924,0.01016,4547,,
0,5,291,0.01006000,0.01006,0.0,1774137108000,0.01004000,113432.00000000,0.01003000,177293.00000000,0.01002000,439563.00000000,0.01001000,622061.00000000,0.01000000,1951904.00000000,0.00999000,238051.00000000,0.00998000,1253444.00000000,0.00997000,324772.00000000,0.00996000,474941.00000000,0.00995000,2066238.00000000,0.01006000,236920.00000000,0.01007000,510797.00000000,0.01008000,959473.00000000,0.01009000,499893.00000000,0.01010000,1597373.00000000,0.01011000,261049.00000000,0.01012000,221962.00000000,0.01013000,254680.00000000,0.01014000,1777228.00000000,0.01015000,166004.00000000,0.01006,1061,0.01005,6366,0.01004,5376,0.01003,7669,0.01002,9541,0.01001,10399,0.01,16811,0.00999,7267,0.00998,15236,0.00997,9826,0.01007,4464,0.01008,7703,0.01009,13221,0.0101,7168,0.01011,9878,0.01012,8667,0.01013,5531,0.01014,4762,0.01015,5924,0.01016,4541,,
0,5,291,0.01005000,0.01006,0.0995,1774137109000,0.01005000,32685.00000000,0.01004000,164712.00000000,0.01003000,177298.00000000,0.01002000,439563.00000000,0.01001000,2068866.00000000,0.01000000,505099.00000000,0.00999000,238051.00000000,0.00998000,1353623.00000000,0.00997000,324772.00000000,0.00996000,2087617.00000000,0.01006000,209815.00000000,0.01007000,410797.00000000,0.01008000,953003.00000000,0.01009000,594746.00000000,0.01010000,1660348.00000000,0.01011000,309414.00000000,0.01012000,221962.00000000,0.01013000,254680.00000000,0.01014000,1777228.00000000,0.01015000,166004.00000000,0.01006,1119,0.01005,6475,0.01004,5376,0.01003,7670,0.01002,9541,0.01001,10485,0.01,16811,0.00999,7267,0.00998,15236,0.00997,9826,0.01007,3986,0.01008,7703,0.01009,13221,0.0101,7168,0.01011,9878,0.01012,8667,0.01013,5531,0.01014,4762,0.01015,5924,0.01016,4541,,
