spot_source_id,fut_source_id,symbol_id,ask_spot,bid_futures,spread_pct,ts,s_b1,s_b2,s_b3,s_b4,s_b5,s_b6,s_b7,s_b8,s_b9,s_b10,s_bq1,s_bq2,s_bq3,s_bq4,s_bq5,s_bq6,s_bq7,s_bq8,s_bq9,s_bq10,s_a1,s_a2,s_a3,s_a4,s_a5,s_a6,s_a7,s_a8,s_a9,s_a10,s_aq1,s_aq2,s_aq3,s_aq4,s_aq5,s_aq6,s_aq7,s_aq8,s_aq9,s_aq10,f_b1,f_b2,f_b3,f_b4,f_b5,f_b6,f_b7,f_b8,f_b9,f_b10,f_bq1,f_bq2,f_bq3,f_bq4,f_bq5,f_bq6,f_bq7,f_bq8,f_bq9,f_bq10,f_a1,f_a2,f_a3,f_a4,f_a5,f_a6,f_a7,f_a8,f_a9,f_a10,f_aq1,f_aq2,f_aq3,f_aq4,f_aq5,f_aq6,f_aq7,f_aq8,f_aq9,f_aq10,fr_r,fr_ft
0,5,350,0.01315000,0.01313,-0.1521,1774137100000,0.01314000,277.40000000,0.01313000,32505.60000000,0.01312000,188473.60000000,0.01311000,156813.60000000,0.01310000,80757.10000000,0.01309000,339816.90000000,0.01308000,312851.00000000,0.01307000,225044.60000000,0.01306000,76452.50000000,0.01305000,126379.70000000,0.01315000,5820.00000000,0.01316000,43412.80000000,0.01317000,56433.40000000,0.01318000,83895.70000000,0.01319000,165945.30000000,0.01320000,93049.70000000,0.01321000,150697.40000000,0.01322000,116348.50000000,0.01323000,160705.50000000,0.01324000,104982.10000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,5,350,0.01316000,0.01312,-0.304,1774137101000,0.01314000,14198.40000000,0.01313000,190282.40000000,0.01312000,188473.60000000,0.01311000,156813.60000000,0.01310000,80757.10000000,0.01309000,287545.60000000,0.01308000,312851.00000000,0.01307000,168309.70000000,0.01306000,111356.70000000,0.01305000,126379.70000000,0.01316000,42962.10000000,0.01317000,203602.70000000,0.01318000,50623.70000000,0.01319000,179218.20000000,0.01320000,93049.70000000,0.01321000,150697.40000000,0.01322000,116348.50000000,0.01323000,173016.10000000,0.01324000,108700.90000000,0.01325000,41261.20000000,0.01313,121,0.01312,986,0.01311,537,0.0131,1076,0.01309,531,0.01308,1063,0.01307,487,0.01306,988,0.01305,1843,0.01304,1652,0.01315,52,0.01316,143,0.01317,520,0.01318,1481,0.01319,551,0.0132,1928,0.01321,484,0.01322,1415,0.01323,487,0.01324,979,,
0,5,350,0.01316000,0.01312,-0.304,1774137102000,0.01314000,14198.40000000,0.01313000,32505.60000000,0.01312000,255282.50000000,0.01311000,156813.60000000,0.01310000,80757.10000000,0.01309000,287545.60000000,0.01308000,312851.00000000,0.01307000,168309.70000000,0.01306000,111356.70000000,0.01305000,126379.70000000,0.01316000,43086.10000000,0.01317000,203602.70000000,0.01318000,50623.70000000,0.01319000,179218.20000000,0.01320000,93049.70000000,0.01321000,150697.40000000,0.01322000,116348.50000000,0.01323000,173016.10000000,0.01324000,108700.90000000,0.01325000,41261.20000000,0.01312,942,0.01311,537,0.0131,1228,0.01309,835,0.01308,1063,0.01307,487,0.01306,988,0.01305,1843,0.01304,1702,0.01303,46,0.01314,10,0.01315,109,0.01316,143,0.01317,570,0.01318,1140,0.01319,551,0.0132,1825,0.01321,484,0.01322,1415,0.01323,487,,
0,5,350,0.01314000,0.01312,-0.1522,1774137104000,0.01313000,8160.40000000,0.01312000,129219.70000000,0.01311000,268068.70000000,0.01310000,143971.90000000,0.01309000,211774.90000000,0.01308000,312851.00000000,0.01307000,158120.20000000,0.01306000,145050.50000000,0.01305000,126379.70000000,0.01304000,441181.30000000,0.01314000,8325.00000000,0.01315000,26296.30000000,0.01316000,42962.10000000,0.01317000,238323.90000000,0.01318000,15923.70000000,0.01319000,179218.20000000,0.01320000,88285.30000000,0.01321000,150797.20000000,0.01322000,116348.50000000,0.01323000,155597.00000000,0.01312,1,0.01311,487,0.0131,1126,0.01309,759,0.01308,984,0.01307,487,0.01306,1068,0.01305,1077,0.01304,2469,0.01303,46,0.01313,8,0.01314,145,0.01315,445,0.01316,1136,0.01317,484,0.01318,1207,0.01319,1259,0.0132,988,0.01321,484,0.01322,1415,,
0,5,350,0.01313000,0.01299,-1.0663,1774137105000,0.01296000,3081.00000000,0.01295000,11149.20000000,0.01294000,89440.50000000,0.01293000,56981.70000000,0.01292000,101889.30000000,0.01291000,197352.70000000,0.01290000,104981.90000000,0.01289000,230859.90000000,0.01288000,8580.50000000,0.01287000,9645.10000000,0.01298000,30935.50000000,0.01299000,56807.40000000,0.01300000,14600051.10000000,0.01301000,8325.00000000,0.01303000,109434.00000000,0.01304000,67972.00000000,0.01305000,45166.60000000,0.01306000,68127.50000000,0.01307000,109434.00000000,0.01308000,68064.00000000,0.0131,16,0.01309,137,0.01308,1060,0.01307,751,0.01306,1382,0.01305,1037,0.01304,1456,0.01303,136,0.01302,1318,0.01301,1216,0.01311,8,0.01312,95,0.01313,490,0.01314,1039,0.01315,602,0.01316,1903,0.01317,484,0.01318,1020,0.01319,501,0.0132,1338,,
0,5,350,0.01300000,0.0129,-0.7692,1774137106000,0.01290000,31879.40000000,0.01289000,27845.20000000,0.01288000,102691.60000000,0.01287000,37836.70000000,0.01286000,35640.10000000,0.01285000,149602.50000000,0.01284000,120534.40000000,0.01283000,150919.00000000,0.01282000,688790.50000000,0.01281000,16767.80000000,0.01291000,67972.00000000,0.01292000,9983.60000000,0.01293000,153114.80000000,0.01294000,116672.70000000,0.01295000,234196.80000000,0.01296000,38720.10000000,0.01297000,229782.40000000,0.01298000,61404.90000000,0.01299000,227439.90000000,0.01300000,14579942.60000000,0.0129,247,0.01289,117,0.01288,399,0.01287,247,0.01286,108,0.01285,92,0.01284,984,0.01283,99,0.01282,984,0.01281,35,0.01292,394,0.01293,68,0.01294,450,0.01295,959,0.01296,1231,0.01297,959,0.01298,513,0.01299,1000,0.013,503,0.01301,924,,
0,5,350,0.01298000,0.01293,-0.3852,1774137107000,0.01293000,64413.70000000,0.01292000,184252.80000000,0.01291000,148092.40000000,0.01290000,154379.50000000,0.01289000,200567.40000000,0.01288000,117238.80000000,0.01287000,197401.50000000,0.01286000,64666.50000000,0.01285000,196692.00000000,0.01284000,84707.60000000,0.01296000,72894.10000000,0.01297000,166272.20000000,0.01298000,70794.30000000,0.01299000,260799.10000000,0.01300000,14579942.60000000,0.01301000,143459.40000000,0.01302000,83907.30000000,0.01303000,125369.30000000,0.01304000,84061.50000000,0.01305000,15935.30000000,0.01294,46,0.01293,546,0.01292,983,0.01291,623,0.0129,1311,0.01289,528,0.01288,1003,0.01287,512,0.01286,1000,0.01285,477,0.01296,2,0.01297,900,0.01298,454,0.01299,1080,0.013,1272,0.01301,924,0.01302,502,0.01303,60,0.01304,2574,0.01305,32,,
0,5,350,0.01293000,0.01293,0.0,1774137108000,0.01292000,43979.20000000,0.01291000,43663.70000000,0.01290000,135016.20000000,0.01289000,95000.70000000,0.01288000,52053.10000000,0.01287000,161478.50000000,0.01286000,166585.00000000,0.01285000,164388.30000000,0.01284000,84707.60000000,0.01283000,202358.50000000,0.01293000,115505.50000000,0.01294000,39212.50000000,0.01295000,154895.90000000,0.01296000,150549.90000000,0.01297000,167387.40000000,0.01298000,120443.90000000,0.01299000,157879.50000000,0.01300000,14580096.80000000,0.01301000,125469.10000000,0.01302000,101843.40000000,0.01293,59,0.01292,349,0.01291,647,0.0129,1025,0.01289,528,0.01288,1003,0.01287,512,0.01286,1000,0.01285,436,0.01284,934,0.01295,892,0.01296,10,0.01297,957,0.01298,1335,0.01299,1098,0.013,503,0.01301,924,0.01302,462,0.01303,60,0.01304,2574,,
0,5,350,0.01293000,0.01295,0.1547,1774137109000,0.01293000,42284.30000000,0.01292000,308784.60000000,0.01291000,175978.80000000,0.01290000,262128.00000000,0.01289000,59173.20000000,0.01288000,120025.10000000,0.01287000,262097.20000000,0.01286000,422284.10000000,0.01285000,196692.00000000,0.01284000,50667.20000000,0.01295000,5820.00000000,0.01296000,128751.90000000,0.01297000,205996.80000000,0.01298000,81275.00000000,0.01299000,230314.20000000,0.01300000,14618915.80000000,0.01301000,125469.10000000,0.01302000,101843.40000000,0.01303000,137679.90000000,0.01304000,87463.00000000,0.01295,2,0.01294,94,0.01293,594,0.01292,1192,0.01291,698,0.0129,999,0.01289,546,0.01288,984,0.01287,503,0.01286,949,0.01297,950,0.01298,1382,0.01299,1094,0.013,505,0.01301,974,0.01302,512,0.01303,146,0.01304,2623,0.01305,100,0.01306,510,,
0,5,350,0.01294000,0.01294,0.0,1774137110000,0.01294000,42557.60000000,0.01293000,96842.80000000,0.01292000,309750.70000000,0.01291000,142656.90000000,0.01290000,279791.20000000,0.01289000,59173.20000000,0.01288000,120025.10000000,0.01287000,227101.60000000,0.01286000,390558.60000000,0.01285000,196692.00000000,0.01296000,108810.80000000,0.01297000,117759.00000000,0.01298000,116243.70000000,0.01299000,230314.20000000,0.01300000,14583974.70000000,0.01301000,125469.10000000,0.01302000,83907.30000000,0.01303000,125369.30000000,0.01304000,87463.00000000,0.01305000,259721.60000000,0.01294,167,0.01293,538,0.01292,1268,0.01291,698,0.0129,999,0.01289,546,0.01288,984,0.01287,503,0.01286,999,0.01285,68,0.01296,10,0.01297,900,0.01298,617,0.01299,1131,0.013,1313,0.01301,974,0.01302,512,0.01303,110,0.01304,2659,0.01305,100,,
