spot_source_id,fut_source_id,symbol_id,ask_spot,bid_futures,spread_pct,ts,s_b1,s_b2,s_b3,s_b4,s_b5,s_b6,s_b7,s_b8,s_b9,s_b10,s_bq1,s_bq2,s_bq3,s_bq4,s_bq5,s_bq6,s_bq7,s_bq8,s_bq9,s_bq10,s_a1,s_a2,s_a3,s_a4,s_a5,s_a6,s_a7,s_a8,s_a9,s_a10,s_aq1,s_aq2,s_aq3,s_aq4,s_aq5,s_aq6,s_aq7,s_aq8,s_aq9,s_aq10,f_b1,f_b2,f_b3,f_b4,f_b5,f_b6,f_b7,f_b8,f_b9,f_b10,f_bq1,f_bq2,f_bq3,f_bq4,f_bq5,f_bq6,f_bq7,f_bq8,f_bq9,f_bq10,f_a1,f_a2,f_a3,f_a4,f_a5,f_a6,f_a7,f_a8,f_a9,f_a10,f_aq1,f_aq2,f_aq3,f_aq4,f_aq5,f_aq6,f_aq7,f_aq8,f_aq9,f_aq10,fr_r,fr_ft
0,5,384,2.39800000,2.391,-0.2919,1774137100000,2.39500000,0.57000000,2.39400000,298.82000000,2.39300000,1119.65000000,2.39200000,691.66000000,2.39100000,732.80000000,2.39000000,905.17000000,2.38900000,947.31000000,2.38800000,751.36000000,2.38700000,1096.89000000,2.38600000,2696.38000000,2.39600000,16.82000000,2.39700000,246.16000000,2.39800000,312.18000000,2.39900000,1927.52000000,2.40000000,3473.12000000,2.40100000,1559.24000000,2.40200000,1915.88000000,2.40300000,1883.58000000,2.40400000,1352.67000000,2.40500000,811.20000000,2.391,2696,2.39,18747,2.389,18815,2.388,19187,2.387,41240,2.386,44584,2.385,16073,2.384,13869,2.383,15743,2.382,11981,2.392,3953,2.393,21779,2.394,18559,2.395,25708,2.396,30117,2.397,39800,2.398,34810,2.399,41420,2.4,21574,2.401,18847,,
0,5,384,2.39700000,2.391,-0.2503,1774137101000,2.39500000,36.57000000,2.39400000,1229.53000000,2.39300000,1452.36000000,2.39200000,1549.43000000,2.39100000,1466.41000000,2.39000000,710.92000000,2.38900000,858.60000000,2.38800000,1570.99000000,2.38700000,1096.89000000,2.38600000,1133.41000000,2.39700000,578.60000000,2.39800000,452.60000000,2.39900000,1424.93000000,2.40000000,2554.92000000,2.40100000,2076.76000000,2.40200000,2344.87000000,2.40300000,1423.49000000,2.40400000,1630.55000000,2.40500000,768.38000000,2.40600000,366.03000000,2.391,2754,2.39,18747,2.389,18815,2.388,19187,2.387,41240,2.386,48720,2.385,16073,2.384,13869,2.383,15743,2.382,11981,2.392,1953,2.393,16587,2.394,18559,2.395,25708,2.396,30117,2.397,39800,2.398,34810,2.399,41420,2.4,21575,2.401,18847,,
0,5,384,2.39500000,2.389,-0.2505,1774137102000,2.39300000,384.21000000,2.39200000,927.07000000,2.39100000,744.74000000,2.39000000,1609.18000000,2.38900000,956.77000000,2.38800000,1195.55000000,2.38700000,586.07000000,2.38600000,1295.94000000,2.38500000,1106.39000000,2.38400000,892.33000000,2.39500000,491.06000000,2.39600000,323.78000000,2.39700000,1196.68000000,2.39800000,2228.63000000,2.39900000,2192.36000000,2.40000000,3201.28000000,2.40100000,576.51000000,2.40200000,1590.21000000,2.40300000,391.57000000,2.40400000,63.66000000,2.39,3756,2.389,13659,2.388,17699,2.387,22683,2.386,24790,2.385,23363,2.384,35364,2.383,25552,2.382,12711,2.381,23015,2.391,6392,2.392,27567,2.393,23123,2.394,20376,2.395,29747,2.396,30006,2.397,24889,2.398,20465,2.399,18116,2.4,17587,,
0,5,384,2.39800000,2.392,-0.2502,1774137103000,2.39600000,314.95000000,2.39500000,679.49000000,2.39400000,1503.59000000,2.39300000,1501.60000000,2.39200000,2274.99000000,2.39100000,313.81000000,2.39000000,2034.80000000,2.38900000,593.96000000,2.38800000,905.83000000,2.38700000,248.67000000,2.39800000,1016.80000000,2.39900000,458.70000000,2.40000000,1527.68000000,2.40100000,2297.74000000,2.40200000,1488.08000000,2.40300000,2592.87000000,2.40400000,1691.09000000,2.40500000,596.03000000,2.40600000,366.03000000,2.40700000,55.40000000,2.392,2413,2.391,23727,2.39,22270,2.389,20768,2.388,27189,2.387,38197,2.386,36650,2.385,15641,2.384,23880,2.383,18963,2.393,2534,2.394,14792,2.395,21039,2.396,20428,2.397,22888,2.398,24565,2.399,22075,2.4,17007,2.401,31615,2.402,18450,,
0,5,384,2.39700000,2.392,-0.2086,1774137104000,2.39300000,1056.16000000,2.39200000,1797.16000000,2.39100000,213.81000000,2.39000000,2145.84000000,2.38900000,715.84000000,2.38800000,1591.58000000,2.38700000,1302.87000000,2.38600000,409.25000000,2.38500000,14.51000000,2.38400000,415.53000000,2.39600000,38.90000000,2.39700000,295.98000000,2.39800000,698.35000000,2.39900000,458.43000000,2.40000000,2054.76000000,2.40100000,2297.74000000,2.40200000,1488.08000000,2.40300000,2592.87000000,2.40400000,1691.09000000,2.40500000,1122.12000000,2.392,324,2.391,19387,2.39,22275,2.389,20768,2.388,22162,2.387,22460,2.386,28335,2.385,15376,2.384,23880,2.383,18963,2.393,8409,2.394,22340,2.395,21039,2.396,22627,2.397,27023,2.398,30822,2.399,20167,2.4,22000,2.401,27450,2.402,18450,,
0,5,384,2.39500000,2.389,-0.2505,1774137105000,2.39200000,322.67000000,2.39100000,618.36000000,2.39000000,1527.06000000,2.38900000,1152.97000000,2.38800000,1592.67000000,2.38700000,1216.03000000,2.38600000,298.39000000,2.38500000,1643.17000000,2.38400000,896.08000000,2.38300000,557.05000000,2.39400000,313.65000000,2.39500000,820.31000000,2.39600000,919.32000000,2.39700000,2030.65000000,2.39800000,2794.20000000,2.39900000,2026.27000000,2.40000000,1968.89000000,2.40100000,1288.70000000,2.40200000,1066.98000000,2.40300000,1066.54000000,2.388,2745,2.387,18065,2.386,22006,2.385,19468,2.384,38499,2.383,30010,2.382,9862,2.381,20737,2.38,264707,2.379,15609,2.389,5771,2.39,22186,2.391,23329,2.392,23982,2.393,27580,2.394,29552,2.395,31273,2.396,26232,2.397,19007,2.398,35461,,
0,5,384,2.39400000,2.386,-0.3342,1774137106000,2.39000000,55.46000000,2.38900000,504.33000000,2.38800000,1391.42000000,2.38700000,1353.48000000,2.38600000,460.48000000,2.38500000,1204.08000000,2.38400000,982.07000000,2.38300000,868.49000000,2.38200000,1812.04000000,2.38100000,305.04000000,2.39100000,24.06000000,2.39200000,289.88000000,2.39300000,823.65000000,2.39400000,1237.59000000,2.39500000,1167.66000000,2.39600000,2570.95000000,2.39700000,2596.74000000,2.39800000,2741.50000000,2.39900000,1808.68000000,2.40000000,912.32000000,2.387,4479,2.386,13918,2.385,17663,2.384,21551,2.383,16958,2.382,22403,2.381,108099,2.38,276846,2.379,14867,2.378,9245,2.388,10956,2.389,21863,2.39,29506,2.391,21490,2.392,34127,2.393,34716,2.394,25535,2.395,16424,2.396,23393,2.397,20240,,
0,5,384,2.39300000,2.39,-0.1254,1774137107000,2.39400000,45.00000000,2.39300000,1146.54000000,2.39200000,639.25000000,2.39100000,1616.59000000,2.39000000,1438.22000000,2.38900000,1366.79000000,2.38800000,995.72000000,2.38700000,1646.71000000,2.38600000,368.88000000,2.38500000,586.37000000,2.39600000,862.96000000,2.39700000,308.74000000,2.39800000,1271.68000000,2.39900000,1973.09000000,2.40000000,2360.89000000,2.40100000,1985.93000000,2.40200000,2736.00000000,2.40300000,902.64000000,2.40400000,63.66000000,2.40500000,69.53000000,2.39,7278,2.389,25138,2.388,24221,2.387,23863,2.386,25746,2.385,33384,2.384,23471,2.383,12976,2.382,9523,2.381,21506,2.391,137,2.392,15072,2.393,22172,2.394,21103,2.395,24758,2.396,32632,2.397,23269,2.398,31063,2.399,19397,2.4,23645,,
0,5,384,2.39200000,2.388,-0.1672,1774137108000,2.39200000,49.18000000,2.39100000,302.62000000,2.39000000,657.14000000,2.38900000,1576.69000000,2.38800000,1054.73000000,2.38700000,1208.25000000,2.38600000,478.32000000,2.38500000,1122.46000000,2.38400000,368.89000000,2.38300000,34.39000000,2.39400000,750.35000000,2.39500000,734.98000000,2.39600000,1058.68000000,2.39700000,2320.41000000,2.39800000,2376.46000000,2.39900000,1920.27000000,2.40000000,2017.35000000,2.40100000,600.69000000,2.40200000,1662.84000000,2.40300000,366.06000000,2.388,3140,2.387,14085,2.386,16751,2.385,15407,2.384,25795,2.383,21744,2.382,13722,2.381,36344,2.38,262976,2.379,12390,2.389,8745,2.39,26625,2.391,23428,2.392,23711,2.393,30188,2.394,33939,2.395,17323,2.396,23151,2.397,18774,2.398,16042,,
0,5,384,2.39300000,2.388,-0.2089,1774137109000,2.39200000,389.39000000,2.39100000,294.01000000,2.39000000,635.76000000,2.38900000,1579.00000000,2.38800000,1341.49000000,2.38700000,1357.81000000,2.38600000,457.14000000,2.38500000,1662.92000000,2.38400000,368.89000000,2.38300000,226.40000000,2.39400000,646.03000000,2.39500000,194.34000000,2.39600000,1005.86000000,2.39700000,2320.41000000,2.39800000,2323.64000000,2.39900000,1920.27000000,2.40000000,2558.51000000,2.40100000,600.69000000,2.40200000,588.96000000,2.40300000,366.06000000,2.389,3054,2.388,17519,2.387,24525,2.386,14750,2.385,22378,2.384,27712,2.383,23485,2.382,23446,2.381,36568,2.38,260744,2.39,9866,2.391,22385,2.392,18128,2.393,24552,2.394,27250,2.395,22845,2.396,40392,2.397,18774,2.398,16043,2.399,11950,,
