spot_source_id,fut_source_id,symbol_id,ask_spot,bid_futures,spread_pct,ts,s_b1,s_b2,s_b3,s_b4,s_b5,s_b6,s_b7,s_b8,s_b9,s_b10,s_bq1,s_bq2,s_bq3,s_bq4,s_bq5,s_bq6,s_bq7,s_bq8,s_bq9,s_bq10,s_a1,s_a2,s_a3,s_a4,s_a5,s_a6,s_a7,s_a8,s_a9,s_a10,s_aq1,s_aq2,s_aq3,s_aq4,s_aq5,s_aq6,s_aq7,s_aq8,s_aq9,s_aq10,f_b1,f_b2,f_b3,f_b4,f_b5,f_b6,f_b7,f_b8,f_b9,f_b10,f_bq1,f_bq2,f_bq3,f_bq4,f_bq5,f_bq6,f_bq7,f_bq8,f_bq9,f_bq10,f_a1,f_a2,f_a3,f_a4,f_a5,f_a6,f_a7,f_a8,f_a9,f_a10,f_aq1,f_aq2,f_aq3,f_aq4,f_aq5,f_aq6,f_aq7,f_aq8,f_aq9,f_aq10,fr_r,fr_ft
8,1,22,0.093189,0.0941500,1.0312,1774137119000,0.092743,1164.1,0.092738,3179.23,0.092723,3179.23,0.092681,4.39,0.092627,539.04,0.092626,3179.23,0.092575,381.19,0.092574,3179.23,0.09256,10.96,0.092551,47.46,0.093206,536.45,0.093207,1253.71,0.09321,421.66,0.093327,114.44,0.093328,3179.23,0.093334,3179.23,0.09339,1785.36,0.093391,3179.23,0.093407,3179.23,0.093503,3179.23,0.0941500,114,0.0941400,813,0.0941200,115,0.0941100,402,0.0940900,813,0.0940700,529,0.0940600,887,0.0940400,2181,0.0940300,2037,0.0940100,3605,0.0941900,319,0.0942200,1734,0.0942300,343,0.0942400,529,0.0942500,55,0.0942700,579,0.0942800,3810,0.0942900,361,0.0943000,1200,0.0943100,637,0.00005000,1774137600000
8,1,22,0.093184,0.0941500,1.0367,1774137122000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0940900,561,0.0940800,384,0.0940700,529,0.0940400,645,0.0940300,754,0.0940200,592,0.0940100,3247,0.0940000,2924,0.0939900,4553,0.0939800,55,0.0941500,108,0.0941600,83,0.0941800,55,0.0941900,314,0.0942000,2159,0.0942100,361,0.0942200,1679,0.0942300,343,0.0942400,529,0.0942500,1091,0.00005000,1774137600000
8,1,22,0.092765,0.0941800,1.5254,1774137126000,0.092755,1663.8,0.092754,1164.1,0.092738,3179.23,0.092723,3179.23,0.092682,500,0.092681,4.39,0.092627,500,0.092626,3179.23,0.092577,381.19,0.092575,539.04,0.093188,1253.71,0.093189,421.66,0.093199,536.49,0.093299,114.44,0.0933,8008.05,0.093328,3179.23,0.093334,3179.23,0.09339,1785.36,0.093391,3179.23,0.093407,3179.23,0.0935800,145,0.0935700,603,0.0935600,361,0.0935500,361,0.0935400,1098,0.0935300,361,0.0935200,55,0.0935100,258,0.0935000,361,0.0934900,4280,0.0936300,361,0.0936400,668,0.0936500,361,0.0936600,1052,0.0936700,361,0.0936800,2450,0.0936900,808,0.0937000,424,0.0937100,817,0.0937300,1845,0.00005000,1774137600000
8,1,22,0.092759,0.0941200,1.4672,1774137127000,0.092755,1663.8,0.092754,1164.1,0.092739,500,0.092738,3179.23,0.092723,3179.23,0.092682,500,0.092681,4.39,0.092627,500,0.092626,3179.23,0.092575,539.04,0.093187,421.66,0.093188,1253.71,0.093189,421.66,0.093199,536.49,0.093299,114.44,0.0933,8008.05,0.093328,3179.23,0.093334,3179.23,0.09339,1785.36,0.093391,3179.23,0.0935400,813,0.0935300,361,0.0935200,55,0.0935100,630,0.0935000,361,0.0934900,3210,0.0934800,2688,0.0934700,9534,0.0934300,361,0.0934200,2040,0.0936600,361,0.0936700,63,0.0936800,2702,0.0936900,361,0.0937000,2465,0.0937100,369,0.0937300,1397,0.0937400,1679,0.0937500,180,0.0937600,617,0.00005000,1774137600000
8,1,22,0.092747,0.0941200,1.4804,1774137129000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0935700,149,0.0935600,559,0.0935500,354,0.0935400,1028,0.0935300,310,0.0935200,55,0.0935100,258,0.0935000,354,0.0934900,3210,0.0934800,2688,0.0936400,1104,0.0936500,354,0.0936600,529,0.0936700,409,0.0936800,1350,0.0936900,361,0.0937000,2690,0.0937100,369,0.0937200,1200,0.0937300,1397,0.00005000,1774137600000
8,1,22,0.092741,0.0940900,1.4546,1774137130000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0935700,150,0.0935600,559,0.0935500,143,0.0935400,1028,0.0935300,655,0.0935200,55,0.0935100,676,0.0935000,354,0.0934900,5350,0.0934800,2688,0.0936600,1068,0.0936700,1805,0.0936800,529,0.0936900,70,0.0937000,361,0.0937100,369,0.0937300,1397,0.0937400,1679,0.0937500,775,0.0937600,361,0.00005000,1774137600000
8,1,22,0.092728,0.0940200,1.3933,1774137131000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0935600,559,0.0935400,973,0.0935300,354,0.0935200,403,0.0935100,676,0.0935000,354,0.0934900,5350,0.0934800,2688,0.0934700,9534,0.0934300,361,0.0936200,264,0.0936500,55,0.0936700,1865,0.0936800,529,0.0936900,70,0.0937000,361,0.0937100,761,0.0937300,1397,0.0937400,1679,0.0937500,775,0.00005000,1774137600000
8,1,22,0.092723,0.0940000,1.3772,1774137132000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0935600,559,0.0935400,160,0.0935300,354,0.0935200,360,0.0935100,676,0.0935000,354,0.0934900,6420,0.0934800,2688,0.0934700,9534,0.0934500,354,0.0936200,264,0.0936500,231,0.0936600,354,0.0936700,1865,0.0936800,529,0.0937000,361,0.0937100,761,0.0937300,1397,0.0937400,1679,0.0937500,550,0.00005000,1774137600000
8,1,22,0.092717,0.0940000,1.3838,1774137133000,0.092042,500,0.092002,581.99,0.092001,500,0.092,108.58,0.091937,500,0.091936,22.02,0.091908,500,0.091907,3679.23,0.091906,3179.23,0.091785,500,0.092705,2167.66,0.092706,1253.71,0.092711,1003.76,0.092777,2428.1,0.092778,3179.23,0.093214,400.43,0.093225,1058.85,0.093259,526,0.093268,526.5,0.093272,485.41,0.0935600,559,0.0935400,160,0.0935200,360,0.0935100,676,0.0934900,6420,0.0934800,2688,0.0934700,9534,0.0934500,354,0.0934400,813,0.0934300,361,0.0936200,329,0.0936500,55,0.0936600,542,0.0936700,1739,0.0936800,529,0.0937000,361,0.0937100,761,0.0937300,1397,0.0937400,1679,0.0937500,550,0.00005000,1774137600000
8,1,22,0.092711,0.0931000,0.4196,1774137134000,0.092043,581.99,0.092042,500,0.092002,581.99,0.092001,500,0.092,108.58,0.091937,500,0.091936,22.02,0.091908,500,0.091907,3679.23,0.091906,3179.23,0.092704,2417.61,0.092705,1003.76,0.092777,2428.1,0.092778,3179.23,0.093214,400.43,0.093225,1058.85,0.093259,526,0.093268,526.5,0.093272,485.41,0.093299,114.44,0.0935600,559,0.0935400,160,0.0935200,360,0.0935100,676,0.0935000,354,0.0934900,6420,0.0934800,2688,0.0934700,9534,0.0934500,354,0.0934400,813,0.0936200,327,0.0936500,55,0.0936600,542,0.0936700,1739,0.0936800,529,0.0937000,361,0.0937100,761,0.0937300,1397,0.0937400,1679,0.0937500,550,0.00005000,1774137600000
