spot_source_id,fut_source_id,symbol_id,ask_spot,bid_futures,spread_pct,ts,s_b1,s_b2,s_b3,s_b4,s_b5,s_b6,s_b7,s_b8,s_b9,s_b10,s_bq1,s_bq2,s_bq3,s_bq4,s_bq5,s_bq6,s_bq7,s_bq8,s_bq9,s_bq10,s_a1,s_a2,s_a3,s_a4,s_a5,s_a6,s_a7,s_a8,s_a9,s_a10,s_aq1,s_aq2,s_aq3,s_aq4,s_aq5,s_aq6,s_aq7,s_aq8,s_aq9,s_aq10,f_b1,f_b2,f_b3,f_b4,f_b5,f_b6,f_b7,f_b8,f_b9,f_b10,f_bq1,f_bq2,f_bq3,f_bq4,f_bq5,f_bq6,f_bq7,f_bq8,f_bq9,f_bq10,f_a1,f_a2,f_a3,f_a4,f_a5,f_a6,f_a7,f_a8,f_a9,f_a10,f_aq1,f_aq2,f_aq3,f_aq4,f_aq5,f_aq6,f_aq7,f_aq8,f_aq9,f_aq10,fr_r,fr_ft
8,1,54,0.6796,0.6791000,-0.0736,1774137107000,0.6792,7366.35,0.6791,1177.16,0.679,3393.2,0.6789,500,0.6788,9719.19,0.6787,2.48,0.6786,1,0.6785,6011.8,0.6784,7011.16,0.6782,1533.19,0.6795,50.41,0.6796,1533.19,0.6797,7008.84,0.6798,5172.9,0.68,8542.03,0.6802,4480.45,0.6803,7008.84,0.6804,1533.19,0.6806,7137.54,0.6808,2708.53,0.6791000,1014,0.6790000,4789,0.6789000,6735,0.6788000,6946,0.6787000,18573,0.6786000,12287,0.6785000,12190,0.6784000,19309,0.6783000,12159,0.6782000,19545,0.6792000,2832,0.6793000,12147,0.6794000,4403,0.6795000,21155,0.6796000,16292,0.6797000,14716,0.6798000,21749,0.6799000,15901,0.6800000,9520,0.6801000,16902,-0.00005402,1774137600000
8,1,54,0.6795,0.6791000,-0.0589,1774137108000,0.6787,2.48,0.6786,333.5,0.6785,3268.49,0.6784,7432.76,0.6782,4927.09,0.6781,6.36,0.678,1691.5,0.6779,7008.84,0.6777,737.78,0.6776,1540.01,0.6791,7008.84,0.6792,1533.19,0.6794,7008.84,0.6796,5939.69,0.6797,7008.84,0.6798,5172.9,0.68,8542.03,0.6802,1176.55,0.6803,7008.84,0.6804,1533.19,0.6791000,4828,0.6790000,2338,0.6789000,1632,0.6788000,12204,0.6787000,16980,0.6786000,8684,0.6785000,11970,0.6784000,20780,0.6783000,12019,0.6782000,11959,0.6792000,4260,0.6793000,5367,0.6794000,17322,0.6795000,21412,0.6796000,21290,0.6797000,30454,0.6798000,24374,0.6799000,6322,0.6800000,20498,0.6801000,12252,-0.00005402,1774137600000
8,1,54,0.6795,0.6791000,-0.0589,1774137112000,0.6792,332.84,0.6791,1176.64,0.679,8606.59,0.6789,3401.4,0.6788,1678.46,0.6787,7011.32,0.6786,1,0.6785,6013.3,0.6784,7011.16,0.6782,4826.59,0.6795,7008.84,0.6798,8542.03,0.6799,5286.2,0.68,735.38,0.6801,4838.79,0.6802,1176.64,0.6803,7008.84,0.6804,1533.19,0.6806,7137.54,0.6808,2708.53,0.6791000,2999,0.6790000,4968,0.6789000,7483,0.6788000,13498,0.6787000,16989,0.6786000,8740,0.6785000,10881,0.6784000,20798,0.6783000,7194,0.6782000,24049,0.6792000,2908,0.6793000,5872,0.6794000,21262,0.6795000,25604,0.6796000,11065,0.6797000,36881,0.6798000,20653,0.6799000,8892,0.6800000,22231,0.6801000,13985,-0.00005402,1774137600000
8,1,54,0.6795,0.6791000,-0.0589,1774137113000,0.6793,7388.89,0.6791,1176.64,0.679,12012.89,0.6788,1678.46,0.6787,7011.32,0.6786,1,0.6785,6013.3,0.6784,7011.16,0.6782,4826.59,0.6781,6.36,0.6795,261.27,0.6798,8685.03,0.6799,5286.2,0.68,735.38,0.6801,4838.79,0.6802,1176.64,0.6803,7008.84,0.6804,1533.19,0.6806,7137.54,0.6808,2708.53,0.6792000,1585,0.6791000,5309,0.6790000,10881,0.6789000,14059,0.6788000,10552,0.6787000,17070,0.6786000,8924,0.6785000,10881,0.6784000,23746,0.6783000,8028,0.6793000,3299,0.6794000,13659,0.6795000,15926,0.6796000,23225,0.6797000,27620,0.6798000,16909,0.6799000,8745,0.6800000,19290,0.6801000,16926,0.6802000,14039,-0.00005402,1774137600000
8,1,54,0.6795,0.6791000,-0.0589,1774137119000,0.6792,289.9,0.6791,2709.83,0.679,7496.23,0.6788,6140.05,0.6787,7011.32,0.6786,1,0.6785,6013.3,0.6784,7011.16,0.6782,4826.59,0.6781,6.36,0.6798,9718.03,0.68,1085.61,0.6801,10187.69,0.6802,1176.64,0.6803,7008.84,0.6804,1533.19,0.6806,7137.54,0.6808,2708.53,0.6809,7008.84,0.681,3293.3,0.6791000,2446,0.6790000,2550,0.6789000,5873,0.6788000,12809,0.6787000,21958,0.6786000,7215,0.6785000,6153,0.6784000,20798,0.6783000,10151,0.6782000,12793,0.6792000,6092,0.6793000,10353,0.6794000,20174,0.6795000,38560,0.6796000,13805,0.6797000,27308,0.6798000,17055,0.6799000,13806,0.6800000,19290,0.6801000,15009,-0.00005402,1774137600000
8,1,54,0.6792,0.6789000,-0.0442,1774137120000,0.6791,1523.04,0.679,10440.44,0.6789,89.81,0.6788,2711.65,0.6787,7011.32,0.6786,1,0.6785,6013.3,0.6784,7011.16,0.6782,4826.59,0.6781,6.36,0.6795,7008.84,0.6797,1568.09,0.6798,10012.03,0.68,735.38,0.6801,10187.69,0.6802,1176.64,0.6803,7008.84,0.6804,1533.19,0.6806,7137.54,0.6808,2708.53,0.6788000,1319,0.6787000,1869,0.6786000,4508,0.6785000,6941,0.6784000,18967,0.6783000,8836,0.6782000,11959,0.6781000,35357,0.6780000,20814,0.6779000,12000,0.6789000,4805,0.6790000,6907,0.6791000,10636,0.6792000,31409,0.6793000,21872,0.6794000,20857,0.6795000,32785,0.6796000,13799,0.6797000,29919,0.6798000,16987,-0.00005420,1774137600000
8,1,54,0.6789,0.6789000,0.0,1774137121000,0.6791,1176.64,0.679,10440.44,0.6789,446.96,0.6788,2776.23,0.6787,7011.32,0.6786,1,0.6785,6013.3,0.6784,7011.16,0.6782,4826.59,0.6781,6.36,0.6795,7008.84,0.6797,1568.09,0.6798,10012.03,0.68,735.38,0.6801,10187.69,0.6802,1176.64,0.6803,7008.84,0.6804,1533.19,0.6806,7137.54,0.6808,2708.53,0.6785000,3365,0.6784000,2820,0.6783000,6820,0.6782000,9784,0.6781000,34333,0.6780000,19980,0.6779000,12786,0.6778000,13404,0.6777000,30139,0.6776000,27473,0.6786000,3495,0.6787000,19568,0.6788000,8230,0.6789000,9727,0.6790000,19676,0.6791000,20498,0.6792000,41085,0.6793000,17274,0.6794000,17756,0.6795000,33875,-0.00005420,1774137600000
8,1,54,0.6785,0.6788000,0.0442,1774137122000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6781000,19221,0.6780000,5135,0.6779000,5962,0.6778000,8416,0.6777000,29394,0.6776000,19296,0.6775000,14483,0.6774000,17052,0.6773000,21816,0.6772000,12330,0.6782000,16902,0.6783000,13365,0.6784000,34194,0.6785000,18337,0.6786000,7038,0.6787000,12869,0.6788000,23060,0.6789000,27405,0.6790000,10166,0.6791000,22303,-0.00005420,1774137600000
8,1,54,0.6783,0.6787000,0.059,1774137123000,0.6791,1176.64,0.679,10440.44,0.6789,446.96,0.6788,2776.23,0.6787,7011.32,0.6786,1,0.6785,6013.3,0.6784,7011.16,0.6782,4826.59,0.6781,6.36,0.6795,8184.84,0.6797,6725.99,0.6798,8836.03,0.68,735.38,0.6801,4838.79,0.6802,1176.64,0.6803,7008.84,0.6804,1533.19,0.6806,7137.54,0.6808,2708.53,0.6780000,3753,0.6779000,1611,0.6778000,2288,0.6777000,25070,0.6776000,14385,0.6775000,13983,0.6774000,14109,0.6773000,22628,0.6772000,12364,0.6771000,11482,0.6781000,33470,0.6782000,47543,0.6783000,2133,0.6784000,1634,0.6785000,29903,0.6786000,12898,0.6787000,32639,0.6788000,17539,0.6789000,18567,0.6790000,9935,-0.00005420,1774137600000
8,1,54,0.6783,0.6786000,0.0442,1774137124000,0.6791,1176.64,0.679,10440.44,0.6789,511.53,0.6788,2711.65,0.6787,7011.32,0.6786,1,0.6785,6013.3,0.6784,7011.16,0.6782,4826.59,0.6781,6.36,0.6795,7008.84,0.6797,1177.59,0.6798,9334.85,0.6799,5573.7,0.68,735.38,0.6801,4838.79,0.6802,1176.64,0.6803,7008.84,0.6804,1533.19,0.6806,7137.54,0.6778000,3390,0.6777000,5914,0.6775000,5846,0.6774000,9614,0.6773000,24941,0.6772000,13133,0.6771000,12184,0.6770000,23441,0.6769000,15367,0.6768000,13727,0.6779000,2114,0.6780000,5492,0.6781000,1485,0.6782000,32651,0.6783000,18230,0.6784000,1140,0.6785000,24375,0.6786000,17152,0.6787000,21044,0.6788000,14788,-0.00005420,1774137600000
