spot_source_id,fut_source_id,symbol_id,ask_spot,bid_futures,spread_pct,ts,s_b1,s_b2,s_b3,s_b4,s_b5,s_b6,s_b7,s_b8,s_b9,s_b10,s_bq1,s_bq2,s_bq3,s_bq4,s_bq5,s_bq6,s_bq7,s_bq8,s_bq9,s_bq10,s_a1,s_a2,s_a3,s_a4,s_a5,s_a6,s_a7,s_a8,s_a9,s_a10,s_aq1,s_aq2,s_aq3,s_aq4,s_aq5,s_aq6,s_aq7,s_aq8,s_aq9,s_aq10,f_b1,f_b2,f_b3,f_b4,f_b5,f_b6,f_b7,f_b8,f_b9,f_b10,f_bq1,f_bq2,f_bq3,f_bq4,f_bq5,f_bq6,f_bq7,f_bq8,f_bq9,f_bq10,f_a1,f_a2,f_a3,f_a4,f_a5,f_a6,f_a7,f_a8,f_a9,f_a10,f_aq1,f_aq2,f_aq3,f_aq4,f_aq5,f_aq6,f_aq7,f_aq8,f_aq9,f_aq10,fr_r,fr_ft
8,1,366,0.0004028,0.0004025,-0.0745,1774137104000,0.000402,202140.88,0.0004019,387673.93,0.0004018,3156489.53,0.0004017,1411363.92,0.0004016,225795.19,0.0004015,3017434.14,0.000401,4385710.18,0.0004006,76660.54,0.0004005,2976559.59,0.0004004,10202.62,0.0004028,49347.39,0.0004029,1486436.27,0.0004032,317275.31,0.0004033,1486436.27,0.0004035,698167.93,0.0004036,3296256.94,0.0004037,1486436.27,0.0004039,179179.09,0.000404,2976559.59,0.0004041,1486436.27,0.0004025,195137,0.0004024,323347,0.0004023,548396,0.0004022,5503739,0.0004021,6098349,0.0004020,4783678,0.0004019,2597799,0.0004018,1269089,0.0004017,6252277,0.0004016,1100319,0.0004027,872717,0.0004028,2771316,0.0004029,1147418,0.0004030,1276142,0.0004031,3472632,0.0004032,5025271,0.0004033,3116701,0.0004034,2513203,0.0004035,4104639,0.0004036,7997632,0.00005000,1774137600000
8,1,366,0.0004024,0.0004021,-0.0746,1774137105000,0.000402,2140.88,0.0004018,2980255.8,0.0004017,1411363.92,0.0004016,374305.21,0.0004015,3017434.14,0.000401,4385710.18,0.0004006,76660.54,0.0004005,2976559.59,0.0004004,10202.62,0.0004003,1486436.27,0.0004027,193464.77,0.0004028,49347.39,0.0004029,1486436.27,0.0004032,317275.31,0.0004033,1486436.27,0.0004035,698167.93,0.0004036,3296256.94,0.0004037,1486436.27,0.0004039,179179.09,0.000404,2976559.59,0.0004020,12438,0.0004019,518601,0.0004018,441257,0.0004017,824414,0.0004016,5646767,0.0004015,417153,0.0004014,846681,0.0004013,2110440,0.0004012,6596349,0.0004011,2218079,0.0004021,310921,0.0004022,684964,0.0004023,3746568,0.0004024,2954048,0.0004025,603289,0.0004026,765390,0.0004027,1399490,0.0004028,3195582,0.0004029,2307242,0.0004030,3126916,0.00005000,1774137600000
8,1,366,0.000402,0.0004020,0.0,1774137106000,0.000402,2140.88,0.0004016,533073.06,0.0004015,2964793.08,0.0004012,149521.95,0.0004011,351389.12,0.000401,4385710.18,0.0004006,63405.43,0.0004005,2976559.59,0.0004004,10202.62,0.0004003,1486436.27,0.0004024,49347.39,0.0004025,1486436.27,0.0004028,443701.23,0.0004029,1486436.27,0.000403,153316.49,0.0004031,513623.09,0.0004032,3299382.66,0.0004033,1486436.27,0.0004036,2978776.21,0.0004037,1486436.27,0.0004018,173575,0.0004017,1047241,0.0004016,4792903,0.0004015,417153,0.0004014,933622,0.0004013,2110440,0.0004012,6187194,0.0004011,2771675,0.0004010,5385715,0.0004009,1277305,0.0004020,298483,0.0004021,1912144,0.0004022,2124840,0.0004023,3186924,0.0004024,3196825,0.0004025,603289,0.0004026,1359877,0.0004027,3983165,0.0004028,4316489,0.0004029,7649452,0.00005000,1774137600000
8,1,366,0.0004023,0.0004018,-0.1243,1774137107000,0.0004015,2964793.08,0.0004011,971831.24,0.000401,4385710.18,0.0004005,2976559.59,0.0004004,10202.62,0.0004003,1549841.7,0.0004002,2978776.21,0.0004,2747.24,0.0003998,2982107.35,0.0003996,1486436.27,0.0004024,438530.05,0.0004025,1486436.27,0.0004028,443701.23,0.0004029,1486436.27,0.000403,153316.49,0.0004031,513623.09,0.0004032,3299382.66,0.0004033,1486436.27,0.0004036,2978776.21,0.0004037,1486436.27,0.0004019,310921,0.0004018,573451,0.0004017,1435218,0.0004016,5860911,0.0004015,758235,0.0004014,859228,0.0004013,2203230,0.0004012,6608896,0.0004011,2771159,0.0004010,5385715,0.0004022,564627,0.0004023,2911423,0.0004024,2774607,0.0004025,603289,0.0004026,2796148,0.0004027,3046832,0.0004028,4316489,0.0004029,7426072,0.0004030,2463130,0.0004031,2584841,0.00005000,1774137600000
8,1,366,0.0004021,0.0004018,-0.0746,1774137108000,0.0004013,2982107.35,0.0004011,500911.07,0.000401,4385710.18,0.0004006,401712.81,0.0004005,2976559.59,0.0004003,1549841.7,0.0004002,2978776.21,0.0004,2747.24,0.0003998,2982107.35,0.0003996,1486436.27,0.0004021,1486436.27,0.0004024,438530.05,0.0004025,1486436.27,0.0004028,443701.23,0.0004029,1486436.27,0.000403,153316.49,0.0004031,513623.09,0.0004032,2982107.35,0.0004033,1486436.27,0.0004036,2978776.21,0.0004019,310921,0.0004018,187543,0.0004017,985941,0.0004016,4807070,0.0004015,678889,0.0004014,750407,0.0004013,2203230,0.0004012,6521788,0.0004011,2770676,0.0004010,5385715,0.0004021,310921,0.0004022,834155,0.0004023,3332590,0.0004024,2952997,0.0004025,603289,0.0004026,2201661,0.0004027,3066118,0.0004028,4316489,0.0004029,7426072,0.0004030,3107622,0.00005000,1774137600000
8,1,366,0.000402,0.0004019,-0.0249,1774137109000,0.0004014,138143.46,0.0004011,594911.21,0.000401,4385710.18,0.0004006,224268.92,0.0004005,2976559.59,0.0004003,1549841.7,0.0004002,2978776.21,0.0004,2747.24,0.0003999,76660.54,0.0003998,2982107.35,0.000402,49347.39,0.0004021,1486436.27,0.0004024,389182.66,0.0004025,1486436.27,0.0004028,3430633.4,0.0004029,1486436.27,0.0004031,513623.09,0.0004032,2982107.35,0.0004033,1486436.27,0.0004036,2978776.21,0.0004019,323735,0.0004018,187543,0.0004017,867398,0.0004016,4402801,0.0004015,767802,0.0004014,858386,0.0004013,2124687,0.0004012,6533826,0.0004011,2785450,0.0004010,5385715,0.0004021,564135,0.0004022,425820,0.0004023,2911423,0.0004024,2952997,0.0004025,1312210,0.0004026,2832623,0.0004027,4227549,0.0004028,4300428,0.0004029,7426072,0.0004030,2884297,0.00005000,1774137600000
8,1,366,0.000402,0.0004019,-0.0249,1774137110000,0.0004013,2986932.17,0.0004011,594911.21,0.000401,4385710.18,0.0004006,362412.38,0.0004005,2976559.59,0.0004003,1549841.7,0.0004002,2978776.21,0.0004,2747.24,0.0003999,76660.54,0.0003998,2982107.35,0.000402,49347.39,0.0004024,389182.66,0.0004025,1486436.27,0.0004027,541127.37,0.0004028,3430633.4,0.0004029,1486436.27,0.0004031,161885.92,0.0004032,2982107.35,0.0004033,1486436.27,0.0004036,2978776.21,0.0004019,323735,0.0004018,187543,0.0004017,801482,0.0004016,4433778,0.0004015,691910,0.0004014,437526,0.0004013,2124687,0.0004012,6187194,0.0004011,2785450,0.0004010,5385715,0.0004021,723860,0.0004022,975792,0.0004023,2911423,0.0004024,2952997,0.0004025,603289,0.0004026,2832623,0.0004027,4227549,0.0004028,4300428,0.0004029,7426072,0.0004030,2463130,0.00005000,1774137600000
8,1,366,0.000402,0.0004019,-0.0249,1774137111000,0.0004015,200000,0.0004014,1934063.83,0.0004013,2986932.17,0.0004011,424250.53,0.000401,4385710.18,0.0004006,138143.46,0.0004005,2976559.59,0.0004003,1549841.7,0.0004002,2978776.21,0.0004,2747.24,0.0004023,49347.39,0.0004024,389182.66,0.0004025,1486436.27,0.0004027,541127.37,0.0004028,3430633.4,0.0004029,1486436.27,0.0004031,161885.92,0.0004032,2982107.35,0.0004033,1486436.27,0.0004036,2978776.21,0.0004019,12814,0.0004018,158918,0.0004017,55493,0.0004016,4402801,0.0004015,443939,0.0004014,437526,0.0004013,2348958,0.0004012,6187194,0.0004011,2785450,0.0004010,5385715,0.0004020,660600,0.0004021,723860,0.0004022,412939,0.0004023,2911423,0.0004024,2952997,0.0004025,603289,0.0004026,2832623,0.0004027,4227549,0.0004028,4300428,0.0004029,7426072,0.00005000,1774137600000
8,1,366,0.000402,0.0004019,-0.0249,1774137113000,0.0004013,2986932.17,0.0004011,605411.96,0.000401,4385710.18,0.0004006,138143.46,0.0004005,2976559.59,0.0004003,1549841.7,0.0004002,2978776.21,0.0004,2747.24,0.0003999,76660.54,0.0003998,2982107.35,0.000402,49347.39,0.0004021,1486436.27,0.0004023,49347.39,0.0004024,389182.66,0.0004025,1486436.27,0.0004027,541127.37,0.0004028,3430633.4,0.0004029,1486436.27,0.0004031,161885.92,0.0004032,2982107.35,0.0004018,177716,0.0004017,669886,0.0004016,4474188,0.0004015,458211,0.0004014,422753,0.0004013,1783259,0.0004012,6411521,0.0004011,2805443,0.0004010,5385715,0.0004009,1276517,0.0004021,1287750,0.0004022,572182,0.0004023,2765064,0.0004024,3195774,0.0004025,524687,0.0004026,2832623,0.0004027,4227549,0.0004028,4300428,0.0004029,7115151,0.0004030,2463130,0.00005000,1774137600000
8,1,366,0.000402,0.0004020,0.0,1774137115000,0.0004014,200000,0.0004013,2986932.17,0.0004011,605411.96,0.000401,4385710.18,0.0004006,138143.46,0.0004005,2976559.59,0.0004003,1549841.7,0.0004002,2978776.21,0.0004,2747.24,0.0003999,76660.54,0.000402,49347.39,0.0004021,1486436.27,0.0004024,389182.66,0.0004025,1486436.27,0.0004027,541127.37,0.0004028,3430633.4,0.0004029,1486436.27,0.0004031,161885.92,0.0004032,2982107.35,0.0004033,1486436.27,0.0004017,315740,0.0004016,63219,0.0004015,947136,0.0004014,5111613,0.0004013,1589760,0.0004012,6411521,0.0004011,2790617,0.0004010,5400546,0.0004009,854815,0.0004008,2509916,0.0004019,329588,0.0004020,429285,0.0004021,738607,0.0004022,1612182,0.0004023,2765064,0.0004024,3208340,0.0004025,524687,0.0004026,2832623,0.0004027,6098136,0.0004028,4680402,0.00005000,1774137600000
