spot_source_id,fut_source_id,symbol_id,ask_spot,bid_futures,spread_pct,ts,s_b1,s_b2,s_b3,s_b4,s_b5,s_b6,s_b7,s_b8,s_b9,s_b10,s_bq1,s_bq2,s_bq3,s_bq4,s_bq5,s_bq6,s_bq7,s_bq8,s_bq9,s_bq10,s_a1,s_a2,s_a3,s_a4,s_a5,s_a6,s_a7,s_a8,s_a9,s_a10,s_aq1,s_aq2,s_aq3,s_aq4,s_aq5,s_aq6,s_aq7,s_aq8,s_aq9,s_aq10,f_b1,f_b2,f_b3,f_b4,f_b5,f_b6,f_b7,f_b8,f_b9,f_b10,f_bq1,f_bq2,f_bq3,f_bq4,f_bq5,f_bq6,f_bq7,f_bq8,f_bq9,f_bq10,f_a1,f_a2,f_a3,f_a4,f_a5,f_a6,f_a7,f_a8,f_a9,f_a10,f_aq1,f_aq2,f_aq3,f_aq4,f_aq5,f_aq6,f_aq7,f_aq8,f_aq9,f_aq10,fr_r,fr_ft
8,3,282,0.05352,0.05357,0.0934,1774137103000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.053550,1884,0.053540,4525,0.053530,9863,0.053520,10330,0.053510,11248,0.053500,16390,0.053490,9327,0.053480,5312,0.053470,12464,0.053460,65565,0.053560,911,0.053570,911,0.053580,8357,0.053590,9951,0.053600,12233,0.053610,12965,0.053620,11765,0.053630,13312,0.053640,24969,0.053650,17412,0.00005,1774137600000
8,3,282,0.05352,0.05355,0.0561,1774137104000,0.05343,578.09,0.05341,858.05,0.05339,749.35,0.05337,748.15,0.05335,548.18,0.05334,500,0.05333,1987.46,0.05332,3704.4,0.0533,950.64,0.05328,965.37,0.05352,260.95,0.05354,1687.57,0.05357,1920.13,0.05358,3249.4,0.05364,138.98,0.05366,1674.29,0.05367,2093.34,0.05368,2158.77,0.05372,1804.27,0.05373,2266.48,0.053550,1629,0.053540,4525,0.053530,9863,0.053520,10330,0.053510,11248,0.053500,16390,0.053490,11557,0.053480,5312,0.053470,12464,0.053460,65565,0.053560,911,0.053570,911,0.053580,8357,0.053590,9951,0.053600,20265,0.053610,12965,0.053620,11765,0.053630,15165,0.053640,24969,0.053650,17412,0.00005,1774137600000
8,3,282,0.05351,0.05354,0.0561,1774137105000,0.05341,108.67,0.05339,749.35,0.05337,748.15,0.05335,548.18,0.05334,500,0.05333,1015.37,0.05332,25.68,0.0533,1863.83,0.05328,2433,0.05327,465.37,0.05351,1433.26,0.05354,749.04,0.05357,969.95,0.05358,3249.4,0.05364,138.98,0.05366,1674.29,0.05367,2093.34,0.05368,3961.69,0.05373,2266.48,0.05376,2290.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00005,1774137600000
8,3,282,0.0535,0.05352,0.0374,1774137106000,0.05341,108.67,0.05339,749.35,0.05337,748.15,0.05335,548.18,0.05334,500,0.05333,1015.37,0.05332,25.68,0.0533,950.64,0.05329,2464.95,0.05328,5198.53,0.0535,453.75,0.05351,1694.21,0.05354,749.04,0.05357,969.95,0.05358,3249.4,0.05364,138.98,0.05366,1674.29,0.05367,2093.34,0.05368,2158.77,0.05373,2266.48,0.053550,1629,0.053540,4525,0.053530,9863,0.053520,10330,0.053510,11248,0.053500,16390,0.053490,11557,0.053480,5312,0.053470,12464,0.053460,65565,0.053560,911,0.053570,911,0.053580,8357,0.053590,8837,0.053600,20265,0.053610,12965,0.053620,11765,0.053630,15165,0.053640,24969,0.053650,17412,0.00005,1774137600000
8,3,282,0.0535,0.05352,0.0374,1774137107000,0.05345,5000,0.05341,108.67,0.05337,743.42,0.05335,548.18,0.05334,1413.19,0.05333,1015.37,0.05332,25.68,0.0533,1916.01,0.05328,3209.33,0.05326,500,0.05351,938.53,0.05354,749.04,0.05357,1729.19,0.05358,3249.4,0.05364,138.98,0.05366,1674.29,0.05367,2093.34,0.05368,2158.77,0.05372,1804.72,0.05373,2266.48,0.053550,3274,0.053540,4525,0.053530,9863,0.053520,10330,0.053510,11248,0.053500,16390,0.053490,11557,0.053480,5312,0.053470,12464,0.053460,65565,0.053560,911,0.053570,911,0.053580,8357,0.053590,8837,0.053600,20265,0.053610,12965,0.053620,11765,0.053630,15165,0.053640,24969,0.053650,17412,0.00005,1774137600000
8,3,282,0.05355,0.05354,-0.0187,1774137110000,0.05341,108.67,0.05339,746.67,0.05337,746.05,0.05335,548.18,0.05334,500,0.05333,1015.37,0.05332,25.68,0.05331,500,0.0533,950.64,0.05329,2947.19,0.0535,260.95,0.05353,1686.44,0.05355,744.55,0.05357,1196.35,0.05358,3249.4,0.05364,138.98,0.05366,1674.29,0.05367,3895.81,0.05368,2158.77,0.05373,2266.48,0.053550,3274,0.053540,4525,0.053530,9863,0.053520,10330,0.053510,11248,0.053500,16390,0.053490,11557,0.053480,5312,0.053470,12464,0.053460,65565,0.053560,911,0.053570,911,0.053580,8357,0.053590,8837,0.053600,20265,0.053610,12965,0.053620,11765,0.053630,15165,0.053640,24969,0.053650,17412,0.00005,1774137600000
8,3,282,0.05353,0.05354,0.0187,1774137111000,0.05341,638.75,0.05339,3999.61,0.05337,746.05,0.05335,548.18,0.05334,500,0.05333,1015.37,0.05332,25.68,0.05331,1246.52,0.0533,1341.29,0.05329,2947.19,0.0535,260.95,0.05353,1481.16,0.05355,744.55,0.05356,431.68,0.05357,969.95,0.05358,3249.4,0.05364,138.98,0.05366,1674.29,0.05367,3895.81,0.05368,2158.77,0.053550,2212,0.053540,4525,0.053530,9863,0.053520,10330,0.053510,11248,0.053500,16390,0.053490,11557,0.053480,5312,0.053470,12464,0.053460,65565,0.053560,911,0.053570,911,0.053580,8357,0.053590,8837,0.053600,20265,0.053610,12965,0.053620,11765,0.053630,15165,0.053640,24969,0.053650,17412,0.00005,1774137600000
8,3,282,0.05352,0.05355,0.0561,1774137113000,0.05345,5000,0.05341,108.67,0.05339,971.04,0.05338,3253.05,0.05334,1413.19,0.05333,2070.27,0.05332,25.68,0.05331,500,0.0533,465.37,0.05329,500,0.0535,260.95,0.05353,1481.16,0.05355,744.55,0.05356,431.68,0.05357,969.95,0.05358,3249.4,0.05364,138.98,0.05366,1674.29,0.05367,2093.34,0.05368,2158.77,0.053550,2119,0.053540,4525,0.053530,9863,0.053520,10330,0.053510,11369,0.053500,19037,0.053490,9327,0.053480,5312,0.053470,12464,0.053460,65565,0.053560,921,0.053570,911,0.053580,8357,0.053590,8837,0.053600,20265,0.053610,12965,0.053620,13620,0.053630,13312,0.053640,24969,0.053650,20454,0.00005,1774137600000
8,3,282,0.05352,0.05354,0.0374,1774137119000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.053570,1457,0.053560,3420,0.053550,8412,0.053540,7099,0.053530,7310,0.053520,10330,0.053510,10991,0.053500,18334,0.053490,9327,0.053480,5312,0.053580,911,0.053590,3389,0.053600,7466,0.053610,7739,0.053620,9732,0.053630,13312,0.053640,26993,0.053650,12895,0.053660,6682,0.053670,16972,0.00005,1774137600000
8,3,282,0.05352,0.05353,0.0187,1774137120000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.053560,1457,0.053550,23287,0.053540,13366,0.053530,4021,0.053520,10330,0.053510,10991,0.053500,18334,0.053490,9327,0.053480,5312,0.053470,12464,0.053570,911,0.053590,5963,0.053600,7466,0.053610,11805,0.053620,13620,0.053630,13312,0.053640,26993,0.053650,12895,0.053660,6682,0.053670,35607,0.00005,1774137600000
8,3,282,0.05349,0.05353,0.0748,1774137121000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.053560,1457,0.053550,25135,0.053540,13366,0.053530,4021,0.053520,10330,0.053510,10991,0.053500,16390,0.053490,9327,0.053480,5312,0.053470,12464,0.053570,911,0.053590,6311,0.053600,7466,0.053610,11805,0.053620,13620,0.053630,13312,0.053640,26993,0.053650,12895,0.053660,14834,0.053670,35609,0.00005,1774137600000
