spot_source_id,fut_source_id,symbol_id,ask_spot,bid_futures,spread_pct,ts,s_b1,s_b2,s_b3,s_b4,s_b5,s_b6,s_b7,s_b8,s_b9,s_b10,s_bq1,s_bq2,s_bq3,s_bq4,s_bq5,s_bq6,s_bq7,s_bq8,s_bq9,s_bq10,s_a1,s_a2,s_a3,s_a4,s_a5,s_a6,s_a7,s_a8,s_a9,s_a10,s_aq1,s_aq2,s_aq3,s_aq4,s_aq5,s_aq6,s_aq7,s_aq8,s_aq9,s_aq10,f_b1,f_b2,f_b3,f_b4,f_b5,f_b6,f_b7,f_b8,f_b9,f_b10,f_bq1,f_bq2,f_bq3,f_bq4,f_bq5,f_bq6,f_bq7,f_bq8,f_bq9,f_bq10,f_a1,f_a2,f_a3,f_a4,f_a5,f_a6,f_a7,f_a8,f_a9,f_a10,f_aq1,f_aq2,f_aq3,f_aq4,f_aq5,f_aq6,f_aq7,f_aq8,f_aq9,f_aq10,fr_r,fr_ft
8,3,350,0.01312,0.013149,0.221,1774137104000,0.0131,95.85,0.01308,148546.22,0.01306,134462.67,0.01305,403214.37,0.01304,164672.18,0.01303,81970.08,0.01302,72037.2,0.01301,87779.04,0.013,71370.29,0.01298,249805.71,0.01312,65483.67,0.01313,88712.88,0.01314,61880.81,0.01315,87779.04,0.01317,148592.41,0.01319,60698.02,0.0132,87779.04,0.01321,67157.8,0.01322,97870.61,0.01324,130121.39,0.013160,606,0.013156,2604,0.013153,1374,0.013150,2281,0.013149,5368,0.013142,11354,0.013137,7241,0.013133,6556,0.013132,30723,0.013131,101661,0.013182,55693,0.013183,42038,0.013186,2423,0.013187,7389,0.013189,3700,0.013192,3700,0.013193,3700,0.013195,7389,0.013196,20916,0.013197,70072,0.00011376,1774137600000
8,3,350,0.0131,0.013132,0.2443,1774137105000,0.01306,90349.04,0.01305,403214.37,0.01304,164672.18,0.01303,85665.39,0.01302,72037.2,0.01301,87779.04,0.013,71370.29,0.01298,248099.46,0.01297,85905.57,0.01296,194414.46,0.01311,4483.11,0.01312,65483.67,0.01313,88712.88,0.01314,61880.81,0.01315,87779.04,0.01317,148592.41,0.01319,60698.02,0.0132,87779.04,0.01321,67157.8,0.01322,127511.02,0.013160,606,0.013156,2604,0.013153,1374,0.013150,2281,0.013149,5368,0.013142,11354,0.013137,7241,0.013133,6556,0.013132,30723,0.013131,101661,0.013182,65329,0.013183,42038,0.013186,2423,0.013187,7389,0.013189,3700,0.013192,3700,0.013193,3700,0.013195,7389,0.013198,3706,0.013201,3700,0.00011376,1774137600000
8,3,350,0.01291,0.012932,0.1704,1774137106000,0.01306,62706.95,0.01304,71144.68,0.01303,173444.43,0.01302,271733.24,0.01301,87779.04,0.013,259212.23,0.01298,318312.22,0.01297,84199.32,0.01296,194414.46,0.01295,87779.04,0.0131,87779.04,0.01312,62911.11,0.01313,87779.04,0.01314,60929.16,0.01315,87779.04,0.01317,148592.41,0.01319,60698.02,0.0132,87779.04,0.01321,67157.8,0.01322,127511.02,0.013160,606,0.013156,2604,0.013153,1374,0.013150,2281,0.013149,5368,0.013142,11354,0.013137,7241,0.013133,6556,0.013132,30723,0.013131,101661,0.013182,65329,0.013183,42038,0.013186,1986,0.013187,7389,0.013189,3700,0.013192,3700,0.013193,3700,0.013195,7389,0.013198,3706,0.013201,3700,0.00011376,1774137600000
8,3,350,0.01293,0.012917,-0.1005,1774137107000,0.01306,62706.95,0.01304,71186.04,0.01303,173444.43,0.01302,271733.24,0.01301,87779.04,0.013,259212.23,0.01298,318312.22,0.01297,84199.32,0.01296,194414.46,0.01295,87779.04,0.0131,87779.04,0.01312,62901.01,0.01313,87779.04,0.01314,60929.16,0.01315,87779.04,0.01317,148592.41,0.01319,60698.02,0.0132,87779.04,0.01321,67157.8,0.01322,127511.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00011376,1774137600000
8,3,350,0.01292,0.012945,0.1935,1774137108000,0.0129,3956.14,0.01289,2515.67,0.01288,3987.86,0.01287,4458.69,0.01286,4431.31,0.01285,4431.31,0.01284,326508.06,0.01283,247484.66,0.0128,47000.38,0.01279,82066.86,0.01294,3878.36,0.01295,1018.28,0.01296,4344.22,0.01297,2680.25,0.01298,5042.94,0.01299,1096.78,0.01302,3890.06,0.01303,4370.78,0.01307,63075,0.01308,28908.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00011376,1774137600000
8,3,350,0.01294,0.012963,0.1777,1774137109000,0.01285,3897.89,0.01283,2322.89,0.01282,61302.68,0.0128,183075.09,0.01279,157750.75,0.01278,332364.39,0.01277,163975.33,0.01276,126227.91,0.01275,154582.06,0.01274,181519.84,0.0129,87779.04,0.01291,61302.68,0.01292,87779.04,0.01293,61302.68,0.01294,87779.04,0.01296,61302.68,0.01297,87779.04,0.013,154062.93,0.01303,92149.82,0.01304,61302.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00011376,1774137600000
8,3,350,0.01294,0.012968,0.2164,1774137110000,0.01287,4388.33,0.01286,12191.27,0.01285,97714.09,0.01284,62263.13,0.01283,94689.6,0.01282,61302.68,0.01281,93312.6,0.0128,183075.09,0.01279,251063.35,0.01278,244585.35,0.01291,62247.36,0.01292,88730.69,0.01293,61302.68,0.01294,87779.04,0.01296,61302.68,0.01297,95894.84,0.01298,8907.2,0.01299,6292.27,0.013,161436.74,0.01303,97683.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00011376,1774137600000
8,3,350,0.01293,0.012941,0.0851,1774137111000,0.01291,3904.83,0.0129,4347.67,0.01289,97692.1,0.01288,62208.39,0.01287,93312.6,0.01286,62208.39,0.01285,165349.07,0.01284,164342.19,0.01283,164902.36,0.01282,354007.83,0.01294,157418.6,0.01296,61302.68,0.01297,87779.04,0.013,149081.72,0.01302,62208.39,0.01303,93312.6,0.01304,74405.23,0.01306,93312.6,0.01307,17156.35,0.01308,4370.78,0.013160,606,0.013156,2604,0.013153,1374,0.013150,2281,0.013149,5368,0.013142,11354,0.013137,7241,0.013133,6556,0.013132,30723,0.013131,101661,0.013182,65329,0.013183,29402,0.013186,1986,0.013187,7389,0.013189,3700,0.013192,3700,0.013193,3700,0.013195,7389,0.013198,3706,0.013201,3700,0.00011376,1774137600000
8,3,350,0.01292,0.012942,0.1703,1774137112000,0.01289,4322.48,0.01288,61895.55,0.01287,93312.6,0.01286,63152.03,0.01285,165349.07,0.01284,164342.19,0.01283,164902.36,0.01282,354007.83,0.01281,188145.42,0.0128,121772.41,0.01293,94314.18,0.01294,63160.04,0.01295,93312.6,0.01296,61302.68,0.01298,93312.6,0.013,149081.72,0.01302,62208.39,0.01303,102188.34,0.01304,13102.55,0.01305,70011.35,0.013160,606,0.013156,2604,0.013153,1374,0.013150,2281,0.013149,5368,0.013142,11354,0.013137,7241,0.013133,6556,0.013132,30723,0.013131,101661,0.013182,65329,0.013183,29402,0.013186,1549,0.013187,7389,0.013189,3700,0.013192,3700,0.013193,3700,0.013195,7389,0.013198,3706,0.013201,3700,0.00011376,1774137600000
8,3,350,0.01297,0.012976,0.0463,1774137113000,0.01291,3758.5,0.0129,4227.51,0.01289,4153.98,0.01288,93312.6,0.01286,61895.55,0.01285,93312.6,0.01284,61895.55,0.01283,242409.95,0.01282,354007.83,0.01281,94832.82,0.01293,933.85,0.01294,62208.39,0.01295,951.65,0.01296,154615.28,0.01298,93312.6,0.013,149081.72,0.01302,61895.55,0.01303,102188.34,0.01304,15128.36,0.01305,73727.17,0.013160,606,0.013156,2604,0.013153,1374,0.013150,2281,0.013149,5368,0.013142,11354,0.013137,7241,0.013133,6556,0.013132,30723,0.013131,101661,0.013182,65329,0.013183,29402,0.013186,1549,0.013187,7389,0.013189,3700,0.013192,3700,0.013193,3700,0.013195,7389,0.013197,70224,0.013198,3706,0.00011376,1774137600000
