spot_source_id,fut_source_id,symbol_id,ask_spot,bid_futures,spread_pct,ts,s_b1,s_b2,s_b3,s_b4,s_b5,s_b6,s_b7,s_b8,s_b9,s_b10,s_bq1,s_bq2,s_bq3,s_bq4,s_bq5,s_bq6,s_bq7,s_bq8,s_bq9,s_bq10,s_a1,s_a2,s_a3,s_a4,s_a5,s_a6,s_a7,s_a8,s_a9,s_a10,s_aq1,s_aq2,s_aq3,s_aq4,s_aq5,s_aq6,s_aq7,s_aq8,s_aq9,s_aq10,f_b1,f_b2,f_b3,f_b4,f_b5,f_b6,f_b7,f_b8,f_b9,f_b10,f_bq1,f_bq2,f_bq3,f_bq4,f_bq5,f_bq6,f_bq7,f_bq8,f_bq9,f_bq10,f_a1,f_a2,f_a3,f_a4,f_a5,f_a6,f_a7,f_a8,f_a9,f_a10,f_aq1,f_aq2,f_aq3,f_aq4,f_aq5,f_aq6,f_aq7,f_aq8,f_aq9,f_aq10,fr_r,fr_ft
8,3,363,0.0466,0.0464,-0.4292,1774137104000,0.0464,11.06,0.0463,6437.77,0.0462,64551.15,0.0461,141143.55,0.046,201945.1,0.0459,518134.72,0.0458,13272.19,0.0457,253628,0.0456,2647,0.0455,77144.66,0.0466,6706.01,0.0467,71220.84,0.0468,8437.77,0.0469,64545.91,0.047,6295.91,0.0471,8501.76,0.0472,6247.33,0.0473,8295.91,0.0474,83222.7,0.0475,8272.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00005,1774137600000
8,3,363,0.0466,0.0463,-0.6438,1774137106000,0.0464,11.06,0.0463,6437.77,0.0462,298403.18,0.0461,25045.91,0.046,146727.41,0.0459,447073.5,0.0458,11272.19,0.0457,255628,0.0456,2647,0.0455,77144.66,0.0466,52739.08,0.0467,25187.77,0.0468,8437.77,0.0469,64545.91,0.047,6295.91,0.0471,8501.76,0.0472,8247.33,0.0473,83295.91,0.0474,6222.7,0.0475,8272.25,0.04639,383,0.04637,194,0.04635,793,0.04634,6632,0.04633,371,0.04632,194,0.04631,194,0.04630,600,0.04629,794,0.04628,194,0.04645,194,0.04646,771,0.04647,194,0.04649,300,0.04652,808,0.04653,583,0.04654,1072,0.04660,199,0.04662,600,0.04663,194,0.00005,1774137600000
8,3,363,0.0466,0.04636,-0.515,1774137107000,0.0464,11.06,0.0462,14834.23,0.0461,56012.83,0.046,398288.62,0.0459,576384.72,0.0458,11272.19,0.0457,255628,0.0456,2647,0.0455,77144.66,0.0453,2000,0.0466,52739.08,0.0467,25187.77,0.0468,8437.77,0.0469,64545.91,0.047,6295.91,0.0471,8501.76,0.0472,8247.33,0.0473,83295.91,0.0474,6222.7,0.0475,2000,0.04639,383,0.04637,194,0.04635,793,0.04634,6632,0.04633,371,0.04632,194,0.04631,194,0.04630,600,0.04629,794,0.04628,194,0.04645,194,0.04646,771,0.04647,194,0.04649,300,0.04652,808,0.04653,583,0.04654,1072,0.04658,579,0.04660,778,0.04661,579,0.00005,1774137600000
8,3,363,0.0466,0.04635,-0.5365,1774137108000,0.0464,11.06,0.0462,45801.15,0.0461,153316.31,0.046,270018.22,0.0459,576935.17,0.0458,11272.19,0.0457,255628,0.0456,2647,0.0455,77144.66,0.0453,2000,0.0466,52739.08,0.0467,25187.77,0.0468,8437.77,0.0469,64545.91,0.047,6295.91,0.0471,8295.91,0.0472,8453.18,0.0473,83295.91,0.0474,6222.7,0.0475,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00005,1774137600000
8,3,363,0.0466,0.04638,-0.4721,1774137120000,0.0464,11.06,0.0463,6437.77,0.0462,64551.15,0.0461,136566.31,0.046,328659.14,0.0459,518685.17,0.0458,8437.77,0.0457,253628,0.0456,6849.73,0.0455,77144.66,0.0466,6706.01,0.0467,71220.84,0.0468,8437.77,0.0469,64545.91,0.047,6295.91,0.0471,8501.76,0.0472,6247.33,0.0473,8295.91,0.0474,83222.7,0.0475,2000,0.04641,194,0.04640,542,0.04639,383,0.04637,707,0.04635,1393,0.04634,6632,0.04633,371,0.04632,1097,0.04631,194,0.04630,600,0.04647,194,0.04649,494,0.04652,808,0.04653,583,0.04656,1074,0.04658,579,0.04659,6433,0.04660,199,0.04662,600,0.04664,199,0.00005,1774137600000
8,3,363,0.0465,0.04638,-0.2581,1774137121000,0.0464,11.06,0.0463,6437.77,0.0462,64551.15,0.0461,136566.31,0.046,328659.14,0.0459,518685.17,0.0458,9084.77,0.0457,253628,0.0456,6849.73,0.0455,77144.66,0.0466,6706.01,0.0467,71220.84,0.0468,8437.77,0.0469,64545.91,0.047,6295.91,0.0471,8501.76,0.0472,6247.33,0.0473,8295.91,0.0474,83222.7,0.0475,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00005,1774137600000
8,3,363,0.0465,0.04634,-0.3441,1774137122000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04640,542,0.04639,383,0.04637,707,0.04635,1393,0.04634,6632,0.04633,371,0.04632,1697,0.04631,194,0.04630,600,0.04629,794,0.04647,194,0.04649,494,0.04652,808,0.04653,583,0.04656,1074,0.04658,579,0.04659,6433,0.04660,199,0.04664,799,0.04665,199,0.00005,1774137600000
8,3,363,0.0465,0.0463,-0.4301,1774137124000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00005,1774137600000
8,3,363,0.0465,0.04625,-0.5376,1774137127000,0.0464,11.06,0.0463,6437.77,0.0462,445423.58,0.0461,8295.91,0.046,77339.18,0.0459,518685.17,0.0458,9084.77,0.0457,253628,0.0456,6849.73,0.0455,77144.66,0.0466,50739.08,0.0467,27187.77,0.0468,8437.77,0.0469,64545.91,0.047,6295.91,0.0471,8501.76,0.0472,6247.33,0.0473,8295.91,0.0474,83222.7,0.0475,2000,0.04640,348,0.04639,189,0.04637,513,0.04635,214,0.04634,6632,0.04633,371,0.04632,794,0.04631,194,0.04630,790,0.04629,794,0.04644,190,0.04645,296,0.04646,510,0.04647,774,0.04648,280,0.04649,494,0.04652,808,0.04653,583,0.04658,579,0.04659,6433,0.00005,1774137600000
8,3,363,0.0465,0.04625,-0.5376,1774137128000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04639,189,0.04637,513,0.04635,214,0.04634,6632,0.04633,371,0.04632,794,0.04631,194,0.04630,790,0.04629,794,0.04628,194,0.04644,190,0.04645,296,0.04646,510,0.04647,774,0.04649,194,0.04652,808,0.04653,6,0.04655,616,0.04658,579,0.04659,6433,0.00005,1774137600000
