spot_source_id,fut_source_id,symbol_id,ask_spot,bid_futures,spread_pct,ts,s_b1,s_b2,s_b3,s_b4,s_b5,s_b6,s_b7,s_b8,s_b9,s_b10,s_bq1,s_bq2,s_bq3,s_bq4,s_bq5,s_bq6,s_bq7,s_bq8,s_bq9,s_bq10,s_a1,s_a2,s_a3,s_a4,s_a5,s_a6,s_a7,s_a8,s_a9,s_a10,s_aq1,s_aq2,s_aq3,s_aq4,s_aq5,s_aq6,s_aq7,s_aq8,s_aq9,s_aq10,f_b1,f_b2,f_b3,f_b4,f_b5,f_b6,f_b7,f_b8,f_b9,f_b10,f_bq1,f_bq2,f_bq3,f_bq4,f_bq5,f_bq6,f_bq7,f_bq8,f_bq9,f_bq10,f_a1,f_a2,f_a3,f_a4,f_a5,f_a6,f_a7,f_a8,f_a9,f_a10,f_aq1,f_aq2,f_aq3,f_aq4,f_aq5,f_aq6,f_aq7,f_aq8,f_aq9,f_aq10,fr_r,fr_ft
8,5,54,0.6799,0.6793,-0.0882,1774137104000,0.6798,257.38,0.6796,1.66,0.6795,1676.21,0.6794,10483.45,0.6793,31.29,0.6791,1533.19,0.679,4476.78,0.6789,7008.84,0.6788,1533.19,0.6787,2.48,0.6799,21.05,0.68,8542.03,0.6802,1226.96,0.6803,7008.84,0.6804,6650.19,0.6806,7008.84,0.6808,6010.93,0.6809,7008.84,0.681,3291.7,0.6812,2708.53,0.6793,78,0.6792,2704,0.6791,4380,0.679,4574,0.6789,16328,0.6788,17647,0.6787,11430,0.6786,25465,0.6785,26018,0.6784,19485,0.6794,8373,0.6795,19123,0.6796,10218,0.6797,13670,0.6798,37404,0.6799,13390,0.68,14230,0.6801,14467,0.6802,22564,0.6803,15957,,
8,5,54,0.6794,0.6787,-0.103,1774137105000,0.6794,6904.35,0.6793,1208.02,0.6791,1533.19,0.679,4568.48,0.6789,7008.84,0.6788,1533.19,0.6787,2.48,0.6786,3292.9,0.6785,6011.8,0.6784,7011.16,0.6798,336.82,0.6799,338.15,0.68,8542.03,0.6801,486.07,0.6802,1176.55,0.6803,7008.84,0.6804,6650.19,0.6806,7066.41,0.6808,6010.93,0.6809,7008.84,0.6789,1117,0.6788,7745,0.6787,7816,0.6786,5801,0.6785,19742,0.6784,4847,0.6783,26088,0.6782,18041,0.6781,14548,0.678,28615,0.679,4737,0.6791,10570,0.6792,21079,0.6793,9879,0.6794,24124,0.6795,15694,0.6796,16803,0.6797,17948,0.6798,17733,0.6799,17995,,
8,5,54,0.6791,0.6784,-0.1031,1774137106000,0.6791,1177.16,0.6789,500,0.6788,9719.19,0.6787,3393.88,0.6786,1,0.6785,6011.8,0.6784,7011.16,0.6782,1533.19,0.6781,3299.06,0.678,1691.5,0.6794,7008.84,0.6795,1533.19,0.6797,7008.84,0.6798,5172.9,0.68,8542.03,0.6802,4480.45,0.6803,7008.84,0.6804,1533.19,0.6806,7137.54,0.6808,2708.53,0.6783,445,0.6782,2672,0.6781,4697,0.678,16829,0.6779,9711,0.6778,43945,0.6777,19831,0.6776,18940,0.6775,19357,0.6774,19227,0.6784,3570,0.6785,9314,0.6786,19024,0.6787,7618,0.6788,15041,0.6789,13402,0.679,12996,0.6791,19448,0.6792,23588,0.6793,12160,,
8,5,54,0.6796,0.679,-0.0883,1774137107000,0.6792,7366.35,0.6791,1177.16,0.679,3393.2,0.6789,500,0.6788,9719.19,0.6787,2.48,0.6786,1,0.6785,6011.8,0.6784,7011.16,0.6782,1533.19,0.6795,50.41,0.6796,1533.19,0.6797,7008.84,0.6798,5172.9,0.68,8542.03,0.6802,4480.45,0.6803,7008.84,0.6804,1533.19,0.6806,7137.54,0.6808,2708.53,0.6789,1493,0.6788,3313,0.6787,8149,0.6786,10368,0.6785,10713,0.6784,11856,0.6783,9945,0.6782,25547,0.6781,10082,0.678,24979,0.679,4317,0.6791,11981,0.6792,18506,0.6793,8471,0.6794,27249,0.6795,14564,0.6796,15906,0.6797,20602,0.6798,20788,0.6799,18801,,
8,5,54,0.6795,0.679,-0.0736,1774137108000,0.6787,2.48,0.6786,333.5,0.6785,3268.49,0.6784,7432.76,0.6782,4927.09,0.6781,6.36,0.678,1691.5,0.6779,7008.84,0.6777,737.78,0.6776,1540.01,0.6791,7008.84,0.6792,1533.19,0.6794,7008.84,0.6796,5939.69,0.6797,7008.84,0.6798,5172.9,0.68,8542.03,0.6802,1176.55,0.6803,7008.84,0.6804,1533.19,0.6788,6484,0.6787,3789,0.6786,4744,0.6785,17878,0.6784,15432,0.6783,13127,0.6782,18892,0.6781,19248,0.678,25332,0.6779,18924,0.6789,140,0.679,27,0.6791,5951,0.6792,16855,0.6793,13780,0.6794,9702,0.6795,10991,0.6796,23204,0.6797,13510,0.6798,16415,,
8,5,54,0.6795,0.679,-0.0736,1774137109000,0.6787,2.48,0.6786,1,0.6785,6101.8,0.6784,7493.07,0.6782,1533.19,0.6781,6.36,0.678,1691.5,0.6779,7008.84,0.6777,737.78,0.6776,1540.01,0.6791,7008.84,0.6792,1533.19,0.6793,5215.4,0.6794,7008.84,0.6796,5939.69,0.6797,7008.84,0.6799,3292.7,0.68,8542.03,0.6802,1176.55,0.6803,7008.84,0.679,1242,0.6789,6055,0.6788,10368,0.6787,5532,0.6786,11582,0.6785,15886,0.6784,14218,0.6783,19681,0.6782,26520,0.6781,16830,0.6791,3675,0.6792,11681,0.6793,9601,0.6794,9994,0.6795,9734,0.6796,21010,0.6797,13974,0.6798,14281,0.6799,20742,0.68,18793,,
8,5,54,0.6795,0.6789,-0.0883,1774137110000,0.679,429.04,0.6788,8187.3,0.6787,2.48,0.6786,1,0.6785,6101.8,0.6784,7011.16,0.6782,1533.19,0.6781,3310.86,0.678,1691.5,0.6779,7008.84,0.6793,1533.19,0.6794,7008.84,0.6795,5248.2,0.6796,5940.47,0.6797,7008.84,0.6799,3292.7,0.68,8542.03,0.6802,1176.55,0.6803,7008.84,0.6804,1533.19,0.6789,114,0.6788,985,0.6787,7732,0.6786,11374,0.6785,16081,0.6784,14152,0.6783,19352,0.6782,24421,0.6781,17014,0.678,19027,0.679,6022,0.6791,5055,0.6792,15080,0.6793,12403,0.6794,9573,0.6795,10475,0.6796,20417,0.6797,13822,0.6798,14281,0.6799,20740,,
8,5,54,0.6795,0.6789,-0.0883,1774137111000,0.6792,7348.72,0.6791,1178.46,0.679,1533.19,0.6789,10472.21,0.6788,1678.46,0.6787,2.48,0.6786,1,0.6785,2708.1,0.6784,7011.16,0.6782,4826.59,0.6796,1457.71,0.6797,7008.84,0.6798,5263.6,0.68,8542.03,0.6801,3304.8,0.6802,1176.55,0.6803,7008.84,0.6804,4826.09,0.6806,7137.54,0.6808,2708.53,0.6789,90,0.6788,26,0.6787,4871,0.6786,13537,0.6785,15502,0.6784,14152,0.6783,19536,0.6782,24421,0.6781,16830,0.678,19027,0.679,7312,0.6791,5055,0.6792,15228,0.6793,12841,0.6794,27644,0.6795,12669,0.6796,20265,0.6797,11628,0.6798,16260,0.6799,20740,,
8,5,54,0.6795,0.6788,-0.103,1774137112000,0.6792,332.84,0.6791,1176.64,0.679,8606.59,0.6789,3401.4,0.6788,1678.46,0.6787,7011.32,0.6786,1,0.6785,6013.3,0.6784,7011.16,0.6782,4826.59,0.6795,7008.84,0.6798,8542.03,0.6799,5286.2,0.68,735.38,0.6801,4838.79,0.6802,1176.64,0.6803,7008.84,0.6804,1533.19,0.6806,7137.54,0.6808,2708.53,0.6788,76,0.6787,17,0.6786,7918,0.6785,15151,0.6784,11584,0.6783,18116,0.6782,24421,0.6781,17014,0.678,21007,0.6779,19184,0.6789,8576,0.679,13306,0.6791,13639,0.6792,13443,0.6793,18653,0.6794,30842,0.6795,11198,0.6796,20265,0.6797,11628,0.6798,18085,,
8,5,54,0.6795,0.6788,-0.103,1774137113000,0.6793,7388.89,0.6791,1176.64,0.679,12012.89,0.6788,1678.46,0.6787,7011.32,0.6786,1,0.6785,6013.3,0.6784,7011.16,0.6782,4826.59,0.6781,6.36,0.6795,261.27,0.6798,8685.03,0.6799,5286.2,0.68,735.38,0.6801,4838.79,0.6802,1176.64,0.6803,7008.84,0.6804,1533.19,0.6806,7137.54,0.6808,2708.53,0.6788,5732,0.6787,6715,0.6786,8028,0.6785,15007,0.6784,18452,0.6783,18446,0.6782,24276,0.6781,16830,0.678,21007,0.6779,19184,0.6789,57,0.679,4157,0.6791,13075,0.6792,8445,0.6793,12642,0.6794,9759,0.6795,12670,0.6796,20265,0.6797,11628,0.6798,16260,,
