spot_source_id,fut_source_id,symbol_id,ask_spot,bid_futures,spread_pct,ts,s_b1,s_b2,s_b3,s_b4,s_b5,s_b6,s_b7,s_b8,s_b9,s_b10,s_bq1,s_bq2,s_bq3,s_bq4,s_bq5,s_bq6,s_bq7,s_bq8,s_bq9,s_bq10,s_a1,s_a2,s_a3,s_a4,s_a5,s_a6,s_a7,s_a8,s_a9,s_a10,s_aq1,s_aq2,s_aq3,s_aq4,s_aq5,s_aq6,s_aq7,s_aq8,s_aq9,s_aq10,f_b1,f_b2,f_b3,f_b4,f_b5,f_b6,f_b7,f_b8,f_b9,f_b10,f_bq1,f_bq2,f_bq3,f_bq4,f_bq5,f_bq6,f_bq7,f_bq8,f_bq9,f_bq10,f_a1,f_a2,f_a3,f_a4,f_a5,f_a6,f_a7,f_a8,f_a9,f_a10,f_aq1,f_aq2,f_aq3,f_aq4,f_aq5,f_aq6,f_aq7,f_aq8,f_aq9,f_aq10,fr_r,fr_ft
8,5,350,0.01312,0.01312,0.0,1774137104000,0.0131,95.85,0.01308,148546.22,0.01306,134462.67,0.01305,403214.37,0.01304,164672.18,0.01303,81970.08,0.01302,72037.2,0.01301,87779.04,0.013,71370.29,0.01298,249805.71,0.01312,65483.67,0.01313,88712.88,0.01314,61880.81,0.01315,87779.04,0.01317,148592.41,0.01319,60698.02,0.0132,87779.04,0.01321,67157.8,0.01322,97870.61,0.01324,130121.39,0.01312,1,0.01311,487,0.0131,1126,0.01309,759,0.01308,984,0.01307,487,0.01306,1068,0.01305,1077,0.01304,2469,0.01303,46,0.01313,8,0.01314,145,0.01315,445,0.01316,1136,0.01317,484,0.01318,1207,0.01319,1259,0.0132,988,0.01321,484,0.01322,1415,,
8,5,350,0.0131,0.01299,-0.8397,1774137105000,0.01306,90349.04,0.01305,403214.37,0.01304,164672.18,0.01303,85665.39,0.01302,72037.2,0.01301,87779.04,0.013,71370.29,0.01298,248099.46,0.01297,85905.57,0.01296,194414.46,0.01311,4483.11,0.01312,65483.67,0.01313,88712.88,0.01314,61880.81,0.01315,87779.04,0.01317,148592.41,0.01319,60698.02,0.0132,87779.04,0.01321,67157.8,0.01322,127511.02,0.0131,16,0.01309,137,0.01308,1060,0.01307,751,0.01306,1382,0.01305,1037,0.01304,1456,0.01303,136,0.01302,1318,0.01301,1216,0.01311,8,0.01312,95,0.01313,490,0.01314,1039,0.01315,602,0.01316,1903,0.01317,484,0.01318,1020,0.01319,501,0.0132,1338,,
8,5,350,0.01291,0.0129,-0.0775,1774137106000,0.01306,62706.95,0.01304,71144.68,0.01303,173444.43,0.01302,271733.24,0.01301,87779.04,0.013,259212.23,0.01298,318312.22,0.01297,84199.32,0.01296,194414.46,0.01295,87779.04,0.0131,87779.04,0.01312,62911.11,0.01313,87779.04,0.01314,60929.16,0.01315,87779.04,0.01317,148592.41,0.01319,60698.02,0.0132,87779.04,0.01321,67157.8,0.01322,127511.02,0.0129,247,0.01289,117,0.01288,399,0.01287,247,0.01286,108,0.01285,92,0.01284,984,0.01283,99,0.01282,984,0.01281,35,0.01292,394,0.01293,68,0.01294,450,0.01295,959,0.01296,1231,0.01297,959,0.01298,513,0.01299,1000,0.013,503,0.01301,924,,
8,5,350,0.01293,0.01293,0.0,1774137107000,0.01306,62706.95,0.01304,71186.04,0.01303,173444.43,0.01302,271733.24,0.01301,87779.04,0.013,259212.23,0.01298,318312.22,0.01297,84199.32,0.01296,194414.46,0.01295,87779.04,0.0131,87779.04,0.01312,62901.01,0.01313,87779.04,0.01314,60929.16,0.01315,87779.04,0.01317,148592.41,0.01319,60698.02,0.0132,87779.04,0.01321,67157.8,0.01322,127511.02,0.01294,46,0.01293,546,0.01292,983,0.01291,623,0.0129,1311,0.01289,528,0.01288,1003,0.01287,512,0.01286,1000,0.01285,477,0.01296,2,0.01297,900,0.01298,454,0.01299,1080,0.013,1272,0.01301,924,0.01302,502,0.01303,60,0.01304,2574,0.01305,32,,
8,5,350,0.01292,0.01293,0.0774,1774137108000,0.0129,3956.14,0.01289,2515.67,0.01288,3987.86,0.01287,4458.69,0.01286,4431.31,0.01285,4431.31,0.01284,326508.06,0.01283,247484.66,0.0128,47000.38,0.01279,82066.86,0.01294,3878.36,0.01295,1018.28,0.01296,4344.22,0.01297,2680.25,0.01298,5042.94,0.01299,1096.78,0.01302,3890.06,0.01303,4370.78,0.01307,63075,0.01308,28908.55,0.01293,59,0.01292,349,0.01291,647,0.0129,1025,0.01289,528,0.01288,1003,0.01287,512,0.01286,1000,0.01285,436,0.01284,934,0.01295,892,0.01296,10,0.01297,957,0.01298,1335,0.01299,1098,0.013,503,0.01301,924,0.01302,462,0.01303,60,0.01304,2574,,
8,5,350,0.01294,0.01295,0.0773,1774137109000,0.01285,3897.89,0.01283,2322.89,0.01282,61302.68,0.0128,183075.09,0.01279,157750.75,0.01278,332364.39,0.01277,163975.33,0.01276,126227.91,0.01275,154582.06,0.01274,181519.84,0.0129,87779.04,0.01291,61302.68,0.01292,87779.04,0.01293,61302.68,0.01294,87779.04,0.01296,61302.68,0.01297,87779.04,0.013,154062.93,0.01303,92149.82,0.01304,61302.68,0.01295,2,0.01294,94,0.01293,594,0.01292,1192,0.01291,698,0.0129,999,0.01289,546,0.01288,984,0.01287,503,0.01286,949,0.01297,950,0.01298,1382,0.01299,1094,0.013,505,0.01301,974,0.01302,512,0.01303,146,0.01304,2623,0.01305,100,0.01306,510,,
8,5,350,0.01294,0.01294,0.0,1774137110000,0.01287,4388.33,0.01286,12191.27,0.01285,97714.09,0.01284,62263.13,0.01283,94689.6,0.01282,61302.68,0.01281,93312.6,0.0128,183075.09,0.01279,251063.35,0.01278,244585.35,0.01291,62247.36,0.01292,88730.69,0.01293,61302.68,0.01294,87779.04,0.01296,61302.68,0.01297,95894.84,0.01298,8907.2,0.01299,6292.27,0.013,161436.74,0.01303,97683.38,0.01294,167,0.01293,538,0.01292,1268,0.01291,698,0.0129,999,0.01289,546,0.01288,984,0.01287,503,0.01286,999,0.01285,68,0.01296,10,0.01297,900,0.01298,617,0.01299,1131,0.013,1313,0.01301,974,0.01302,512,0.01303,110,0.01304,2659,0.01305,100,,
8,5,350,0.01293,0.01293,0.0,1774137111000,0.01291,3904.83,0.0129,4347.67,0.01289,97692.1,0.01288,62208.39,0.01287,93312.6,0.01286,62208.39,0.01285,165349.07,0.01284,164342.19,0.01283,164902.36,0.01282,354007.83,0.01294,157418.6,0.01296,61302.68,0.01297,87779.04,0.013,149081.72,0.01302,62208.39,0.01303,93312.6,0.01304,74405.23,0.01306,93312.6,0.01307,17156.35,0.01308,4370.78,0.01294,64,0.01293,178,0.01292,1306,0.01291,621,0.0129,999,0.01289,546,0.01288,984,0.01287,503,0.01286,999,0.01285,68,0.01296,435,0.01297,124,0.01298,607,0.01299,1135,0.013,1313,0.01301,974,0.01302,512,0.01303,110,0.01304,2623,0.01305,100,,
8,5,350,0.01292,0.01293,0.0774,1774137112000,0.01289,4322.48,0.01288,61895.55,0.01287,93312.6,0.01286,63152.03,0.01285,165349.07,0.01284,164342.19,0.01283,164902.36,0.01282,354007.83,0.01281,188145.42,0.0128,121772.41,0.01293,94314.18,0.01294,63160.04,0.01295,93312.6,0.01296,61302.68,0.01298,93312.6,0.013,149081.72,0.01302,62208.39,0.01303,102188.34,0.01304,13102.55,0.01305,70011.35,0.01293,91,0.01292,138,0.01291,637,0.0129,1309,0.01289,618,0.01288,984,0.01287,550,0.01286,999,0.01285,112,0.01284,1330,0.01295,975,0.01296,485,0.01297,1066,0.01298,607,0.01299,1904,0.013,544,0.01301,974,0.01302,512,0.01303,110,0.01304,2623,,
8,5,350,0.01297,0.01297,0.0,1774137113000,0.01291,3758.5,0.0129,4227.51,0.01289,4153.98,0.01288,93312.6,0.01286,61895.55,0.01285,93312.6,0.01284,61895.55,0.01283,242409.95,0.01282,354007.83,0.01281,94832.82,0.01293,933.85,0.01294,62208.39,0.01295,951.65,0.01296,154615.28,0.01298,93312.6,0.013,149081.72,0.01302,61895.55,0.01303,102188.34,0.01304,15128.36,0.01305,73727.17,0.01297,6,0.01296,140,0.01295,572,0.01294,1058,0.01293,610,0.01292,999,0.01291,637,0.0129,999,0.01289,524,0.01288,934,0.01298,75,0.01299,199,0.013,544,0.01301,1346,0.01302,1280,0.01303,118,0.01304,2623,0.01305,100,0.01306,497,0.01307,930,,
