spot_source_id,fut_source_id,symbol_id,ask_spot,bid_futures,spread_pct,ts,s_b1,s_b2,s_b3,s_b4,s_b5,s_b6,s_b7,s_b8,s_b9,s_b10,s_bq1,s_bq2,s_bq3,s_bq4,s_bq5,s_bq6,s_bq7,s_bq8,s_bq9,s_bq10,s_a1,s_a2,s_a3,s_a4,s_a5,s_a6,s_a7,s_a8,s_a9,s_a10,s_aq1,s_aq2,s_aq3,s_aq4,s_aq5,s_aq6,s_aq7,s_aq8,s_aq9,s_aq10,f_b1,f_b2,f_b3,f_b4,f_b5,f_b6,f_b7,f_b8,f_b9,f_b10,f_bq1,f_bq2,f_bq3,f_bq4,f_bq5,f_bq6,f_bq7,f_bq8,f_bq9,f_bq10,f_a1,f_a2,f_a3,f_a4,f_a5,f_a6,f_a7,f_a8,f_a9,f_a10,f_aq1,f_aq2,f_aq3,f_aq4,f_aq5,f_aq6,f_aq7,f_aq8,f_aq9,f_aq10,fr_r,fr_ft
2,1,54,0.6811,0.6807000,-0.0587,1774137097000,0.6808,438.57,0.6807,4197.15,0.6806,2853.31,0.6805,1794.21,0.6804,2093.29,0.6803,5162.2,0.6802,804.66,0.6801,2858.05,0.68,38637.67,0.6799,4209.07,0.6812,482.31,0.6813,2506.35,0.6814,167.61,0.6815,782.13,0.6816,1357.75,0.6817,2553.62,0.6818,1011.08,0.6819,4079.94,0.682,42297.34,0.6821,1107.58,0.6807000,3214,0.6806000,44259,0.6805000,9476,0.6804000,15964,0.6803000,7722,0.6802000,9622,0.6801000,25384,0.6800000,53881,0.6799000,12009,0.6798000,17585,0.6808000,2035,0.6809000,5756,0.6810000,19097,0.6811000,24317,0.6812000,20925,0.6813000,32280,0.6814000,12960,0.6815000,25255,0.6816000,17930,0.6817000,7131,-0.00005402,1774137600000
2,1,54,0.6803,0.6798000,-0.0735,1774137102000,0.6802,11.55,0.6801,22.93,0.68,5695.84,0.6799,1511.5,0.6798,2786.26,0.6797,3058.03,0.6796,449.59,0.6795,5188.91,0.6794,1672.06,0.6793,32126.33,0.6804,2026.36,0.6805,1613.87,0.6806,1258.65,0.6807,1269.77,0.6808,1389.33,0.6809,1697.21,0.681,1269.76,0.6811,1441.12,0.6812,1546.17,0.6813,11795.93,0.6806000,45607,0.6805000,6916,0.6804000,11693,0.6803000,9828,0.6802000,8790,0.6801000,25444,0.6800000,53881,0.6799000,12009,0.6798000,19018,0.6797000,10718,0.6807000,4386,0.6808000,7135,0.6809000,17452,0.6810000,21072,0.6811000,19380,0.6812000,16444,0.6813000,32668,0.6814000,15205,0.6815000,22320,0.6816000,17774,-0.00005402,1774137600000
2,1,54,0.6796,0.6791000,-0.0736,1774137107000,0.68,5684.81,0.6799,1511.5,0.6798,5950.1,0.6797,115.45,0.6796,449.59,0.6795,4079.09,0.6794,1110.48,0.6793,4540.05,0.6792,1935.24,0.6791,4854.42,0.6803,11.03,0.6804,503.26,0.6805,846.79,0.6806,1258.65,0.6807,1357.99,0.6808,2691.23,0.6809,1697.21,0.681,1831.34,0.6811,35450.59,0.6812,3722.73,0.6791000,1014,0.6790000,4789,0.6789000,6735,0.6788000,6946,0.6787000,18573,0.6786000,12287,0.6785000,12190,0.6784000,19309,0.6783000,12159,0.6782000,19545,0.6792000,2832,0.6793000,12147,0.6794000,4403,0.6795000,21155,0.6796000,16292,0.6797000,14716,0.6798000,21749,0.6799000,15901,0.6800000,9520,0.6801000,16902,-0.00005402,1774137600000
2,1,54,0.6798,0.6791000,-0.103,1774137108000,0.68,5684.81,0.6799,1511.5,0.6798,3233.07,0.6797,115.45,0.6796,449.59,0.6795,4079.09,0.6794,13.9,0.6793,4540.05,0.6792,1935.24,0.6791,4854.42,0.6802,11.03,0.6803,1415.24,0.6804,1269.77,0.6805,1546.18,0.6806,1258.65,0.6807,1357.99,0.6808,2691.23,0.6809,1697.21,0.681,1831.34,0.6811,35450.59,0.6791000,4828,0.6790000,2338,0.6789000,1632,0.6788000,12204,0.6787000,16980,0.6786000,8684,0.6785000,11970,0.6784000,20780,0.6783000,12019,0.6782000,11959,0.6792000,4260,0.6793000,5367,0.6794000,17322,0.6795000,21412,0.6796000,21290,0.6797000,30454,0.6798000,24374,0.6799000,6322,0.6800000,20498,0.6801000,12252,-0.00005402,1774137600000
2,1,54,0.6798,0.6791000,-0.103,1774137112000,0.6798,268.95,0.6797,104.43,0.6796,11.02,0.6795,2531.47,0.6794,2957.8,0.6793,1890.77,0.6792,1373.66,0.6791,835.69,0.679,36116.1,0.6789,4398,0.68,884.1,0.6801,11.04,0.6802,449.6,0.6803,1415.24,0.6804,1413.17,0.6805,1546.18,0.6806,3594.07,0.6807,4878.26,0.6808,9773.43,0.6809,5966.64,0.6791000,2999,0.6790000,4968,0.6789000,7483,0.6788000,13498,0.6787000,16989,0.6786000,8740,0.6785000,10881,0.6784000,20798,0.6783000,7194,0.6782000,24049,0.6792000,2908,0.6793000,5872,0.6794000,21262,0.6795000,25604,0.6796000,11065,0.6797000,36881,0.6798000,20653,0.6799000,8892,0.6800000,22231,0.6801000,13985,-0.00005402,1774137600000
2,1,54,0.6798,0.6791000,-0.103,1774137113000,0.6793,193.47,0.6792,670.95,0.6791,11.02,0.679,1404.13,0.6789,1269.7,0.6788,62.42,0.6787,15.4,0.6786,3930.97,0.6785,33178.34,0.6784,4856.24,0.6798,759.07,0.6799,1049.77,0.68,1258.66,0.6801,2648.29,0.6802,449.6,0.6803,2596.23,0.6804,1413.17,0.6805,1546.18,0.6806,4022.98,0.6807,5407.94,0.6792000,1585,0.6791000,5309,0.6790000,10881,0.6789000,14059,0.6788000,10552,0.6787000,17070,0.6786000,8924,0.6785000,10881,0.6784000,23746,0.6783000,8028,0.6793000,3299,0.6794000,13659,0.6795000,15926,0.6796000,23225,0.6797000,27620,0.6798000,16909,0.6799000,8745,0.6800000,19290,0.6801000,16926,0.6802000,14039,-0.00005402,1774137600000
2,1,54,0.6797,0.6791000,-0.0883,1774137118000,0.6786,2946.84,0.6785,1365,0.6784,411.04,0.6783,1780.6,0.6782,2656.86,0.6781,1576.59,0.678,32683.63,0.6779,690.93,0.6778,1288.22,0.6777,449.54,0.6793,493.5,0.6794,1415.26,0.6795,1269.81,0.6796,1634.54,0.6797,1258.67,0.6798,3365.71,0.6799,2479.87,0.68,3594.08,0.6801,4118.92,0.6802,31370.6,0.6791000,38,0.6790000,3056,0.6789000,4428,0.6788000,10550,0.6787000,21958,0.6786000,7580,0.6785000,10890,0.6784000,20832,0.6783000,10151,0.6782000,21629,0.6792000,5494,0.6793000,9575,0.6794000,20274,0.6795000,38560,0.6796000,13407,0.6797000,28757,0.6798000,17201,0.6799000,14350,0.6800000,19290,0.6801000,15009,-0.00005402,1774137600000
2,1,54,0.6797,0.6791000,-0.0883,1774137119000,0.6787,1247.71,0.6786,1697.24,0.6785,1588.33,0.6784,1658.75,0.6783,1780.6,0.6782,2656.86,0.6781,1576.59,0.678,1760.35,0.6779,690.93,0.6778,32222.88,0.6791,1258.67,0.6792,167.64,0.6793,449.62,0.6794,1258.67,0.6795,1269.81,0.6796,3013.44,0.6797,1258.67,0.6798,3365.71,0.6799,33414.53,0.68,3594.08,0.6791000,2446,0.6790000,2550,0.6789000,5873,0.6788000,12809,0.6787000,21958,0.6786000,7215,0.6785000,6153,0.6784000,20798,0.6783000,10151,0.6782000,12793,0.6792000,6092,0.6793000,10353,0.6794000,20174,0.6795000,38560,0.6796000,13805,0.6797000,27308,0.6798000,17055,0.6799000,13806,0.6800000,19290,0.6801000,15009,-0.00005402,1774137600000
2,1,54,0.6795,0.6789000,-0.0883,1774137120000,0.6791,601.51,0.679,1115.7,0.6789,726.2,0.6788,411.05,0.6787,2571.83,0.6786,1708.29,0.6785,2549.91,0.6784,2395.94,0.6783,3210.7,0.6782,2568.49,0.6793,11.05,0.6794,1415.26,0.6795,1269.81,0.6796,537.96,0.6797,1258.67,0.6798,4088.98,0.6799,3858.77,0.68,3594.08,0.6801,1269.79,0.6802,34846.04,0.6788000,1319,0.6787000,1869,0.6786000,4508,0.6785000,6941,0.6784000,18967,0.6783000,8836,0.6782000,11959,0.6781000,35357,0.6780000,20814,0.6779000,12000,0.6789000,4805,0.6790000,6907,0.6791000,10636,0.6792000,31409,0.6793000,21872,0.6794000,20857,0.6795000,32785,0.6796000,13799,0.6797000,29919,0.6798000,16987,-0.00005420,1774137600000
2,1,54,0.6788,0.6789000,0.0147,1774137121000,0.679,1356.58,0.6789,449.62,0.6788,411.05,0.6787,5115.83,0.6786,1708.29,0.6785,2549.91,0.6784,2958.6,0.6783,1780.6,0.6782,24.99,0.6781,32497.59,0.6794,1247.62,0.6795,22.1,0.6796,537.96,0.6797,1258.67,0.6798,3837.68,0.6799,5165.56,0.68,1258.66,0.6801,1832.45,0.6802,31370.6,0.6803,8813.29,0.6785000,3365,0.6784000,2820,0.6783000,6820,0.6782000,9784,0.6781000,34333,0.6780000,19980,0.6779000,12786,0.6778000,13404,0.6777000,30139,0.6776000,27473,0.6786000,3495,0.6787000,19568,0.6788000,8230,0.6789000,9727,0.6790000,19676,0.6791000,20498,0.6792000,41085,0.6793000,17274,0.6794000,17756,0.6795000,33875,-0.00005420,1774137600000
