spot_source_id,fut_source_id,symbol_id,ask_spot,bid_futures,spread_pct,ts,s_b1,s_b2,s_b3,s_b4,s_b5,s_b6,s_b7,s_b8,s_b9,s_b10,s_bq1,s_bq2,s_bq3,s_bq4,s_bq5,s_bq6,s_bq7,s_bq8,s_bq9,s_bq10,s_a1,s_a2,s_a3,s_a4,s_a5,s_a6,s_a7,s_a8,s_a9,s_a10,s_aq1,s_aq2,s_aq3,s_aq4,s_aq5,s_aq6,s_aq7,s_aq8,s_aq9,s_aq10,f_b1,f_b2,f_b3,f_b4,f_b5,f_b6,f_b7,f_b8,f_b9,f_b10,f_bq1,f_bq2,f_bq3,f_bq4,f_bq5,f_bq6,f_bq7,f_bq8,f_bq9,f_bq10,f_a1,f_a2,f_a3,f_a4,f_a5,f_a6,f_a7,f_a8,f_a9,f_a10,f_aq1,f_aq2,f_aq3,f_aq4,f_aq5,f_aq6,f_aq7,f_aq8,f_aq9,f_aq10,fr_r,fr_ft
2,9,54,0.6798,0.6788,-0.1471,1774137105000,0.68,5684.81,0.6799,1511.5,0.6798,3007.96,0.6797,115.45,0.6796,449.59,0.6795,4079.09,0.6794,1110.48,0.6793,4540.05,0.6792,1935.24,0.6791,4854.42,0.6803,11.03,0.6804,587.61,0.6805,1437.91,0.6806,1591.2,0.6807,1357.99,0.6808,2691.23,0.6809,1697.21,0.681,1831.34,0.6811,35450.59,0.6812,3722.73,0.6788,7,0.6787,7354,0.6786,6790,0.6785,13405,0.6784,7451,0.6783,1452,0.6782,3827,0.6781,45225,0.678,91421,0.6779,120152,0.679,262,0.6791,4715,0.6792,4870,0.6793,2442,0.6794,20104,0.6795,4869,0.6796,1441,0.6797,4329,0.6798,24015,0.6799,23060,-0.000108,1774137600000
2,9,54,0.6791,0.6789,-0.0295,1774137106000,0.68,5684.81,0.6799,1511.5,0.6798,3007.96,0.6797,115.45,0.6796,449.59,0.6795,4079.09,0.6794,2540.58,0.6793,4540.05,0.6792,1935.24,0.6791,4854.42,0.6803,11.03,0.6804,11.03,0.6805,1678.51,0.6806,1258.65,0.6807,1357.99,0.6808,2691.23,0.6809,1697.21,0.681,1831.34,0.6811,35450.59,0.6812,3722.73,0.679,1052,0.6789,3722,0.6788,4773,0.6787,7941,0.6786,4172,0.6785,13405,0.6784,7451,0.6783,1452,0.6782,1578,0.6781,45225,0.6791,921,0.6792,2191,0.6793,2442,0.6794,6496,0.6795,18488,0.6796,53361,0.6797,4329,0.6798,24015,0.6799,23060,0.68,3026,-0.000108,1774137600000
2,9,54,0.6796,0.6785,-0.1619,1774137107000,0.68,5684.81,0.6799,1511.5,0.6798,5950.1,0.6797,115.45,0.6796,449.59,0.6795,4079.09,0.6794,1110.48,0.6793,4540.05,0.6792,1935.24,0.6791,4854.42,0.6803,11.03,0.6804,503.26,0.6805,846.79,0.6806,1258.65,0.6807,1357.99,0.6808,2691.23,0.6809,1697.21,0.681,1831.34,0.6811,35450.59,0.6812,3722.73,0.6785,2,0.6784,937,0.6783,16,0.6782,156,0.6781,5088,0.678,91421,0.6779,120152,0.6778,1698,0.6777,6528,0.6776,100069,0.6788,1894,0.6789,6586,0.679,3511,0.6791,8103,0.6792,5717,0.6793,3461,0.6794,6496,0.6795,4869,0.6796,53361,0.6797,4329,-0.000108,1774137600000
2,9,54,0.6798,0.6789,-0.1324,1774137108000,0.68,5684.81,0.6799,1511.5,0.6798,3233.07,0.6797,115.45,0.6796,449.59,0.6795,4079.09,0.6794,13.9,0.6793,4540.05,0.6792,1935.24,0.6791,4854.42,0.6802,11.03,0.6803,1415.24,0.6804,1269.77,0.6805,1546.18,0.6806,1258.65,0.6807,1357.99,0.6808,2691.23,0.6809,1697.21,0.681,1831.34,0.6811,35450.59,0.6784,7634,0.6783,1473,0.6782,1571,0.6781,6531,0.678,4953,0.6779,14634,0.6778,1732,0.6777,6528,0.6776,21260,0.6775,5515,0.6786,2453,0.6787,3374,0.6788,4715,0.6789,6672,0.679,3609,0.6791,4404,0.6792,5800,0.6793,35456,0.6794,5330,0.6795,3632,-0.000108,1774137600000
2,9,54,0.6798,0.679,-0.1177,1774137109000,0.68,5212.16,0.6799,1511.5,0.6798,290.93,0.6797,3058.37,0.6796,1762.66,0.6795,3990.9,0.6794,13.9,0.6793,4540.05,0.6792,1373.66,0.6791,4854.42,0.6802,1312.62,0.6803,1415.24,0.6804,1269.77,0.6805,1546.18,0.6806,1258.65,0.6807,1269.77,0.6808,2691.23,0.6809,2491.2,0.681,1831.34,0.6811,34656.62,0.6785,1740,0.6784,9464,0.6783,7821,0.6782,17725,0.6781,6531,0.678,5105,0.6779,3739,0.6778,1732,0.6777,6528,0.6776,21391,0.6786,91,0.6787,2374,0.6788,4645,0.6789,20312,0.679,3609,0.6791,4404,0.6792,5800,0.6793,21827,0.6794,5330,0.6795,3632,-0.000108,1774137600000
2,9,54,0.6798,0.6789,-0.1324,1774137110000,0.68,5212.16,0.6799,1511.5,0.6798,1538.55,0.6797,3058.37,0.6796,1762.66,0.6795,3990.9,0.6794,13.9,0.6793,4540.05,0.6792,1373.66,0.6791,4854.42,0.6802,1312.62,0.6803,1415.24,0.6804,1269.77,0.6805,1546.18,0.6806,1258.65,0.6807,1269.77,0.6808,2691.23,0.6809,2491.2,0.681,1831.34,0.6811,34656.62,0.6787,1799,0.6786,1617,0.6785,15587,0.6784,3381,0.6783,4012,0.6782,1571,0.6781,45238,0.678,5105,0.6779,3739,0.6778,1939,0.6788,586,0.6789,4808,0.679,1444,0.6791,4404,0.6792,18446,0.6793,22993,0.6794,6496,0.6795,3705,0.6796,53375,0.6797,4329,-0.000108,1774137600000
2,9,54,0.6797,0.6789,-0.1177,1774137111000,0.6798,268.95,0.6797,104.43,0.6796,11.02,0.6795,2531.47,0.6794,13.9,0.6793,1890.77,0.6792,1373.66,0.6791,835.69,0.679,36116.1,0.6789,4820.08,0.6801,943.2,0.6802,1067.2,0.6803,1415.24,0.6804,1413.17,0.6805,1546.18,0.6806,3594.07,0.6807,3448.16,0.6808,9773.43,0.6809,5966.64,0.681,1831.34,0.6789,263,0.6788,7250,0.6787,2030,0.6786,4746,0.6785,3635,0.6784,16420,0.6783,1474,0.6782,1571,0.6781,6531,0.678,5105,0.679,332,0.6791,4719,0.6792,3634,0.6793,2608,0.6794,5496,0.6795,17356,0.6796,54527,0.6797,23717,0.6798,3632,0.6799,23085,-0.000108,1774137600000
2,9,54,0.6798,0.6788,-0.1471,1774137112000,0.6798,268.95,0.6797,104.43,0.6796,11.02,0.6795,2531.47,0.6794,2957.8,0.6793,1890.77,0.6792,1373.66,0.6791,835.69,0.679,36116.1,0.6789,4398,0.68,884.1,0.6801,11.04,0.6802,449.6,0.6803,1415.24,0.6804,1413.17,0.6805,1546.18,0.6806,3594.07,0.6807,4878.26,0.6808,9773.43,0.6809,5966.64,0.6791,2454,0.679,6951,0.6789,1443,0.6788,5936,0.6787,12935,0.6786,24353,0.6785,3766,0.6784,25081,0.6783,3713,0.6782,3461,0.6793,1931,0.6794,4057,0.6795,3817,0.6796,4220,0.6797,4909,0.6798,2607,0.6799,6031,0.68,3192,0.6801,17319,0.6802,3645,-0.000108,1774137600000
2,9,54,0.6798,0.679,-0.1177,1774137113000,0.6793,193.47,0.6792,670.95,0.6791,11.02,0.679,1404.13,0.6789,1269.7,0.6788,62.42,0.6787,15.4,0.6786,3930.97,0.6785,33178.34,0.6784,4856.24,0.6798,759.07,0.6799,1049.77,0.68,1258.66,0.6801,2648.29,0.6802,449.6,0.6803,2596.23,0.6804,1413.17,0.6805,1546.18,0.6806,4022.98,0.6807,5407.94,0.679,1302,0.6789,5098,0.6788,3634,0.6787,15236,0.6786,2443,0.6785,3634,0.6784,24658,0.6783,1474,0.6782,20892,0.6781,6614,0.6791,405,0.6792,4057,0.6793,6522,0.6794,1443,0.6795,3817,0.6796,17797,0.6797,5909,0.6798,22000,0.6799,5959,0.68,3853,-0.000108,1774137600000
2,9,54,0.6798,0.6791,-0.103,1774137114000,0.6793,193.47,0.6792,518.79,0.6791,622.29,0.679,3155.77,0.6789,2566.45,0.6788,2605.22,0.6787,1511.98,0.6786,4685.81,0.6785,30913.84,0.6784,4856.24,0.6798,759.07,0.6799,1049.77,0.68,1258.66,0.6801,2980.84,0.6802,449.6,0.6803,2688.75,0.6804,1413.17,0.6805,1546.18,0.6806,4022.98,0.6807,35778.78,0.679,263,0.6789,263,0.6788,6251,0.6787,15236,0.6786,2452,0.6785,3634,0.6784,24658,0.6783,1474,0.6782,20892,0.6781,6531,0.6791,405,0.6792,4055,0.6793,6521,0.6794,1443,0.6795,4817,0.6796,17797,0.6797,5909,0.6798,22000,0.6799,5959,0.68,3853,-0.000108,1774137600000
2,9,54,0.6796,0.6791,-0.0736,1774137115000,0.6793,193.47,0.6792,518.79,0.6791,622.29,0.679,3155.77,0.6789,2566.45,0.6788,2605.22,0.6787,3198.19,0.6786,4774.1,0.6785,30913.84,0.6784,4856.24,0.6797,222.19,0.6798,759.07,0.6799,1551.77,0.68,1258.66,0.6801,2648.29,0.6802,449.6,0.6803,2688.75,0.6804,1413.17,0.6805,1546.18,0.6806,4022.98,0.6791,263,0.679,5198,0.6789,1442,0.6788,3634,0.6787,15236,0.6786,2452,0.6785,3634,0.6784,24658,0.6783,1474,0.6782,20892,0.6792,345,0.6793,9134,0.6794,1776,0.6795,4817,0.6796,17797,0.6797,5909,0.6798,22000,0.6799,6031,0.68,3853,0.6801,3777,-0.000108,1774137600000
