spot_source_id,fut_source_id,symbol_id,ask_spot,bid_futures,spread_pct,ts,s_b1,s_b2,s_b3,s_b4,s_b5,s_b6,s_b7,s_b8,s_b9,s_b10,s_bq1,s_bq2,s_bq3,s_bq4,s_bq5,s_bq6,s_bq7,s_bq8,s_bq9,s_bq10,s_a1,s_a2,s_a3,s_a4,s_a5,s_a6,s_a7,s_a8,s_a9,s_a10,s_aq1,s_aq2,s_aq3,s_aq4,s_aq5,s_aq6,s_aq7,s_aq8,s_aq9,s_aq10,f_b1,f_b2,f_b3,f_b4,f_b5,f_b6,f_b7,f_b8,f_b9,f_b10,f_bq1,f_bq2,f_bq3,f_bq4,f_bq5,f_bq6,f_bq7,f_bq8,f_bq9,f_bq10,f_a1,f_a2,f_a3,f_a4,f_a5,f_a6,f_a7,f_a8,f_a9,f_a10,f_aq1,f_aq2,f_aq3,f_aq4,f_aq5,f_aq6,f_aq7,f_aq8,f_aq9,f_aq10,fr_r,fr_ft
2,7,54,0.6803,0.6795,-0.1176,1774137102000,0.6802,11.55,0.6801,22.93,0.68,5695.84,0.6799,1511.5,0.6798,2786.26,0.6797,3058.03,0.6796,449.59,0.6795,5188.91,0.6794,1672.06,0.6793,32126.33,0.6804,2026.36,0.6805,1613.87,0.6806,1258.65,0.6807,1269.77,0.6808,1389.33,0.6809,1697.21,0.681,1269.76,0.6811,1441.12,0.6812,1546.17,0.6813,11795.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000022,
2,7,54,0.6801,0.6795,-0.0882,1774137103000,0.6802,11.55,0.6801,22.93,0.68,5695.84,0.6799,1950.07,0.6798,2786.26,0.6797,115.45,0.6796,1755.72,0.6795,5277.1,0.6794,1672.06,0.6793,32126.33,0.6804,156.59,0.6805,1613.87,0.6806,1258.65,0.6807,1269.77,0.6808,2691.23,0.6809,1697.21,0.681,1269.76,0.6811,1441.12,0.6812,1546.17,0.6813,12060.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000022,
2,7,54,0.68,0.6793,-0.1029,1774137104000,0.68,5684.81,0.6799,1511.5,0.6798,290.93,0.6797,3058.22,0.6796,449.59,0.6795,4079.09,0.6794,13.9,0.6793,4540.05,0.6792,1935.24,0.6791,4854.42,0.6802,894.28,0.6803,1415.24,0.6804,1258.74,0.6805,2377.9,0.6806,1258.65,0.6807,1357.99,0.6808,2691.23,0.6809,4032.63,0.681,1831.34,0.6811,33115.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000022,
2,7,54,0.6798,0.6788,-0.1471,1774137105000,0.68,5684.81,0.6799,1511.5,0.6798,3007.96,0.6797,115.45,0.6796,449.59,0.6795,4079.09,0.6794,1110.48,0.6793,4540.05,0.6792,1935.24,0.6791,4854.42,0.6803,11.03,0.6804,587.61,0.6805,1437.91,0.6806,1591.2,0.6807,1357.99,0.6808,2691.23,0.6809,1697.21,0.681,1831.34,0.6811,35450.59,0.6812,3722.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000022,
2,7,54,0.6791,0.6783,-0.1178,1774137106000,0.68,5684.81,0.6799,1511.5,0.6798,3007.96,0.6797,115.45,0.6796,449.59,0.6795,4079.09,0.6794,2540.58,0.6793,4540.05,0.6792,1935.24,0.6791,4854.42,0.6803,11.03,0.6804,11.03,0.6805,1678.51,0.6806,1258.65,0.6807,1357.99,0.6808,2691.23,0.6809,1697.21,0.681,1831.34,0.6811,35450.59,0.6812,3722.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,7,54,0.6796,0.6788,-0.1177,1774137107000,0.68,5684.81,0.6799,1511.5,0.6798,5950.1,0.6797,115.45,0.6796,449.59,0.6795,4079.09,0.6794,1110.48,0.6793,4540.05,0.6792,1935.24,0.6791,4854.42,0.6803,11.03,0.6804,503.26,0.6805,846.79,0.6806,1258.65,0.6807,1357.99,0.6808,2691.23,0.6809,1697.21,0.681,1831.34,0.6811,35450.59,0.6812,3722.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000022,
2,7,54,0.6798,0.6789,-0.1324,1774137108000,0.68,5684.81,0.6799,1511.5,0.6798,3233.07,0.6797,115.45,0.6796,449.59,0.6795,4079.09,0.6794,13.9,0.6793,4540.05,0.6792,1935.24,0.6791,4854.42,0.6802,11.03,0.6803,1415.24,0.6804,1269.77,0.6805,1546.18,0.6806,1258.65,0.6807,1357.99,0.6808,2691.23,0.6809,1697.21,0.681,1831.34,0.6811,35450.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000022,
2,7,54,0.6798,0.679,-0.1177,1774137109000,0.68,5212.16,0.6799,1511.5,0.6798,290.93,0.6797,3058.37,0.6796,1762.66,0.6795,3990.9,0.6794,13.9,0.6793,4540.05,0.6792,1373.66,0.6791,4854.42,0.6802,1312.62,0.6803,1415.24,0.6804,1269.77,0.6805,1546.18,0.6806,1258.65,0.6807,1269.77,0.6808,2691.23,0.6809,2491.2,0.681,1831.34,0.6811,34656.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000022,
2,7,54,0.6798,0.6788,-0.1471,1774137110000,0.68,5212.16,0.6799,1511.5,0.6798,1538.55,0.6797,3058.37,0.6796,1762.66,0.6795,3990.9,0.6794,13.9,0.6793,4540.05,0.6792,1373.66,0.6791,4854.42,0.6802,1312.62,0.6803,1415.24,0.6804,1269.77,0.6805,1546.18,0.6806,1258.65,0.6807,1269.77,0.6808,2691.23,0.6809,2491.2,0.681,1831.34,0.6811,34656.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,7,54,0.6797,0.6788,-0.1324,1774137111000,0.6798,268.95,0.6797,104.43,0.6796,11.02,0.6795,2531.47,0.6794,13.9,0.6793,1890.77,0.6792,1373.66,0.6791,835.69,0.679,36116.1,0.6789,4820.08,0.6801,943.2,0.6802,1067.2,0.6803,1415.24,0.6804,1413.17,0.6805,1546.18,0.6806,3594.07,0.6807,3448.16,0.6808,9773.43,0.6809,5966.64,0.681,1831.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,7,54,0.6798,0.6788,-0.1471,1774137112000,0.6798,268.95,0.6797,104.43,0.6796,11.02,0.6795,2531.47,0.6794,2957.8,0.6793,1890.77,0.6792,1373.66,0.6791,835.69,0.679,36116.1,0.6789,4398,0.68,884.1,0.6801,11.04,0.6802,449.6,0.6803,1415.24,0.6804,1413.17,0.6805,1546.18,0.6806,3594.07,0.6807,4878.26,0.6808,9773.43,0.6809,5966.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,7,54,0.6798,0.6789,-0.1324,1774137113000,0.6793,193.47,0.6792,670.95,0.6791,11.02,0.679,1404.13,0.6789,1269.7,0.6788,62.42,0.6787,15.4,0.6786,3930.97,0.6785,33178.34,0.6784,4856.24,0.6798,759.07,0.6799,1049.77,0.68,1258.66,0.6801,2648.29,0.6802,449.6,0.6803,2596.23,0.6804,1413.17,0.6805,1546.18,0.6806,4022.98,0.6807,5407.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,7,54,0.6798,0.6788,-0.1471,1774137114000,0.6793,193.47,0.6792,518.79,0.6791,622.29,0.679,3155.77,0.6789,2566.45,0.6788,2605.22,0.6787,1511.98,0.6786,4685.81,0.6785,30913.84,0.6784,4856.24,0.6798,759.07,0.6799,1049.77,0.68,1258.66,0.6801,2980.84,0.6802,449.6,0.6803,2688.75,0.6804,1413.17,0.6805,1546.18,0.6806,4022.98,0.6807,35778.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,7,54,0.6796,0.6789,-0.103,1774137115000,0.6793,193.47,0.6792,518.79,0.6791,622.29,0.679,3155.77,0.6789,2566.45,0.6788,2605.22,0.6787,3198.19,0.6786,4774.1,0.6785,30913.84,0.6784,4856.24,0.6797,222.19,0.6798,759.07,0.6799,1551.77,0.68,1258.66,0.6801,2648.29,0.6802,449.6,0.6803,2688.75,0.6804,1413.17,0.6805,1546.18,0.6806,4022.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000022,
2,7,54,0.6797,0.6787,-0.1471,1774137116000,0.6793,1879.66,0.6792,1301.43,0.6791,11.02,0.679,3425,0.6789,1269.7,0.6788,2605.22,0.6787,1768.09,0.6786,4685.81,0.6785,30913.84,0.6784,4856.24,0.6798,759.07,0.6799,611.2,0.68,1493.06,0.6801,2736.58,0.6802,449.6,0.6803,3983.38,0.6804,1413.17,0.6805,1546.18,0.6806,4022.98,0.6807,34348.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,7,54,0.6797,0.6787,-0.1471,1774137117000,0.6793,193.47,0.6792,1301.43,0.6791,2956.23,0.679,3155.77,0.6789,2592.21,0.6788,2605.22,0.6787,1856.39,0.6786,4685.81,0.6785,30913.84,0.6784,4856.24,0.6797,2166.94,0.6798,2006.78,0.6799,1049.77,0.68,1258.66,0.6801,2736.58,0.6802,449.6,0.6803,3983.38,0.6804,1413.17,0.6805,1546.18,0.6806,4022.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,7,54,0.6797,0.6787,-0.1471,1774137118000,0.6786,2946.84,0.6785,1365,0.6784,411.04,0.6783,1780.6,0.6782,2656.86,0.6781,1576.59,0.678,32683.63,0.6779,690.93,0.6778,1288.22,0.6777,449.54,0.6793,493.5,0.6794,1415.26,0.6795,1269.81,0.6796,1634.54,0.6797,1258.67,0.6798,3365.71,0.6799,2479.87,0.68,3594.08,0.6801,4118.92,0.6802,31370.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,7,54,0.6797,0.6788,-0.1324,1774137119000,0.6787,1247.71,0.6786,1697.24,0.6785,1588.33,0.6784,1658.75,0.6783,1780.6,0.6782,2656.86,0.6781,1576.59,0.678,1760.35,0.6779,690.93,0.6778,32222.88,0.6791,1258.67,0.6792,167.64,0.6793,449.62,0.6794,1258.67,0.6795,1269.81,0.6796,3013.44,0.6797,1258.67,0.6798,3365.71,0.6799,33414.53,0.68,3594.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000022,
2,7,54,0.6795,0.6786,-0.1325,1774137120000,0.6791,601.51,0.679,1115.7,0.6789,726.2,0.6788,411.05,0.6787,2571.83,0.6786,1708.29,0.6785,2549.91,0.6784,2395.94,0.6783,3210.7,0.6782,2568.49,0.6793,11.05,0.6794,1415.26,0.6795,1269.81,0.6796,537.96,0.6797,1258.67,0.6798,4088.98,0.6799,3858.77,0.68,3594.08,0.6801,1269.79,0.6802,34846.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000022,
2,7,54,0.6788,0.6785,-0.0442,1774137121000,0.679,1356.58,0.6789,449.62,0.6788,411.05,0.6787,5115.83,0.6786,1708.29,0.6785,2549.91,0.6784,2958.6,0.6783,1780.6,0.6782,24.99,0.6781,32497.59,0.6794,1247.62,0.6795,22.1,0.6796,537.96,0.6797,1258.67,0.6798,3837.68,0.6799,5165.56,0.68,1258.66,0.6801,1832.45,0.6802,31370.6,0.6803,8813.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000023,
2,7,54,0.6788,0.6776,-0.1768,1774137122000,0.6792,11.04,0.6791,1004.08,0.679,920.43,0.6789,460.66,0.6788,411.05,0.6787,5115.83,0.6786,2445.27,0.6785,1195.95,0.6784,2221.41,0.6783,1780.6,0.6795,22.1,0.6796,11.05,0.6797,1258.67,0.6798,1269.8,0.6799,2479.87,0.68,2817.98,0.6801,3211.35,0.6802,31370.6,0.6803,8813.29,0.6804,3748.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000023,
2,7,54,0.6786,0.6776,-0.1474,1774137123000,0.6791,449.36,0.679,11.05,0.6789,22.09,0.6788,411.05,0.6787,2571.83,0.6786,2445.27,0.6785,1195.95,0.6784,2221.41,0.6783,6628.3,0.6782,24.99,0.6795,22.1,0.6796,11.05,0.6797,1258.67,0.6798,1269.8,0.6799,1049.77,0.68,2817.98,0.6801,3211.35,0.6802,32704.48,0.6803,8813.29,0.6804,3748.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000023,
2,7,54,0.6784,0.6773,-0.1621,1774137124000,0.6792,1104.65,0.6791,602.91,0.679,11.04,0.6789,1708.28,0.6788,1001.68,0.6787,2571.83,0.6786,1708.29,0.6785,3174.48,0.6784,9706.93,0.6783,1780.6,0.6795,22.1,0.6796,11.05,0.6797,1258.67,0.6798,22.09,0.6799,1049.77,0.68,1346.97,0.6801,2648.69,0.6802,34122.29,0.6803,6104.95,0.6804,6123.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000023,
2,7,54,0.6784,0.677,-0.2064,1774137125000,0.6793,438.57,0.6792,1104.65,0.679,224.69,0.6789,4241.08,0.6788,411.05,0.6787,4827.1,0.6786,1708.29,0.6785,2437.4,0.6784,38069.48,0.6783,1780.6,0.6796,11.05,0.6797,11.05,0.6798,22.09,0.6799,1049.77,0.68,1346.97,0.6801,2648.69,0.6802,3201.29,0.6803,1258.65,0.6804,1678.18,0.6805,32983.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000023,
2,7,54,0.6783,0.6772,-0.1622,1774137126000,0.6795,1104.65,0.6794,3243.33,0.6793,2138.66,0.6792,1126.73,0.6791,747.47,0.679,99.3,0.6789,7187.55,0.6788,6564.58,0.6787,33582.57,0.6786,1708.29,0.6799,611.2,0.68,11.04,0.6801,1126.73,0.6802,449.6,0.6803,1258.65,0.6804,1358.38,0.6805,1546.18,0.6806,2579.31,0.6807,1269.77,0.6808,33242.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000023,
2,7,54,0.6783,0.677,-0.1917,1774137127000,0.6794,671.6,0.6793,11.04,0.6792,22.08,0.6791,11.04,0.679,835.84,0.6789,7187.55,0.6788,411.05,0.6787,32152.47,0.6786,1708.29,0.6785,1107.62,0.6796,1247.62,0.6798,11.04,0.6799,1049.77,0.68,1258.66,0.6801,22.08,0.6802,449.6,0.6803,1258.65,0.6804,1358.38,0.6805,1546.18,0.6806,2579.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000023,
2,7,54,0.6778,0.6773,-0.0738,1774137128000,0.6794,586.43,0.6793,597.47,0.6792,1929.97,0.6791,1324.11,0.679,2553.95,0.6789,7187.55,0.6788,1841.15,0.6787,32152.47,0.6786,1708.29,0.6785,1107.62,0.6798,11.04,0.6799,1049.77,0.68,1258.66,0.6801,1126.73,0.6802,449.6,0.6803,1258.65,0.6804,2700.21,0.6805,2107.84,0.6806,2579.31,0.6807,3443.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
