spot_source_id,fut_source_id,symbol_id,ask_spot,bid_futures,spread_pct,ts,s_b1,s_b2,s_b3,s_b4,s_b5,s_b6,s_b7,s_b8,s_b9,s_b10,s_bq1,s_bq2,s_bq3,s_bq4,s_bq5,s_bq6,s_bq7,s_bq8,s_bq9,s_bq10,s_a1,s_a2,s_a3,s_a4,s_a5,s_a6,s_a7,s_a8,s_a9,s_a10,s_aq1,s_aq2,s_aq3,s_aq4,s_aq5,s_aq6,s_aq7,s_aq8,s_aq9,s_aq10,f_b1,f_b2,f_b3,f_b4,f_b5,f_b6,f_b7,f_b8,f_b9,f_b10,f_bq1,f_bq2,f_bq3,f_bq4,f_bq5,f_bq6,f_bq7,f_bq8,f_bq9,f_bq10,f_a1,f_a2,f_a3,f_a4,f_a5,f_a6,f_a7,f_a8,f_a9,f_a10,f_aq1,f_aq2,f_aq3,f_aq4,f_aq5,f_aq6,f_aq7,f_aq8,f_aq9,f_aq10,fr_r,fr_ft
2,5,54,0.6808,0.6796,-0.1763,1774137100000,0.6806,1620.42,0.6805,31.55,0.6804,16.29,0.6803,1247.71,0.6802,1785.84,0.6801,11.9,0.68,7802.93,0.6799,2511.65,0.6798,1610.87,0.6797,30963.77,0.6809,1247.62,0.681,1258.73,0.6811,11.02,0.6812,2035.31,0.6813,2517.37,0.6814,99.14,0.6815,4211.28,0.6816,2589.52,0.6817,1258.72,0.6818,1804.25,0.6795,10838,0.6794,5282,0.6793,8046,0.6792,16196,0.6791,28226,0.679,20908,0.6789,20988,0.6788,19242,0.6787,14910,0.6786,27559,0.6796,1825,0.6797,2216,0.6798,9084,0.6799,14175,0.68,13137,0.6801,10252,0.6802,21294,0.6803,17429,0.6804,20439,0.6805,16775,,
2,5,54,0.6804,0.6795,-0.1323,1774137101000,0.6802,11.55,0.6801,33.94,0.68,5695.82,0.6799,1950.07,0.6798,2858.58,0.6797,115.45,0.6796,449.59,0.6795,2647.51,0.6794,13.9,0.6793,32126.33,0.6805,831.72,0.6806,1258.65,0.6807,1258.74,0.6808,1187.37,0.6809,1697.21,0.681,1269.76,0.6811,11.02,0.6812,2837.37,0.6813,3895.77,0.6814,11.02,0.6795,10838,0.6794,5282,0.6793,7458,0.6792,15011,0.6791,25188,0.679,20908,0.6789,20988,0.6788,19242,0.6787,14910,0.6786,27559,0.6796,1825,0.6797,2216,0.6798,9084,0.6799,14175,0.68,13137,0.6801,10252,0.6802,19794,0.6803,15929,0.6804,20439,0.6805,16775,,
2,5,54,0.6803,0.6792,-0.1617,1774137102000,0.6802,11.55,0.6801,22.93,0.68,5695.84,0.6799,1511.5,0.6798,2786.26,0.6797,3058.03,0.6796,449.59,0.6795,5188.91,0.6794,1672.06,0.6793,32126.33,0.6804,2026.36,0.6805,1613.87,0.6806,1258.65,0.6807,1269.77,0.6808,1389.33,0.6809,1697.21,0.681,1269.76,0.6811,1441.12,0.6812,1546.17,0.6813,11795.93,0.6794,854,0.6793,799,0.6792,5237,0.6791,19365,0.679,8333,0.6789,17895,0.6788,20550,0.6787,16495,0.6786,24007,0.6785,23568,0.6795,9373,0.6796,19548,0.6797,8446,0.6798,10726,0.6799,13440,0.68,38069,0.6801,10222,0.6802,24324,0.6803,16702,0.6804,18245,,
2,5,54,0.6801,0.6795,-0.0882,1774137103000,0.6802,11.55,0.6801,22.93,0.68,5695.84,0.6799,1950.07,0.6798,2786.26,0.6797,115.45,0.6796,1755.72,0.6795,5277.1,0.6794,1672.06,0.6793,32126.33,0.6804,156.59,0.6805,1613.87,0.6806,1258.65,0.6807,1269.77,0.6808,2691.23,0.6809,1697.21,0.681,1269.76,0.6811,1441.12,0.6812,1546.17,0.6813,12060.51,0.6795,207,0.6794,1357,0.6793,8320,0.6792,10651,0.6791,12435,0.679,23156,0.6789,19357,0.6788,25640,0.6787,13391,0.6786,22336,0.6796,10261,0.6797,8015,0.6798,16174,0.6799,13565,0.68,27383,0.6801,11780,0.6802,22340,0.6803,17099,0.6804,20463,0.6805,18246,,
2,5,54,0.68,0.6793,-0.1029,1774137104000,0.68,5684.81,0.6799,1511.5,0.6798,290.93,0.6797,3058.22,0.6796,449.59,0.6795,4079.09,0.6794,13.9,0.6793,4540.05,0.6792,1935.24,0.6791,4854.42,0.6802,894.28,0.6803,1415.24,0.6804,1258.74,0.6805,2377.9,0.6806,1258.65,0.6807,1357.99,0.6808,2691.23,0.6809,4032.63,0.681,1831.34,0.6811,33115.17,0.6793,78,0.6792,2704,0.6791,4380,0.679,4574,0.6789,16328,0.6788,17647,0.6787,11430,0.6786,25465,0.6785,26018,0.6784,19485,0.6794,8373,0.6795,19123,0.6796,10218,0.6797,13670,0.6798,37404,0.6799,13390,0.68,14230,0.6801,14467,0.6802,22564,0.6803,15957,,
2,5,54,0.6798,0.6787,-0.1618,1774137105000,0.68,5684.81,0.6799,1511.5,0.6798,3007.96,0.6797,115.45,0.6796,449.59,0.6795,4079.09,0.6794,1110.48,0.6793,4540.05,0.6792,1935.24,0.6791,4854.42,0.6803,11.03,0.6804,587.61,0.6805,1437.91,0.6806,1591.2,0.6807,1357.99,0.6808,2691.23,0.6809,1697.21,0.681,1831.34,0.6811,35450.59,0.6812,3722.73,0.6789,1117,0.6788,7745,0.6787,7816,0.6786,5801,0.6785,19742,0.6784,4847,0.6783,26088,0.6782,18041,0.6781,14548,0.678,28615,0.679,4737,0.6791,10570,0.6792,21079,0.6793,9879,0.6794,24124,0.6795,15694,0.6796,16803,0.6797,17948,0.6798,17733,0.6799,17995,,
2,5,54,0.6791,0.6784,-0.1031,1774137106000,0.68,5684.81,0.6799,1511.5,0.6798,3007.96,0.6797,115.45,0.6796,449.59,0.6795,4079.09,0.6794,2540.58,0.6793,4540.05,0.6792,1935.24,0.6791,4854.42,0.6803,11.03,0.6804,11.03,0.6805,1678.51,0.6806,1258.65,0.6807,1357.99,0.6808,2691.23,0.6809,1697.21,0.681,1831.34,0.6811,35450.59,0.6812,3722.73,0.6783,445,0.6782,2672,0.6781,4697,0.678,16829,0.6779,9711,0.6778,43945,0.6777,19831,0.6776,18940,0.6775,19357,0.6774,19227,0.6784,3570,0.6785,9314,0.6786,19024,0.6787,7618,0.6788,15041,0.6789,13402,0.679,12996,0.6791,19448,0.6792,23588,0.6793,12160,,
2,5,54,0.6796,0.679,-0.0883,1774137107000,0.68,5684.81,0.6799,1511.5,0.6798,5950.1,0.6797,115.45,0.6796,449.59,0.6795,4079.09,0.6794,1110.48,0.6793,4540.05,0.6792,1935.24,0.6791,4854.42,0.6803,11.03,0.6804,503.26,0.6805,846.79,0.6806,1258.65,0.6807,1357.99,0.6808,2691.23,0.6809,1697.21,0.681,1831.34,0.6811,35450.59,0.6812,3722.73,0.6789,1493,0.6788,3313,0.6787,8149,0.6786,10368,0.6785,10713,0.6784,11856,0.6783,9945,0.6782,25547,0.6781,10082,0.678,24979,0.679,4317,0.6791,11981,0.6792,18506,0.6793,8471,0.6794,27249,0.6795,14564,0.6796,15906,0.6797,20602,0.6798,20788,0.6799,18801,,
2,5,54,0.6798,0.679,-0.1177,1774137108000,0.68,5684.81,0.6799,1511.5,0.6798,3233.07,0.6797,115.45,0.6796,449.59,0.6795,4079.09,0.6794,13.9,0.6793,4540.05,0.6792,1935.24,0.6791,4854.42,0.6802,11.03,0.6803,1415.24,0.6804,1269.77,0.6805,1546.18,0.6806,1258.65,0.6807,1357.99,0.6808,2691.23,0.6809,1697.21,0.681,1831.34,0.6811,35450.59,0.6788,6484,0.6787,3789,0.6786,4744,0.6785,17878,0.6784,15432,0.6783,13127,0.6782,18892,0.6781,19248,0.678,25332,0.6779,18924,0.6789,140,0.679,27,0.6791,5951,0.6792,16855,0.6793,13780,0.6794,9702,0.6795,10991,0.6796,23204,0.6797,13510,0.6798,16415,,
2,5,54,0.6798,0.679,-0.1177,1774137109000,0.68,5212.16,0.6799,1511.5,0.6798,290.93,0.6797,3058.37,0.6796,1762.66,0.6795,3990.9,0.6794,13.9,0.6793,4540.05,0.6792,1373.66,0.6791,4854.42,0.6802,1312.62,0.6803,1415.24,0.6804,1269.77,0.6805,1546.18,0.6806,1258.65,0.6807,1269.77,0.6808,2691.23,0.6809,2491.2,0.681,1831.34,0.6811,34656.62,0.679,1242,0.6789,6055,0.6788,10368,0.6787,5532,0.6786,11582,0.6785,15886,0.6784,14218,0.6783,19681,0.6782,26520,0.6781,16830,0.6791,3675,0.6792,11681,0.6793,9601,0.6794,9994,0.6795,9734,0.6796,21010,0.6797,13974,0.6798,14281,0.6799,20742,0.68,18793,,
