spot_source_id,fut_source_id,symbol_id,ask_spot,bid_futures,spread_pct,ts,s_b1,s_b2,s_b3,s_b4,s_b5,s_b6,s_b7,s_b8,s_b9,s_b10,s_bq1,s_bq2,s_bq3,s_bq4,s_bq5,s_bq6,s_bq7,s_bq8,s_bq9,s_bq10,s_a1,s_a2,s_a3,s_a4,s_a5,s_a6,s_a7,s_a8,s_a9,s_a10,s_aq1,s_aq2,s_aq3,s_aq4,s_aq5,s_aq6,s_aq7,s_aq8,s_aq9,s_aq10,f_b1,f_b2,f_b3,f_b4,f_b5,f_b6,f_b7,f_b8,f_b9,f_b10,f_bq1,f_bq2,f_bq3,f_bq4,f_bq5,f_bq6,f_bq7,f_bq8,f_bq9,f_bq10,f_a1,f_a2,f_a3,f_a4,f_a5,f_a6,f_a7,f_a8,f_a9,f_a10,f_aq1,f_aq2,f_aq3,f_aq4,f_aq5,f_aq6,f_aq7,f_aq8,f_aq9,f_aq10,fr_r,fr_ft
6,1,24,0.01414,0.0141400,0.0,1774137121000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0141200,16721,0.0141100,5535,0.0141000,23549,0.0140900,15516,0.0140800,38714,0.0140700,43306,0.0140600,53378,0.0140500,51968,0.0140400,46030,0.0140300,15998,0.0141400,1452,0.0141500,17651,0.0141600,15949,0.0141700,42816,0.0141800,39711,0.0141900,24488,0.0142000,41212,0.0142100,44033,0.0142200,19932,0.0142300,27318,0.00005000,1774137600000
6,1,24,0.01409,0.0141400,0.3549,1774137122000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0140800,28326,0.0140700,13005,0.0140600,24481,0.0140500,14295,0.0140400,46030,0.0140300,39539,0.0140200,67014,0.0140100,165928,0.0140000,69481,0.0139900,30753,0.0141200,8008,0.0141300,19786,0.0141400,20032,0.0141500,41231,0.0141600,39855,0.0141700,24416,0.0141800,39122,0.0141900,30467,0.0142000,52043,0.0142100,20533,0.00005000,1774137600000
6,1,24,0.01401,0.0141200,0.7852,1774137125000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0140800,20474,0.0140700,13005,0.0140600,23098,0.0140500,14295,0.0140400,40625,0.0140300,39539,0.0140200,59980,0.0140100,155232,0.0140000,69481,0.0139900,30753,0.0141100,5842,0.0141200,4593,0.0141300,19751,0.0141400,34040,0.0141500,20177,0.0141600,39855,0.0141700,18065,0.0141800,39122,0.0141900,30467,0.0142000,41212,0.00005000,1774137600000
6,1,24,0.01402,0.0141200,0.7133,1774137126000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0140800,22073,0.0140700,13005,0.0140600,23098,0.0140500,14295,0.0140400,41048,0.0140300,39539,0.0140200,59980,0.0140100,155232,0.0140000,69481,0.0139900,30753,0.0141100,5445,0.0141200,2469,0.0141300,19751,0.0141400,27676,0.0141500,26537,0.0141600,39855,0.0141700,18065,0.0141800,39122,0.0141900,30467,0.0142000,41212,0.00005000,1774137600000
6,1,24,0.01403,0.0140900,0.4277,1774137128000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0140500,1433,0.0140400,19906,0.0140300,15998,0.0140200,31820,0.0140100,153138,0.0140000,69481,0.0139900,34289,0.0139800,22733,0.0139700,12226,0.0139600,58793,0.0140900,5297,0.0141000,26397,0.0141100,13243,0.0141200,2469,0.0141300,45791,0.0141400,52013,0.0141500,20177,0.0141600,41269,0.0141700,19300,0.0141800,60084,0.00005000,1774137600000
6,1,24,0.01403,0.0140800,0.3564,1774137130000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0140400,16492,0.0140300,15998,0.0140200,9171,0.0140100,146345,0.0140000,69481,0.0139900,34289,0.0139800,22733,0.0139700,16862,0.0139600,58793,0.0139500,23944,0.0140800,5386,0.0140900,6793,0.0141000,36797,0.0141100,21243,0.0141200,4469,0.0141300,52160,0.0141400,45649,0.0141500,20177,0.0141600,45842,0.0141700,19300,0.00005000,1774137600000
6,1,24,0.01403,0.0140800,0.3564,1774137131000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0140400,15055,0.0140300,15998,0.0140200,31013,0.0140100,146345,0.0140000,69905,0.0139900,30753,0.0139800,22733,0.0139700,20324,0.0139600,58793,0.0139500,23944,0.0140800,12842,0.0140900,8922,0.0141000,34670,0.0141100,21243,0.0141200,10842,0.0141300,45791,0.0141400,45649,0.0141500,20177,0.0141600,45190,0.0141700,19300,0.00005000,1774137600000
6,1,24,0.01402,0.0140800,0.428,1774137132000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0140300,10880,0.0140200,5213,0.0140100,137924,0.0140000,64523,0.0139900,32138,0.0139800,22733,0.0139700,20324,0.0139600,58793,0.0139500,23944,0.0139400,9220,0.0140700,13222,0.0140800,7442,0.0140900,6793,0.0141000,36797,0.0141100,21243,0.0141200,34526,0.0141300,47201,0.0141400,45649,0.0141500,20177,0.0141600,20235,0.00005000,1774137600000
6,1,24,0.014,0.0140800,0.5714,1774137133000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0140100,125530,0.0140000,64523,0.0139900,32138,0.0139800,46417,0.0139700,26511,0.0139600,63432,0.0139500,23944,0.0139400,9220,0.0139300,33523,0.0139200,15926,0.0140700,8938,0.0140800,7442,0.0140900,8922,0.0141000,24270,0.0141100,15243,0.0141200,34526,0.0141300,51784,0.0141400,45649,0.0141500,20177,0.0141600,15662,0.00005000,1774137600000
6,1,24,0.01402,0.0140800,0.428,1774137135000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0140200,4140,0.0140100,130272,0.0140000,70631,0.0139900,34209,0.0139800,46417,0.0139700,36707,0.0139600,59329,0.0139500,27480,0.0139400,9757,0.0139300,49072,0.0140600,422,0.0140700,20116,0.0140800,14667,0.0140900,14901,0.0141000,24270,0.0141100,26211,0.0141200,34261,0.0141300,47201,0.0141400,20032,0.0141500,19775,0.00005000,1774137600000
