spot_source_id,fut_source_id,symbol_id,ask_spot,bid_futures,spread_pct,ts,s_b1,s_b2,s_b3,s_b4,s_b5,s_b6,s_b7,s_b8,s_b9,s_b10,s_bq1,s_bq2,s_bq3,s_bq4,s_bq5,s_bq6,s_bq7,s_bq8,s_bq9,s_bq10,s_a1,s_a2,s_a3,s_a4,s_a5,s_a6,s_a7,s_a8,s_a9,s_a10,s_aq1,s_aq2,s_aq3,s_aq4,s_aq5,s_aq6,s_aq7,s_aq8,s_aq9,s_aq10,f_b1,f_b2,f_b3,f_b4,f_b5,f_b6,f_b7,f_b8,f_b9,f_b10,f_bq1,f_bq2,f_bq3,f_bq4,f_bq5,f_bq6,f_bq7,f_bq8,f_bq9,f_bq10,f_a1,f_a2,f_a3,f_a4,f_a5,f_a6,f_a7,f_a8,f_a9,f_a10,f_aq1,f_aq2,f_aq3,f_aq4,f_aq5,f_aq6,f_aq7,f_aq8,f_aq9,f_aq10,fr_r,fr_ft
6,1,126,0.020412,0.0203600,-0.2548,1774137102000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0203700,14256,0.0203600,10620,0.0203500,32164,0.0203400,32170,0.0203300,72399,0.0203200,42426,0.0203100,76076,0.0203000,67777,0.0202900,65112,0.0202800,79278,0.0203800,11257,0.0203900,15908,0.0204000,40985,0.0204100,33698,0.0204200,54702,0.0204300,76159,0.0204400,104168,0.0204500,85861,0.0204600,37283,0.0204700,54046,0.00005000,1774137600000
6,1,126,0.020443,0.0203900,-0.2593,1774137118000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0203900,666,0.0203800,4820,0.0203700,8890,0.0203600,28392,0.0203500,28077,0.0203400,103669,0.0203300,26449,0.0203200,100550,0.0203100,62980,0.0203000,62305,0.0204000,19956,0.0204100,16746,0.0204200,47632,0.0204300,75535,0.0204400,48501,0.0204500,66558,0.0204600,74956,0.0204700,84651,0.0204800,44066,0.0204900,48600,0.00005000,1774137600000
6,1,126,0.02043,0.0203900,-0.1958,1774137119000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0203900,6298,0.0203800,4820,0.0203700,8890,0.0203600,28392,0.0203500,28077,0.0203400,103669,0.0203300,26449,0.0203200,100550,0.0203100,62980,0.0203000,62305,0.0204000,21060,0.0204100,16746,0.0204200,47632,0.0204300,85286,0.0204400,48501,0.0204500,66558,0.0204600,74956,0.0204700,95098,0.0204800,69995,0.0204900,48600,0.00005000,1774137600000
6,1,126,0.02042,0.0203900,-0.1469,1774137121000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0203700,17517,0.0203600,28643,0.0203500,12604,0.0203400,105057,0.0203300,26449,0.0203200,90708,0.0203100,62980,0.0203000,62305,0.0202900,53345,0.0202800,37469,0.0203900,18347,0.0204000,32582,0.0204100,16750,0.0204200,47632,0.0204300,73316,0.0204400,73516,0.0204500,85024,0.0204600,62322,0.0204700,43923,0.0204800,44066,0.00005000,1774137600000
6,1,126,0.02042,0.0203700,-0.2449,1774137122000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0203700,14648,0.0203600,18523,0.0203500,12604,0.0203400,42120,0.0203300,26449,0.0203200,90708,0.0203100,62980,0.0203000,62011,0.0202900,53345,0.0202800,37469,0.0203800,5697,0.0204000,32331,0.0204100,21610,0.0204200,67029,0.0204300,126064,0.0204400,73516,0.0204500,85024,0.0204600,62322,0.0204700,43923,0.0204800,44066,0.00005000,1774137600000
6,1,126,0.020424,0.0203700,-0.2644,1774137123000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0203700,2441,0.0203600,11605,0.0203500,12604,0.0203400,86775,0.0203300,31275,0.0203200,135616,0.0203100,62980,0.0203000,62011,0.0202900,57345,0.0202800,37469,0.0203800,10352,0.0203900,14405,0.0204000,47644,0.0204100,31375,0.0204200,75926,0.0204300,48344,0.0204400,73516,0.0204500,85024,0.0204600,62322,0.0204700,43923,0.00005000,1774137600000
6,1,126,0.020411,0.0203700,-0.2009,1774137124000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0203600,4906,0.0203500,12604,0.0203400,50498,0.0203300,31275,0.0203200,98005,0.0203100,37953,0.0203000,61699,0.0202900,53033,0.0202800,37469,0.0202700,69463,0.0203700,12207,0.0203800,21860,0.0203900,21083,0.0204000,54996,0.0204100,99825,0.0204200,46425,0.0204300,69377,0.0204400,73516,0.0204500,40364,0.0204600,62322,0.00005000,1774137600000
6,1,126,0.020406,0.0203700,-0.1764,1774137125000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0203400,25748,0.0203300,65454,0.0203200,73236,0.0203100,27965,0.0203000,58730,0.0202900,56150,0.0202800,49938,0.0202700,57643,0.0202600,58771,0.0202500,66947,0.0203500,12855,0.0203600,19343,0.0203700,15833,0.0203800,28130,0.0203900,19660,0.0204000,65733,0.0204100,72250,0.0204200,62567,0.0204300,89521,0.0204400,67626,0.00005000,1774137600000
6,1,126,0.020355,0.0203700,0.0737,1774137126000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0203400,15992,0.0203300,22645,0.0203200,54575,0.0203100,115281,0.0203000,58730,0.0202900,56856,0.0202800,49938,0.0202700,55435,0.0202600,58771,0.0202500,66947,0.0203600,14688,0.0203700,22079,0.0203800,41673,0.0203900,54935,0.0204000,117018,0.0204100,46024,0.0204200,76005,0.0204300,103888,0.0204400,67626,0.0204500,42547,0.00005000,1774137600000
6,1,126,0.020316,0.0203900,0.3642,1774137127000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0203400,809,0.0203300,12427,0.0203200,59317,0.0203100,120133,0.0203000,58730,0.0202900,56856,0.0202800,49938,0.0202700,55435,0.0202600,58771,0.0202500,62947,0.0203600,14967,0.0203700,19013,0.0203800,46884,0.0203900,55325,0.0204000,110134,0.0204100,45681,0.0204200,75662,0.0204300,103545,0.0204400,67283,0.0204500,42547,0.00005000,1774137600000
