spot_source_id,fut_source_id,symbol_id,ask_spot,bid_futures,spread_pct,ts,s_b1,s_b2,s_b3,s_b4,s_b5,s_b6,s_b7,s_b8,s_b9,s_b10,s_bq1,s_bq2,s_bq3,s_bq4,s_bq5,s_bq6,s_bq7,s_bq8,s_bq9,s_bq10,s_a1,s_a2,s_a3,s_a4,s_a5,s_a6,s_a7,s_a8,s_a9,s_a10,s_aq1,s_aq2,s_aq3,s_aq4,s_aq5,s_aq6,s_aq7,s_aq8,s_aq9,s_aq10,f_b1,f_b2,f_b3,f_b4,f_b5,f_b6,f_b7,f_b8,f_b9,f_b10,f_bq1,f_bq2,f_bq3,f_bq4,f_bq5,f_bq6,f_bq7,f_bq8,f_bq9,f_bq10,f_a1,f_a2,f_a3,f_a4,f_a5,f_a6,f_a7,f_a8,f_a9,f_a10,f_aq1,f_aq2,f_aq3,f_aq4,f_aq5,f_aq6,f_aq7,f_aq8,f_aq9,f_aq10,fr_r,fr_ft
6,1,309,0.08467,0.0844100,-0.3071,1774137118000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0844100,1702,0.0844000,918,0.0843900,437,0.0843800,9659,0.0843700,566,0.0843600,1443,0.0843500,4850,0.0843100,118,0.0842900,499,0.0842800,6923,0.0844600,657,0.0844800,498,0.0844900,785,0.0845000,952,0.0845100,498,0.0845200,498,0.0845400,437,0.0845600,2928,0.0845800,3565,0.0846100,4727,0.00005000,1774137600000
6,1,309,0.08471,0.0844200,-0.3423,1774137119000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00005000,1774137600000
6,1,309,0.08469,0.0844200,-0.3188,1774137120000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0844200,1182,0.0844100,1880,0.0843900,498,0.0843800,9659,0.0843700,566,0.0843600,1443,0.0843500,4489,0.0843100,118,0.0842900,499,0.0842800,6923,0.0844500,448,0.0844600,657,0.0844700,61,0.0844800,498,0.0844900,785,0.0845000,952,0.0845100,498,0.0845200,437,0.0845400,437,0.0845600,2928,0.00005000,1774137600000
6,1,309,0.08463,0.0844100,-0.26,1774137121000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0843600,1366,0.0843400,448,0.0843300,1125,0.0843200,990,0.0843000,448,0.0842900,499,0.0842800,6923,0.0842700,436,0.0842600,497,0.0842400,3447,0.0844400,867,0.0844600,161,0.0844700,1173,0.0844800,725,0.0844900,3652,0.0845000,586,0.0845200,437,0.0845400,918,0.0845500,481,0.0845600,2928,0.00005000,1774137600000
6,1,309,0.08457,0.0843800,-0.2247,1774137122000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0843400,312,0.0843100,979,0.0843000,61,0.0842900,122,0.0842800,5181,0.0842700,436,0.0842600,497,0.0842400,448,0.0842300,437,0.0842200,497,0.0843500,1535,0.0843800,5333,0.0843900,448,0.0844100,1234,0.0844200,2928,0.0844400,1957,0.0844600,161,0.0844800,437,0.0844900,3652,0.0845000,586,0.00005000,1774137600000
6,1,309,0.08476,0.0843800,-0.4483,1774137123000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0843200,918,0.0843100,299,0.0843000,509,0.0842900,122,0.0842800,3681,0.0842700,509,0.0842600,497,0.0842500,448,0.0842400,448,0.0842300,437,0.0843500,598,0.0843600,448,0.0843700,526,0.0843800,61,0.0843900,509,0.0844000,1245,0.0844100,61,0.0844200,4100,0.0844300,1173,0.0844400,1957,0.00005000,1774137600000
6,1,309,0.08455,0.0843900,-0.1892,1774137124000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0843200,918,0.0843100,299,0.0843000,823,0.0842900,122,0.0842800,3681,0.0842700,509,0.0842600,436,0.0842500,448,0.0842400,448,0.0842300,437,0.0843400,312,0.0843500,1598,0.0843600,1000,0.0843700,587,0.0843800,509,0.0843900,1509,0.0844000,1245,0.0844100,1231,0.0844200,5100,0.0844300,1173,0.00005000,1774137600000
6,1,309,0.08455,0.0843100,-0.2839,1774137125000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0843000,314,0.0842900,530,0.0842800,3681,0.0842700,473,0.0842500,1040,0.0842400,448,0.0842300,906,0.0842200,966,0.0842100,3373,0.0841900,649,0.0843500,1046,0.0843600,448,0.0843700,61,0.0843800,509,0.0843900,509,0.0844000,61,0.0844100,61,0.0844200,2928,0.0844400,1957,0.0844600,161,0.00005000,1774137600000
6,1,309,0.08447,0.0843500,-0.1421,1774137126000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0843000,778,0.0842900,973,0.0842800,3681,0.0842700,473,0.0842600,509,0.0842500,448,0.0842400,448,0.0842300,437,0.0842200,961,0.0842100,3303,0.0843500,868,0.0843600,584,0.0843700,61,0.0843800,509,0.0843900,509,0.0844000,61,0.0844100,61,0.0844200,2928,0.0844400,1957,0.0844600,161,0.00005000,1774137600000
6,1,309,0.08454,0.0843200,-0.2602,1774137127000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0843000,778,0.0842900,525,0.0842800,3681,0.0842700,473,0.0842600,61,0.0842400,448,0.0842300,437,0.0842200,961,0.0842100,3303,0.0841900,649,0.0843500,868,0.0843600,584,0.0843700,61,0.0843800,509,0.0843900,1076,0.0844000,1245,0.0844100,61,0.0844200,4101,0.0844400,1957,0.0844600,161,0.00005000,1774137600000
6,1,309,0.08473,0.0843400,-0.4603,1774137128000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0842000,918,0.0841900,588,0.0841600,448,0.0841500,499,0.0841400,3310,0.0841300,3951,0.0841200,448,0.0841000,7373,0.0840900,7326,0.0840800,3556,0.0843300,448,0.0843400,1366,0.0843500,4041,0.0843600,1819,0.0843700,61,0.0843800,509,0.0843900,509,0.0844000,61,0.0844100,61,0.0844200,2928,0.00005000,1774137600000
