spot_source_id,fut_source_id,symbol_id,ask_spot,bid_futures,spread_pct,ts,s_b1,s_b2,s_b3,s_b4,s_b5,s_b6,s_b7,s_b8,s_b9,s_b10,s_bq1,s_bq2,s_bq3,s_bq4,s_bq5,s_bq6,s_bq7,s_bq8,s_bq9,s_bq10,s_a1,s_a2,s_a3,s_a4,s_a5,s_a6,s_a7,s_a8,s_a9,s_a10,s_aq1,s_aq2,s_aq3,s_aq4,s_aq5,s_aq6,s_aq7,s_aq8,s_aq9,s_aq10,f_b1,f_b2,f_b3,f_b4,f_b5,f_b6,f_b7,f_b8,f_b9,f_b10,f_bq1,f_bq2,f_bq3,f_bq4,f_bq5,f_bq6,f_bq7,f_bq8,f_bq9,f_bq10,f_a1,f_a2,f_a3,f_a4,f_a5,f_a6,f_a7,f_a8,f_a9,f_a10,f_aq1,f_aq2,f_aq3,f_aq4,f_aq5,f_aq6,f_aq7,f_aq8,f_aq9,f_aq10,fr_r,fr_ft
6,9,352,0.3341,0.3339,-0.0599,1774137105000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3339,3419,0.3338,1497,0.3337,469,0.3336,2524,0.3335,8288,0.3334,4965,0.3333,3075,0.3332,6344,0.3331,4037,0.333,1881,0.3341,1000,0.3342,1000,0.3343,1761,0.3344,2736,0.3345,9419,0.3346,8426,0.3347,5486,0.3348,4332,0.3349,5306,0.335,886,0.00005,1774137600000
6,9,352,0.3343,0.3339,-0.1197,1774137106000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3339,3419,0.3338,1497,0.3337,469,0.3336,2524,0.3335,8436,0.3334,4965,0.3333,3075,0.3332,6344,0.3331,4037,0.333,1881,0.3341,1000,0.3342,1000,0.3343,1761,0.3344,3664,0.3345,9419,0.3346,7545,0.3347,5486,0.3348,4332,0.3349,5306,0.335,886,0.00005,1774137600000
6,9,352,0.3342,0.3339,-0.0898,1774137107000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3339,3419,0.3338,1497,0.3337,907,0.3336,3524,0.3335,8436,0.3334,4965,0.3333,3075,0.3332,6344,0.3331,4037,0.333,1881,0.3341,1000,0.3342,1000,0.3343,1157,0.3344,3664,0.3345,9419,0.3346,7545,0.3347,5486,0.3348,3332,0.3349,5306,0.335,886,0.00005,1774137600000
6,9,352,0.3341,0.334,-0.0299,1774137108000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3339,3419,0.3338,1654,0.3336,2055,0.3335,8436,0.3334,4965,0.3333,3075,0.3332,6344,0.3331,4037,0.333,1881,0.3329,427,0.3341,1000,0.3342,1000,0.3343,2217,0.3344,4131,0.3345,9419,0.3346,7545,0.3347,5486,0.3348,3332,0.3349,5306,0.335,886,0.00005,1774137600000
6,9,352,0.3342,0.3339,-0.0898,1774137109000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3339,3419,0.3338,1497,0.3336,2055,0.3335,8436,0.3334,4965,0.3333,3075,0.3332,6344,0.3331,4037,0.333,1881,0.3329,427,0.3342,1000,0.3343,2919,0.3344,4131,0.3345,8717,0.3346,7545,0.3347,5486,0.3348,3332,0.3349,5306,0.335,886,0.3351,3540,0.00005,1774137600000
6,9,352,0.3341,0.3338,-0.0898,1774137110000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3339,3419,0.3338,1497,0.3337,438,0.3336,3523,0.3335,8436,0.3334,4965,0.3333,3075,0.3332,6344,0.3331,4037,0.333,1881,0.3342,1699,0.3343,2169,0.3344,2965,0.3345,8717,0.3346,7545,0.3347,4486,0.3348,3332,0.3349,5306,0.335,886,0.3351,3540,0.00005,1774137600000
6,9,352,0.3339,0.3337,-0.0599,1774137111000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.334,269,0.3339,3419,0.3338,1497,0.3337,438,0.3336,3523,0.3335,8436,0.3334,4965,0.3333,3075,0.3332,6344,0.3331,4037,0.3342,1143,0.3343,2184,0.3344,3664,0.3345,8717,0.3346,8247,0.3347,4486,0.3348,3332,0.3349,5306,0.335,886,0.3351,3540,0.00005,1774137600000
6,9,352,0.3339,0.3336,-0.0898,1774137112000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.334,66,0.3339,2972,0.3338,1497,0.3337,157,0.3336,3055,0.3335,8436,0.3334,4965,0.3333,3075,0.3332,6344,0.3331,4037,0.3342,1143,0.3343,1954,0.3344,3204,0.3345,5932,0.3346,11033,0.3347,4486,0.3348,3332,0.3349,5306,0.335,886,0.3351,3540,0.00005,1774137600000
6,9,352,0.334,0.3337,-0.0898,1774137113000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3339,3419,0.3338,1497,0.3337,157,0.3336,3055,0.3335,8436,0.3334,4965,0.3333,3075,0.3332,6344,0.3331,4037,0.333,1881,0.3342,1000,0.3343,1954,0.3344,3204,0.3345,5932,0.3346,11033,0.3347,4486,0.3348,3332,0.3349,5306,0.335,886,0.3351,3540,0.00005,1774137600000
6,9,352,0.3338,0.3335,-0.0899,1774137114000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3339,2972,0.3338,1497,0.3337,157,0.3336,3374,0.3335,8436,0.3334,4965,0.3333,3075,0.3332,6344,0.3331,4037,0.333,1881,0.3342,1000,0.3343,1954,0.3344,3204,0.3345,5932,0.3346,11033,0.3347,4486,0.3348,3332,0.3349,5306,0.335,886,0.3351,3540,0.00005,1774137600000
