spot_source_id,fut_source_id,symbol_id,ask_spot,bid_futures,spread_pct,ts,s_b1,s_b2,s_b3,s_b4,s_b5,s_b6,s_b7,s_b8,s_b9,s_b10,s_bq1,s_bq2,s_bq3,s_bq4,s_bq5,s_bq6,s_bq7,s_bq8,s_bq9,s_bq10,s_a1,s_a2,s_a3,s_a4,s_a5,s_a6,s_a7,s_a8,s_a9,s_a10,s_aq1,s_aq2,s_aq3,s_aq4,s_aq5,s_aq6,s_aq7,s_aq8,s_aq9,s_aq10,f_b1,f_b2,f_b3,f_b4,f_b5,f_b6,f_b7,f_b8,f_b9,f_b10,f_bq1,f_bq2,f_bq3,f_bq4,f_bq5,f_bq6,f_bq7,f_bq8,f_bq9,f_bq10,f_a1,f_a2,f_a3,f_a4,f_a5,f_a6,f_a7,f_a8,f_a9,f_a10,f_aq1,f_aq2,f_aq3,f_aq4,f_aq5,f_aq6,f_aq7,f_aq8,f_aq9,f_aq10,fr_r,fr_ft
6,3,54,0.6802,0.6795,-0.1029,1774137102000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6802,349,0.6801,24,0.6800,10541,0.6799,542,0.6798,4569,0.6797,4073,0.6796,8921,0.6795,11307,0.6794,9621,0.6793,9101,0.6803,6882,0.6804,13405,0.6805,5965,0.6806,10004,0.6807,16495,0.6808,16207,0.6809,10782,0.6810,10442,0.6811,11054,0.6812,7492,-0.00000372,1774137600000
6,3,54,0.6802,0.6795,-0.1029,1774137103000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6797,4740,0.6796,1748,0.6795,4042,0.6794,9560,0.6793,3621,0.6792,10010,0.6791,10982,0.6790,6507,0.6789,8861,0.6788,10880,0.6798,15,0.6799,27,0.6800,4414,0.6801,12845,0.6802,14887,0.6803,9345,0.6804,25481,0.6805,6475,0.6806,7401,0.6807,15665,-0.00000372,1774137600000
6,3,54,0.6801,0.6794,-0.1029,1774137104000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6798,76,0.6797,2703,0.6796,2744,0.6795,3077,0.6794,3476,0.6793,7152,0.6792,9153,0.6791,9319,0.6790,6880,0.6789,10754,0.6799,6848,0.6800,14251,0.6801,13919,0.6802,14088,0.6803,7011,0.6804,18781,0.6805,6329,0.6806,7567,0.6807,16770,0.6808,16208,-0.00000372,1774137600000
6,3,54,0.6797,0.6789,-0.1177,1774137105000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6798,76,0.6797,1341,0.6796,2753,0.6795,3077,0.6794,4378,0.6793,5728,0.6792,9153,0.6791,9307,0.6790,6880,0.6789,10754,0.6799,7235,0.6800,14683,0.6801,13928,0.6802,17213,0.6803,7289,0.6804,16781,0.6805,4839,0.6806,5567,0.6807,14770,0.6808,14208,-0.00000372,1774137600000
6,3,54,0.6792,0.6785,-0.1031,1774137106000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6798,76,0.6797,1341,0.6796,2680,0.6795,3150,0.6794,4378,0.6793,5728,0.6792,9153,0.6791,9307,0.6790,6880,0.6789,10754,0.6799,7367,0.6800,14683,0.6801,13928,0.6802,17389,0.6803,7419,0.6804,16781,0.6805,4839,0.6806,5567,0.6807,14741,0.6808,14208,-0.00000372,1774137600000
6,3,54,0.6794,0.6788,-0.0883,1774137107000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6798,76,0.6797,1341,0.6796,2753,0.6795,4548,0.6794,4378,0.6793,5728,0.6792,9153,0.6791,9307,0.6790,6880,0.6789,10754,0.6799,7207,0.6800,14683,0.6801,14088,0.6802,17389,0.6803,7419,0.6804,16127,0.6805,4839,0.6806,5567,0.6807,14741,0.6808,14208,-0.00000372,1774137600000
6,3,54,0.6798,0.6792,-0.0883,1774137108000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6798,76,0.6797,15,0.6796,2753,0.6795,4548,0.6794,4378,0.6793,5582,0.6792,9153,0.6791,9307,0.6790,6880,0.6789,10754,0.6799,7367,0.6800,14683,0.6801,13928,0.6802,17389,0.6803,6858,0.6804,16127,0.6805,7031,0.6806,5567,0.6807,14741,0.6808,14208,-0.00000372,1774137600000
6,3,54,0.6798,0.6791,-0.103,1774137109000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6796,1032,0.6795,4382,0.6794,6599,0.6793,7299,0.6792,7553,0.6791,9307,0.6790,5596,0.6789,12038,0.6788,13581,0.6787,5317,0.6797,3003,0.6798,8013,0.6799,4367,0.6800,13839,0.6801,11565,0.6802,8539,0.6803,9888,0.6804,16127,0.6805,7031,0.6806,5567,-0.00000372,1774137600000
6,3,54,0.6797,0.6791,-0.0883,1774137110000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6796,170,0.6795,3299,0.6794,5127,0.6793,11460,0.6792,6642,0.6791,9307,0.6790,5596,0.6789,11127,0.6788,13411,0.6787,5317,0.6797,5725,0.6798,7062,0.6799,4354,0.6800,5267,0.6801,11000,0.6802,10259,0.6803,9888,0.6804,16248,0.6805,7031,0.6806,5567,-0.00000372,1774137600000
6,3,54,0.6796,0.679,-0.0883,1774137112000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6796,112,0.6795,2156,0.6794,2746,0.6793,8867,0.6792,6642,0.6791,7536,0.6790,5596,0.6789,11127,0.6788,13357,0.6787,5471,0.6797,12347,0.6798,9407,0.6799,7132,0.6800,10677,0.6801,11275,0.6802,13414,0.6803,10799,0.6804,16248,0.6805,7031,0.6806,5567,-0.00000372,1774137600000
